,Unnamed: 0.1,Unnamed: 0,Date,DOW,DOW_6m,DOW_12m
686,686,686,2021-12-07,49.53338241577149,51.33919525146485,51.714237213134766
687,687,687,2021-12-08,49.57852935791016,49.59658432006836,51.14340972900391
688,688,688,2021-12-09,49.109012603759766,47.63728332519531,52.436710357666016
689,689,689,2021-12-10,49.3708610534668,48.01650238037109,52.78456497192383
690,690,690,2021-12-13,48.142913818359375,47.91717529296875,52.29399490356445
691,691,691,2021-12-14,48.64854049682617,48.64854049682617,51.37531280517578
692,692,692,2021-12-15,48.79300308227539,49.53338241577149,51.33919525146485
693,693,693,2021-12-16,49.29863357543945,49.57852935791016,49.59658432006836
694,694,694,2021-12-17,48.84717178344727,49.109012603759766,47.63728332519531
695,695,695,2021-12-20,48.31446075439453,49.3708610534668,48.01650238037109
696,696,696,2021-12-21,48.93746566772461,48.142913818359375,47.91717529296875
697,697,697,2021-12-22,48.96455001831055,48.64854049682617,48.64854049682617
698,698,698,2021-12-23,49.78619766235352,48.79300308227539,49.53338241577149
699,699,699,2021-12-27,50.44531631469727,49.29863357543945,49.57852935791016
700,700,700,2021-12-28,51.13152694702149,48.84717178344727,49.109012603759766
701,701,701,2021-12-29,51.519779205322266,48.31446075439453,49.3708610534668
702,702,702,2021-12-30,51.26696014404297,48.93746566772461,48.142913818359375
703,703,703,2021-12-31,51.2127799987793,48.96455001831055,48.64854049682617
704,704,704,2022-01-03,51.34822463989258,49.78619766235352,48.79300308227539
705,705,705,2022-01-04,52.73870086669922,50.44531631469727,49.29863357543945
706,706,706,2022-01-05,52.68452072143555,51.13152694702149,48.84717178344727
707,707,707,2022-01-06,52.58520126342773,51.519779205322266,48.31446075439453
708,708,708,2022-01-07,53.361698150634766,51.26696014404297,48.93746566772461
709,709,709,2022-01-10,52.72966384887695,51.2127799987793,48.96455001831055
710,710,710,2022-01-11,53.43393707275391,51.34822463989258,49.78619766235352
711,711,711,2022-01-12,53.50616455078125,52.73870086669922,50.44531631469727
712,712,712,2022-01-13,54.1201400756836,52.68452072143555,51.13152694702149
713,713,713,2022-01-14,54.842472076416016,52.58520126342773,51.519779205322266
714,714,714,2022-01-18,54.35489273071289,53.361698150634766,51.26696014404297
715,715,715,2022-01-19,54.02985000610352,52.72966384887695,51.2127799987793
716,716,716,2022-01-20,52.19696044921875,53.43393707275391,51.34822463989258
717,717,717,2022-01-21,51.2127799987793,53.50616455078125,52.73870086669922
718,718,718,2022-01-24,51.12249755859375,54.1201400756836,52.68452072143555
719,719,719,2022-01-25,51.62812805175781,54.842472076416016,52.58520126342773
720,720,720,2022-01-26,51.66424179077149,54.35489273071289,53.361698150634766
721,721,721,2022-01-27,54.33684158325195,54.02985000610352,52.72966384887695
722,722,722,2022-01-28,54.21043014526367,52.19696044921875,53.43393707275391
723,723,723,2022-01-31,53.93053436279297,51.2127799987793,53.50616455078125
724,724,724,2022-02-01,55.808570861816406,51.12249755859375,54.1201400756836
725,725,725,2022-02-02,55.67313766479492,51.62812805175781,54.842472076416016
726,726,726,2022-02-03,55.26682662963867,51.66424179077149,54.35489273071289
727,727,727,2022-02-04,54.7160530090332,54.33684158325195,54.02985000610352
728,728,728,2022-02-07,54.093055725097656,54.21043014526367,52.19696044921875
729,729,729,2022-02-08,55.15848159790039,53.93053436279297,51.2127799987793
730,730,730,2022-02-09,55.97110366821289,55.808570861816406,51.12249755859375
731,731,731,2022-02-10,55.032073974609375,55.67313766479492,51.62812805175781
732,732,732,2022-02-11,55.15848159790039,55.26682662963867,51.66424179077149
733,733,733,2022-02-14,54.92373275756836,54.7160530090332,54.33684158325195
734,734,734,2022-02-15,55.85371780395508,54.093055725097656,54.21043014526367
735,735,735,2022-02-16,56.05236053466797,55.15848159790039,53.93053436279297
736,736,736,2022-02-17,55.230712890625,55.97110366821289,55.808570861816406
737,737,737,2022-02-18,54.70703125,55.032073974609375,55.67313766479492
738,738,738,2022-02-22,54.4451904296875,55.15848159790039,55.26682662963867
739,739,739,2022-02-23,54.1472282409668,54.92373275756836,54.7160530090332
740,740,740,2022-02-24,53.01859664916992,55.85371780395508,54.093055725097656
741,741,741,2022-02-25,54.508087158203125,56.05236053466797,55.15848159790039
742,742,742,2022-02-28,53.87757110595703,55.230712890625,55.97110366821289
743,743,743,2022-03-01,52.205322265625,54.70703125,55.032073974609375
744,744,744,2022-03-02,54.09687805175781,54.4451904296875,55.15848159790039
745,745,745,2022-03-03,54.5263671875,54.1472282409668,54.92373275756836
746,746,746,2022-03-04,53.75877380371094,53.01859664916992,55.85371780395508
747,747,747,2022-03-07,52.9820442199707,54.508087158203125,56.05236053466797
748,748,748,2022-03-08,52.85411071777344,53.87757110595703,55.230712890625
749,749,749,2022-03-09,54.64515686035156,52.205322265625,54.70703125
750,750,750,2022-03-10,55.40361404418945,54.09687805175781,54.4451904296875
751,751,751,2022-03-11,55.65947723388672,54.5263671875,54.1472282409668
752,752,752,2022-03-14,55.08378219604492,53.75877380371094,53.01859664916992
753,753,753,2022-03-15,53.79532241821289,52.9820442199707,54.508087158203125
754,754,754,2022-03-16,54.49895477294922,52.85411071777344,53.87757110595703
755,755,755,2022-03-17,57.4231071472168,54.64515686035156,52.205322265625
756,756,756,2022-03-18,57.01189422607422,55.40361404418945,54.09687805175781
757,757,757,2022-03-21,57.8800048828125,55.65947723388672,54.5263671875
758,758,758,2022-03-22,58.07190704345703,55.08378219604492,53.75877380371094
759,759,759,2022-03-23,57.84345245361328,53.79532241821289,52.9820442199707
760,760,760,2022-03-24,58.56534957885742,54.49895477294922,52.85411071777344
761,761,761,2022-03-25,59.12277221679688,57.4231071472168,54.64515686035156
762,762,762,2022-03-28,58.58363723754883,57.01189422607422,55.40361404418945
763,763,763,2022-03-29,58.656734466552734,57.8800048828125,55.65947723388672
764,764,764,2022-03-30,58.720699310302734,58.07190704345703,55.08378219604492
765,765,765,2022-03-31,58.22724914550781,57.84345245361328,53.79532241821289
766,766,766,2022-04-01,58.64759826660156,58.56534957885742,54.49895477294922
767,767,767,2022-04-04,58.49224853515625,59.12277221679688,57.4231071472168
768,768,768,2022-04-05,58.0170783996582,58.58363723754883,57.01189422607422
769,769,769,2022-04-06,56.35395812988281,58.656734466552734,57.8800048828125
770,770,770,2022-04-07,55.97016906738281,58.720699310302734,58.07190704345703
771,771,771,2022-04-08,56.36310195922852,58.22724914550781,57.84345245361328
772,772,772,2022-04-11,56.609825134277344,58.64759826660156,58.56534957885742
773,773,773,2022-04-12,57.8068962097168,58.49224853515625,59.12277221679688
774,774,774,2022-04-13,58.62932205200195,58.0170783996582,58.58363723754883
775,775,775,2022-04-14,59.844669342041016,56.35395812988281,58.656734466552734
776,776,776,2022-04-18,60.2010498046875,55.97016906738281,58.720699310302734
777,777,777,2022-04-19,61.270206451416016,56.36310195922852,58.22724914550781
778,778,778,2022-04-20,61.717960357666016,56.609825134277344,58.64759826660156
779,779,779,2022-04-21,63.51814270019531,57.8068962097168,58.49224853515625
780,780,780,2022-04-22,62.5952033996582,58.62932205200195,58.0170783996582
781,781,781,2022-04-25,62.20227813720703,59.844669342041016,56.35395812988281
782,782,782,2022-04-26,61.56261444091797,60.2010498046875,55.97016906738281
783,783,783,2022-04-27,61.63571548461914,61.270206451416016,56.36310195922852
784,784,784,2022-04-28,61.96468353271485,61.717960357666016,56.609825134277344
785,785,785,2022-04-29,60.76760482788086,63.51814270019531,57.8068962097168
786,786,786,2022-05-02,61.279335021972656,62.5952033996582,58.62932205200195
787,787,787,2022-05-03,62.275386810302734,62.20227813720703,59.844669342041016
788,788,788,2022-05-04,64.52332305908203,61.56261444091797,60.2010498046875
789,789,789,2022-05-05,62.56780242919922,61.63571548461914,61.270206451416016
790,790,790,2022-05-06,62.074344635009766,61.96468353271485,61.717960357666016
791,791,791,2022-05-09,60.88640594482422,60.76760482788086,63.51814270019531
792,792,792,2022-05-10,60.13708114624024,61.279335021972656,62.5952033996582
793,793,793,2022-05-11,61.03261184692383,62.275386810302734,62.20227813720703
794,794,794,2022-05-12,61.26106262207031,64.52332305908203,61.56261444091797
795,795,795,2022-05-13,61.73623275756836,62.56780242919922,61.63571548461914
796,796,796,2022-05-16,62.12003326416016,62.074344635009766,61.96468353271485
797,797,797,2022-05-17,63.93848037719727,60.88640594482422,60.76760482788086
798,798,798,2022-05-18,62.969871520996094,60.13708114624024,61.279335021972656
799,799,799,2022-05-19,62.83279800415039,61.03261184692383,62.275386810302734
800,800,800,2022-05-20,62.23882293701172,61.26106262207031,64.52332305908203
801,801,801,2022-05-23,61.67227554321289,61.73623275756836,62.56780242919922
802,802,802,2022-05-24,61.28847503662109,62.12003326416016,62.074344635009766
803,803,803,2022-05-25,61.49864959716797,63.93848037719727,60.88640594482422
804,804,804,2022-05-26,61.99210357666016,62.969871520996094,60.13708114624024
805,805,805,2022-05-27,63.7648811340332,62.83279800415039,61.03261184692383
806,806,806,2022-05-31,62.7677001953125,62.23882293701172,61.26106262207031
807,807,807,2022-06-01,62.88772201538086,61.67227554321289,61.73623275756836
808,808,808,2022-06-02,62.87849044799805,61.28847503662109,62.12003326416016
809,809,809,2022-06-03,61.890533447265625,61.49864959716797,63.93848037719727
810,810,810,2022-06-06,61.92747116088867,61.99210357666016,62.969871520996094
811,811,811,2022-06-07,62.20446395874024,63.7648811340332,62.83279800415039
812,812,812,2022-06-08,62.084434509277344,62.7677001953125,62.23882293701172
813,813,813,2022-06-09,60.810245513916016,62.88772201538086,61.67227554321289
814,814,814,2022-06-10,57.12616729736328,62.87849044799805,61.28847503662109
815,815,815,2022-06-13,54.180763244628906,61.890533447265625,61.49864959716797
816,816,816,2022-06-14,54.06996536254883,61.92747116088867,61.99210357666016
817,817,817,2022-06-15,53.00814437866211,62.20446395874024,63.7648811340332
818,818,818,2022-06-16,51.17071914672852,62.084434509277344,62.7677001953125
819,819,819,2022-06-17,50.570560455322266,60.810245513916016,62.88772201538086
820,820,820,2022-06-21,50.73675537109375,57.12616729736328,62.87849044799805
821,821,821,2022-06-22,48.32687759399414,54.180763244628906,61.890533447265625
822,822,822,2022-06-23,47.14502334594727,54.06996536254883,61.92747116088867
823,823,823,2022-06-24,49.06553649902344,53.00814437866211,62.20446395874024
824,824,824,2022-06-27,48.2160758972168,51.17071914672852,62.084434509277344
825,825,825,2022-06-28,48.5023078918457,50.570560455322266,60.810245513916016
826,826,826,2022-06-29,47.99448013305664,50.73675537109375,57.12616729736328
827,827,827,2022-06-30,47.65284729003906,48.32687759399414,54.180763244628906
828,828,828,2022-07-01,47.72671127319336,47.14502334594727,54.06996536254883
829,829,829,2022-07-05,46.84032440185547,49.06553649902344,53.00814437866211
830,830,830,2022-07-06,47.255821228027344,48.2160758972168,51.17071914672852
831,831,831,2022-07-07,48.27147674560547,48.5023078918457,50.570560455322266
832,832,832,2022-07-08,47.44048309326172,47.99448013305664,50.73675537109375
833,833,833,2022-07-11,47.09885025024414,47.65284729003906,48.32687759399414
834,834,834,2022-07-12,46.5540885925293,47.72671127319336,47.14502334594727
835,835,835,2022-07-13,45.861595153808594,46.84032440185547,49.06553649902344
836,836,836,2022-07-14,45.150638580322266,47.255821228027344,48.2160758972168
837,837,837,2022-07-15,45.75079345703125,48.27147674560547,48.5023078918457
838,838,838,2022-07-18,46.60025787353516,47.44048309326172,47.99448013305664
839,839,839,2022-07-19,48.428443908691406,47.09885025024414,47.65284729003906
840,840,840,2022-07-20,48.520774841308594,46.5540885925293,47.72671127319336
841,841,841,2022-07-21,47.45895385742188,45.861595153808594,46.84032440185547
842,842,842,2022-07-22,46.95111846923828,45.150638580322266,47.255821228027344
843,843,843,2022-07-25,47.62515258789063,45.75079345703125,48.27147674560547
844,844,844,2022-07-26,47.36661529541016,46.60025787353516,47.44048309326172
845,845,845,2022-07-27,48.23454666137695,48.428443908691406,47.09885025024414
846,846,846,2022-07-28,48.289947509765625,48.520774841308594,46.5540885925293
847,847,847,2022-07-29,49.13016891479492,47.45895385742188,45.861595153808594
848,848,848,2022-08-01,48.43767547607422,46.95111846923828,45.150638580322266
849,849,849,2022-08-02,47.597450256347656,47.62515258789063,45.75079345703125
850,850,850,2022-08-03,47.54205322265625,47.36661529541016,46.60025787353516
851,851,851,2022-08-04,47.08038711547852,48.23454666137695,48.428443908691406
852,852,852,2022-08-05,47.54205322265625,48.289947509765625,48.520774841308594
853,853,853,2022-08-08,48.15144729614258,49.13016891479492,47.45895385742188
854,854,854,2022-08-09,48.6777458190918,48.43767547607422,46.95111846923828
855,855,855,2022-08-10,49.89653396606445,47.597450256347656,47.62515258789063
856,856,856,2022-08-11,51.02298355102539,47.54205322265625,47.36661529541016
857,857,857,2022-08-12,51.64162063598633,47.08038711547852,48.23454666137695
858,858,858,2022-08-15,51.09685516357422,47.54205322265625,48.289947509765625
