,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,TPR,TPR_6m,TPR_12m,TPR_6m_ret,TPR_12m_ret
920,920,920,920,2022-09-29,27.65337181091309,30.59196281433105,32.96580505371094,-0.0960576155656595,-0.16114981066418188
921,921,921,921,2022-09-30,27.213064193725582,29.62519645690918,32.2957763671875,-0.08142164615489123,-0.1573800894480416
922,922,922,922,2022-10-03,28.39998435974121,28.390411376953125,31.798025131225582,0.00033719070361404313,-0.10686326454115236
923,923,923,923,2022-10-04,30.094221115112305,27.404502868652344,31.156707763671875,0.09814876990659416,-0.03410137735407359
924,924,924,924,2022-10-05,30.496244430541992,27.78738021850586,31.70230865478516,0.09748541210920214,-0.03804341940444533
925,925,925,925,2022-10-06,30.639822006225582,28.62013816833496,31.01313018798828,0.07056862639905703,-0.01203710104397282
926,926,926,926,2022-10-07,30.13250732421875,27.65337181091309,30.59196281433105,0.08965038803431913,-0.015018830040453124
927,927,927,927,2022-10-10,29.80706214904785,27.213064193725582,29.62519645690918,0.09532178871353847,0.006138885607162248
928,928,928,928,2022-10-11,29.318891525268555,28.39998435974121,28.390411376953125,0.032355903928945606,0.03270400474257151
929,929,929,929,2022-10-12,29.87406349182129,30.094221115112305,27.404502868652344,-0.007315611274633094,0.09011514038424107
930,930,930,930,2022-10-13,29.759201049804688,30.496244430541992,27.78738021850586,-0.02416833267506069,0.07096101956332079
931,931,931,931,2022-10-14,28.97430229187012,30.639822006225582,28.62013816833496,-0.0543580088036103,0.012374647580388087
932,932,932,932,2022-10-17,30.0272159576416,30.13250732421875,27.65337181091309,-0.0034942783036352454,0.08584284632486305
933,933,933,933,2022-10-18,29.95064163208008,29.80706214904785,27.213064193725582,0.004816961910377948,0.10059791204937851
934,934,934,934,2022-10-19,29.29974937438965,29.318891525268555,28.39998435974121,-0.0006528947679488306,0.03168188416060924
935,935,935,935,2022-10-20,29.17531013488769,29.87406349182129,30.094221115112305,-0.023389966923143768,-0.030534466292040596
936,936,936,936,2022-10-21,29.93149757385254,29.759201049804688,30.496244430541992,0.005789689170737411,-0.01851857063828688
937,937,937,937,2022-10-24,29.05087661743164,28.97430229187012,30.639822006225582,0.0026428358753958214,-0.05185883222399568
938,938,938,938,2022-10-25,30.59196281433105,30.0272159576416,30.13250732421875,0.01880783278363607,0.015247834677966532
939,939,939,939,2022-10-26,30.3048038482666,29.95064163208008,29.80706214904785,0.011824862403187364,0.016698784225356755
940,940,940,940,2022-10-27,30.352663040161133,29.29974937438965,29.318891525268555,0.03593592738004148,0.03525957023312487
941,941,941,941,2022-10-28,30.57282066345215,29.17531013488769,29.87406349182129,0.04790045151545175,0.023390094615757917
942,942,942,942,2022-10-31,30.32394790649414,29.93149757385254,29.759201049804688,0.013111617007243836,0.01897721836497901
943,943,943,943,2022-11-01,30.783403396606445,29.05087661743164,28.97430229187012,0.05963767641129358,0.06243812487743461
944,944,944,944,2022-11-02,29.28060531616211,30.59196281433105,30.0272159576416,-0.04286607911129603,-0.024864464375675466
945,945,945,945,2022-11-03,28.75414657592773,30.3048038482666,29.95064163208008,-0.051168695237325146,-0.039948895614669855
946,946,946,946,2022-11-04,31.07055854797364,30.352663040161133,29.29974937438965,0.02365181291877505,0.06043769013027189
947,947,947,947,2022-11-07,30.639822006225582,30.57282066345215,29.17531013488769,0.0021915329145121287,0.05019695984608008
948,948,948,948,2022-11-08,30.89826202392578,30.32394790649414,29.93149757385254,0.018939292443140188,0.03229923419928671
949,949,949,949,2022-11-09,29.883638381958008,30.783403396606445,29.05087661743164,-0.029228899841127642,0.028665632899582683
950,950,950,950,2022-11-10,31.14713478088379,29.28060531616211,30.59196281433105,0.06374627315820569,0.01814764125865964
951,951,951,951,2022-11-11,33.855995178222656,28.75414657592773,30.3048038482666,0.17743001305300665,0.11718245555181772
952,952,952,952,2022-11-14,32.783939361572266,31.07055854797364,30.352663040161133,0.05514483464959685,0.08010092288094084
953,953,953,953,2022-11-15,33.482688903808594,30.639822006225582,30.57282066345215,0.09278340118964734,0.09517827198178708
954,954,954,954,2022-11-16,32.87965774536133,30.89826202392578,30.32394790649414,0.06412644568491488,0.08428024763622077
955,955,955,955,2022-11-17,33.39654541015625,29.883638381958008,30.783403396606445,0.11755285562279894,0.08488801513863398
956,956,956,956,2022-11-18,33.49226379394531,31.14713478088379,29.28060531616211,0.07529196600455279,0.143837821394303
957,957,957,957,2022-11-21,33.0806770324707,33.855995178222656,28.75414657592773,-0.022900468341591207,0.15046631431464697
958,958,958,958,2022-11-22,34.67918395996094,32.783939361572266,31.07055854797364,0.05781015446271187,0.11614292052122255
959,959,959,959,2022-11-23,35.37793731689453,33.482688903808594,30.639822006225582,0.056603829475307066,0.1546391264840321
960,960,960,960,2022-11-25,35.48322677612305,32.87965774536133,30.89826202392578,0.07918479720577487,0.14838908248777694
961,961,961,961,2022-11-28,34.91848373413086,33.39654541015625,29.883638381958008,0.045571729209805456,0.16848167173688577
962,962,962,962,2022-11-29,35.65552520751953,33.49226379394531,31.14713478088379,0.06458988340959171,0.1447449487200574
963,963,963,963,2022-11-30,36.153263092041016,33.0806770324707,33.855995178222656,0.09288159539644192,0.06785409501995798
964,964,964,964,2022-12-01,36.8328742980957,34.67918395996094,32.783939361572266,0.06210325884891987,0.12350361229832552
