,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,BKR,BKR_6m,BKR_12m,BKR_6m_ret,BKR_12m_ret
291,291,291,291,2020-04-01,8.733878135681152,10.026135444641112,10.346970558166504,-0.12888887409262562,-0.15589997221091867
292,292,292,292,2020-04-02,9.232956886291504,10.355884552001951,10.026135444641112,-0.10843377599196669,-0.07911109546934703
293,293,293,293,2020-04-03,9.26860523223877,11.051029205322266,8.644755363464355,-0.16129031422929063,0.07216512700995725
294,294,294,294,2020-04-06,10.471739768981934,10.587600708007812,9.036890029907228,-0.010943077872047846,0.15877693922645153
295,295,295,295,2020-04-07,11.059942245483398,9.767683029174805,8.912121772766113,0.13229946267183146,0.24099990187304776
296,296,296,296,2020-04-08,11.496634483337402,9.357728004455566,8.315007209777832,0.22857113156777187,0.3826367426137902
297,297,297,297,2020-04-09,11.460987091064451,8.733878135681152,10.026135444641112,0.3122449057586505,0.14311113732163427
298,298,298,298,2020-04-13,11.844207763671877,9.232956886291504,10.355884552001951,0.28281848486235095,0.14371763263643267
299,299,299,299,2020-04-14,11.89768123626709,9.26860523223877,11.051029205322266,0.28365389809500874,0.07661295750961084
300,300,300,300,2020-04-15,11.505547523498535,10.471739768981934,10.587600708007812,0.09872359104824358,0.08670017323154666
301,301,301,301,2020-04-16,11.220359802246094,11.059942245483398,9.767683029174805,0.014504375628923816,0.1487227594028524
302,302,302,302,2020-04-17,11.612492561340332,11.496634483337402,9.357728004455566,0.010077564714338516,0.24095213665231419
303,303,303,303,2020-04-20,11.56793212890625,11.460987091064451,8.733878135681152,0.009331224002963712,0.32448975692103255
304,304,304,304,2020-04-21,11.362954139709473,11.844207763671877,9.232956886291504,-0.04063198092813669,0.23069502865116265
305,305,305,305,2020-04-22,11.576844215393066,11.89768123626709,9.26860523223877,-0.026966348694570152,0.24903843947583448
306,306,306,306,2020-04-23,12.093746185302734,11.505547523498535,10.471739768981934,0.05112304830368841,0.15489369026580513
307,307,307,307,2020-04-24,11.960064888000488,11.220359802246094,11.059942245483398,0.06592525540993077,0.08138583570675317
308,308,308,308,2020-04-27,12.120484352111816,11.612492561340332,11.496634483337402,0.043745284493241554,0.054263695143007995
309,309,309,309,2020-04-28,12.6552095413208,11.56793212890625,11.460987091064451,0.09399064589060258,0.1041989176645548
310,310,310,310,2020-04-29,13.19884967803955,11.362954139709473,11.844207763671877,0.16156850725237715,0.11437167781897428
311,311,311,311,2020-04-30,12.43240737915039,11.576844215393066,11.89768123626709,0.07390296939642083,0.04494372745954256
312,312,312,312,2020-05-01,12.209604263305664,12.093746185302734,11.505547523498535,0.009579999135729267,0.06119280619798295
313,313,313,313,2020-05-04,12.450234413146973,11.960064888000488,11.220359802246094,0.040983851654372794,0.1096109779523009
314,314,314,314,2020-05-05,12.120484352111816,12.120484352111816,11.612492561340332,0.0,0.043745284493241554
315,315,315,315,2020-05-06,11.523371696472168,12.6552095413208,11.56793212890625,-0.08943651554350363,-0.0038520655150399152
316,316,316,316,2020-05-07,12.494791984558104,13.19884967803955,11.362954139709473,-0.053342352603111265,0.09960771036585125
317,317,317,317,2020-05-08,13.377092361450195,12.43240737915039,11.576844215393066,0.07598568430793828,0.1555042214063347
318,318,318,318,2020-05-11,13.02952003479004,12.209604263305664,12.093746185302734,0.06715334533392903,0.07737667345991861
