,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,TGT,TGT_6m,TGT_12m,TGT_6m_ret,TGT_12m_ret
139,139,139,139,2019-08-23,94.36107635498048,74.70350646972656,75.11066436767578,0.2631411939574766,0.25629399166370836
140,140,140,140,2019-08-26,95.5281982421875,76.19647216796875,75.82550048828125,0.2537089385398785,0.2598426337713562
141,141,141,141,2019-08-27,95.46436309814452,78.3409652709961,74.56778717041016,0.21857527243780295,0.2802359667718086
142,142,142,142,2019-08-28,97.01438903808594,77.9853286743164,74.22393035888672,0.24400820881628915,0.3070500116202828
143,143,143,143,2019-08-29,98.409423828125,93.91431427001952,76.22362518310547,0.0478639448421172,0.29106197181942606
144,144,144,144,2019-08-30,97.5979461669922,96.94144439697266,74.09724426269531,0.006772147600062395,0.3171602687541304
145,145,145,145,2019-09-03,97.29705810546876,94.36107635498048,74.70350646972656,0.031114330865020134,0.30244298699550587
146,146,146,146,2019-09-04,97.88971710205078,95.5281982421875,76.19647216796875,0.024720646922244294,0.28470143455278474
147,147,147,147,2019-09-05,98.9656219482422,95.46436309814452,78.3409652709961,0.03667608242981868,0.2632678395766703
148,148,148,148,2019-09-06,100.16006469726562,97.01438903808594,77.9853286743164,0.032424836051327954,0.2843449710336634
149,149,149,149,2019-09-09,98.42767333984376,98.409423828125,93.91431427001952,0.00018544475730930543,0.04805826571706184
150,150,150,150,2019-09-10,99.23004913330078,97.5979461669922,96.94144439697266,0.01672271836044592,0.023608114677519554
151,151,151,151,2019-09-11,99.35769653320312,97.29705810546876,94.36107635498048,0.02117883590581604,0.052952132078545544
152,152,152,152,2019-09-12,99.33036041259766,97.88971710205078,95.5281982421875,0.014717003513709193,0.03980146428356934
153,153,153,153,2019-09-13,98.46414947509766,98.9656219482422,95.46436309814452,-0.005067138095760204,0.03142310155957495
154,154,154,154,2019-09-16,97.5250015258789,100.16006469726562,97.01438903808594,-0.02630852105927861,0.0052632655099493775
