,Unnamed: 0.1,Unnamed: 0,Date,GPC,GPC_6m,GPC_12m
78,78,78,2019-05-29,85.54324340820312,85.98932647705078,86.26922607421875
79,79,79,2019-05-30,86.50537109375,87.30135345458984,84.86973571777344
80,80,80,2019-05-31,86.50537109375,87.48501586914062,84.63356018066406
81,81,81,2019-06-03,86.78527069091797,85.92809295654297,84.336181640625
82,82,82,2019-06-04,88.23725128173828,86.2342529296875,85.32460021972656
83,83,83,2019-06-05,88.5346450805664,85.02719116210938,85.79690551757812
84,84,84,2019-06-06,88.70471954345703,85.54324340820312,85.98932647705078
85,85,85,2019-06-07,90.15009307861328,86.50537109375,87.30135345458984
86,86,86,2019-06-10,89.8680648803711,86.50537109375,87.48501586914062
87,87,87,2019-06-11,90.6876983642578,86.78527069091797,85.92809295654297
88,88,88,2019-06-12,90.28227996826172,88.23725128173828,86.2342529296875
