,Unnamed: 0.1,Unnamed: 0,Date,GEHC,GEHC_6m,GEHC_12m
35,35,35,2023-02-07,71.51556396484375,71.38578033447266,66.66332244873047
36,36,36,2023-02-08,70.05789947509766,69.40894317626953,69.40894317626953
37,37,37,2023-02-09,68.30072021484375,69.89815521240234,69.48881530761719
38,38,38,2023-02-10,69.12937927246094,70.53714752197266,68.6002426147461
39,39,39,2023-02-13,69.31907653808594,70.43730163574219,69.10941314697266
40,40,40,2023-02-14,72.49401092529297,71.74520111083984,69.96804809570312
41,41,41,2023-02-15,72.2044677734375,71.51556396484375,71.38578033447266
42,42,42,2023-02-16,70.79672241210938,70.05789947509766,69.40894317626953
43,43,43,2023-02-17,73.05310821533203,68.30072021484375,69.89815521240234
44,44,44,2023-02-21,72.35423278808594,69.12937927246094,70.53714752197266
45,45,45,2023-02-22,71.82508087158203,69.31907653808594,70.43730163574219
46,46,46,2023-02-23,75.77874755859375,72.49401092529297,71.74520111083984
47,47,47,2023-02-24,74.89017486572266,72.2044677734375,71.51556396484375
48,48,48,2023-02-27,75.91852569580078,70.79672241210938,70.05789947509766
49,49,49,2023-02-28,75.87858581542969,73.05310821533203,68.30072021484375
50,50,50,2023-03-01,75.17970275878906,72.35423278808594,69.12937927246094
51,51,51,2023-03-02,74.92011260986328,71.82508087158203,69.31907653808594
52,52,52,2023-03-03,76.24800109863281,75.77874755859375,72.49401092529297
53,53,53,2023-03-06,76.55750274658203,74.89017486572266,72.2044677734375
54,54,54,2023-03-07,76.12818145751953,75.91852569580078,70.79672241210938
55,55,55,2023-03-08,76.50757598876953,75.87858581542969,73.05310821533203
56,56,56,2023-03-09,76.25797271728516,75.17970275878906,72.35423278808594
57,57,57,2023-03-10,74.85023498535156,74.92011260986328,71.82508087158203
58,58,58,2023-03-13,76.11820983886719,76.24800109863281,75.77874755859375
59,59,59,2023-03-14,77.01676177978516,76.55750274658203,74.89017486572266
60,60,60,2023-03-15,76.63738250732422,76.12818145751953,75.91852569580078
61,61,61,2023-03-16,76.49759674072266,76.50757598876953,75.87858581542969
62,62,62,2023-03-17,75.71884155273438,76.25797271728516,75.17970275878906
63,63,63,2023-03-20,75.07986450195312,74.85023498535156,74.92011260986328
64,64,64,2023-03-21,76.39775085449219,76.11820983886719,76.24800109863281
65,65,65,2023-03-22,74.65054321289062,77.01676177978516,76.55750274658203
66,66,66,2023-03-23,75.58905029296875,76.63738250732422,76.12818145751953
67,67,67,2023-03-24,76.33785247802734,76.49759674072266,76.50757598876953
68,68,68,2023-03-27,76.25797271728516,75.71884155273438,76.25797271728516
69,69,69,2023-03-28,76.77715301513672,75.07986450195312,74.85023498535156
70,70,70,2023-03-29,79.1134033203125,76.39775085449219,76.11820983886719
71,71,71,2023-03-30,82.00878143310547,74.65054321289062,77.01676177978516
72,72,72,2023-03-31,81.8989486694336,75.58905029296875,76.63738250732422
73,73,73,2023-04-03,81.67930603027344,76.33785247802734,76.49759674072266
74,74,74,2023-04-04,81.45964813232422,76.25797271728516,75.71884155273438
75,75,75,2023-04-05,80.99040985107422,76.77715301513672,75.07986450195312
76,76,76,2023-04-06,80.03195190429688,79.1134033203125,76.39775085449219
77,77,77,2023-04-10,80.46125030517578,82.00878143310547,74.65054321289062
78,78,78,2023-04-11,80.46125030517578,81.8989486694336,75.58905029296875
79,79,79,2023-04-12,81.6194076538086,81.67930603027344,76.33785247802734
80,80,80,2023-04-13,82.8074951171875,81.45964813232422,76.25797271728516
