,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,MSCI,MSCI_6m,MSCI_12m,MSCI_6m_ret,MSCI_12m_ret
999,999,999,999,2023-01-24,514.3340454101562,499.888671875,454.2571716308594,0.02889718120831586,0.132253000131205
1000,1000,1000,1000,2023-01-25,503.252685546875,504.8752746582031,464.04241943359375,-0.0032138415025901867,0.08449715903373867
1001,1001,1001,1001,2023-01-26,509.7531433105469,500.97705078125,475.4502868652344,0.017517953198876057,0.07214814543804371
1002,1002,1002,1002,2023-01-27,514.4132690429688,490.5387878417969,482.9104309082031,0.04866991518899333,0.06523536481810654
1003,1003,1003,1003,2023-01-30,501.1947021484375,506.3396606445313,498.7805480957031,-0.0101610813767673,0.004840112674705077
1004,1004,1004,1004,2023-01-31,525.9299926757812,509.5255432128906,498.7112731933594,0.032195538931080625,0.05457811151557568
1005,1005,1005,1005,2023-02-01,548.6467895507812,514.3340454101562,499.888671875,0.06671295522205267,0.09753795278636268
1006,1006,1006,1006,2023-02-02,562.4193115234375,503.252685546875,504.8752746582031,0.11756842571494142,0.11397673792639429
1007,1007,1007,1007,2023-02-03,561.4199829101562,509.7531433105469,500.97705078125,0.10135658853237017,0.1206501017055539
1008,1008,1008,1008,2023-02-06,547.53857421875,514.4132690429688,490.5387878417969,0.06439434433215263,0.11619832679844277
1009,1009,1009,1009,2023-02-07,554.4645385742188,501.1947021484375,506.3396606445313,0.10628571331147962,0.09504465415256669
1010,1010,1010,1010,2023-02-08,551.0015258789062,525.9299926757812,509.5255432128906,0.047670856487130875,0.08140118433412091
1011,1011,1011,1011,2023-02-09,549.7054443359375,548.6467895507812,514.3340454101562,0.0019295743733833692,0.06877125720420518
1012,1012,1012,1012,2023-02-10,543.51171875,562.4193115234375,503.252685546875,-0.03361832068358761,0.07999765199340425
1013,1013,1013,1013,2023-02-13,556.1464233398438,561.4199829101562,509.7531433105469,-0.009393252343774194,0.09101126817580729
1014,1014,1014,1014,2023-02-14,555.8694458007812,547.53857421875,514.4132690429688,0.01521513181773182,0.08058924458721473
1015,1015,1015,1015,2023-02-15,561.0538940429688,554.4645385742188,501.1947021484375,0.011884178356462938,0.11943301004168028
1016,1016,1016,1016,2023-02-16,548.4676513671875,551.0015258789062,525.9299926757812,-0.004598670589299969,0.04285296333213684
1017,1017,1017,1017,2023-02-17,540.3744506835938,549.7054443359375,548.6467895507812,-0.016974533813497006,-0.015077713065560272
1018,1018,1018,1018,2023-02-21,520.528076171875,543.51171875,562.4193115234375,-0.042287299031903314,-0.07448399173579368
1019,1019,1019,1019,2023-02-22,519.7643432617188,556.1464233398438,561.4199829101562,-0.06541816786241028,-0.0741969308475855
1020,1020,1020,1020,2023-02-23,523.4638671875,555.8694458007812,547.53857421875,-0.05829710349810291,-0.043968969794686674
1021,1021,1021,1021,2023-02-24,513.9224853515625,561.0538940429688,554.4645385742188,-0.08400513603385962,-0.07311928969688186
1022,1022,1022,1022,2023-02-27,521.4901123046875,548.4676513671875,551.0015258789062,-0.049187110662318956,-0.053559585932443476
1023,1023,1023,1023,2023-02-28,517.8799438476562,540.3744506835938,549.7054443359375,-0.04162762841115286,-0.057895552638609016
1024,1024,1024,1024,2023-03-01,511.2346496582031,520.528076171875,543.51171875,-0.01785384293200598,-0.05938615116897494
1025,1025,1025,1025,2023-03-02,513.0595703125,519.7643432617188,556.1464233398438,-0.012899640069851226,-0.07747393711280726
1026,1026,1026,1026,2023-03-03,532.2811279296875,523.4638671875,555.8694458007812,0.016844067556298414,-0.04243499629146297
1027,1027,1027,1027,2023-03-06,538.4700927734375,513.9224853515625,561.0538940429688,0.047765194404916,-0.04025246328261234
1028,1028,1028,1028,2023-03-07,529.6131591796875,521.4901123046875,548.4676513671875,0.015576607654363306,-0.034376671332394304
1029,1029,1029,1029,2023-03-08,531.4678344726562,517.8799438476562,540.3744506835938,0.026237530119523456,-0.0164823044458714
