,Unnamed: 0.1,Unnamed: 0,Date,XEL,XEL_6m,XEL_12m
526,526,526,2021-03-09,56.8655891418457,54.12066650390625,56.79239273071289
527,527,527,2021-03-10,56.89303207397461,53.96511459350586,55.29183578491211
528,528,528,2021-03-11,56.600242614746094,53.095890045166016,56.66429138183594
529,529,529,2021-03-12,57.2252197265625,53.91022491455078,55.09053421020508
530,530,530,2021-03-15,58.13780212402344,56.13359832763672,54.75199890136719
531,531,531,2021-03-16,58.451210021972656,56.691741943359375,53.60828399658203
532,532,532,2021-03-17,57.78751373291016,56.8655891418457,54.12066650390625
533,533,533,2021-03-18,57.52019500732422,56.89303207397461,53.96511459350586
534,534,534,2021-03-19,58.064056396484375,56.600242614746094,53.095890045166016
535,535,535,2021-03-22,58.76461791992188,57.2252197265625,53.91022491455078
536,536,536,2021-03-23,60.32246780395508,58.13780212402344,56.13359832763672
537,537,537,2021-03-24,60.45151138305664,58.451210021972656,56.691741943359375
538,538,538,2021-03-25,60.83867263793945,57.78751373291016,56.8655891418457
539,539,539,2021-03-26,61.12442398071289,57.52019500732422,56.89303207397461
540,540,540,2021-03-29,61.76045608520508,58.064056396484375,56.600242614746094
541,541,541,2021-03-30,60.84788513183594,58.76461791992188,57.2252197265625
542,542,542,2021-03-31,61.30878448486328,60.32246780395508,58.13780212402344
543,543,543,2021-04-01,61.56689453125,60.45151138305664,58.451210021972656
544,544,544,2021-04-05,62.783668518066406,60.83867263793945,57.78751373291016
545,545,545,2021-04-06,62.82976150512695,61.12442398071289,57.52019500732422
546,546,546,2021-04-07,62.72835540771485,61.76045608520508,58.064056396484375
547,547,547,2021-04-08,62.42416000366211,60.84788513183594,58.76461791992188
548,548,548,2021-04-09,62.156837463378906,61.30878448486328,60.32246780395508
549,549,549,2021-04-12,62.599308013916016,61.56689453125,60.45151138305664
550,550,550,2021-04-13,63.12472534179688,62.783668518066406,60.83867263793945
551,551,551,2021-04-14,63.30908203125,62.82976150512695,61.12442398071289
552,552,552,2021-04-15,64.48898315429688,62.72835540771485,61.76045608520508
553,553,553,2021-04-16,64.8669204711914,62.42416000366211,60.84788513183594
554,554,554,2021-04-19,64.97754669189453,62.156837463378906,61.30878448486328
555,555,555,2021-04-20,65.95465087890625,62.599308013916016,61.56689453125
556,556,556,2021-04-21,65.74263000488281,63.12472534179688,62.783668518066406
557,557,557,2021-04-22,65.55827331542969,63.30908203125,62.82976150512695
558,558,558,2021-04-23,65.52140808105469,64.48898315429688,62.72835540771485
559,559,559,2021-04-26,65.07894134521484,64.8669204711914,62.42416000366211
560,560,560,2021-04-27,64.52584838867188,64.97754669189453,62.156837463378906
561,561,561,2021-04-28,64.35071563720703,65.95465087890625,62.599308013916016
562,562,562,2021-04-29,65.04206085205078,65.74263000488281,63.12472534179688
563,563,563,2021-04-30,65.72421264648438,65.55827331542969,63.30908203125
564,564,564,2021-05-03,66.01918029785156,65.52140808105469,64.48898315429688
565,565,565,2021-05-04,66.22196960449219,65.07894134521484,64.8669204711914
566,566,566,2021-05-05,65.21721649169922,64.52584838867188,64.97754669189453
567,567,567,2021-05-06,65.95465087890625,64.35071563720703,65.95465087890625
568,568,568,2021-05-07,65.74263000488281,65.04206085205078,65.74263000488281
569,569,569,2021-05-10,66.9133071899414,65.72421264648438,65.55827331542969
570,570,570,2021-05-11,65.47530364990234,66.01918029785156,65.52140808105469
571,571,571,2021-05-12,64.68257141113281,66.22196960449219,65.07894134521484
572,572,572,2021-05-13,65.55827331542969,65.21721649169922,64.52584838867188
573,573,573,2021-05-14,66.11134338378906,65.95465087890625,64.35071563720703
574,574,574,2021-05-17,65.26329803466797,65.74263000488281,65.04206085205078
575,575,575,2021-05-18,65.27249908447266,66.9133071899414,65.72421264648438
576,576,576,2021-05-19,65.0512924194336,65.47530364990234,66.01918029785156
577,577,577,2021-05-20,65.98229217529297,64.68257141113281,66.22196960449219
578,578,578,2021-05-21,66.40632629394531,65.55827331542969,65.21721649169922
579,579,579,2021-05-24,66.06525421142578,66.11134338378906,65.95465087890625
580,580,580,2021-05-25,65.66888427734375,65.26329803466797,65.74263000488281
581,581,581,2021-05-26,65.4476547241211,65.27249908447266,66.9133071899414
582,582,582,2021-05-27,64.77473449707031,65.0512924194336,65.47530364990234
583,583,583,2021-05-28,65.3370361328125,65.98229217529297,64.68257141113281
584,584,584,2021-06-01,64.52584838867188,66.40632629394531,65.55827331542969
585,585,585,2021-06-02,64.7470932006836,66.06525421142578,66.11134338378906
586,586,586,2021-06-03,64.96831512451172,65.66888427734375,65.26329803466797
587,587,587,2021-06-04,64.59959411621094,65.4476547241211,65.27249908447266
588,588,588,2021-06-07,64.63648223876953,64.77473449707031,65.0512924194336
589,589,589,2021-06-08,63.41970443725586,65.3370361328125,65.98229217529297
590,590,590,2021-06-09,63.92669677734375,64.52584838867188,66.40632629394531
591,591,591,2021-06-10,64.1847915649414,64.7470932006836,66.06525421142578
592,592,592,2021-06-11,64.1018295288086,64.96831512451172,65.66888427734375
593,593,593,2021-06-14,64.09996795654297,64.59959411621094,65.4476547241211
594,594,594,2021-06-15,64.20205688476562,64.63648223876953,64.77473449707031
595,595,595,2021-06-16,62.8751335144043,63.41970443725586,65.3370361328125
596,596,596,2021-06-17,63.42260360717773,63.92669677734375,64.52584838867188
597,597,597,2021-06-18,61.79876708984375,64.1847915649414,64.7470932006836
598,598,598,2021-06-21,62.2998275756836,64.1018295288086,64.96831512451172
599,599,599,2021-06-22,61.93794631958008,64.09996795654297,64.59959411621094
600,600,600,2021-06-23,61.45544052124024,64.20205688476562,64.63648223876953
601,601,601,2021-06-24,61.48326873779297,62.8751335144043,63.41970443725586
602,602,602,2021-06-25,62.26271057128906,63.42260360717773,63.92669677734375
603,603,603,2021-06-28,62.22560119628906,61.79876708984375,64.1847915649414
604,604,604,2021-06-29,60.972923278808594,62.2998275756836,64.1018295288086
