,Unnamed: 0.1,Unnamed: 0,Date,INTC,INTC_6m,INTC_12m
420,420,420,2020-10-05,47.012943267822266,45.42129135131836,45.76692199707031
421,421,421,2020-10-06,46.72191619873047,46.77647399902344,45.37582015991211
422,422,422,2020-10-07,47.904273986816406,46.558197021484375,45.22120666503906
423,423,423,2020-10-08,48.54094314575195,47.09481048583984,45.43038940429688
424,424,424,2020-10-09,48.04070663452149,47.51319122314453,44.40263366699219
425,425,425,2020-10-12,49.00480270385742,46.39448547363281,44.711875915527344
426,426,426,2020-10-13,48.95932769775391,47.012943267822266,45.42129135131836
427,427,427,2020-10-14,48.70465850830078,46.72191619873047,46.77647399902344
428,428,428,2020-10-15,48.977500915527344,47.904273986816406,46.558197021484375
429,429,429,2020-10-16,49.25946044921875,48.54094314575195,47.09481048583984
430,430,430,2020-10-19,49.64146423339844,48.04070663452149,47.51319122314453
431,431,431,2020-10-20,48.59552001953125,49.00480270385742,46.39448547363281
432,432,432,2020-10-21,48.65918350219727,48.95932769775391,47.012943267822266
433,433,433,2020-10-22,49.022987365722656,48.70465850830078,46.72191619873047
434,434,434,2020-10-23,43.83874130249024,48.977500915527344,47.904273986816406
435,435,435,2020-10-26,42.49264907836914,49.25946044921875,48.54094314575195
436,436,436,2020-10-27,41.510379791259766,49.64146423339844,48.04070663452149
437,437,437,2020-10-28,40.24614334106445,48.59552001953125,49.00480270385742
438,438,438,2020-10-29,40.11881256103516,48.65918350219727,48.95932769775391
439,439,439,2020-10-30,40.2734260559082,49.022987365722656,48.70465850830078
440,440,440,2020-11-02,40.43714141845703,43.83874130249024,48.977500915527344
441,441,441,2020-11-03,40.7918586730957,42.49264907836914,49.25946044921875
442,442,442,2020-11-04,41.56494903564453,41.510379791259766,49.64146423339844
443,443,443,2020-11-05,41.84894561767578,40.24614334106445,48.59552001953125
444,444,444,2020-11-06,41.5832633972168,40.11881256103516,48.65918350219727
445,445,445,2020-11-09,41.775657653808594,40.2734260559082,49.022987365722656
446,446,446,2020-11-10,41.62907409667969,40.43714141845703,43.83874130249024
447,447,447,2020-11-11,42.4627571105957,40.7918586730957,42.49264907836914
448,448,448,2020-11-12,41.18016815185547,41.56494903564453,41.510379791259766
449,449,449,2020-11-13,41.64739608764648,41.84894561767578,40.24614334106445
450,450,450,2020-11-16,42.31616973876953,41.5832633972168,40.11881256103516
451,451,451,2020-11-17,41.71152114868164,41.775657653808594,40.2734260559082
452,452,452,2020-11-18,41.280948638916016,41.62907409667969,40.43714141845703
453,453,453,2020-11-19,41.793975830078125,42.4627571105957,40.7918586730957
454,454,454,2020-11-20,41.5832633972168,41.18016815185547,41.56494903564453
455,455,455,2020-11-23,42.197078704833984,41.64739608764648,41.84894561767578
456,456,456,2020-11-24,43.0674057006836,42.31616973876953,41.5832633972168
457,457,457,2020-11-25,43.104042053222656,41.71152114868164,41.775657653808594
458,458,458,2020-11-27,43.47050476074219,41.280948638916016,41.62907409667969
459,459,459,2020-11-30,44.29501724243164,41.793975830078125,42.4627571105957
460,460,460,2020-12-01,45.403541564941406,41.5832633972168,41.18016815185547
461,461,461,2020-12-02,45.71502685546875,42.197078704833984,41.64739608764648
462,462,462,2020-12-03,46.71361541748047,43.0674057006836,42.31616973876953
463,463,463,2020-12-04,47.62974166870117,43.104042053222656,41.71152114868164
464,464,464,2020-12-07,45.98986053466797,43.47050476074219,41.280948638916016
465,465,465,2020-12-08,46.43877029418945,44.29501724243164,41.793975830078125
466,466,466,2020-12-09,45.87076568603516,45.403541564941406,41.5832633972168
467,467,467,2020-12-10,46.04482650756836,45.71502685546875,42.197078704833984
468,468,468,2020-12-11,45.55928421020508,46.71361541748047,43.0674057006836
469,469,469,2020-12-14,46.23721694946289,47.62974166870117,43.104042053222656
470,470,470,2020-12-15,46.420440673828125,45.98986053466797,43.47050476074219
471,471,471,2020-12-16,46.83269882202149,46.43877029418945,44.29501724243164
472,472,472,2020-12-17,46.40212631225586,45.87076568603516,45.403541564941406
473,473,473,2020-12-18,43.47966003417969,46.04482650756836,45.71502685546875
474,474,474,2020-12-21,42.471923828125,45.55928421020508,46.71361541748047
475,475,475,2020-12-22,42.29784393310547,46.23721694946289,47.62974166870117
476,476,476,2020-12-23,42.66430282592773,46.420440673828125,45.98986053466797
477,477,477,2020-12-24,43.12236785888672,46.83269882202149,46.43877029418945
478,478,478,2020-12-28,43.12236785888672,46.40212631225586,45.87076568603516
479,479,479,2020-12-29,45.2477912902832,43.47966003417969,46.04482650756836
480,480,480,2020-12-30,44.66146469116211,42.471923828125,45.55928421020508
481,481,481,2020-12-31,45.6417350769043,42.29784393310547,46.23721694946289
482,482,482,2021-01-04,45.50431060791016,42.66430282592773,46.420440673828125
483,483,483,2021-01-05,46.365478515625,43.12236785888672,46.83269882202149
484,484,484,2021-01-06,46.81438064575195,43.12236785888672,46.40212631225586
485,485,485,2021-01-07,47.81296157836914,45.2477912902832,43.47966003417969
486,486,486,2021-01-08,47.31826019287109,44.66146469116211,42.471923828125
487,487,487,2021-01-11,47.21748733520508,45.6417350769043,42.29784393310547
488,488,488,2021-01-12,48.77490615844727,45.50431060791016,42.66430282592773
489,489,489,2021-01-13,52.17375564575195,46.365478515625,43.12236785888672
490,490,490,2021-01-14,54.28086853027344,46.81438064575195,43.12236785888672
491,491,491,2021-01-15,52.75092697143555,47.81296157836914,45.2477912902832
492,492,492,2021-01-19,53.12653732299805,47.31826019287109,44.66146469116211
493,493,493,2021-01-20,53.74950408935547,47.21748733520508,45.6417350769043
494,494,494,2021-01-21,57.22165298461914,48.77490615844727,45.50431060791016
495,495,495,2021-01-22,51.908084869384766,52.17375564575195,46.365478515625
496,496,496,2021-01-25,50.7904052734375,54.28086853027344,46.81438064575195
497,497,497,2021-01-26,50.57967376708984,52.75092697143555,47.81296157836914
498,498,498,2021-01-27,49.09556198120117,53.12653732299805,47.31826019287109
499,499,499,2021-01-28,51.36756134033203,53.74950408935547,47.21748733520508
500,500,500,2021-01-29,50.854522705078125,57.22165298461914,48.77490615844727
501,501,501,2021-02-01,51.9355697631836,51.908084869384766,52.17375564575195
502,502,502,2021-02-02,53.13570785522461,50.7904052734375,54.28086853027344
503,503,503,2021-02-03,52.84254455566406,50.57967376708984,52.75092697143555
504,504,504,2021-02-04,54.18636322021485,49.09556198120117,53.12653732299805
505,505,505,2021-02-05,53.6241340637207,51.36756134033203,53.74950408935547
506,506,506,2021-02-08,54.52738952636719,50.854522705078125,57.22165298461914
507,507,507,2021-02-09,54.17714691162109,51.9355697631836,51.908084869384766
508,508,508,2021-02-10,54.25089645385742,53.13570785522461,50.7904052734375
509,509,509,2021-02-11,55.90993881225586,52.84254455566406,50.57967376708984
510,510,510,2021-02-12,56.96988677978516,54.18636322021485,49.09556198120117
511,511,511,2021-02-16,57.57820129394531,53.6241340637207,51.36756134033203
512,512,512,2021-02-17,57.00674819946289,54.52738952636719,50.854522705078125
513,513,513,2021-02-18,56.78554153442383,54.17714691162109,51.9355697631836
514,514,514,2021-02-19,58.07592010498047,54.25089645385742,53.13570785522461
515,515,515,2021-02-22,55.95602035522461,55.90993881225586,52.84254455566406
516,516,516,2021-02-23,56.33391189575195,56.96988677978516,54.18636322021485
517,517,517,2021-02-24,58.24182891845703,57.57820129394531,53.6241340637207
518,518,518,2021-02-25,55.67029571533203,57.00674819946289,54.52738952636719
519,519,519,2021-02-26,56.02053451538086,56.78554153442383,54.17714691162109
520,520,520,2021-03-01,57.95609664916992,58.07592010498047,54.25089645385742
521,521,521,2021-03-02,56.44451904296875,55.95602035522461,55.90993881225586
522,522,522,2021-03-03,55.20944595336914,56.33391189575195,56.96988677978516
523,523,523,2021-03-04,53.76239013671875,58.24182891845703,57.57820129394531
524,524,524,2021-03-05,55.98366928100586,55.67029571533203,57.00674819946289
525,525,525,2021-03-08,55.163360595703125,56.02053451538086,56.78554153442383
