,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,IQV,IQV_6m,IQV_12m,IQV_6m_ret,IQV_12m_ret
930,930,930,930,2022-10-13,176.2100067138672,192.4900054931641,182.88999938964844,-0.08457581336541165,-0.03652464704507696
931,931,931,931,2022-10-14,173.41000366210938,187.5399932861328,185.69000244140625,-0.0753438739995318,-0.06613171747451385
932,932,932,932,2022-10-17,181.17999267578125,180.33999633789065,181.6100006103516,0.004657848258556863,-0.002367754711332992
933,933,933,933,2022-10-18,184.3300018310547,175.91000366210938,181.13999938964844,0.04786537430309301,0.017610701403085738
934,934,934,934,2022-10-19,178.38999938964844,172.4499969482422,186.1999969482422,0.03444478136574891,-0.04194413365519378
935,935,935,935,2022-10-20,174.5800018310547,171.86000061035156,193.1000061035156,0.015826842843263078,-0.0959088746094231
936,936,936,936,2022-10-21,178.14999389648438,176.2100067138672,192.4900054931641,0.011009517670397484,-0.07449743460674885
937,937,937,937,2022-10-24,179.55999755859375,173.41000366210938,187.5399932861328,0.03546504680587903,-0.04255090121158245
938,938,938,938,2022-10-25,197.6499938964844,181.17999267578125,180.33999633789065,0.0909040837095958,0.0959853493961551
939,939,939,939,2022-10-26,202.1000061035156,184.3300018310547,175.91000366210938,0.09640321215180037,0.14888296228855968
940,940,940,940,2022-10-27,200.4199981689453,178.38999938964844,172.4499969482422,0.12349346294451102,0.16219194964148254
941,941,941,941,2022-10-28,208.1600036621093,174.5800018310547,171.86000061035156,0.19234735639166045,0.21121845061585143
942,942,942,942,2022-10-31,209.6699981689453,178.14999389648438,176.2100067138672,0.17692958379092572,0.18988701084048554
943,943,943,943,2022-11-01,209.38999938964844,179.55999755859375,173.41000366210938,0.16612832611183692,0.20748512177905454
944,944,944,944,2022-11-02,204.3500061035156,197.6499938964844,181.17999267578125,0.03389836789238765,0.12788395167449162
945,945,945,945,2022-11-03,203.8600006103516,202.1000061035156,184.3300018310547,0.008708532675325786,0.10595127535015636
946,946,946,946,2022-11-04,204.1000061035156,200.4199981689453,178.38999938964844,0.018361480731419855,0.1441224665162426
947,947,947,947,2022-11-07,207.9900054931641,208.1600036621093,174.5800018310547,-0.0008166706665759804,0.19137360128132586
948,948,948,948,2022-11-08,207.9199981689453,209.6699981689453,178.14999389648438,-0.008346449254937771,0.16710640074317973
949,949,949,949,2022-11-09,204.3099975585937,209.38999938964844,179.55999755859375,-0.024260957284791385,0.13783693660345242
950,950,950,950,2022-11-10,222.5800018310547,204.3500061035156,197.6499938964844,0.08920966568654998,0.1261320956459373
951,951,951,951,2022-11-11,226.52999877929688,203.8600006103516,202.1000061035156,0.11120375797641469,0.12088071221169705
952,952,952,952,2022-11-14,222.3600006103516,204.1000061035156,200.4199981689453,0.08946591847515606,0.10947012594477634
953,953,953,953,2022-11-15,224.3099975585937,207.9900054931641,208.1600036621093,0.07846527061112063,0.0775845196596916
954,954,954,954,2022-11-16,224.0200042724609,207.9199981689453,209.6699981689453,0.07743365835562166,0.06844091300059452
955,955,955,955,2022-11-17,211.4199981689453,204.3099975585937,209.38999938964844,0.03480006213750042,0.009694822031683037
956,956,956,956,2022-11-18,213.77999877929688,222.5800018310547,204.3500061035156,-0.0395363598677535,0.04614628037253121
957,957,957,957,2022-11-21,214.8999938964844,226.52999877929688,203.8600006103516,-0.05133980022726847,0.05415477903011556
958,958,958,958,2022-11-22,215.8999938964844,222.3600006103516,204.1000061035156,-0.029052017881522008,0.057814735130307104
959,959,959,959,2022-11-23,217.72000122070312,224.3099975585937,207.9900054931641,-0.029378968434829345,0.046781073467776935
960,960,960,960,2022-11-25,219.97999572753903,224.0200042724609,207.9199981689453,-0.0180341418974721,0.058003066875723874
961,961,961,961,2022-11-28,214.4499969482422,211.4199981689453,204.3099975585937,0.014331656444702023,0.049630461117011526
962,962,962,962,2022-11-29,212.5,213.77999877929688,222.5800018310547,-0.005987458071876617,-0.045287095642607356
963,963,963,963,2022-11-30,218.0200042724609,214.8999938964844,226.52999877929688,0.014518429337319505,-0.03756674415174066
964,964,964,964,2022-12-01,220.5500030517578,215.8999938964844,222.3600006103516,0.021537791971883546,-0.008139942227134211
965,965,965,965,2022-12-02,217.72999572753903,217.72000122070312,224.3099975585937,4.590532234005629e-05,-0.029334411763505264
966,966,966,966,2022-12-05,211.92999267578125,219.97999572753903,224.0200042724609,-0.03659425042324438,-0.05396844641595211
967,967,967,967,2022-12-06,209.8699951171875,214.4499969482422,211.4199981689453,-0.021356968506556218,-0.007331392797190417
968,968,968,968,2022-12-07,207.69000244140625,212.5,213.77999877929688,-0.022635282628676423,-0.028487212894868774
969,969,969,969,2022-12-08,210.4100036621093,218.0200042724609,214.8999938964844,-0.03490505669764765,-0.020893393959507955
970,970,970,970,2022-12-09,208.52999877929688,220.5500030517578,215.8999938964844,-0.054500131970708354,-0.0341361525036501
971,971,971,971,2022-12-12,213.13999938964844,217.72999572753903,217.72000122070312,-0.02108113915380949,-0.021036201567957602
972,972,972,972,2022-12-13,216.8000030517578,211.92999267578125,219.97999572753903,0.02297933536678265,-0.014455826609433453
973,973,973,973,2022-12-14,214.2100067138672,209.8699951171875,214.4499969482422,0.02067952397986339,-0.001119096469061387
974,974,974,974,2022-12-15,208.4100036621093,207.69000244140625,212.5,0.0034667110223862707,-0.019247041590073954
975,975,975,975,2022-12-16,203.77999877929688,210.4100036621093,218.0200042724609,-0.0315099318826082,-0.06531513262135435
