,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,CTVA,CTVA_6m,CTVA_12m,CTVA_6m_ret,CTVA_12m_ret
118,118,118,118,2019-11-11,25.24498176574707,24.71628761291504,24.89566802978516,0.021390516290794803,0.014031105152269463
119,119,119,119,2019-11-12,25.226093292236328,24.300886154174805,25.235538482666016,0.03807297940460397,-0.0003742813111031751
120,120,120,120,2019-11-13,24.282007217407227,24.225360870361328,25.27330207824707,0.0023383076664589275,-0.03922300527927691
121,121,121,121,2019-11-14,24.90510368347168,24.66908836364746,25.282745361328125,0.009567249358594543,-0.01493673540825502
122,122,122,122,2019-11-15,24.05542755126953,24.687965393066406,25.9436092376709,-0.02562130300030807,-0.072780223796297
123,123,123,123,2019-11-18,24.05542755126953,24.73517227172852,24.90510368347168,-0.02748089695885858,-0.03411654667256159
124,124,124,124,2019-11-19,24.263126373291016,25.24498176574707,24.71628761291504,-0.03889309176639044,-0.01833451878862391
125,125,125,125,2019-11-20,23.58338165283203,25.226093292236328,24.300886154174805,-0.06511954191138525,-0.029525857484810625
126,126,126,126,2019-11-21,23.70611572265625,24.282007217407227,24.225360870361328,-0.023716799422501267,-0.02143394892995598
127,127,127,127,2019-11-22,24.1120719909668,24.90510368347168,24.66908836364746,-0.031842135755940526,-0.022579528050233222
128,128,128,128,2019-11-25,24.48026657104492,24.05542755126953,24.687965393066406,0.017660838447785876,-0.008412958245632485
129,129,129,129,2019-11-26,24.43305778503418,24.05542755126953,24.73517227172852,0.01569833805530174,-0.012213963314079979
130,130,130,130,2019-11-27,24.717716217041016,24.263126373291016,25.24498176574707,0.018735831349846688,-0.02088595482455291
131,131,131,131,2019-11-29,24.68925666809082,23.58338165283203,25.226093292236328,0.04689213071892051,-0.021281005264129682
132,132,132,132,2019-12-02,23.89221954345703,23.70611572265625,24.282007217407227,0.007850456100782388,-0.016052531014436267
133,133,133,133,2019-12-03,23.38932037353516,24.1120719909668,24.90510368347168,-0.02997467897833117,-0.060862356937002926
134,134,134,134,2019-12-04,23.56960678100586,24.48026657104492,24.05542755126953,-0.037199749741131494,-0.020195890063821942
135,135,135,135,2019-12-05,23.550626754760746,24.43305778503418,24.05542755126953,-0.03611627484521984,-0.02098490228173655
136,136,136,136,2019-12-06,23.96812438964844,24.717716217041016,24.263126373291016,-0.030326095696324384,-0.012158448960943202
137,137,137,137,2019-12-09,24.45204162597656,24.68925666809082,23.58338165283203,-0.009608026896202437,0.036833562969550426
138,138,138,138,2019-12-10,24.54692649841309,23.89221954345703,23.70611572265625,0.027402517115047598,0.03546809547349272
139,139,139,139,2019-12-11,24.86005210876465,23.38932037353516,24.1120719909668,0.06288048184989625,0.031020980614111737
140,140,140,140,2019-12-12,25.600154876708984,23.56960678100586,24.48026657104492,0.08615112312096329,0.04574657315981434
141,141,141,141,2019-12-13,25.13521194458008,23.550626754760746,24.43305778503418,0.06728420463370521,0.0287378749611924
142,142,142,142,2019-12-16,26.14100456237793,23.96812438964844,24.717716217041016,0.09065708010377027,0.05758170912066962
143,143,143,143,2019-12-17,25.40089607238769,24.45204162597656,24.68925666809082,0.038804712544048714,0.028823848926023743
144,144,144,144,2019-12-18,26.397197723388672,24.54692649841309,23.89221954345703,0.07537690004063036,0.10484493394912064
145,145,145,145,2019-12-19,26.29282188415528,24.86005210876465,23.38932037353516,0.057633418028335326,0.12413791697450982
146,146,146,146,2019-12-20,26.738788604736328,25.600154876708984,23.56960678100586,0.04447761091724001,0.13446053017246062
147,147,147,147,2019-12-23,27.194231033325195,25.13521194458008,23.550626754760746,0.08191771341673926,0.15471368624310156
148,148,148,148,2019-12-24,27.336566925048828,26.14100456237793,23.96812438964844,0.04573513461650003,0.1405384284827551
149,149,149,149,2019-12-26,27.69713020324707,25.40089607238769,24.45204162597656,0.09039972937630036,0.13271237743285624
150,150,150,150,2019-12-27,27.649688720703125,26.397197723388672,24.54692649841309,0.04744787724966382,0.1264012511908823
151,151,151,151,2019-12-30,27.384010314941406,26.29282188415528,24.86005210876465,0.04150138146425819,0.10152666595927662
152,152,152,152,2019-12-31,28.048208236694336,26.738788604736328,25.600154876708984,0.04897079113472125,0.09562650584636079
153,153,153,153,2020-01-02,27.270143508911133,27.194231033325195,25.13521194458008,0.0027914918974141223,0.08493787794741103
154,154,154,154,2020-01-03,26.94753074645996,27.336566925048828,26.14100456237793,-0.014231347325197152,0.030852914705610912
155,155,155,155,2020-01-06,26.909582138061523,27.69713020324707,25.40089607238769,-0.028434283963947204,0.05939499383700353
156,156,156,156,2020-01-07,27.01395034790039,27.649688720703125,26.397197723388672,-0.022992605060566773,0.023364321886533368
157,157,157,157,2020-01-08,27.23219108581543,27.384010314941406,26.29282188415528,-0.005544083112002829,0.03572721124415468
158,158,158,158,2020-01-09,27.26065444946289,28.048208236694336,26.738788604736328,-0.028078577447279485,0.01951718353591092
159,159,159,159,2020-01-10,26.90009307861328,27.270143508911133,27.194231033325195,-0.01356980135351793,-0.010816189446631652
160,160,160,160,2020-01-13,27.11832427978516,26.94753074645996,27.336566925048828,0.006338003096912237,-0.007983542551705303
161,161,161,161,2020-01-14,27.17525863647461,26.909582138061523,27.69713020324707,0.009872932885022667,-0.018842080856134258
162,162,162,162,2020-01-15,27.213211059570312,27.01395034790039,27.649688720703125,0.00737621521857168,-0.015785988245357485
163,163,163,163,2020-01-16,27.7255973815918,27.23219108581543,27.384010314941406,0.01811849418291489,0.012473960633297532
164,164,164,164,2020-01-17,26.852649688720703,27.26065444946289,28.048208236694336,-0.014966799916655171,-0.04262513091333697
165,165,165,165,2020-01-21,26.397197723388672,26.90009307861328,27.270143508911133,-0.01869492993035149,-0.03201104479839667
166,166,166,166,2020-01-22,26.71980857849121,27.11832427978516,26.94753074645996,-0.014695439776528318,-0.0084505764224303
167,167,167,167,2020-01-23,26.99497604370117,27.17525863647461,26.909582138061523,-0.006634070909318446,0.003173364238862053
168,168,168,168,2020-01-24,26.520545959472656,27.213211059570312,27.01395034790039,-0.025453266010446063,-0.018264799559983058
169,169,169,169,2020-01-27,25.77094841003418,27.7255973815918,27.23219108581543,-0.07049979643920656,-0.053658652407972185
170,170,170,170,2020-01-28,26.15049362182617,26.852649688720703,27.26065444946289,-0.02614848348427501,-0.04072392428049709
171,171,171,171,2020-01-29,26.378217697143555,26.397197723388672,26.90009307861328,-0.000719016709425202,-0.01940050467277532
172,172,172,172,2020-01-30,27.74457359313965,26.71980857849121,27.11832427978516,0.03835225883591642,0.023093215749371065
173,173,173,173,2020-01-31,27.4409408569336,26.99497604370117,27.17525863647461,0.016520289275696154,0.00977662159588033
174,174,174,174,2020-02-03,28.579566955566406,26.520545959472656,27.213211059570312,0.0776387107279104,0.050209285960598704
175,175,175,175,2020-02-04,29.36712455749512,25.77094841003418,27.7255973815918,0.13954380297702706,0.05920619683358752
176,176,176,176,2020-02-05,30.088247299194336,26.15049362182617,26.852649688720703,0.15058047218204607,0.12049453770786456
177,177,177,177,2020-02-06,29.974384307861328,26.378217697143555,26.397197723388672,0.13633091712284995,0.1355138762060022
178,178,178,178,2020-02-07,29.45251846313477,27.74457359313965,26.71980857849121,0.06155960062826282,0.1022728092013101
179,179,179,179,2020-02-10,29.03501510620117,27.4409408569336,26.99497604370117,0.05809109307069504,0.07557106400826052
180,180,180,180,2020-02-11,28.949621200561523,28.579566955566406,26.520545959472656,0.012948210361985346,0.09159220344863406
181,181,181,181,2020-02-12,29.357629776000977,29.36712455749512,25.77094841003418,-0.0003233132844026043,0.13917537332736596
182,182,182,182,2020-02-13,29.03501510620117,30.088247299194336,26.15049362182617,-0.03500477055110385,0.11030466675273276
183,183,183,183,2020-02-14,29.13939666748047,29.974384307861328,26.378217697143555,-0.027856706973689804,0.10467647973941463
184,184,184,184,2020-02-18,29.79409980773925,29.45251846313477,27.74457359313965,0.011597695627694193,0.07387124576700588
185,185,185,185,2020-02-19,29.9079647064209,29.03501510620117,27.4409408569336,0.030065408852957276,0.089903034387538
186,186,186,186,2020-02-20,29.955406188964844,28.949621200561523,28.579566955566406,0.03474259581620398,0.048140660617338904
187,187,187,187,2020-02-21,29.623310089111328,29.357629776000977,29.36712455749512,0.009049787572685375,0.008723548371739387
188,188,188,188,2020-02-24,29.091949462890625,29.03501510620117,30.088247299194336,0.001960886070877077,-0.03311252484721461
189,189,189,189,2020-02-25,26.92855453491211,29.13939666748047,29.974384307861328,-0.07587123912677496,-0.10161442322437941
190,190,190,190,2020-02-26,27.04241752624512,29.79409980773925,29.45251846313477,-0.09235661756021096,-0.08183004587218345
191,191,191,191,2020-02-27,25.89430427551269,29.9079647064209,29.03501510620117,-0.1342003867634135,-0.10816976740672324
192,192,192,192,2020-02-28,25.80890464782715,29.955406188964844,28.949621200561523,-0.13842247756484138,-0.10848903793855014
193,193,193,193,2020-03-02,26.92439651489257,29.623310089111328,29.357629776000977,-0.09110776500330398,-0.0828824833501206
194,194,194,194,2020-03-03,26.619304656982425,29.091949462890625,29.03501510620117,-0.0849941255762966,-0.08319990330236837
195,195,195,195,2020-03-04,27.55364799499512,26.92855453491211,29.13939666748047,0.023213034300545,-0.05441940650250465
196,196,196,196,2020-03-05,26.03772354125977,27.04241752624512,29.79409980773925,-0.03715252099817923,-0.12607785738516364
197,197,197,197,2020-03-06,24.12135887145996,25.89430427551269,29.9079647064209,-0.06846854756894705,-0.19348042876747873
198,198,198,198,2020-03-09,21.995250701904297,25.80890464782715,29.955406188964844,-0.14776504458293327,-0.26573351857912575
199,199,199,199,2020-03-10,24.70294570922852,26.92439651489257,29.623310089111328,-0.08250698597590889,-0.16609772388978883
200,200,200,200,2020-03-11,23.83533477783203,26.619304656982425,29.091949462890625,-0.1045846206362171,-0.1806896678328097
201,201,201,201,2020-03-12,21.299259185791016,27.55364799499512,26.92855453491211,-0.22698950100328497,-0.20904558177539279
202,202,202,202,2020-03-13,23.66372299194336,26.03772354125977,27.04241752624512,-0.0911754265135557,-0.12494055056367215
203,203,203,203,2020-03-16,19.77379608154297,24.12135887145996,25.89430427551269,-0.18023705932508494,-0.2363650372239453
204,204,204,204,2020-03-17,21.61388397216797,21.995250701904297,25.80890464782715,-0.017338594358613513,-0.16254160077314084
205,205,205,205,2020-03-18,20.565128326416016,24.70294570922852,26.92439651489257,-0.16750299464353757,-0.23618981338946932
206,206,206,206,2020-03-19,22.1763973236084,23.83533477783203,26.619304656982425,-0.06959992253880665,-0.16690546167999254
207,207,207,207,2020-03-20,21.48040580749512,21.299259185791016,27.55364799499512,0.008504832028381148,-0.2204151765531428
208,208,208,208,2020-03-23,20.89882469177246,23.66372299194336,26.03772354125977,-0.11684122152343679,-0.19736359983022833
209,209,209,209,2020-03-24,21.28972053527832,19.77379608154297,24.12135887145996,0.07666329962562557,-0.11739132738213987
210,210,210,210,2020-03-25,22.309873580932617,21.61388397216797,21.995250701904297,0.03220104307309457,0.014304127890712337
211,211,211,211,2020-03-26,23.015399932861328,20.565128326416016,24.70294570922852,0.11914691547525758,-0.06831354431292613
212,212,212,212,2020-03-27,22.12872695922852,22.1763973236084,23.83533477783203,-0.0021495991293919436,-0.07159990973530339
213,213,213,213,2020-03-30,22.967735290527344,21.48040580749512,21.299259185791016,0.0692412190142726,0.07833493597981045
214,214,214,214,2020-03-31,22.40522003173828,20.89882469177246,23.66372299194336,0.07208038548497253,-0.053182796326408655
215,215,215,215,2020-04-01,21.46133613586425,21.28972053527832,19.77379608154297,0.008060960701741227,0.08534224017291492
216,216,216,216,2020-04-02,21.20391845703125,22.309873580932617,21.61388397216797,-0.04957245140315736,-0.01896769297293477
217,217,217,217,2020-04-03,21.56621551513672,23.015399932861328,20.565128326416016,-0.06296585859694181,0.04867886904623897
218,218,218,218,2020-04-06,23.129812240600582,22.12872695922852,22.1763973236084,0.045239171833812764,0.04299232662003227
219,219,219,219,2020-04-07,23.38723373413086,22.967735290527344,21.48040580749512,0.018264684710840084,0.08877057275940259
220,220,220,220,2020-04-08,24.8364200592041,22.40522003173828,20.89882469177246,0.10851042855289461,0.18841228755709927
221,221,221,221,2020-04-09,26.62883758544922,21.46133613586425,21.28972053527832,0.2407819073738613,0.25078380156863345
222,222,222,222,2020-04-13,25.32266426086425,21.20391845703125,22.309873580932617,0.19424455966379273,0.13504292926637418
223,223,223,223,2020-04-14,25.20825386047364,21.56621551513672,23.015399932861328,0.16887702632762225,0.09527768077066345
224,224,224,224,2020-04-15,24.321578979492188,23.129812240600582,22.12872695922852,0.05152513675833714,0.09909526310772088
225,225,225,225,2020-04-16,23.98788452148437,23.38723373413086,22.967735290527344,0.025682848779029932,0.04441662262529511
226,226,226,226,2020-04-17,24.321578979492188,24.8364200592041,22.40522003173828,-0.020729278957460684,0.08553180665216731
227,227,227,227,2020-04-20,23.482572555541992,26.62883758544922,21.46133613586425,-0.11815254871006609,0.09418036262430252
228,228,228,228,2020-04-21,23.139347076416016,25.32266426086425,21.20391845703125,-0.08621988436748007,0.09127693182308838
229,229,229,229,2020-04-22,23.778133392333984,25.20825386047364,21.56621551513672,-0.056732230485114,0.10256402546124899
230,230,230,230,2020-04-23,24.21670150756836,24.321578979492188,23.129812240600582,-0.004312116084743467,0.04699083830260942
231,231,231,231,2020-04-24,25.04617500305176,23.98788452148437,23.38723373413086,0.04411770786288183,0.07093362506143164
232,232,232,232,2020-04-27,24.36924934387207,24.321578979492188,24.8364200592041,0.0019600028608373066,-0.018809905542683247
233,233,233,233,2020-04-28,24.969900131225582,23.482572555541992,26.62883758544922,0.0633375058105623,-0.06229853063996038
234,234,234,234,2020-04-29,25.78983497619629,23.139347076416016,25.32266426086425,0.11454462785951702,0.018448718923073315
235,235,235,235,2020-04-30,24.969900131225582,23.778133392333984,25.20825386047364,0.050120281488361895,-0.009455384358128649
236,236,236,236,2020-05-01,24.3025131225586,24.21670150756836,24.321578979492188,0.0035434889827345994,-0.0007839070378474755
237,237,237,237,2020-05-04,24.23577308654785,25.04617500305176,23.98788452148437,-0.03235631454324528,0.01033390688709801
238,238,238,238,2020-05-05,24.96036720275879,24.36924934387207,24.321578979492188,0.024256711831600164,0.026264257917022027
239,239,239,239,2020-05-06,23.84486961364746,24.969900131225582,23.482572555541992,-0.045055467249195735,0.015428337642672929
240,240,240,240,2020-05-07,25.217792510986328,25.78983497619629,23.139347076416016,-0.02218092770806601,0.0898229940415518
241,241,241,241,2020-05-08,24.769681930541992,24.969900131225582,23.778133392333984,-0.008018382117324196,0.04170001580223626
242,242,242,242,2020-05-11,23.24422264099121,24.3025131225586,24.21670150756836,-0.043546545010813786,-0.04015736273056114
