,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,T,T_6m,T_12m,T_6m_ret,T_12m_ret
109,109,109,109,2019-07-12,17.829126358032227,17.64902687072754,16.906291961669922,0.010204499580846571,0.0545852631939967
110,110,110,110,2019-07-15,17.860916137695312,17.815229415893555,16.89590072631836,0.0025644756368390365,0.05711535756562358
111,111,111,111,2019-07-16,17.792036056518555,17.789262771606445,17.129629135131836,0.00015589656230918791,0.038670243013502414
112,112,112,112,2019-07-17,17.622488021850586,17.770843505859375,17.404909133911133,-0.008348252234615328,0.01250100682890265
113,113,113,113,2019-07-18,17.53241539001465,17.88741111755371,17.363359451293945,-0.019846121118706206,0.009736361168754426
114,114,114,114,2019-07-19,17.373464584350586,17.728458404541016,17.576309204101562,-0.020023953131734218,-0.01154079718304235
115,115,115,115,2019-07-22,17.023767471313477,17.829126358032227,17.64902687072754,-0.04517096746896554,-0.03542741500672253
116,116,116,116,2019-07-23,17.00257682800293,17.860916137695312,17.815229415893555,-0.048056846752718596,-0.04561561172856021
117,117,117,117,2019-07-24,17.611892700195312,17.792036056518555,17.789262771606445,-0.010124943303340572,-0.009970625184885895
118,118,118,118,2019-07-25,17.913902282714844,17.622488021850586,17.770843505859375,0.016536499301513352,0.008050196199651305
119,119,119,119,2019-07-26,18.09404945373535,17.53241539001465,17.88741111755371,0.03203403816456318,0.011552165644521661
120,120,120,120,2019-07-29,18.19471740722656,17.373464584350586,17.728458404541016,0.047270526778851574,0.026300030834385257
121,121,121,121,2019-07-30,18.109941482543945,17.023767471313477,17.829126358032227,0.06380338623990056,0.01575035808668268
122,122,122,122,2019-07-31,18.041059494018555,17.00257682800293,17.860916137695312,0.06107795756612977,0.010085896766686586
123,123,123,123,2019-08-01,18.078149795532227,17.611892700195312,17.792036056518555,0.026473991369010852,0.016081000404045698
124,124,124,124,2019-08-02,18.10464096069336,17.913902282714844,17.622488021850586,0.010647522520124575,0.02736009457035471
125,125,125,125,2019-08-05,17.744354248046875,18.09404945373535,17.53241539001465,-0.019326530889760885,0.012088400446691017
126,126,126,126,2019-08-06,17.993379592895508,18.19471740722656,17.373464584350586,-0.011065729124821955,0.03568171480910731
127,127,127,127,2019-08-07,18.046361923217773,18.109941482543945,17.023767471313477,-0.003510754542606076,0.06006863366921911
128,128,128,128,2019-08-08,18.300683975219727,18.041059494018555,17.00257682800293,0.014390755780570919,0.076347671317611
129,129,129,129,2019-08-09,18.300683975219727,18.078149795532227,17.611892700195312,0.012309566089694357,0.03910944080512002
130,130,130,130,2019-08-12,18.268892288208008,18.10464096069336,17.913902282714844,0.009072332772091407,0.019816453159716918
131,131,131,131,2019-08-13,18.47023200988769,17.744354248046875,18.09404945373535,0.040907533274743724,0.020790401679524617
132,132,132,132,2019-08-14,18.06225776672364,17.993379592895508,18.19471740722656,0.0038279731427066643,-0.007280115296009471
133,133,133,133,2019-08-15,18.19471740722656,18.046361923217773,18.109941482543945,0.008220797335218855,0.004681181591024375
134,134,134,134,2019-08-16,18.52851867675781,18.300683975219727,18.041059494018555,0.012449518381202784,0.02701943214038338
135,135,135,135,2019-08-19,18.74574851989746,18.300683975219727,18.078149795532227,0.024319557961897997,0.036928487257596565
136,136,136,136,2019-08-20,18.533815383911133,18.268892288208008,18.10464096069336,0.014501322331082145,0.023705215924996637
137,137,137,137,2019-08-21,18.62918281555176,18.47023200988769,17.744354248046875,0.008605782839055776,0.04986535746164322
138,138,138,138,2019-08-22,18.751049041748047,18.06225776672364,17.993379592895508,0.038134284424474085,0.04210823458377422
139,139,139,139,2019-08-23,18.44904136657715,18.19471740722656,18.046361923217773,0.013977901038989327,0.022313607865821483
140,140,140,140,2019-08-26,18.507322311401367,18.52851867675781,18.300683975219727,-0.0011439859670503427,0.011291290339827897
141,141,141,141,2019-08-27,18.39605712890625,18.74574851989746,18.300683975219727,-0.018654437331218632,0.005211452960756313
142,142,142,142,2019-08-28,18.523218154907227,18.533815383911133,18.268892288208008,-0.0005717780599620026,0.013921252733170908
143,143,143,143,2019-08-29,18.623884201049805,18.62918281555176,18.47023200988769,-0.00028442549275609075,0.008318909642275107
144,144,144,144,2019-08-30,18.682167053222656,18.751049041748047,18.06225776672364,-0.0036735005263988096,0.034320697584168336
145,145,145,145,2019-09-03,18.74574851989746,18.44904136657715,18.19471740722656,0.016082524149890753,0.030285225119904613
146,146,146,146,2019-09-04,18.925893783569336,18.507322311401367,18.52851867675781,0.022616533344216316,0.021446674380396935
147,147,147,147,2019-09-05,19.015968322753903,18.39605712890625,18.74574851989746,0.03369804678816579,0.014414991354952722
148,148,148,148,2019-09-06,19.20671272277832,18.523218154907227,18.533815383911133,0.03689934233647296,0.03630646604213594
149,149,149,149,2019-09-09,19.492822647094727,18.623884201049805,18.62918281555176,0.04665720838169407,0.04635951238945335
150,150,150,150,2019-09-10,19.9113998413086,18.682167053222656,18.751049041748047,0.06579712003345484,0.06188191375197749
151,151,151,151,2019-09-11,20.526012420654297,18.74574851989746,18.44904136657715,0.09496894183058058,0.1125788062809514
152,152,152,152,2019-09-12,20.335268020629883,18.925893783569336,18.507322311401367,0.07446804114921668,0.09876878342916284
153,153,153,153,2019-09-13,20.08624649047852,19.015968322753903,18.39605712890625,0.05628312739898478,0.09187780564762571
154,154,154,154,2019-09-16,19.768341064453125,19.20671272277832,18.523218154907227,0.029241252773502424,0.06721957810641221
155,155,155,155,2019-09-17,19.688865661621094,19.492822647094727,18.623884201049805,0.010057189667992184,0.057183638443760065
156,156,156,156,2019-09-18,19.47693252563477,19.9113998413086,18.682167053222656,-0.021820028683893766,0.04254139630311338
157,157,157,157,2019-09-19,19.683565139770508,20.526012420654297,18.74574851989746,-0.04104291002163074,0.05002823007454804
