,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,APH,APH_6m,APH_12m,APH_6m_ret,APH_12m_ret
32,32,32,32,2019-03-22,45.05982208251953,44.84661102294922,44.71823120117188,0.004754229019918732,0.007638738656968513
33,33,33,33,2019-03-25,44.88824462890625,45.36963653564453,44.3996696472168,-0.01061044221414642,0.011004022903131627
34,34,34,34,2019-03-26,45.040771484375,45.4840202331543,44.15242767333984,-0.009745153275967477,0.020119931289113824
35,35,35,35,2019-03-27,44.66899490356445,45.61748504638672,44.68020248413086,-0.020792249766899307,-0.0002508399681131479
36,36,36,36,2019-03-28,44.81198501586914,45.37915802001953,44.694454193115234,-0.012498535206408534,0.0026296511474572792
37,37,37,37,2019-03-29,45.01216506958008,46.022605895996094,44.90366744995117,-0.021955315366093187,0.0024162306954067514
38,38,38,38,2019-04-01,46.61838150024414,45.05982208251953,44.84661102294922,0.03458867225153184,0.039507343740829315
39,39,39,39,2019-04-02,47.54779052734375,44.88824462890625,45.36963653564453,0.05924815996758448,0.048009068575807445
40,40,40,40,2019-04-03,48.100677490234375,45.040771484375,45.4840202331543,0.06793635865941772,0.05752915515530299
41,41,41,41,2019-04-04,48.47720718383789,44.66899490356445,45.61748504638672,0.08525404004488935,0.0626891669837395
42,42,42,42,2019-04-05,48.94905853271485,44.81198501586914,45.37915802001953,0.09232069312217828,0.07866828448250218
43,43,43,43,2019-04-08,48.9919548034668,45.01216506958008,46.022605895996094,0.08841586997058992,0.06451935629592476
44,44,44,44,2019-04-09,48.34375,46.61838150024414,45.05982208251953,0.037010476216271515,0.07287929169952112
45,45,45,45,2019-04-10,48.553466796875,47.54779052734375,44.88824462890625,0.021150851772027357,0.0816521607888514
46,46,46,46,2019-04-11,49.05392074584961,48.100677490234375,45.040771484375,0.019817667969619812,0.08910036682801503
47,47,47,47,2019-04-12,49.46857452392578,48.47720718383789,44.66899490356445,0.020450174374286423,0.10744767440420588
48,48,48,48,2019-04-15,49.5162467956543,48.94905853271485,44.81198501586914,0.011587317099477357,0.10497775936770593
49,49,49,49,2019-04-16,49.36848449707031,48.9919548034668,45.01216506958008,0.007685541332530521,0.09678093512623098
50,50,50,50,2019-04-17,49.56866455078125,48.34375,46.61838150024414,0.025337598981900467,0.063285831802669
51,51,51,51,2019-04-18,49.84035110473633,48.553466796875,47.54779052734375,0.026504478315524826,0.04821592237969874
52,52,52,52,2019-04-22,49.52577209472656,49.05392074584961,48.100677490234375,0.00961903435449396,0.029627329153139703
53,53,53,53,2019-04-23,50.22640609741211,49.46857452392578,48.47720718383789,0.015319454437074942,0.03608291432591848
54,54,54,54,2019-04-24,48.8632698059082,49.5162467956543,48.94905853271485,-0.013187126084915679,-0.0017526123970149632
55,55,55,55,2019-04-25,47.96245193481445,49.36848449707031,48.9919548034668,-0.028480367112328486,-0.02101371281840536
56,56,56,56,2019-04-26,47.64788436889648,49.56866455078125,48.34375,-0.0387498876415564,-0.014394117773311343
57,57,57,57,2019-04-29,47.14743041992188,49.84035110473633,48.553466796875,-0.05403093327242914,-0.02895851665619098
58,58,58,58,2019-04-30,47.45246505737305,49.52577209472656,49.05392074584961,-0.041863194649201185,-0.03264684380222671
59,59,59,59,2019-05-01,47.6240463256836,50.22640609741211,49.46857452392578,-0.05181258174597114,-0.03728686779422086
60,60,60,60,2019-05-02,47.25228500366211,48.8632698059082,49.5162467956543,-0.03296923862535506,-0.04572159520359442
61,61,61,61,2019-05-03,47.66695022583008,47.96245193481445,49.36848449707031,-0.006161105136701317,-0.034466001712918914
62,62,62,62,2019-05-06,46.89481735229492,47.64788436889648,49.56866455078125,-0.015804836386253962,-0.053942288393649784
63,63,63,63,2019-05-07,45.88437271118164,47.14743041992188,49.84035110473633,-0.026789534392240077,-0.07937300411952253
64,64,64,64,2019-05-08,45.07413482666016,47.45246505737305,49.52577209472656,-0.050120267257714235,-0.08988526740283576
65,65,65,65,2019-05-09,44.92637252807617,47.6240463256836,50.22640609741211,-0.05664520354190439,-0.1055228510488434
66,66,66,66,2019-05-10,45.1456184387207,47.25228500366211,48.8632698059082,-0.04458337971969262,-0.07608273826034428
67,67,67,67,2019-05-13,43.92547225952149,47.66695022583008,47.96245193481445,-0.07849207781455947,-0.08416958500744709
68,68,68,68,2019-05-14,43.9921989440918,46.89481735229492,47.64788436889648,-0.06189635810706651,-0.07672293268053332
69,69,69,69,2019-05-15,44.44498825073242,45.88437271118164,47.14743041992188,-0.03136981885988499,-0.05731897041089984
70,70,70,70,2019-05-16,44.363956451416016,45.07413482666016,47.45246505737305,-0.015755784952395713,-0.06508636805744084
71,71,71,71,2019-05-17,43.668094635009766,44.92637252807617,47.6240463256836,-0.028007555969048248,-0.08306626580237464
72,72,72,72,2019-05-20,42.75775146484375,45.1456184387207,47.25228500366211,-0.05289255206722154,-0.09511780305375772
73,73,73,73,2019-05-21,43.50126647949219,43.92547225952149,47.66695022583008,-0.00965739827503731,-0.08739144683270639
74,74,74,74,2019-05-22,43.17240524291992,43.9921989440918,46.89481735229492,-0.01863497894737476,-0.07937789972419695
75,75,75,75,2019-05-23,42.65288162231445,44.44498825073242,45.88437271118164,-0.04032190577502148,-0.07042683375465875
76,76,76,76,2019-05-24,42.66242218017578,44.363956451416016,45.07413482666016,-0.03835397938647833,-0.05350546728759209
77,77,77,77,2019-05-28,42.3001823425293,43.668094635009766,44.92637252807617,-0.03132521132222199,-0.05845542468192089
78,78,78,78,2019-05-29,41.75684356689453,42.75775146484375,45.1456184387207,-0.02340880574068971,-0.07506320633144037
79,79,79,79,2019-05-30,42.18104553222656,43.50126647949219,43.92547225952149,-0.03034902323793298,-0.03971332890830326
80,80,80,80,2019-05-31,41.46610641479492,43.17240524291992,43.9921989440918,-0.039522904006021875,-0.0574213744693054
81,81,81,81,2019-06-03,41.53282928466797,42.65288162231445,44.44498825073242,-0.026259710834179883,-0.06552277502326631
82,82,82,82,2019-06-04,42.69102096557617,42.66242218017578,44.363956451416016,0.0006703507194132374,-0.037709339284739296
83,83,83,83,2019-06-05,43.272499084472656,42.3001823425293,43.668094635009766,0.022986112307269657,-0.00905914384045392
84,84,84,84,2019-06-06,43.81585693359375,41.75684356689453,42.75775146484375,0.04930960270980922,0.024746518058134992
85,85,85,85,2019-06-07,44.41638946533203,42.18104553222656,43.50126647949219,0.052994038078018946,0.02103669754698423
86,86,86,86,2019-06-10,44.87393569946289,41.46610641479492,43.17240524291992,0.08218348862028857,0.03941245448264685
87,87,87,87,2019-06-11,45.53644943237305,41.53282928466797,42.65288162231445,0.09639651852909115,0.0676054629929157
88,88,88,88,2019-06-12,45.49831771850586,42.69102096557617,42.66242218017578,0.06575848244981874,0.06647291441524983
89,89,89,89,2019-06-13,46.17988586425781,43.272499084472656,42.3001823425293,0.06718786391582365,0.091718364008748
90,90,90,90,2019-06-14,44.94544219970703,43.81585693359375,41.75684356689453,0.025780284699789213,0.07636110300589083
91,91,91,91,2019-06-17,44.56414031982422,44.41638946533203,42.18104553222656,0.0033264940322874637,0.05649681646171989
92,92,92,92,2019-06-18,44.96070098876953,44.87393569946289,41.46610641479492,0.001933534198732545,0.08427592740483947
93,93,93,93,2019-06-19,45.118385314941406,45.53644943237305,41.53282928466797,-0.009180867692649475,0.08633064715379413
94,94,94,94,2019-06-20,45.81119155883789,45.49831771850586,42.69102096557617,0.006876602389296105,0.07308727977664575
95,95,95,95,2019-06-21,45.63441848754883,46.17988586425781,43.272499084472656,-0.01181179568767976,0.05458245890687863
96,96,96,96,2019-06-24,45.68696975708008,44.94544219970703,43.81585693359375,0.016498392741987056,0.042704010703753736
97,97,97,97,2019-06-25,45.2903938293457,44.56414031982422,44.41638946533203,0.016296814082115585,0.019677519369192487
98,98,98,98,2019-06-26,45.59618377685547,44.96070098876953,44.87393569946289,0.014134183278073698,0.016095046403545643
99,99,99,99,2019-06-27,45.7012939453125,45.118385314941406,45.53644943237305,0.012919536599153458,0.0036200563503367977
100,100,100,100,2019-06-28,45.8398551940918,45.81119155883789,45.49831771850586,0.0006256906724875222,0.007506595687757134
101,101,101,101,2019-07-01,46.76200866699219,45.63441848754883,46.17988586425781,0.02470920451744152,0.012605548754396567
102,102,102,102,2019-07-02,47.01046371459961,45.68696975708008,44.94544219970703,0.028968740202219845,0.045945070597303905
103,103,103,103,2019-07-03,47.35446166992188,45.2903938293457,44.56414031982422,0.045574075782021106,0.06261360210412037
104,104,104,104,2019-07-05,46.97702026367188,45.59618377685547,44.96070098876953,0.030284036347737464,0.04484625974595002
105,105,105,105,2019-07-08,46.61388397216797,45.7012939453125,45.118385314941406,0.01996858180749772,0.03314610323014633
106,106,106,106,2019-07-09,46.62344741821289,45.8398551940918,45.81119155883789,0.017094125206182698,0.017730511513366132
107,107,107,107,2019-07-10,46.59477615356445,46.76200866699219,45.63441848754883,-0.0035762474323687288,0.02104459085586141
108,108,108,108,2019-07-11,46.29854202270508,47.01046371459961,45.68696975708008,-0.015143898520478483,0.013386142019852887
109,109,109,109,2019-07-12,47.3258056640625,47.35446166992188,45.2903938293457,-0.0006051384568390716,0.04494135869929128
110,110,110,110,2019-07-15,47.30669403076172,46.97702026367188,45.59618377685547,0.0070177666705859565,0.03751432931925547
111,111,111,111,2019-07-16,46.75244140625,46.61388397216797,45.7012939453125,0.002972449885634054,0.02300038730184162
112,112,112,112,2019-07-17,46.34154510498047,46.62344741821289,45.8398551940918,-0.006046363554023659,0.01094440435652455
113,113,113,113,2019-07-18,46.08831024169922,46.59477615356445,46.76200866699219,-0.010869585684799787,-0.014406960789272283
114,114,114,114,2019-07-19,46.17430877685547,46.29854202270508,47.01046371459961,-0.002683307949280178,-0.017786570726475603
115,115,115,115,2019-07-22,46.4179916381836,47.3258056640625,47.35446166992188,-0.0191822202103209,-0.01977575076802318
116,116,116,116,2019-07-23,46.99612808227539,47.30669403076172,46.97702026367188,-0.0065649471993197706,0.00040674820361652486
117,117,117,117,2019-07-24,44.1389045715332,46.75244140625,46.61388397216797,-0.05590161189673004,-0.05309532675098505
118,118,118,118,2019-07-25,44.846038818359375,46.34154510498047,46.62344741821289,-0.03227139456039341,-0.0381226335305096
119,119,119,119,2019-07-26,45.52450942993164,46.08831024169922,46.59477615356445,-0.0122330545166629,-0.022969671967207006
120,120,120,120,2019-07-29,45.81596755981445,46.17430877685547,46.29854202270508,-0.0077606189791114,-0.010423102797793682
121,121,121,121,2019-07-30,45.27606201171875,46.4179916381836,47.3258056640625,-0.024601013231375868,-0.04331133138849552
122,122,122,122,2019-07-31,44.58803939819336,46.99612808227539,47.30669403076172,-0.051240150675098795,-0.057468708990751405
123,123,123,123,2019-08-01,43.38397979736328,44.1389045715332,46.75244140625,-0.01710338717052806,-0.07204889215553167
124,124,124,124,2019-08-02,42.56695556640625,44.846038818359375,46.34154510498047,-0.05082016855901439,-0.0814515254082141
125,125,125,125,2019-08-05,41.19088745117188,45.52450942993164,46.08831024169922,-0.09519316150852297,-0.10626171289083852
