,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,SWKS,SWKS_6m,SWKS_12m,SWKS_6m_ret,SWKS_12m_ret
66,66,66,66,2019-05-10,75.41384887695312,82.93148040771484,82.11849975585938,-0.09064870775009559,-0.08164604685715604
67,67,67,67,2019-05-13,69.99713134765625,80.01758575439453,80.86709594726562,-0.12522815219013228,-0.13441764505427278
68,68,68,68,2019-05-14,71.3490219116211,79.03107452392578,79.48780059814453,-0.09720293768723887,-0.10239028662611427
69,69,69,69,2019-05-15,71.93363952636719,76.31816101074219,79.28684997558594,-0.05745056519060854,-0.09274186641899573
70,70,70,70,2019-05-16,67.58563995361328,76.78399658203125,80.5473861694336,-0.11979523127050329,-0.16092075525026883
71,71,71,71,2019-05-17,64.31551361083984,76.40037536621094,80.82142639160156,-0.1581780416319235,-0.20422694225645222
72,72,72,72,2019-05-20,62.46034622192383,75.41384887695312,82.93148040771484,-0.17176556889656325,-0.24684394979022528
73,73,73,73,2019-05-21,64.04915618896484,69.99713134765625,80.01758575439453,-0.08497455601643833,-0.1995615015734552
74,74,74,74,2019-05-22,62.94710922241211,71.3490219116211,79.03107452392578,-0.11775792385235917,-0.20351444540519859
75,75,75,75,2019-05-23,62.87361907958984,71.93363952636719,76.31816101074219,-0.12594970178669207,-0.17616438542406654
76,76,76,76,2019-05-24,63.85631942749024,67.58563995361328,76.78399658203125,-0.05517918493754914,-0.16836421298714088
77,77,77,77,2019-05-28,62.46034622192383,64.31551361083984,76.40037536621094,-0.028844788523982867,-0.18246021799589573
78,78,78,78,2019-05-29,62.94710922241211,62.46034622192383,75.41384887695312,0.007793152454819818,-0.1653110117066432
79,79,79,79,2019-05-30,62.69913101196289,64.04915618896484,69.99713134765625,-0.021077954142267874,-0.1042614203637321
80,80,80,80,2019-05-31,61.19294357299805,62.94710922241211,71.3490219116211,-0.0278672947984957,-0.1423436238720024
81,81,81,81,2019-06-03,61.45928192138672,62.87361907958984,71.93363952636719,-0.022494922018291175,-0.1456113950850646
82,82,82,82,2019-06-04,63.736907958984375,63.85631942749024,67.58563995361328,-0.0018700023674471655,-0.05694600209852929
83,83,83,83,2019-06-05,62.41442108154297,62.46034622192383,64.31551361083984,-0.0007352687450320472,-0.029558848597556087
84,84,84,84,2019-06-06,63.76446533203125,62.94710922241211,62.46034622192383,0.012984807717399072,0.020879152758357167
85,85,85,85,2019-06-07,64.42572021484375,62.69913101196289,64.04915618896484,0.027537689518398967,0.005879297219278268
86,86,86,86,2019-06-10,67.1349868774414,61.19294357299805,62.94710922241211,0.09710340698605235,0.06653010291913808
87,87,87,87,2019-06-11,67.93401336669922,61.45928192138672,62.87361907958984,0.10534993646027968,0.08048517583668247
88,88,88,88,2019-06-12,66.73090362548828,63.736907958984375,63.85631942749024,0.04697428479634724,0.04501644040512187
89,89,89,89,2019-06-13,67.3646011352539,62.41442108154297,62.46034622192383,0.07931147910902903,0.0785178951122858
90,90,90,90,2019-06-14,65.94107055664062,63.76446533203125,62.94710922241211,0.03413508155797218,0.047563126745819195
91,91,91,91,2019-06-17,66.52887725830078,64.42572021484375,62.69913101196289,0.03264468036125212,0.061081328951866576
92,92,92,92,2019-06-18,69.54121398925781,67.1349868774414,61.19294357299805,0.03584162630744392,0.1364253773198698
93,93,93,93,2019-06-19,69.3667221069336,67.93401336669922,61.45928192138672,0.021089711460160476,0.1286614476827337
