,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,JBHT,JBHT_6m,JBHT_12m,JBHT_6m_ret,JBHT_12m_ret
21,21,21,21,2019-03-07,97.71484375,102.614990234375,109.13572692871094,-0.04775273547444625,-0.10464843640223542
22,22,22,22,2019-03-08,97.59980010986328,103.24787902832033,109.11653137207033,-0.054704067256508115,-0.10554524706193957
23,23,23,23,2019-03-11,100.31356811523438,102.81637573242188,106.87264251708984,-0.024342499911697124,-0.06137281017269336
24,24,24,24,2019-03-12,99.62313079833984,101.7327651977539,104.62875366210938,-0.020737020126340155,-0.047841751799269305
25,25,25,25,2019-03-13,101.09030151367188,98.6258544921875,102.97938537597656,0.02498783948867689,-0.018344291485209996
26,26,26,26,2019-03-14,99.86284637451172,98.99983215332033,103.56434631347656,0.008717330145114222,-0.03574106408938127
27,27,27,27,2019-03-15,99.057373046875,97.71484375,102.614990234375,0.013739256446132275,-0.03466956610700167
28,28,28,28,2019-03-18,99.853271484375,97.59980010986328,103.24787902832033,0.02308889333764097,-0.03287823029288772
29,29,29,29,2019-03-19,96.3723602294922,100.31356811523438,102.81637573242188,-0.039288881452354874,-0.06267499177076741
30,30,30,30,2019-03-20,95.5956573486328,99.62313079833984,101.7327651977539,-0.040427091755022015,-0.06032577446598886
31,31,31,31,2019-03-21,95.95043182373048,101.09030151367188,98.6258544921875,-0.05084434028764129,-0.027126991012979773
32,32,32,32,2019-03-22,93.533935546875,99.86284637451172,98.99983215332033,-0.06337603080030041,-0.05521117043895929
33,33,33,33,2019-03-25,92.6229476928711,99.057373046875,97.71484375,-0.06495655150232049,-0.05210974977513494
34,34,34,34,2019-03-26,94.06134033203124,99.853271484375,97.59980010986328,-0.05800442054870569,-0.036254785090225394
35,35,35,35,2019-03-27,95.02987670898438,96.3723602294922,100.31356811523438,-0.013930171652027257,-0.052671752241734704
36,36,36,36,2019-03-28,96.83267211914062,95.5956573486328,99.62313079833984,0.01294007285285459,-0.028010148414706504
37,37,37,37,2019-03-29,97.12992095947266,95.95043182373048,101.09030151367188,0.012292692313349951,-0.03917666180532264
38,38,38,38,2019-04-01,99.20120239257812,93.533935546875,99.86284637451172,0.06059048849562143,-0.006625526969782691
39,39,39,39,2019-04-02,98.98065948486328,92.6229476928711,99.057373046875,0.06864078449623268,-0.0007744356593770707
40,40,40,40,2019-04-03,99.2874984741211,94.06134033203124,99.853271484375,0.055561170228297874,-0.005666043804508081
41,41,41,41,2019-04-04,99.99710845947266,95.02987670898438,96.3723602294922,0.0522702114588629,0.03761190678892601
42,42,42,42,2019-04-05,100.38069152832033,96.83267211914062,95.5956573486328,0.03664072602286872,0.0500549325398405
43,43,43,43,2019-04-08,99.73819732666016,97.12992095947266,95.95043182373048,0.026853479766299815,0.03947627364395956
44,44,44,44,2019-04-09,98.76969146728516,99.20120239257812,93.533935546875,-0.004349855796962121,0.05597707281103581
45,45,45,45,2019-04-10,98.1751480102539,98.98065948486328,92.6229476928711,-0.008138069384479696,0.05994411164491753
46,46,46,46,2019-04-11,100.39986419677734,99.2874984741211,94.06134033203124,0.01120348220824785,0.067387131018668
47,47,47,47,2019-04-12,102.29854583740234,99.99710845947266,95.02987670898438,0.023015039268484694,0.07648825169664542
48,48,48,48,2019-04-15,101.16699981689452,100.38069152832033,96.83267211914062,0.007833262319699719,0.044761004761089795
49,49,49,49,2019-04-16,96.16141510009766,99.73819732666016,97.12992095947266,-0.03586170917896092,-0.009971241094483219
50,50,50,50,2019-04-17,94.46409606933594,98.76969146728516,99.20120239257812,-0.04359227343921934,-0.04775250913285911
51,51,51,51,2019-04-18,93.21749114990234,98.1751480102539,98.98065948486328,-0.050498083892206225,-0.05822519636618784
52,52,52,52,2019-04-22,94.56958770751952,100.39986419677734,99.2874984741211,-0.058070561508239305,-0.04751767180267197
53,53,53,53,2019-04-23,93.96544647216795,102.29854583740234,99.99710845947266,-0.081458629709941,-0.06031836400298762
54,54,54,54,2019-04-24,94.45450592041016,101.16699981689452,100.38069152832033,-0.06635062726613938,-0.05903710681489194
55,55,55,55,2019-04-25,92.87227630615234,96.16141510009766,99.73819732666016,-0.03420435099173136,-0.06883943368277168
56,56,56,56,2019-04-26,94.28189849853516,94.46409606933594,98.76969146728516,-0.0019287494231358115,-0.04543694429010603
57,57,57,57,2019-04-29,91.6832046508789,93.21749114990234,98.1751480102539,-0.016459212537228263,-0.06612613773392984
58,58,58,58,2019-04-30,90.59961700439452,94.56958770751952,100.39986419677734,-0.041979359320071685,-0.09761215586083827
59,59,59,59,2019-05-01,88.03929138183594,93.96544647216795,102.29854583740234,-0.06306738607459617,-0.13938863293551285
60,60,60,60,2019-05-02,90.8569107055664,94.45450592041016,101.16699981689452,-0.03808812697485475,-0.10191158312482018
61,61,61,61,2019-05-03,92.28015899658205,92.87227630615234,96.16141510009766,-0.006375608880505812,-0.0403618863083024
62,62,62,62,2019-05-06,92.96292114257812,94.28189849853516,94.46409606933594,-0.013989719945844414,-0.01589148670470486
63,63,63,63,2019-05-07,92.30900573730467,91.6832046508789,93.21749114990234,0.0068256894903353516,-0.009745868520927514
64,64,64,64,2019-05-08,91.62623596191406,90.59961700439452,94.56958770751952,0.0113313829733932,-0.031123660544111864
65,65,65,65,2019-05-09,91.7416534423828,88.03929138183594,93.96544647216795,0.042053519541511486,-0.023666072085804735
66,66,66,66,2019-05-10,91.4146728515625,90.8569107055664,94.45450592041016,0.0061389072296722524,-0.03218303922323307
67,67,67,67,2019-05-13,89.95297241210938,92.28015899658205,92.87227630615234,-0.025218710173211423,-0.03143353442118202
68,68,68,68,2019-05-14,91.96282958984376,92.96292114257812,94.28189849853516,-0.010757961781348357,-0.024597180854683653
69,69,69,69,2019-05-15,91.87627410888672,92.30900573730467,91.6832046508789,-0.004687859271818362,0.0021058323467531004
70,70,70,70,2019-05-16,92.84751892089844,91.62623596191406,90.59961700439452,0.013328965728680808,0.024811384317384944
71,71,71,71,2019-05-17,92.33783721923828,91.7416534423828,88.03929138183594,0.006498506997477449,0.04882531162999815
72,72,72,72,2019-05-20,93.74188995361328,91.4146728515625,90.8569107055664,0.02545780703968248,0.031752997385042336
73,73,73,73,2019-05-21,92.0782241821289,89.95297241210938,92.28015899658205,0.023626253952820253,-0.002188279871305987
74,74,74,74,2019-05-22,89.36634063720703,91.96282958984376,92.96292114257812,-0.028234113328364674,-0.03868833359759627
75,75,75,75,2019-05-23,87.53921508789062,91.87627410888672,92.30900573730467,-0.0472054299443625,-0.05167199680373591
76,76,76,76,2019-05-24,85.83709716796875,92.84751892089844,91.62623596191406,-0.07550467513194647,-0.06318210863045448
77,77,77,77,2019-05-28,82.4713134765625,92.33783721923828,91.7416534423828,-0.10685244575579167,-0.10104832012475573
78,78,78,78,2019-05-29,81.58658599853516,93.74188995361328,91.4146728515625,-0.12966779271351359,-0.10751104331999317
79,79,79,79,2019-05-30,82.22127532958984,92.0782241821289,89.95297241210938,-0.10704972799043355,-0.08595265809669561
80,80,80,80,2019-05-31,81.87506866455078,89.36634063720703,91.96282958984376,-0.08382654945073709,-0.10969389448198386
81,81,81,81,2019-06-03,82.01931762695312,87.53921508789062,91.87627410888672,-0.06305628232324734,-0.1072851133498478
82,82,82,82,2019-06-04,85.09662628173828,85.83709716796875,92.84751892089844,-0.008626467001574989,-0.08347980354503104
83,83,83,83,2019-06-05,85.07738494873047,82.4713134765625,92.33783721923828,0.031599732832054306,-0.07862922166207209
84,84,84,84,2019-06-06,84.37538146972656,81.58658599853516,93.74188995361328,0.03418203417950938,-0.0999180674565191
85,85,85,85,2019-06-07,84.0387954711914,82.22127532958984,92.0782241821289,0.02210522926476033,-0.08731085750563206
86,86,86,86,2019-06-10,85.24089050292969,81.87506866455078,89.36634063720703,0.04110923988557458,-0.0461633552953129
87,87,87,87,2019-06-11,84.53885650634766,82.01931762695312,87.53921508789062,0.030718847123967885,-0.03427445149617303
88,88,88,88,2019-06-12,85.30818939208984,85.09662628173828,85.83709716796875,0.0024861515620033803,-0.006161762143982119
89,89,89,89,2019-06-13,86.60639190673828,85.07738494873047,82.4713134765625,0.017971955284347585,0.05013959710185678
90,90,90,90,2019-06-14,87.36611938476562,84.37538146972656,81.58658599853516,0.03544562244275151,0.0708392601001131
91,91,91,91,2019-06-17,86.61602020263672,84.0387954711914,82.22127532958984,0.030667083184560795,0.0534502153539973
92,92,92,92,2019-06-18,86.43331146240234,85.24089050292969,81.87506866455078,0.013988837428108303,0.0556731477872352
93,93,93,93,2019-06-19,86.06788635253906,84.53885650634766,82.01931762695312,0.01808671076686008,0.04936116079385067
94,94,94,94,2019-06-20,87.38536071777344,85.30818939208984,85.09662628173828,0.02434902604879574,0.026895712979943642
95,95,95,95,2019-06-21,85.50052642822266,86.60639190673828,85.07738494873047,-0.012768866756468378,0.004973607025500204
96,96,96,96,2019-06-24,83.98108673095703,87.36611938476562,84.37538146972656,-0.038745370375221855,-0.004673101702195037
97,97,97,97,2019-06-25,84.44268798828125,86.61602020263672,84.0387954711914,-0.02509157323634814,0.004806024584542046
98,98,98,98,2019-06-26,84.96197509765625,86.43331146240234,85.24089050292969,-0.017022792946977505,-0.003272084601976921
99,99,99,99,2019-06-27,86.2506103515625,86.06788635253906,84.53885650634766,0.0021230218001984102,0.02024813104831047
100,100,100,100,2019-06-28,87.9046401977539,87.38536071777344,85.30818939208984,0.00594240815298086,0.030436126052685974
101,101,101,101,2019-07-01,87.74116516113281,85.50052642822266,86.60639190673828,0.02620613961706031,0.013102650155620177
102,102,102,102,2019-07-02,86.808349609375,83.98108673095703,87.36611938476562,0.03366547145877541,-0.0063842800769732255
103,103,103,103,2019-07-03,87.9046401977539,84.44268798828125,86.61602020263672,0.04099765523751553,0.014877386332256881
104,104,104,104,2019-07-05,87.37572479248047,84.96197509765625,86.43331146240234,0.028409764392245185,0.010903357908346178
105,105,105,105,2019-07-08,85.79864501953125,86.2506103515625,86.06788635253906,-0.005240140680616734,-0.0031282438133194423
106,106,106,106,2019-07-09,85.45243835449219,87.9046401977539,87.38536071777344,-0.027896159266964093,-0.02211952147824814
107,107,107,107,2019-07-10,84.26959991455078,87.74116516113281,85.50052642822266,-0.03956598069112316,-0.014396712688140356
108,108,108,108,2019-07-11,84.39460754394531,86.808349609375,83.98108673095703,-0.027805413606999507,0.004923975493589916
109,109,109,109,2019-07-12,89.37596130371094,87.9046401977539,84.44268798828125,0.016737695560178567,0.05842155706974084
110,110,110,110,2019-07-15,89.02976989746094,87.37572479248047,84.96197509765625,0.018930259049740217,0.04787782764147286
111,111,111,111,2019-07-16,93.98228454589844,85.79864501953125,86.2506103515625,0.09538192036137927,0.08964196499968158
112,112,112,112,2019-07-17,94.02076721191406,85.45243835449219,87.9046401977539,0.10027015053539956,0.0695768391793774
113,113,113,113,2019-07-18,95.42476654052734,84.26959991455078,87.74116516113281,0.13237474293562435,0.08757122572151776
114,114,114,114,2019-07-19,99.76182556152344,84.39460754394531,86.808349609375,0.18208767674612658,0.1492192399744634
115,115,115,115,2019-07-22,99.1367416381836,89.37596130371094,87.9046401977539,0.10921035356816211,0.1277759787783841
116,116,116,116,2019-07-23,100.19454956054688,89.02976989746094,87.37572479248047,0.12540501537794446,0.14670922385492569
117,117,117,117,2019-07-24,98.80978393554688,93.98228454589844,85.79864501953125,0.05136605704972852,0.1516473705739032
118,118,118,118,2019-07-25,98.22315979003906,94.02076721191406,85.45243835449219,0.04469642933941609,0.14944829757307354
119,119,119,119,2019-07-26,98.99250793457033,95.42476654052734,84.26959991455078,0.03738800233299755,0.17471197246632886
120,120,120,120,2019-07-29,97.94428253173828,99.76182556152344,84.39460754394531,-0.01821882287693577,0.16055143073848033
121,121,121,121,2019-07-30,98.70399475097656,99.1367416381836,89.37596130371094,-0.004365151406593659,0.10436848243307595
122,122,122,122,2019-07-31,98.44434356689452,100.19454956054688,89.02976989746094,-0.0174680758716792,0.10574635518295405
123,123,123,123,2019-08-01,97.58629608154295,98.80978393554688,93.98228454589844,-0.01238225411768934,0.03834777536062561
124,124,124,124,2019-08-02,98.02014923095705,98.22315979003906,94.02076721191406,-0.002066829854750818,0.0425372195701057
125,125,125,125,2019-08-05,93.42137908935548,98.99250793457033,95.42476654052734,-0.056278287735644694,-0.020994418155804606
126,126,126,126,2019-08-06,94.4144287109375,97.94428253173828,99.76182556152344,-0.03603940658462579,-0.053601633896406375
127,127,127,127,2019-08-07,93.91307067871094,98.70399475097656,99.1367416381836,-0.048538299633695714,-0.05269157401336966
128,128,128,128,2019-08-08,95.7159423828125,98.44434356689452,100.19454956054688,-0.0277151645815793,-0.04469910985555137
129,129,129,129,2019-08-09,95.16641998291016,97.58629608154295,98.80978393554688,-0.024797294249294555,-0.036872501968157945
130,130,130,130,2019-08-12,94.8868179321289,98.02014923095705,98.22315979003906,-0.03196619596492678,-0.03396695713151454
131,131,131,131,2019-08-13,97.46096801757812,93.42137908935548,98.99250793457033,0.04324051911456861,-0.015471270997644448
132,132,132,132,2019-08-14,93.9998550415039,94.4144287109375,97.94428253173828,-0.004390999078147995,-0.04027215666168371
133,133,133,133,2019-08-15,91.93667602539062,93.91307067871094,98.70399475097656,-0.021044936972424377,-0.0685617511495803
134,134,134,134,2019-08-16,94.50118255615234,95.7159423828125,98.44434356689452,-0.012691300909954628,-0.040054723998060204
135,135,135,135,2019-08-19,95.93769073486328,95.16641998291016,97.58629608154295,0.008104442219131869,-0.016893820268596982
136,136,136,136,2019-08-20,96.5836410522461,94.8868179321289,98.02014923095705,0.017882601156789857,-0.014655233541077561
137,137,137,137,2019-08-21,98.27081298828124,97.46096801757812,93.42137908935548,0.008309428760824966,0.05190925188855733
138,138,138,138,2019-08-22,98.13582611083984,93.9998550415039,94.4144287109375,0.04399976007952122,0.039415558095425185
139,139,139,139,2019-08-23,95.58097839355467,91.93667602539062,93.91307067871094,0.03963926613093549,0.017760123301152397
140,140,140,140,2019-08-26,97.13317108154295,94.50118255615234,95.7159423828125,0.027851381900186212,0.014806610721778135
141,141,141,141,2019-08-27,97.0464096069336,95.93769073486328,95.16641998291016,0.011556655820853523,0.01975475828933182
142,142,142,142,2019-08-28,100.2375717163086,96.5836410522461,94.8868179321289,0.03783177590173814,0.05639090761803178
143,143,143,143,2019-08-29,103.0624008178711,98.27081298828124,97.46096801757812,0.04875901281249462,0.057473601116733164
144,144,144,144,2019-08-30,104.16146087646484,98.13582611083984,93.9998550415039,0.06140096847831411,0.10810235643953137
145,145,145,145,2019-09-03,102.82137298583984,95.58097839355467,91.93667602539062,0.07575141742609959,0.11839341415218385
146,146,146,146,2019-09-04,104.92311096191406,97.13317108154295,94.50118255615234,0.08019855414615762,0.11028357660571109
147,147,147,147,2019-09-05,108.4035186767578,97.0464096069336,95.93769073486328,0.11702760685144176,0.1299367104462157
148,148,148,148,2019-09-06,106.76454162597656,100.2375717163086,96.5836410522461,0.0651150042634765,0.10541019641435145
149,149,149,149,2019-09-09,109.78217315673828,103.0624008178711,98.27081298828124,0.06520100721059441,0.11713915676905784
150,150,150,150,2019-09-10,112.0670928955078,104.16146087646484,98.13582611083984,0.0758978604228584,0.14195903103656793
151,151,151,151,2019-09-11,111.59468841552734,102.82137298583984,95.58097839355467,0.08532579535672724,0.16754076272410834
152,152,152,152,2019-09-12,110.38956451416016,104.92311096191406,97.13317108154295,0.0520996137279075,0.1364764815666164
153,153,153,153,2019-09-13,110.83303833007812,108.4035186767578,97.0464096069336,0.022411815437142435,0.14206222341438934
154,154,154,154,2019-09-16,110.87161254882812,106.76454162597656,100.2375717163086,0.03846849206958325,0.10608837235818003
155,155,155,155,2019-09-17,110.79448699951172,109.78217315673828,103.0624008178711,0.009221113170424733,0.07502334624733353
156,156,156,156,2019-09-18,110.5245361328125,112.0670928955078,104.16146087646484,-0.013764582651694113,0.06108857539828705
157,157,157,157,2019-09-19,109.0398178100586,111.59468841552734,102.82137298583984,-0.02289419542940596,0.06047813449325501
158,158,158,158,2019-09-20,110.05211639404295,110.38956451416016,104.92311096191406,-0.0030568842408461583,0.048883466998902225
159,159,159,159,2019-09-23,109.37725067138672,110.83303833007812,108.4035186767578,-0.013134961204941842,0.0089824759059014
160,160,160,160,2019-09-24,108.47100830078124,110.87161254882812,106.76454162597656,-0.021652109073363235,0.015983459010041612
161,161,161,161,2019-09-25,109.81110382080078,110.79448699951172,109.78217315673828,-0.008875741071081245,0.00026352788645556124
162,162,162,162,2019-09-26,109.6182861328125,110.5245361328125,112.0670928955078,-0.008199536788021433,-0.021851256237891192
163,163,163,163,2019-09-27,107.05377960205078,109.0398178100586,111.59468841552734,-0.018213880469494015,-0.0406910837599036
164,164,164,164,2019-09-30,106.67777252197266,110.05211639404295,110.38956451416016,-0.030661326493607977,-0.03362448260869233
165,165,165,165,2019-10-01,104.5181884765625,109.37725067138672,110.83303833007812,-0.044424797341293565,-0.056976240556620095
166,166,166,166,2019-10-02,102.8502960205078,108.47100830078124,110.87161254882812,-0.05181764573154568,-0.07234779348760456
167,167,167,167,2019-10-03,104.8749008178711,109.81110382080078,110.79448699951172,-0.0449517656336923,-0.05342852647232088
168,168,168,168,2019-10-04,104.6820831298828,109.6182861328125,110.5245361328125,-0.04503083542967501,-0.05286114022599542
169,169,169,169,2019-10-07,104.2289581298828,107.05377960205078,109.0398178100586,-0.026386938253545544,-0.04412021018373358
170,170,170,170,2019-10-08,102.18504333496094,106.67777252197266,110.05211639404295,-0.04211495122928577,-0.0714849774529902
171,171,171,171,2019-10-09,102.22364044189452,104.5181884765625,109.37725067138672,-0.021953576388118567,-0.0654030905474533
172,172,172,172,2019-10-10,103.71796417236328,102.8502960205078,108.47100830078124,0.008436224157123196,-0.04381856684910823
173,173,173,173,2019-10-11,106.38853454589844,104.8749008178711,109.81110382080078,0.014432754798557212,-0.03116778864628833
174,174,174,174,2019-10-14,105.64618682861328,104.6820831298828,109.6182861328125,0.009209825310165787,-0.036235736247387185
175,175,175,175,2019-10-15,107.59368133544922,104.2289581298828,107.05377960205078,0.03228203817765829,0.005043275776020373
176,176,176,176,2019-10-16,111.49828338623048,102.18504333496094,106.67777252197266,0.09114093166003645,0.04518758453889671
177,177,177,177,2019-10-17,112.00926208496094,102.22364044189452,104.5181884765625,0.09572757926410103,0.07167244015215846
178,178,178,178,2019-10-18,111.43079376220705,103.71796417236328,102.8502960205078,0.07436348805522464,0.08342705926668748
179,179,179,179,2019-10-21,111.23796081542967,106.38853454589844,104.8749008178711,0.0455822264140604,0.0606728583096241
180,180,180,180,2019-10-22,113.12760162353516,105.64618682861328,104.6820831298828,0.07081575795119566,0.0806777840212991
181,181,181,181,2019-10-23,112.65518951416016,107.59368133544922,104.2289581298828,0.04704280136052286,0.08084347704768557
182,182,182,182,2019-10-24,111.60433959960938,111.49828338623048,102.18504333496094,0.0009511914458046888,0.09217881558039887
183,183,183,183,2019-10-25,112.55878448486328,112.00926208496094,102.22364044189452,0.004906044283065736,0.10110326729014729
184,184,184,184,2019-10-28,112.59735107421876,111.43079376220705,103.71796417236328,0.010468895290301372,0.08561088691539798
185,185,185,185,2019-10-29,114.73766326904295,111.23796081542967,106.38853454589844,0.03146140425407595,0.07847771152014982
186,186,186,186,2019-10-30,113.47467041015624,113.12760162353516,105.64618682861328,0.0030679408176268463,0.07410095732317235
187,187,187,187,2019-10-31,113.3396987915039,112.65518951416016,107.59368133544922,0.006076145096340246,0.053404785343668104
188,188,188,188,2019-11-01,115.59568786621094,111.60433959960938,111.49828338623048,0.035763378744239516,0.03674858800997893
189,189,189,189,2019-11-04,116.32842254638672,112.55878448486328,112.00926208496094,0.03349039418625188,0.03856074382625274
190,190,190,190,2019-11-05,115.58607482910156,112.59735107421876,111.43079376220705,0.026543464178946596,0.03729024021637928
191,191,191,191,2019-11-06,115.614990234375,114.73766326904295,111.23796081542967,0.0076463729549280934,0.03934834283961619
192,192,192,192,2019-11-07,116.53286743164062,113.47467041015624,113.12760162353516,0.026950481639915536,0.030101104940220225
193,193,193,193,2019-11-08,115.92417907714844,113.3396987915039,112.65518951416016,0.02280295706801594,0.0290176562401272
194,194,194,194,2019-11-11,114.1850128173828,115.59568786621094,111.60433959960938,-0.012203526574977808,0.023123412826345557
195,195,195,195,2019-11-12,114.52320098876952,116.32842254638672,112.55878448486328,-0.015518318894914618,0.01745236067443856
196,196,196,196,2019-11-13,112.58113098144533,115.58607482910156,112.59735107421876,-0.02599745559401645,-0.0001440539463734014
197,197,197,197,2019-11-14,112.9193115234375,115.614990234375,114.73766326904295,-0.02331599652841565,-0.01584790637875977
198,198,198,198,2019-11-15,111.82750701904295,116.53286743164062,113.47467041015624,-0.04037796817587003,-0.014515692225935406
199,199,199,199,2019-11-18,112.2139663696289,115.92417907714844,113.3396987915039,-0.03200551202566948,-0.009932375274314564
200,200,200,200,2019-11-19,112.2139663696289,114.1850128173828,115.59568786621094,-0.01726186650174666,-0.029254737430136624
201,201,201,201,2019-11-20,111.48932647705078,114.52320098876952,116.32842254638672,-0.02649135271739611,-0.0415985703528845
202,202,202,202,2019-11-21,111.8951187133789,112.58113098144533,115.58607482910156,-0.006093492418187574,-0.03193253271364982
203,203,203,203,2019-11-22,112.3878936767578,112.9193115234375,115.614990234375,-0.004706173279930059,-0.02791244068848875
204,204,204,204,2019-11-25,113.39273834228516,111.82750701904295,116.53286743164062,0.01399683642214855,-0.02694629556933803
205,205,205,205,2019-11-26,113.5086898803711,112.2139663696289,115.92417907714844,0.01153798901000802,-0.020836802261673282
206,206,206,206,2019-11-27,112.69708251953124,112.2139663696289,114.1850128173828,0.004305312124080585,-0.01303087210080034
207,207,207,207,2019-11-29,111.71156311035156,111.48932647705078,114.52320098876952,0.0019933444781059517,-0.024550814630946882
208,208,208,208,2019-12-02,110.45551300048828,111.8951187133789,112.58113098144533,-0.012865670365641235,-0.018880765919000897
209,209,209,209,2019-12-03,107.8371124267578,112.3878936767578,112.9193115234375,-0.04049173893309754,-0.04500735107320275
210,210,210,210,2019-12-04,108.0110321044922,113.39273834228516,111.82750701904295,-0.04746076615195449,-0.0341282303101047
211,211,211,211,2019-12-05,109.62458038330078,113.5086898803711,112.2139663696289,-0.03421860917577191,-0.023075434102371672
212,212,212,212,2019-12-06,110.58110809326172,112.69708251953124,112.2139663696289,-0.018775769336378367,-0.014551292759660717
213,213,213,213,2019-12-09,110.6197509765625,111.71156311035156,111.48932647705078,-0.009773492585638088,-0.007799630045009498
214,214,214,214,2019-12-10,109.15115356445312,110.45551300048828,111.8951187133789,-0.01180891202804324,-0.024522652824154778
215,215,215,215,2019-12-11,107.6245574951172,107.8371124267578,112.3878936767578,-0.0019710740287576245,-0.04238300074686485
216,216,216,216,2019-12-12,108.64871978759766,108.0110321044922,113.39273834228516,0.005903912504868325,-0.04183705785786118
217,217,217,217,2019-12-13,109.18013763427734,109.62458038330078,113.5086898803711,-0.004054225315795468,-0.03813410453997568
218,218,218,218,2019-12-16,110.6197509765625,110.58110809326172,112.69708251953124,0.00034945284928955545,-0.01843287773318103
219,219,219,219,2019-12-17,110.7260284423828,110.6197509765625,111.71156311035156,0.0009607458422393744,-0.008822136585764473
220,220,220,220,2019-12-18,111.61492919921876,109.15115356445312,110.45551300048828,0.02257214472140956,0.010496680222066956
221,221,221,221,2019-12-19,111.61492919921876,107.6245574951172,107.8371124267578,0.037076776871139305,0.03503262177042088
222,222,222,222,2019-12-20,112.77437591552734,108.64871978759766,108.0110321044922,0.03797243203596978,0.04410053045717577
223,223,223,223,2019-12-23,112.4555435180664,109.18013763427734,109.62458038330078,0.030000016072160962,0.02582416393173137
224,224,224,224,2019-12-24,112.61978149414062,110.6197509765625,110.58110809326172,0.01808022979550805,0.01843600083261543
225,225,225,225,2019-12-26,112.80335998535156,110.7260284423828,110.6197509765625,0.018761004726632224,0.01973977512615921
226,226,226,226,2019-12-27,112.73572540283205,111.61492919921876,109.15115356445312,0.01004163342354314,0.03284043934782832
227,227,227,227,2019-12-30,112.63909149169922,111.61492919921876,107.6245574951172,0.009175853981437054,0.0465928419432482
228,228,228,228,2019-12-31,112.83233642578124,112.77437591552734,108.64871978759766,0.0005139510618734633,0.038505899069610106
229,229,229,229,2020-01-02,113.54732513427734,112.4555435180664,109.18013763427734,0.009708561997528786,0.03999983508565319
230,230,230,230,2020-01-03,113.07389068603516,112.61978149414062,110.6197509765625,0.004032232933413704,0.022185366426946906
231,231,231,231,2020-01-06,111.11251068115234,112.80335998535156,110.7260284423828,-0.014989352306693626,0.0034904371104635956
232,232,232,232,2020-01-07,113.67293548583984,112.73572540283205,111.61492919921876,0.008313337051399916,0.01843844995813959
233,233,233,233,2020-01-08,114.7454071044922,112.63909149169922,111.61492919921876,0.01869968573874914,0.02804712530602349
234,234,234,234,2020-01-09,115.00629425048828,112.83233642578124,112.77437591552734,0.01926715242785937,0.019791005863182498
235,235,235,235,2020-01-10,115.05460357666016,113.54732513427734,112.4555435180664,0.013274451340886673,0.023111889172241717
236,236,236,236,2020-01-13,114.49420928955078,113.07389068603516,112.61978149414062,0.01256097755988006,0.016643859280686568
237,237,237,237,2020-01-14,114.96763610839844,111.11251068115234,112.80335998535156,0.034695691813757534,0.01918627355894298
238,238,238,238,2020-01-15,115.01596069335938,113.67293548583984,112.73572540283205,0.01181481943594953,0.020226377063521817
239,239,239,239,2020-01-16,115.71161651611328,114.7454071044922,112.63909149169922,0.00842046262244911,0.027277608366012895
240,240,240,240,2020-01-17,110.80332946777344,115.00629425048828,112.83233642578124,-0.0365455196179143,-0.017982495287088507
241,241,241,241,2020-01-21,111.94345092773438,115.05460357666016,113.54732513427734,-0.027040662017950856,-0.014125160629246736
242,242,242,242,2020-01-22,110.43619537353516,114.49420928955078,113.07389068603516,-0.035442962060667105,-0.02332718275188672
