,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,DVA,DVA_6m,DVA_12m,DVA_6m_ret,DVA_12m_ret
466,466,466,466,2020-12-09,111.3000030517578,108.58999633789062,109.8499984741211,0.02495632015157878,0.013199859788603385
467,467,467,467,2020-12-10,111.91000366210938,108.36000061035156,110.0199966430664,0.03276119446070469,0.017178759104807595
468,468,468,468,2020-12-11,108.31999969482422,105.41999816894533,109.66999816894533,0.027509026524847435,-0.012309642533607557
469,469,469,469,2020-12-14,109.19000244140624,109.3000030517578,109.5999984741211,-0.0010064099476692068,-0.003740839766632531
470,470,470,470,2020-12-15,112.38999938964844,108.45999908447266,109.87999725341795,0.03623455963811084,0.02284312157782109
471,471,471,471,2020-12-16,113.04000091552734,110.37999725341795,109.8499984741211,0.024098602358200605,0.029039622082086547
472,472,472,472,2020-12-17,115.7300033569336,111.3000030517578,108.58999633789062,0.03980233767932351,0.06575197771280883
473,473,473,473,2020-12-18,115.36000061035156,111.91000366210938,108.36000061035156,0.030828315926597405,0.06459948284026962
474,474,474,474,2020-12-21,115.75,108.31999969482422,105.41999816894533,0.06859306061769499,0.09798901546649508
475,475,475,475,2020-12-22,115.18000030517578,109.19000244140624,109.3000030517578,0.054858482735028025,0.05379686266462014
476,476,476,476,2020-12-23,115.0,112.38999938964844,108.45999908447266,0.023222712203270657,0.06029873659166962
477,477,477,477,2020-12-24,115.12999725341795,113.04000091552734,110.37999725341795,0.01848899788538061,0.043033159251622655
478,478,478,478,2020-12-28,115.4499969482422,115.7300033569336,111.3000030517578,-0.0024194798286473196,0.03728655689752802
479,479,479,479,2020-12-29,116.0,115.36000061035156,111.91000366210938,0.005547844887849429,0.036547191529361145
480,480,480,480,2020-12-30,115.5,115.75,108.31999969482422,-0.002159827213822907,0.06628508424487056
481,481,481,481,2020-12-31,117.4000015258789,115.18000030517578,109.19000244140624,0.019274190092213095,0.07519002565164645
482,482,482,482,2021-01-04,116.5,115.0,112.38999938964844,0.01304347826086949,0.0365690954059219
483,483,483,483,2021-01-05,116.5500030517578,115.12999725341795,113.04000091552734,0.012333934093772259,0.031050974060531145
484,484,484,484,2021-01-06,120.5500030517578,115.4499969482422,115.7300033569336,0.044175021553287674,0.04164866115106203
485,485,485,485,2021-01-07,122.20999908447266,116.0,115.36000061035156,0.05353447486614349,0.05937932071670282
486,486,486,486,2021-01-08,123.88999938964844,115.5,115.75,0.0726406873562635,0.07032396880905778
487,487,487,487,2021-01-11,123.12000274658205,117.4000015258789,115.18000030517578,0.04872232662997256,0.06893560010738664
488,488,488,488,2021-01-12,123.8000030517578,116.5,115.0,0.06266097040135454,0.07652176566745905
489,489,489,489,2021-01-13,120.76000213623048,116.5500030517578,115.12999725341795,0.03612182732078617,0.04890128565207963
490,490,490,490,2021-01-14,119.63999938964844,120.5500030517578,115.4499969482422,-0.007548765151989656,0.036292789538008075
491,491,491,491,2021-01-15,118.75,122.20999908447266,116.0,-0.028311914821970263,0.0237068965517242
