,Unnamed: 0.1,Unnamed: 0,Date,CAG,CAG_6m,CAG_12m
77,77,77,2019-05-28,24.136245727539062,24.66205596923828,24.789268493652344
78,78,78,2019-05-29,23.11008071899414,24.153209686279297,24.35675048828125
79,79,79,2019-05-30,22.77932357788086,24.221057891845703,23.83942604064941
80,80,80,2019-05-31,22.703001022338867,24.12776756286621,24.254976272583008
81,81,81,2019-06-03,23.33905601501465,24.50092124938965,24.594207763671875
82,82,82,2019-06-04,24.271944046020508,24.45003700256348,24.679018020629883
83,83,83,2019-06-05,24.806230545043945,24.136245727539062,24.66205596923828
84,84,84,2019-06-06,25.145458221435547,23.11008071899414,24.153209686279297
85,85,85,2019-06-07,25.12849807739257,22.77932357788086,24.221057891845703
86,86,86,2019-06-10,24.89103889465332,22.703001022338867,24.12776756286621
87,87,87,2019-06-11,25.272668838500977,23.33905601501465,24.50092124938965
