,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,MAS,MAS_6m,MAS_12m,MAS_6m_ret,MAS_12m_ret
604,604,604,604,2021-06-29,55.31069946289063,55.72929763793945,55.891021728515625,-0.007511276703473957,-0.010383103541099059
605,605,605,605,2021-06-30,56.04322814941406,55.605613708496094,55.98615646362305,0.007869968726756493,0.0010193892454128939
606,606,606,606,2021-07-01,55.957611083984375,54.93968200683594,56.55695724487305,0.018528121022283628,-0.010597213677774442
607,607,607,607,2021-07-02,55.87199401855469,54.79697799682617,56.04322814941406,0.01961816255251847,-0.0030553937828644573
608,608,608,608,2021-07-06,55.12994766235352,55.158485412597656,56.243011474609375,-0.0005173773360647171,-0.019790259857588532
609,609,609,609,2021-07-07,55.61513137817383,55.28216171264648,55.04432678222656,0.006023094162961762,0.010369907841830006
610,610,610,610,2021-07-08,54.71136093139648,55.31069946289063,55.72929763793945,-0.010835851604015012,-0.01826573722777347
611,611,611,611,2021-07-09,55.605613708496094,56.04322814941406,55.605613708496094,-0.007808515950424311,0.0
612,612,612,612,2021-07-12,55.80540084838867,55.957611083984375,54.93968200683594,-0.002720098886409894,0.015757623814513844
613,613,613,613,2021-07-13,55.519996643066406,55.87199401855469,54.79697799682617,-0.006300068248349722,0.01319449854118071
614,614,614,614,2021-07-14,55.605613708496094,55.12994766235352,55.158485412597656,0.008628088113847188,0.008106246800538841
615,615,615,615,2021-07-15,55.72929763793945,55.61513137817383,55.28216171264648,0.00205279133459757,0.008088249653064539
616,616,616,616,2021-07-16,56.26203918457031,54.71136093139648,55.31069946289063,0.0283428930806211,0.017199922093156017
617,617,617,617,2021-07-19,56.20496368408203,55.605613708496094,56.04322814941406,0.010778587549234553,0.002885906826008977
618,618,618,618,2021-07-20,56.25252532958984,55.80540084838867,55.957611083984375,0.00801220803728131,0.005270315152711591
619,619,619,619,2021-07-21,56.604522705078125,55.519996643066406,55.87199401855469,0.019533972038652037,0.013110838433297634
620,620,620,620,2021-07-22,56.08128356933594,55.605613708496094,55.12994766235352,0.008554349626163082,0.0172562454223415
621,621,621,621,2021-07-23,56.87089538574219,55.72929763793945,55.61513137817383,0.020484696491591015,0.022579538633638485
622,622,622,622,2021-07-26,56.43328094482422,56.26203918457031,54.71136093139648,0.0030436465285614833,0.03147280535731678
623,623,623,623,2021-07-27,56.80430221557617,56.20496368408203,55.605613708496094,0.010663444866950034,0.02155696929025952
624,624,624,624,2021-07-28,56.74722290039063,56.25252532958984,55.80540084838867,0.008794228666220816,0.016876897893103315
625,625,625,625,2021-07-29,55.80540084838867,56.604522705078125,55.519996643066406,-0.014117632628987131,0.005140565968638322
626,626,626,626,2021-07-30,56.80430221557617,56.08128356933594,55.605613708496094,0.012892334130447214,0.02155696929025952
627,627,627,627,2021-08-02,56.45230865478516,56.87089538574219,55.72929763793945,-0.007360297883791778,0.012973625139562017
628,628,628,628,2021-08-03,57.39412689208984,56.43328094482422,56.26203918457031,0.017026228693048262,0.02012169704346567
629,629,629,629,2021-08-04,57.03261947631836,56.80430221557617,56.20496368408203,0.004019365643744832,0.014725670794637047
630,630,630,630,2021-08-05,57.54633712768555,56.74722290039063,56.25252532958984,0.014081997082000086,0.023000066050637313
631,631,631,631,2021-08-06,57.4892692565918,55.80540084838867,56.604522705078125,0.03017393267683599,0.01563031555134553
632,632,632,632,2021-08-09,56.30009078979492,56.80430221557617,56.08128356933594,-0.008876289402653614,0.0039016086389760396
633,633,633,633,2021-08-10,57.07067489624024,56.45230865478516,56.87089538574219,0.010953781274677166,0.003512860297749665
634,634,634,634,2021-08-11,58.9352912902832,57.39412689208984,56.43328094482422,0.0268523014748705,0.044335723593764476
635,635,635,635,2021-08-12,59.39844512939453,57.03261947631836,56.80430221557617,0.041481974259634624,0.04566807112555327
636,636,636,636,2021-08-13,59.78043365478516,57.54633712768555,56.74722290039063,0.03882256697142217,0.0534512633282298
