,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,EVRG,EVRG_6m,EVRG_12m,EVRG_6m_ret,EVRG_12m_ret
23,23,23,23,2019-03-11,47.34004592895508,46.23109817504883,49.869895935058594,0.023987051955965732,-0.0507290011071595
24,24,24,24,2019-03-12,47.65928268432617,46.43272018432617,46.22149658203125,0.026415908762847717,0.031106437666794662
25,25,25,25,2019-03-13,47.82730102539063,46.27310180664063,46.346435546875,0.03358753051058616,0.031952089972871356
26,26,26,26,2019-03-14,47.98692321777344,46.07146835327149,46.471378326416016,0.04157572860092995,0.03261243685763304
27,27,27,27,2019-03-15,48.448978424072266,46.533538818359375,46.22149658203125,0.04116256047470812,0.04819146948407016
28,28,28,28,2019-03-18,47.776893615722656,46.84437561035156,46.57134246826172,0.019906722914351915,0.025886115442828705
29,29,29,29,2019-03-19,47.4072494506836,47.34004592895508,46.23109817504883,0.001419591392652686,0.02544069516111014
30,30,30,30,2019-03-20,47.46605682373047,47.65928268432617,46.43272018432617,-0.0040543174322522635,0.022254492851209395
31,31,31,31,2019-03-21,48.17174911499024,47.82730102539063,46.27310180664063,0.007201913597774334,0.04103133860106034
32,32,32,32,2019-03-22,48.726219177246094,47.98692321777344,46.07146835327149,0.01540619631139073,0.05762244874893585
33,33,33,33,2019-03-25,48.55819320678711,48.448978424072266,46.533538818359375,0.0022542226124746545,0.04350957266179223
34,34,34,34,2019-03-26,49.1042594909668,47.776893615722656,46.84437561035156,0.027782590595369472,0.04824237384254615
35,35,35,35,2019-03-27,48.85223388671875,47.4072494506836,47.34004592895508,0.03048024200472388,0.03194310288657243
36,36,36,36,2019-03-28,48.6842155456543,47.46605682373047,47.65928268432617,0.025663785943870865,0.021505419376888657
37,37,37,37,2019-03-29,48.76821899414063,48.17174911499024,47.82730102539063,0.012382151159314736,0.019673239939892895
38,38,38,38,2019-04-01,48.247352600097656,48.726219177246094,47.98692321777344,-0.009827698213286662,0.005427090650141242
39,39,39,39,2019-04-02,48.30615997314453,48.55819320678711,48.448978424072266,-0.005190333844780515,-0.002947811400224931
40,40,40,40,2019-04-03,48.15494918823242,49.1042594909668,47.776893615722656,-0.019332544927370465,0.00791293748711519
41,41,41,41,2019-04-04,47.524864196777344,48.85223388671875,47.4072494506836,-0.027171115511716137,0.002480944316672451
42,42,42,42,2019-04-05,48.15494918823242,48.6842155456543,47.46605682373047,-0.010871415950526098,0.014513368301483753
43,43,43,43,2019-04-08,47.97852325439453,48.76821899414063,48.17174911499024,-0.016192835334851607,-0.004011186310351023
44,44,44,44,2019-04-09,48.12133407592773,48.247352600097656,48.726219177246094,-0.0026119261965406038,-0.012413955187412395
45,45,45,45,2019-04-10,48.02052688598633,48.30615997314453,48.55819320678711,-0.005912974397406012,-0.0110726179310483
46,46,46,46,2019-04-11,48.23054885864258,48.15494918823242,49.1042594909668,0.001569925245163084,-0.017792970332542013
47,47,47,47,2019-04-12,48.490989685058594,47.524864196777344,48.85223388671875,0.020328842693394966,-0.007394630151362769
48,48,48,48,2019-04-15,48.54979705810547,48.15494918823242,48.6842155456543,0.008199528325315564,-0.002761028108233088
49,49,49,49,2019-04-16,47.94491958618164,47.97852325439453,48.76821899414063,-0.000700389798050205,-0.01688188383623168
50,50,50,50,2019-04-17,47.72649383544922,48.12133407592773,48.247352600097656,-0.008205097553104279,-0.010795592640400864
51,51,51,51,2019-04-18,47.524864196777344,48.02052688598633,48.30615997314453,-0.01032189193562627,-0.016173833250284098
52,52,52,52,2019-04-22,47.39045333862305,48.23054885864258,48.15494918823242,-0.01741832800787202,-0.015875748235576914
53,53,53,53,2019-04-23,47.508060455322266,48.490989685058594,47.524864196777344,-0.020270347875353756,-0.00035357789525714
54,54,54,54,2019-04-24,47.95332336425781,48.54979705810547,48.15494918823242,-0.012285812299766885,-0.004187021840402649
55,55,55,55,2019-04-25,48.04572677612305,47.94491958618164,47.97852325439453,0.0021025624990402836,0.001400700087665907
56,56,56,56,2019-04-26,48.02052688598633,47.72649383544922,48.12133407592773,0.006160793029357459,-0.0020948544315571027
57,57,57,57,2019-04-29,47.86089324951172,47.524864196777344,48.02052688598633,0.007070594696347632,-0.003324279153654963
58,58,58,58,2019-04-30,48.57500076293945,47.39045333862305,48.23054885864258,0.024995486239651754,0.007141778653741104
59,59,59,59,2019-05-01,48.247352600097656,47.508060455322266,48.490989685058594,0.015561404479364827,-0.005024378478214686
60,60,60,60,2019-05-02,48.33976745605469,47.95332336425781,48.54979705810547,0.008058755153660835,-0.0043260654992937075
61,61,61,61,2019-05-03,48.390174865722656,48.04572677612305,47.94491958618164,0.007169172218054243,0.009286808349749487
62,62,62,62,2019-05-06,48.448978424072266,48.02052688598633,47.72649383544922,0.008922258164788532,0.015138019380053658
63,63,63,63,2019-05-07,48.398582458496094,47.86089324951172,47.524864196777344,0.011234416503287159,0.018384445205379407
64,64,64,64,2019-05-08,47.97852325439453,48.57500076293945,47.39045333862305,-0.012279516195087936,0.01240903756647982
65,65,65,65,2019-05-09,47.83570098876953,48.247352600097656,47.508060455322266,-0.008532107756049068,0.006896525143462506
66,66,66,66,2019-05-10,48.8270263671875,48.33976745605469,47.95332336425781,0.010079877020007899,0.018219863434552064
67,67,67,67,2019-05-13,49.05385971069336,48.390174865722656,48.04572677612305,0.013715280980330258,0.020982780409751545
68,68,68,68,2019-05-14,48.74301910400391,48.448978424072266,48.02052688598633,0.00606907904967402,0.015045487104566213
69,69,69,69,2019-05-15,48.90263748168945,48.398582458496094,47.86089324951172,0.010414665008538382,0.021766084196273683
70,70,70,70,2019-05-16,49.03705978393555,47.97852325439453,48.57500076293945,0.022062715934969113,0.009512280262250039
71,71,71,71,2019-05-17,49.31429672241211,47.83570098876953,48.247352600097656,0.030909879087790637,0.022114044912638242
72,72,72,72,2019-05-20,49.297489166259766,48.8270263671875,48.33976745605469,0.009635294919135617,0.01981229452698008
73,73,73,73,2019-05-21,49.36470413208008,49.05385971069336,48.390174865722656,0.006336798433803192,0.020138990385168754
74,74,74,74,2019-05-22,49.55792999267578,48.74301910400391,48.448978424072266,0.016718514848927946,0.022889059886813223
75,75,75,75,2019-05-23,49.93596267700195,48.90263748168945,48.398582458496094,0.021130254900860956,0.03176498443573683
76,76,76,76,2019-05-24,49.910770416259766,49.03705978393555,47.97852325439453,0.017817353572459504,0.04027316871801068
77,77,77,77,2019-05-28,49.38150024414063,49.31429672241211,47.83570098876953,0.0013627594064011816,0.03231476122266952
78,78,78,78,2019-05-29,49.08930206298828,49.297489166259766,48.8270263671875,-0.0042230772153396545,0.005371527109359953
79,79,79,79,2019-05-30,49.08930206298828,49.36470413208008,49.05385971069336,-0.005578926764251091,0.0007225191351700744
80,80,80,80,2019-05-31,49.24174880981445,49.55792999267578,48.74301910400391,-0.006380032073737829,0.010231818114228686
81,81,81,81,2019-06-03,49.9870719909668,49.93596267700195,48.90263748168945,0.0010234971196096954,0.022175378775498356
82,82,82,82,2019-06-04,49.66522979736328,49.910770416259766,49.03705978393555,-0.00491959184057178,0.012810107624632083
83,83,83,83,2019-06-05,50.78320693969727,49.38150024414063,49.31429672241211,0.028385259431703114,0.029786701117397785
84,84,84,84,2019-06-06,51.24901580810547,49.08930206298828,49.297489166259766,0.043995609111451284,0.03958673504169807
85,85,85,85,2019-06-07,51.22361373901367,49.08930206298828,49.36470413208008,0.04347814261622163,0.03765665447846911
86,86,86,86,2019-06-10,50.68157196044922,49.24174880981445,49.55792999267578,0.02923988658883281,0.022673303100825715
87,87,87,87,2019-06-11,50.21574783325195,49.9870719909668,49.93596267700195,0.004574699680879091,0.005602878992435167
88,88,88,88,2019-06-12,51.13892364501953,49.66522979736328,49.910770416259766,0.029672546642167896,0.024606977983246292
89,89,89,89,2019-06-13,50.9610595703125,50.78320693969727,49.38150024414063,0.0035021937631158906,0.03198686387336491
90,90,90,90,2019-06-14,51.384544372558594,51.24901580810547,49.08930206298828,0.002644510578712289,0.04675646654387555
91,91,91,91,2019-06-17,51.03728866577149,51.22361373901367,49.08930206298828,-0.003637483957916632,0.039682507612018636
92,92,92,92,2019-06-18,51.13044738769531,50.68157196044922,49.24174880981445,0.008856777915183578,0.038355635685798806
93,93,93,93,2019-06-19,51.57933807373047,50.21574783325195,49.9870719909668,0.02715463374171989,0.03185355771691145
94,94,94,94,2019-06-20,51.92658615112305,51.13892364501953,49.66522979736328,0.015402406815815395,0.04553198209262721
95,95,95,95,2019-06-21,51.86729431152344,50.9610595703125,50.78320693969727,0.01778288655793303,0.021347359435442304
96,96,96,96,2019-06-24,51.81648635864258,51.384544372558594,51.24901580810547,0.008406068232350794,0.011072808747428775
97,97,97,97,2019-06-25,51.951995849609375,51.03728866577149,51.22361373901367,0.017922331059317065,0.014219654909683577
98,98,98,98,2019-06-26,50.5206413269043,51.13044738769531,50.68157196044922,-0.0119264761398854,-0.003175328375183528
99,99,99,99,2019-06-27,50.87636566162109,51.57933807373047,50.21574783325195,-0.01362895373152162,0.013155590763335834
100,100,100,100,2019-06-28,50.94412612915039,51.92658615112305,51.13892364501953,-0.018920173552587904,-0.003809182946855283
101,101,101,101,2019-07-01,50.952598571777344,51.86729431152344,50.9610595703125,-0.017635308567520047,-0.00016602870125737024
102,102,102,102,2019-07-02,51.36759567260742,51.81648635864258,51.384544372558594,-0.008663086163893996,-0.0003298404249395537
103,103,103,103,2019-07-03,51.96894073486328,51.951995849609375,51.03728866577149,0.00032616427871134945,0.018254340962211124
104,104,104,104,2019-07-05,52.112918853759766,50.5206413269043,51.13044738769531,0.03151736567539398,0.019214998425789
105,105,105,105,2019-07-08,51.90963745117188,50.87636566162109,51.57933807373047,0.02030946542886114,0.006403714932697646
106,106,106,106,2019-07-09,52.04515838623047,50.94412612915039,51.92658615112305,0.021612545758245227,0.0022834590889979633
107,107,107,107,2019-07-10,52.24843597412109,50.952598571777344,51.86729431152344,0.025432214227862904,0.0073484007148791886
108,108,108,108,2019-07-11,52.12984848022461,51.36759567260742,51.81648635864258,0.014839176286844724,0.006047537060176689
109,109,109,109,2019-07-12,51.78260040283203,51.96894073486328,51.951995849609375,-0.0035856095851929393,-0.003260614804245665
110,110,110,110,2019-07-15,51.647098541259766,52.112918853759766,50.5206413269043,-0.008938672458689068,0.022296969808171863
111,111,111,111,2019-07-16,51.71485900878906,51.90963745117188,50.87636566162109,-0.00375225973338833,0.016480999306137445
112,112,112,112,2019-07-17,51.68097686767578,52.04515838623047,50.94412612915039,-0.006997413973689359,0.014463899854860074
113,113,113,113,2019-07-18,52.09598159790039,52.24843597412109,50.952598571777344,-0.0029178744469252615,0.022440131772913485
114,114,114,114,2019-07-19,51.486175537109375,52.12984848022461,51.36759567260742,-0.012347493075093308,0.0023084565853095373
115,115,115,115,2019-07-22,51.30831909179688,51.78260040283203,51.96894073486328,-0.009159086398627614,-0.012711855075838052
116,116,116,116,2019-07-23,51.384544372558594,51.647098541259766,52.112918853759766,-0.005083618946985391,-0.013976850601002622
117,117,117,117,2019-07-24,51.43535232543945,51.71485900878906,51.90963745117188,-0.005404765452461269,-0.009136745102073962
118,118,118,118,2019-07-25,51.30831909179688,51.68097686767578,52.04515838623047,-0.007210733977282446,-0.014157691460278676
119,119,119,119,2019-07-26,51.4268913269043,52.09598159790039,52.24843597412109,-0.012843414222625138,-0.015723813199378878
120,120,120,120,2019-07-29,51.83341598510742,51.486175537109375,52.12984848022461,0.006744343396564156,-0.00568642541191422
121,121,121,121,2019-07-30,51.5115852355957,51.30831909179688,51.78260040283203,0.0039616605532359905,-0.005233711036680688
122,122,122,122,2019-07-31,51.23208999633789,51.384544372558594,51.647098541259766,-0.0029669305835495763,-0.008035466786006085
123,123,123,123,2019-08-01,51.299842834472656,51.43535232543945,51.71485900878906,-0.0026345594001069284,-0.008025085676940047
124,124,124,124,2019-08-02,51.52004623413086,51.30831909179688,51.68097686767578,0.004126565556653139,-0.0031139239870981994
125,125,125,125,2019-08-05,51.16433334350586,51.4268913269043,52.09598159790039,-0.005105460910118764,-0.017883303583477894
126,126,126,126,2019-08-06,51.765663146972656,51.83341598510742,51.486175537109375,-0.0013071266256932113,0.0054284010600444965
127,127,127,127,2019-08-07,51.67250061035156,51.5115852355957,51.30831909179688,0.003123867650740797,0.007097903907222536
128,128,128,128,2019-08-08,52.45170211791992,51.23208999633789,51.384544372558594,0.02380562888746507,0.02076806865550873
129,129,129,129,2019-08-09,52.87517166137695,51.299842834472656,51.43535232543945,0.030708258346664907,0.02799279621586992
130,130,130,130,2019-08-12,53.417213439941406,51.52004623413086,51.30831909179688,0.036823864582514965,0.041102386230417176
131,131,131,131,2019-08-13,53.98468399047852,51.16433334350586,51.4268913269043,0.055123373308461954,0.04973648217068294
132,132,132,132,2019-08-14,54.00162124633789,51.765663146972656,51.83341598510742,0.043193846334333985,0.04183025988203104
133,133,133,133,2019-08-15,54.46743774414063,51.67250061035156,51.5115852355957,0.054089449915825316,0.057382285849404635
134,134,134,134,2019-08-16,54.58600616455078,52.45170211791992,51.23208999633789,0.04069084434729309,0.06546514437440742
135,135,135,135,2019-08-19,55.11112976074219,52.87517166137695,51.299842834472656,0.042287486340181646,0.0742943197422119
136,136,136,136,2019-08-20,54.96714019775391,53.417213439941406,51.52004623413086,0.029015492535100718,0.06690781968552328
137,137,137,137,2019-08-21,55.17041397094727,53.98468399047852,51.16433334350586,0.02196419230087332,0.07829830598095522
138,138,138,138,2019-08-22,55.13653564453125,54.00162124633789,51.765663146972656,0.02101630232574414,0.06511792359325219
139,139,139,139,2019-08-23,54.61989212036133,54.46743774414063,51.67250061035156,0.0027990003300109034,0.057039846634000746
140,140,140,140,2019-08-26,55.20428466796875,54.58600616455078,52.45170211791992,0.011326685113289825,0.052478421841498646
141,141,141,141,2019-08-27,55.29745864868164,55.11112976074219,52.87517166137695,0.0033809665805868416,0.045811425498861524
142,142,142,142,2019-08-28,54.95867156982422,54.96714019775391,53.417213439941406,-0.00015406710080290154,0.02885695510148456
143,143,143,143,2019-08-29,55.26155853271485,55.17041397094727,53.98468399047852,0.0016520550637082465,0.023652533419692423
144,144,144,144,2019-08-30,55.45779800415039,55.13653564453125,54.00162124633789,0.00582666930128406,0.026965426670615855
145,145,145,145,2019-09-03,55.92705535888672,54.61989212036133,54.46743774414063,0.023931999639342116,0.026797985644241296
146,146,146,146,2019-09-04,56.14035415649414,55.20428466796875,54.58600616455078,0.016956464414953798,0.0284752100613066
147,147,147,147,2019-09-05,55.27009582519531,55.29745864868164,55.11112976074219,-0.0004948296749073267,0.00288446390308561
148,148,148,148,2019-09-06,54.57046890258789,54.95867156982422,54.96714019775391,-0.007063538039545292,-0.007216516881521029
149,149,149,149,2019-09-09,54.579010009765625,55.26155853271485,55.17041397094727,-0.012351235489407308,-0.010719585346832483
150,150,150,150,2019-09-10,54.8349609375,55.45779800415039,55.13653564453125,-0.01123082937053832,-0.005469598397975561
151,151,151,151,2019-09-11,55.49192810058594,55.92705535888672,54.61989212036133,-0.007780264051245767,0.015965538311627947
152,152,152,152,2019-09-12,55.35541534423828,56.14035415649414,55.20428466796875,-0.013981721776599398,0.002737662070589675
153,153,153,153,2019-09-13,54.78377151489258,55.27009582519531,55.29745864868164,-0.00879904952292554,-0.009289525167017976
154,154,154,154,2019-09-16,54.72404479980469,54.57046890258789,54.95867156982422,0.002814267502281087,-0.004269149222819957
155,155,155,155,2019-09-17,55.17623901367188,54.579010009765625,55.26155853271485,0.010942466779800375,-0.0015439216936391498
156,156,156,156,2019-09-18,55.58577728271485,54.8349609375,55.45779800415039,0.013692292879913248,0.002307687704349304
157,157,157,157,2019-09-19,55.92705535888672,55.49192810058594,55.92705535888672,0.007841271211770806,0.0
158,158,158,158,2019-09-20,56.31952667236328,55.35541534423828,56.14035415649414,0.01741674815606542,0.003191510252494867
159,159,159,159,2019-09-23,56.48162460327149,54.78377151489258,55.27009582519531,0.030991898539102225,0.021920149766121666
160,160,160,160,2019-09-24,56.92529296875,54.72404479980469,54.57046890258789,0.04022451514682568,0.043151985194879616
161,161,161,161,2019-09-25,57.36894989013672,55.17623901367188,54.579010009765625,0.03974012936839566,0.051117451193634755
162,162,162,162,2019-09-26,57.42868041992188,55.58577728271485,54.8349609375,0.03315422086901543,0.04730047105127255
163,163,163,163,2019-09-27,56.78878021240234,55.92705535888672,55.49192810058594,0.015408014028020611,0.023370103656620067
164,164,164,164,2019-09-30,56.78878021240234,56.31952667236328,55.35541534423828,0.008331986573127947,0.025893850840977395
165,165,165,165,2019-10-01,56.54988098144531,56.48162460327149,54.78377151489258,0.0012084705185668732,0.0322378218533681
166,166,166,166,2019-10-02,55.76494598388672,56.92529296875,54.72404479980469,-0.020383680510880686,0.01902091097048708
167,167,167,167,2019-10-03,55.7905502319336,57.36894989013672,55.17623901367188,-0.027513134914022297,0.011133618913559795
168,168,168,168,2019-10-04,56.31952667236328,57.42868041992188,55.58577728271485,-0.019313585815456724,0.013200308163660468
169,169,169,169,2019-10-07,55.99531173706055,56.78878021240234,55.92705535888672,-0.013972275375066068,0.0012204536379722963
170,170,170,170,2019-10-08,55.46632766723633,56.78878021240234,56.31952667236328,-0.02328721518968624,-0.015149257380844272
171,171,171,171,2019-10-09,54.43395233154297,56.54988098144531,56.48162460327149,-0.03741703100306448,-0.03625377786335693
172,172,172,172,2019-10-10,54.15240859985352,55.76494598388672,56.92529296875,-0.028916685125080832,-0.04871093716493813
173,173,173,173,2019-10-11,54.56193542480469,55.7905502319336,57.36894989013672,-0.022021915934173242,-0.04892915890403349
174,174,174,174,2019-10-14,54.4424934387207,56.31952667236328,57.42868041992188,-0.03332828495811313,-0.051998182081949396
175,175,175,175,2019-10-15,54.5107536315918,55.99531173706055,56.78878021240234,-0.026512185742260885,-0.040114025557341226
176,176,176,176,2019-10-16,54.24626159667969,55.46632766723633,56.78878021240234,-0.02199651792122026,-0.04477149546465131
177,177,177,177,2019-10-17,53.887916564941406,54.43395233154297,56.54988098144531,-0.010031161494131524,-0.04707285621657331
178,178,178,178,2019-10-18,54.015892028808594,54.15240859985352,55.76494598388672,-0.002520969511322857,-0.03136475655483495
179,179,179,179,2019-10-21,54.10120391845703,54.56193542480469,55.7905502319336,-0.008444192874767387,-0.03028015150332064
180,180,180,180,2019-10-22,54.56193542480469,54.4424934387207,56.31952667236328,0.002193911015821337,-0.03120749323380001
181,181,181,181,2019-10-23,54.16093444824219,54.5107536315918,55.99531173706055,-0.006417434360086904,-0.03275947989060435
182,182,182,182,2019-10-24,54.485145568847656,54.24626159667969,55.46632766723633,0.0044036946535426225,-0.01768968921604397
183,183,183,183,2019-10-25,54.17800521850586,53.887916564941406,54.43395233154297,0.005383185546148583,-0.004701975551549165
184,184,184,184,2019-10-28,53.82818603515625,54.015892028808594,54.15240859985352,-0.0034750142338153545,-0.005987223340203407
185,185,185,185,2019-10-29,54.22065734863281,54.10120391845703,54.56193542480469,0.002207962513289363,-0.006254874822800405
186,186,186,186,2019-10-30,54.33156967163086,54.56193542480469,54.4424934387207,-0.004222096437383693,-0.0020374483254462783
187,187,187,187,2019-10-31,54.527809143066406,54.16093444824219,54.5107536315918,0.0067737881290586,0.00031288342828417193
188,188,188,188,2019-11-01,54.46808624267578,54.485145568847656,54.24626159667969,-0.00031310049727806266,0.004089215357278686
189,189,189,189,2019-11-04,53.853790283203125,54.17800521850586,53.887916564941406,-0.0059842538313313876,-0.0006332826339120468
190,190,190,190,2019-11-05,53.350399017333984,53.82818603515625,54.015892028808594,-0.008876149337639139,-0.012320318826164689
191,191,191,191,2019-11-06,53.68313980102539,54.22065734863281,54.10120391845703,-0.009913519567851137,-0.007727445734142302
192,192,192,192,2019-11-07,53.59782791137695,54.33156967163086,54.56193542480469,-0.01350488794431115,-0.017669965442417834
193,193,193,193,2019-11-08,53.80258941650391,54.527809143066406,54.16093444824219,-0.013299997523460227,-0.0066163007597426216
194,194,194,194,2019-11-11,53.42717742919922,54.46808624267578,54.485145568847656,-0.019110434848746527,-0.01941755185937022
195,195,195,195,2019-11-12,53.81112289428711,53.853790283203125,54.17800521850586,-0.0007922820045096479,-0.006771794619219951
196,196,196,196,2019-11-13,54.51927947998047,53.350399017333984,53.82818603515625,0.021909498038931385,0.012838876724786008
197,197,197,197,2019-11-14,55.12504577636719,53.68313980102539,54.22065734863281,0.02685956858496308,0.016679776158360804
198,198,198,198,2019-11-15,55.2444953918457,53.59782791137695,54.33156967163086,0.0307226532237741,0.01680285929032399
199,199,199,199,2019-11-18,55.46632766723633,53.80258941650391,54.527809143066406,0.030923014464096843,0.01721174092484623
200,200,200,200,2019-11-19,55.26155853271485,53.42717742919922,54.46808624267578,0.03433423197297891,0.014567655021030967
201,201,201,201,2019-11-20,55.44072723388672,53.81112289428711,53.853790283203125,0.030283782458897957,0.029467507158517536
202,202,202,202,2019-11-21,55.22743606567383,54.51927947998047,53.350399017333984,0.012989103899536891,0.03518318668488263
203,203,203,203,2019-11-22,54.98000717163086,55.12504577636719,53.68313980102539,-0.0026310836153266015,0.024157815198817767
204,204,204,204,2019-11-25,54.254791259765625,55.2444953918457,53.59782791137695,-0.017914981846791633,0.012257275602193252
205,205,205,205,2019-11-26,54.6116943359375,55.46632766723633,53.80258941650391,-0.015408147018964313,0.015038401092000164
206,206,206,206,2019-11-27,54.431095123291016,55.26155853271485,53.42717742919922,-0.015027868041980752,0.01879039362358559
207,207,207,207,2019-11-29,54.41389465332031,55.44072723388672,53.81112289428711,-0.01852126824084621,0.011201620159782877
208,208,208,208,2019-12-02,53.64847183227539,55.22743606567383,54.51927947998047,-0.028590214318854335,-0.01597247168361493
209,209,209,209,2019-12-03,53.80327224731445,54.98000717163086,55.12504577636719,-0.02140296054605806,-0.023977731182572515
210,210,210,210,2019-12-04,54.4052963256836,54.254791259765625,55.2444953918457,0.002774041931105753,-0.015190636826523884
211,211,211,211,2019-12-05,54.63750076293945,54.6116943359375,55.46632766723633,0.0004725439727837344,-0.014942884073186224
212,212,212,212,2019-12-06,54.24188995361328,54.431095123291016,55.26155853271485,-0.0034760492922137898,-0.01845167972412365
213,213,213,213,2019-12-09,53.54526901245117,54.41389465332031,55.44072723388672,-0.01596330581376859,-0.03418891338562735
214,214,214,214,2019-12-10,53.88927459716797,53.64847183227539,55.22743606567383,0.004488529806504271,-0.024230012541494483
215,215,215,215,2019-12-11,54.08708572387695,53.80327224731445,54.98000717163086,0.005275022590780498,-0.016240839055667533
216,216,216,216,2019-12-12,53.44207000732422,54.4052963256836,54.254791259765625,-0.01770464244130332,-0.014979713930705074
217,217,217,217,2019-12-13,53.97527694702149,54.63750076293945,54.6116943359375,-0.01212031675444325,-0.01165350016429012
218,218,218,218,2019-12-16,54.35369491577149,54.24188995361328,54.431095123291016,0.0020612291027068963,-0.0014219851234704706
219,219,219,219,2019-12-17,54.69769287109375,53.54526901245117,54.41389465332031,0.02152242167976781,0.0052155468668722005
220,220,220,220,2019-12-18,54.9127082824707,53.88927459716797,53.64847183227539,0.018991416992584886,0.023565190340328224
221,221,221,221,2019-12-19,54.7837028503418,54.08708572387695,53.80327224731445,0.01287954633054511,0.018222508819178307
222,222,222,222,2019-12-20,55.14491271972656,53.44207000732422,54.4052963256836,0.03186333748241732,0.01359456604400111
223,223,223,223,2019-12-23,54.86969757080078,53.97527694702149,54.63750076293945,0.016570931625921936,0.004249769931256253
224,224,224,224,2019-12-24,55.230918884277344,54.35369491577149,54.24188995361328,0.01613917820794386,0.018233673854466836
225,225,225,225,2019-12-26,55.084716796875,54.69769287109375,53.54526901245117,0.007075690133647061,0.028750397800146432
226,226,226,226,2019-12-27,55.1019172668457,54.9127082824707,53.88927459716797,0.003445631991081388,0.02250248641761199
227,227,227,227,2019-12-30,55.2395133972168,54.7837028503418,54.08708572387695,0.008320185076211128,0.02130689161592403
228,228,228,228,2019-12-31,55.97913360595703,55.14491271972656,53.44207000732422,0.015127794117118176,0.047473153608853735
229,229,229,229,2020-01-02,54.560096740722656,54.86969757080078,53.97527694702149,-0.005642473783979418,0.010834956794667061
230,230,230,230,2020-01-03,54.6116943359375,55.230918884277344,54.35369491577149,-0.011211556150953705,0.004746676754281642
231,231,231,231,2020-01-06,54.45690155029297,55.084716796875,54.69769287109375,-0.011397267392643573,-0.004402220791437261
232,232,232,232,2020-01-07,54.49128723144531,55.1019172668457,54.9127082824707,-0.011081829193769321,-0.007674381107877659
233,233,233,233,2020-01-08,54.5944938659668,55.2395133972168,54.7837028503418,-0.011676777936325933,-0.0034537458136387755
234,234,234,234,2020-01-09,55.11050796508789,55.97913360595703,55.14491271972656,-0.015516953995456384,-0.0006238971637063662
235,235,235,235,2020-01-10,55.48033142089844,54.560096740722656,54.86969757080078,0.016866441504839402,0.01112879926683985
236,236,236,236,2020-01-13,56.09954833984375,54.6116943359375,55.230918884277344,0.02724423810684007,0.01572723165056167
237,237,237,237,2020-01-14,56.39194869995117,54.45690155029297,55.084716796875,0.035533552122335,0.023731299334742717
238,238,238,238,2020-01-15,57.277774810791016,54.49128723144531,55.1019172668457,0.05113638750192173,0.039487873596269596
239,239,239,239,2020-01-16,57.75080108642578,54.5944938659668,55.2395133972168,0.05781365476540423,0.04546179962069541
240,240,240,240,2020-01-17,57.90560531616211,55.11050796508789,55.97913360595703,0.05071804732492935,0.03441410372239262
241,241,241,241,2020-01-21,59.05804061889648,55.48033142089844,54.560096740722656,0.06448608193876759,0.0824401741725036
242,242,242,242,2020-01-22,59.43643951416016,56.09954833984375,54.6116943359375,0.05948160498729793,0.08834637410338897
