,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,DE,DE_6m,DE_12m,DE_6m_ret,DE_12m_ret
356,356,356,356,2020-07-06,153.47525024414062,147.1937255859375,148.2039337158203,0.042675220245959045,0.035567993346438564
357,357,357,357,2020-07-07,152.0192413330078,142.0378875732422,147.593994140625,0.07027247398775005,0.0299825695357665
358,358,358,358,2020-07-08,151.7127227783203,147.23931884765625,147.593994140625,0.030381857004463164,0.02790580105699325
359,359,359,359,2020-07-09,151.013427734375,150.5344696044922,147.29855346679688,0.003181717324551636,0.025220032241630275
360,360,360,360,2020-07-10,152.392822265625,150.24713134765625,146.72674560546875,0.014281077440366108,0.038616522412292076
361,361,361,361,2020-07-13,156.93325805664062,151.25289916992188,143.41978454589844,0.03755537194918346,0.09422321720485849
362,362,362,362,2020-07-14,162.42208862304688,153.47525024414062,147.1937255859375,0.058294991307550115,0.1034579631467949
363,363,363,363,2020-07-15,165.13294982910156,152.0192413330078,142.0378875732422,0.0862634781038496,0.16259790011274533
364,364,364,364,2020-07-16,166.1195526123047,151.7127227783203,147.23931884765625,0.09496125025081348,0.128228206381362
365,365,365,365,2020-07-17,169.07949829101562,151.013427734375,150.5344696044922,0.11963221302689675,0.12319456623621061
366,366,366,366,2020-07-20,166.49317932128906,152.392822265625,150.24713134765625,0.09252638573151928,0.10812883965179432
367,367,367,367,2020-07-21,168.25572204589844,156.93325805664062,151.25289916992188,0.07214827583055272,0.11241320311404479
368,368,368,368,2020-07-22,168.1024627685547,162.42208862304688,153.47525024414062,0.034972916514397046,0.09530665368615354
369,369,369,369,2020-07-23,169.29022216796875,165.13294982910156,152.0192413330078,0.02517530476606633,0.11361049222136144
370,370,370,370,2020-07-24,167.96835327148438,166.1195526123047,151.7127227783203,0.011129338058684102,0.10714744416601407
371,371,371,371,2020-07-27,168.5909881591797,169.07949829101562,151.013427734375,-0.0028892333888708155,0.11639733425376408
372,372,372,372,2020-07-28,168.38983154296875,166.49317932128906,152.392822265625,0.011391771299049003,0.10497219645594935
373,373,373,373,2020-07-29,172.66207885742188,168.25572204589844,156.93325805664062,0.026188451471037766,0.10022617892189789
374,374,374,374,2020-07-30,170.5450897216797,168.1024627685547,162.42208862304688,0.01453058398369822,0.050011677398662524
375,375,375,375,2020-07-31,168.8878936767578,169.29022216796875,165.13294982910156,-0.0023765607136586597,0.02273891341214629
376,376,376,376,2020-08-03,170.14276123046875,167.96835327148438,166.1195526123047,0.012945343075846605,0.024218754233907402
