,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,LYV,LYV_6m,LYV_12m,LYV_6m_ret,LYV_12m_ret
968,968,968,968,2022-12-07,71.13999938964844,70.20999908447266,66.20999908447266,0.013245980875983943,0.07446005699057534
969,969,969,969,2022-12-08,71.47000122070312,72.76000213623047,66.94000244140625,-0.017729533777528506,0.06767252187153816
970,970,970,970,2022-12-09,71.7699966430664,73.55000305175781,67.48999786376953,-0.024201309787013847,0.06341678640939019
971,971,971,971,2022-12-12,73.5999984741211,73.91999816894531,68.58000183105469,-0.00432900030777672,0.0731991325318575
972,972,972,972,2022-12-13,74.16999816894531,73.87999725341797,68.45999908447266,0.003925296782735455,0.08340635642467809
973,973,973,973,2022-12-14,73.08999633789062,70.91000366210938,68.69000244140625,0.03074309072340564,0.0640558122011663
974,974,974,974,2022-12-15,70.2300033569336,71.13999938964844,70.20999908447266,-0.012791622723112628,0.00028492056290829737
975,975,975,975,2022-12-16,69.37000274658203,71.47000122070312,72.76000213623047,-0.029382936032646634,-0.04659152405330136
976,976,976,976,2022-12-19,68.38999938964844,71.7699966430664,73.55000305175781,-0.04709485037637251,-0.07015640310005467
977,977,977,977,2022-12-20,68.68000030517578,73.5999984741211,73.91999816894531,-0.06684780259438805,-0.07088741874415949
978,978,978,978,2022-12-21,70.68000030517578,74.16999816894531,73.87999725341797,-0.047054037345666044,-0.043313441624338256
979,979,979,979,2022-12-22,70.56999969482422,73.08999633789062,70.91000366210938,-0.03447799657037354,-0.004794866023492217
980,980,980,980,2022-12-23,70.69000244140625,70.2300033569336,71.13999938964844,0.00654989409775153,-0.006325512399535715
981,981,981,981,2022-12-27,69.58999633789062,69.37000274658203,71.47000122070312,0.0031713072307675283,-0.026304811119380656
982,982,982,982,2022-12-28,68.16000366210938,68.38999938964844,71.7699966430664,-0.0033630023335528003,-0.050299472618211216
983,983,983,983,2022-12-29,70.1500015258789,68.68000030517578,73.5999984741211,0.021403628628003046,-0.046874959507713254
984,984,984,984,2022-12-30,69.73999786376953,70.68000030517578,74.16999816894531,-0.013299411960209229,-0.0597276582788242
985,985,985,985,2023-01-03,68.86000061035156,70.56999969482422,73.08999633789062,-0.024231246873564483,-0.057873798597335435
986,986,986,986,2023-01-04,71.01000213623047,70.69000244140625,70.2300033569336,0.004526802712865319,0.011106346888987595
987,987,987,987,2023-01-05,71.66000366210938,69.58999633789062,69.37000274658203,0.02974575992457207,0.033011400098873045
988,988,988,988,2023-01-06,72.37999725341797,68.16000366210938,68.38999938964844,0.0619130481892054,0.05834183213011501
989,989,989,989,2023-01-09,72.26000213623047,70.1500015258789,68.68000030517578,0.03007841146764867,0.052125827244425604
990,990,990,990,2023-01-10,72.55999755859375,69.73999786376953,70.68000030517578,0.04043590165191602,0.026598715977655507
991,991,991,991,2023-01-11,73.33999633789062,68.86000061035156,70.56999969482422,0.06505947847560134,0.03925175931762914
992,992,992,992,2023-01-12,73.1500015258789,71.01000213623047,70.69000244140625,0.030136590976900912,0.03479981609155702
993,993,993,993,2023-01-13,74.66000366210938,71.66000366210938,69.58999633789062,0.04186435733586591,0.07285540438314708
994,994,994,994,2023-01-17,76.12000274658203,72.37999725341797,68.16000366210938,0.051671810376967775,0.11678401785206582
995,995,995,995,2023-01-18,73.5199966430664,72.26000213623047,70.1500015258789,0.01743695640169629,0.0480398438187386
996,996,996,996,2023-01-19,73.22000122070312,72.55999755859375,69.73999786376953,0.00909597139355478,0.04989967685016916
997,997,997,997,2023-01-20,75.11000061035156,73.33999633789062,68.86000061035156,0.024134229081580694,0.0907638679146403
998,998,998,998,2023-01-23,75.94000244140625,73.1500015258789,71.01000213623047,0.03814081828201066,0.06942684349900063
999,999,999,999,2023-01-24,77.0,74.66000366210938,71.66000366210938,0.031342033526823965,0.07451850495388923
1000,1000,1000,1000,2023-01-25,77.52999877929688,76.12000274658203,72.37999725341797,0.018523331343129223,0.07115227578480887
1001,1001,1001,1001,2023-01-26,79.44000244140625,73.5199966430664,72.26000213623047,0.080522389399458,0.09936341119447323
1002,1002,1002,1002,2023-01-27,80.36000061035156,73.22000122070312,72.55999755859375,0.09751433038257828,0.10749728933575486
1003,1003,1003,1003,2023-01-30,79.44000244140625,75.11000061035156,73.33999633789062,0.05764880569656028,0.08317434426110126
1004,1004,1004,1004,2023-01-31,80.48999786376953,75.94000244140625,73.1500015258789,0.05991566073327381,0.10034171134355874
1005,1005,1005,1005,2023-02-01,81.31999969482422,77.0,74.66000366210938,0.05610389214057432,0.0892043357358534
1006,1006,1006,1006,2023-02-02,81.5199966430664,77.52999877929688,76.12000274658203,0.05146392269562372,0.07094053733106098
1007,1007,1007,1007,2023-02-03,79.80000305175781,79.44000244140625,73.5199966430664,0.0045317295982851835,0.08541902469310925
1008,1008,1008,1008,2023-02-06,79.77999877929688,80.36000061035156,73.22000122070312,-0.007217543885632782,0.08959297253793119
1009,1009,1009,1009,2023-02-07,80.68000030517578,79.44000244140625,75.11000061035156,0.015609237483145133,0.07415789707844267
1010,1010,1010,1010,2023-02-08,81.38999938964844,80.48999786376953,75.94000244140625,0.011181532485591283,0.07176714212574975
1011,1011,1011,1011,2023-02-09,80.16000366210938,81.31999969482422,77.0,-0.0142645848139209,0.041039008598823035
1012,1012,1012,1012,2023-02-10,76.41000366210938,81.5199966430664,77.52999877929688,-0.06268392040459747,-0.0144459581429347
1013,1013,1013,1013,2023-02-13,77.0,79.80000305175781,79.44000244140625,-0.035087756198978415,-0.030715034823997622
1014,1014,1014,1014,2023-02-14,78.08000183105469,79.77999877929688,80.36000061035156,-0.021308560720150638,-0.028372309133645968
1015,1015,1015,1015,2023-02-15,78.97000122070312,80.68000030517578,79.44000244140625,-0.021194832399659247,-0.005916430088855895
1016,1016,1016,1016,2023-02-16,78.20999908447266,81.38999938964844,80.48999786376953,-0.039071143003107434,-0.028326485772254606
1017,1017,1017,1017,2023-02-17,76.38999938964844,80.16000366210938,81.31999969482422,-0.04703098927430527,-0.06062469655284031
1018,1018,1018,1018,2023-02-21,75.05000305175781,76.41000366210938,81.5199966430664,-0.017798724580168623,-0.07936695114987957
1019,1019,1019,1019,2023-02-22,75.44000244140625,77.0,79.80000305175781,-0.020259708553165612,-0.05463659703776813
1020,1020,1020,1020,2023-02-23,76.48999786376953,78.08000183105469,79.77999877929688,-0.020363779841162444,-0.041238417722075815
1021,1021,1021,1021,2023-02-24,68.77999877929688,78.97000122070312,80.68000030517578,-0.12903637183602823,-0.14749629996116276
1022,1022,1022,1022,2023-02-27,71.83000183105469,78.20999908447266,81.38999938964844,-0.08157521196908712,-0.11745911819984156
1023,1023,1023,1023,2023-02-28,72.05999755859375,76.38999938964844,80.16000366210938,-0.05668283630908688,-0.10104797571690227
1024,1024,1024,1024,2023-03-01,72.01000213623047,75.05000305175781,76.41000366210938,-0.0405063396657136,-0.057584103062421454
1025,1025,1025,1025,2023-03-02,72.45999908447266,75.44000244140625,77.0,-0.039501633887779164,-0.05896105085100445
1026,1026,1026,1026,2023-03-03,72.97000122070312,76.48999786376953,78.08000183105469,-0.04601904486042219,-0.06544570300354635
1027,1027,1027,1027,2023-03-06,72.5999984741211,68.77999877929688,78.97000122070312,0.055539397537385016,-0.08066357665082624
1028,1028,1028,1028,2023-03-07,70.25,71.83000183105469,78.20999908447266,-0.02199640527325719,-0.1017772558196205
1029,1029,1029,1029,2023-03-08,70.25,72.05999755859375,76.38999938964844,-0.025117924228654,-0.08037700535026404
1030,1030,1030,1030,2023-03-09,68.1500015258789,72.01000213623047,75.05000305175781,-0.053603673043212896,-0.09193872412130832
1031,1031,1031,1031,2023-03-10,66.6500015258789,72.45999908447266,75.44000244140625,-0.08018213679275032,-0.11651644526860239
1032,1032,1032,1032,2023-03-13,66.97000122070312,72.97000122070312,76.48999786376953,-0.08222557077740156,-0.12446067340754463
1033,1033,1033,1033,2023-03-14,67.62999725341797,72.5999984741211,68.77999877929688,-0.06845731852838433,-0.01671999921909073
1034,1034,1034,1034,2023-03-15,67.02999877929688,70.25,71.83000183105469,-0.04583631630894125,-0.06682448739243385
1035,1035,1035,1035,2023-03-16,67.66000366210938,70.25,72.05999755859375,-0.03686827527246439,-0.061060144956383455
1036,1036,1036,1036,2023-03-17,66.33999633789062,68.1500015258789,72.01000213623047,-0.026559136426445362,-0.07873914220434508
1037,1037,1037,1037,2023-03-20,68.02999877929688,66.6500015258789,72.45999908447266,0.020705134611019416,-0.06113718411742408
1038,1038,1038,1038,2023-03-21,69.2300033569336,66.97000122070312,72.97000122070312,0.033746484919158215,-0.05125390984245204
1039,1039,1039,1039,2023-03-22,66.23999786376953,67.62999725341797,72.5999984741211,-0.020553000829497847,-0.08760331603338312
1040,1040,1040,1040,2023-03-23,65.33999633789062,67.02999877929688,70.25,-0.0252126282587406,-0.06989329056383453
1041,1041,1041,1041,2023-03-24,65.94999694824219,67.66000366210938,70.25,-0.025273523814850374,-0.06121000785420372
1042,1042,1042,1042,2023-03-27,67.08999633789062,66.33999633789062,68.1500015258789,0.011305397066650569,-0.015554000942843094
1043,1043,1043,1043,2023-03-28,67.8499984741211,68.02999877929688,66.6500015258789,-0.0026458960518247476,0.018004454925274915
1044,1044,1044,1044,2023-03-29,68.61000061035156,69.2300033569336,66.97000122070312,-0.0089556943018686,0.024488567414591156
1045,1045,1045,1045,2023-03-30,69.19999694824219,66.23999786376953,67.62999725341797,0.044685977957913625,0.02321454618637997
1046,1046,1046,1046,2023-03-31,70.0,65.33999633789062,67.02999877929688,0.07131931318164209,0.044308537591984054
1047,1047,1047,1047,2023-04-03,69.30999755859375,65.94999694824219,67.66000366210938,0.05094769925445952,0.024386547549189563
1048,1048,1048,1048,2023-04-04,69.38999938964844,67.08999633789062,66.33999633789062,0.03428235470716268,0.04597532740615762
1049,1049,1049,1049,2023-04-05,68.80000305175781,67.8499984741211,68.02999877929688,0.014001541621243563,0.011318598945723846
1050,1050,1050,1050,2023-04-06,69.12999725341797,68.61000061035156,69.2300033569336,0.007579021111216111,-0.0014445485868318508
1051,1051,1051,1051,2023-04-10,69.7300033569336,69.19999694824219,66.23999786376953,0.007659052486488127,0.052687282694991566
1052,1052,1052,1052,2023-04-11,70.18000030517578,70.0,65.33999633789062,0.00257143293108264,0.0740741389432622
1053,1053,1053,1053,2023-04-12,69.9000015258789,69.30999755859375,65.94999694824219,0.008512537701164558,0.05989393116631536
1054,1054,1054,1054,2023-04-13,70.54000091552734,69.38999938964844,67.08999633789062,0.016573015362361554,0.051423532060744126
1055,1055,1055,1055,2023-04-14,68.95999908447266,68.80000305175781,67.8499984741211,0.002325523628167181,0.01635962616528186
1056,1056,1056,1056,2023-04-17,68.43000030517578,69.12999725341797,68.61000061035156,-0.010125806105215407,-0.002623528692238808
1057,1057,1057,1057,2023-04-18,67.70999908447266,69.7300033569336,69.19999694824219,-0.028968939842451302,-0.021531761986694375
1058,1058,1058,1058,2023-04-19,67.75,70.18000030517578,70.0,-0.03462525355669699,-0.03214285714285714
1059,1059,1059,1059,2023-04-20,66.87999725341797,69.9000015258789,69.30999755859375,-0.04320463814786679,-0.035059881557801154
1060,1060,1060,1060,2023-04-21,66.9800033569336,70.54000091552734,69.38999938964844,-0.050467784411526995,-0.03473117241552193
1061,1061,1061,1061,2023-04-24,67.19999694824219,68.95999908447266,68.80000305175781,-0.02552207307999743,-0.023255901635817477
1062,1062,1062,1062,2023-04-25,66.4000015258789,68.43000030517578,69.12999725341797,-0.02966533348302991,-0.039490754173349574
1063,1063,1063,1063,2023-04-26,65.41999816894531,67.70999908447266,69.7300033569336,-0.033820719930455434,-0.061809909371812966
1064,1064,1064,1064,2023-04-27,67.36000061035156,67.75,70.18000030517578,-0.005756448555696458,-0.04018238362156634
1065,1065,1065,1065,2023-04-28,67.77999877929688,66.87999725341797,69.9000015258789,0.01345696116685935,-0.03032908011879154
1066,1066,1066,1066,2023-05-01,68.4000015258789,66.9800033569336,70.54000091552734,0.021200329916052807,-0.030337388175130875
1067,1067,1067,1067,2023-05-02,67.75,67.19999694824219,68.95999908447266,0.008184569594272828,-0.01754639066903796
1068,1068,1068,1068,2023-05-03,67.2699966430664,66.4000015258789,68.43000030517578,0.013102335801128406,-0.016951682842848648
1069,1069,1069,1069,2023-05-04,67.06999969482422,65.41999816894531,67.70999908447266,0.02522166878723886,-0.0094520661394486
1070,1070,1070,1070,2023-05-05,77.16000366210938,67.36000061035156,67.75,0.14548697985391335,0.1388930429831643
1071,1071,1071,1071,2023-05-08,77.81999969482422,67.77999877929688,66.87999725341797,0.148126307116341,0.16357659824585524
1072,1072,1072,1072,2023-05-09,77.62999725341797,68.4000015258789,66.9800033569336,0.13494145499465993,0.1590025882759516
1073,1073,1073,1073,2023-05-10,78.55999755859375,67.75,67.19999694824219,0.15955715953643912,0.1690476358072024
1074,1074,1074,1074,2023-05-11,77.76000213623047,67.2699966430664,66.4000015258789,0.15593884371399436,0.17108434260990313
1075,1075,1075,1075,2023-05-12,78.1500015258789,67.06999969482422,65.41999816894531,0.16520056480497836,0.1945888675211931
1076,1076,1076,1076,2023-05-15,80.38999938964844,77.16000366210938,67.36000061035156,0.04186101055261093,0.1934382224054565
1077,1077,1077,1077,2023-05-16,80.75,77.81999969482422,67.77999877929688,0.03765099353207346,0.19135440327958153
1078,1078,1078,1078,2023-05-17,82.05000305175781,77.62999725341797,68.4000015258789,0.05693682796240518,0.1995614213650927
1079,1079,1079,1079,2023-05-18,84.5,78.55999755859375,67.75,0.07561103139006486,0.24723247232472323
