,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,PFG,PFG_6m,PFG_12m,PFG_6m_ret,PFG_12m_ret
965,965,965,965,2022-12-02,88.93360900878906,87.9168930053711,89.40166473388672,0.011564512446497144,-0.005235425162281593
966,966,966,966,2022-12-05,86.75318908691406,88.5778579711914,88.99934387207031,-0.020599604981086705,-0.025237880274543656
967,967,967,967,2022-12-06,86.62777709960938,85.77117156982422,86.0298080444336,0.009987103056973146,0.006950719393293836
968,968,968,968,2022-12-07,87.06192016601562,86.05854797363281,87.07393646240234,0.011659181057647405,-0.00013800106983685723
969,969,969,969,2022-12-08,85.97172546386719,86.52165985107422,87.17931365966797,-0.006356031404778917,-0.013851774522049887
970,970,970,970,2022-12-09,84.96835327148438,87.71797180175781,87.84983825683594,-0.03134612524429503,-0.0328001171376926
971,971,971,971,2022-12-12,87.09085845947266,88.93360900878906,87.9168930053711,-0.020720519158671458,-0.009395629413882611
972,972,972,972,2022-12-13,86.68566131591797,86.75318908691406,88.5778579711914,-0.0007783894944592973,-0.02136195995943868
973,973,973,973,2022-12-14,85.06482696533203,86.62777709960938,85.77117156982422,-0.01804213598232096,-0.008235221596771258
974,974,974,974,2022-12-15,83.06773376464844,87.06192016601562,86.05854797363281,-0.04587753628395519,-0.03475324972832128
975,975,975,975,2022-12-16,81.92928314208984,85.97172546386719,86.52165985107422,-0.04702060241278194,-0.05307776939195363
976,976,976,976,2022-12-19,81.34076690673828,84.96835327148438,87.71797180175781,-0.04269338200724582,-0.07270123515203908
977,977,977,977,2022-12-20,81.86175537109375,87.09085845947266,88.93360900878906,-0.0600419284052901,-0.0795183476361161
978,978,978,978,2022-12-21,83.18350219726562,86.68566131591797,86.75318908691406,-0.04040067371568001,-0.04114761575014991
979,979,979,979,2022-12-22,82.08364868164062,85.06482696533203,86.62777709960938,-0.035045957184000165,-0.052455789241176776
980,980,980,980,2022-12-23,82.54673767089844,83.06773376464844,87.06192016601562,-0.00627194302936096,-0.05186173801941574
981,981,981,981,2022-12-27,82.08364868164062,81.92928314208984,85.97172546386719,0.0018841314561859335,-0.04522506395269077
982,982,982,982,2022-12-28,81.42760467529297,81.34076690673828,84.96835327148438,0.001067579909275418,-0.041671380694860316
983,983,983,983,2022-12-29,82.49850463867188,81.86175537109375,87.09085845947266,0.007778348566942261,-0.05273060688611553
984,984,984,984,2022-12-30,80.9645004272461,83.18350219726562,86.68566131591797,-0.02667598395601667,-0.06599892994784484
985,985,985,985,2023-01-03,80.81978607177734,82.08364868164062,85.06482696533203,-0.015397251829839309,-0.0499035975854597
986,986,986,986,2023-01-04,82.01612091064453,82.54673767089844,83.06773376464844,-0.006428076689952267,-0.012659703188525495
987,987,987,987,2023-01-05,81.4179458618164,82.08364868164062,81.92928314208984,-0.008110053957349428,-0.006241202908935817
988,988,988,988,2023-01-06,84.37982940673828,81.42760467529297,81.34076690673828,0.03625582188273668,0.03736210777904825
989,989,989,989,2023-01-09,83.81061553955078,82.49850463867188,81.86175537109375,0.01590466283753522,0.023806723415867426
990,990,990,990,2023-01-10,84.53419494628906,80.9645004272461,83.18350219726562,0.044089625702695034,0.0162375075988066
991,991,991,991,2023-01-11,86.10679626464844,80.81978607177734,82.08364868164062,0.0654172752718698,0.04901277718064767
992,992,992,992,2023-01-12,85.24813842773438,82.01612091064453,82.54673767089844,0.039407100472492296,0.03272571191857421
993,993,993,993,2023-01-13,86.17432403564453,81.4179458618164,82.08364868164062,0.058419284882238465,0.049835447372344355
994,994,994,994,2023-01-17,86.1936264038086,84.37982940673828,81.42760467529297,0.021495622944758708,0.058530786304239024
995,995,995,995,2023-01-18,84.33159637451172,83.81061553955078,82.49850463867188,0.006216167625151092,0.022219696512905784
996,996,996,996,2023-01-19,83.84920501708984,84.53419494628906,80.9645004272461,-0.008103110577139194,0.03562925201318223
997,997,997,997,2023-01-20,84.86222076416016,86.10679626464844,80.81978607177734,-0.014453859096825394,0.050017884095766574
998,998,998,998,2023-01-23,86.1936264038086,85.24813842773438,82.01612091064453,0.011091010238020838,0.05093517526530422
999,999,999,999,2023-01-24,86.60847473144531,86.17432403564453,81.4179458618164,0.0050380516547039456,0.06375165591181009
1000,1000,1000,1000,2023-01-25,87.49607849121094,86.1936264038086,84.37982940673828,0.015110770270883922,0.03693120863579047
1001,1001,1001,1001,2023-01-26,89.01078796386719,84.33159637451172,83.81061553955078,0.05548562805067103,0.062046703640571854
1002,1002,1002,1002,2023-01-27,89.77296447753906,83.84920501708984,84.53419494628906,0.07064777130852762,0.061972194028447225
1003,1003,1003,1003,2023-01-30,90.10099029541016,84.86222076416016,86.10679626464844,0.061732647155311016,0.04638651307482866
1004,1004,1004,1004,2023-01-31,89.29058074951172,86.1936264038086,85.24813842773438,0.03593020127954949,0.04741971374781584
1005,1005,1005,1005,2023-02-01,88.83712005615234,86.60847473144531,86.17432403564453,0.02573241627470746,0.030900109171803747
1006,1006,1006,1006,2023-02-02,89.59930419921875,87.49607849121094,86.1936264038086,0.024037942548694735,0.039511944647216746
1007,1007,1007,1007,2023-02-03,89.05902099609375,89.01078796386719,84.33159637451172,0.0005418784995605552,0.056057573019106854
1008,1008,1008,1008,2023-02-06,88.33543395996094,89.77296447753906,83.84920501708984,-0.016012955859754263,0.05350353580522005
1009,1009,1009,1009,2023-02-07,89.48352813720703,90.10099029541016,84.86222076416016,-0.0068530007958700345,0.054456592479354304
1010,1010,1010,1010,2023-02-08,87.92058563232422,89.29058074951172,86.1936264038086,-0.015343109045631187,0.020035811237654633
1011,1011,1011,1011,2023-02-09,86.4926986694336,88.83712005615234,86.60847473144531,-0.026390110184086102,-0.0013367752101710595
1012,1012,1012,1012,2023-02-10,87.19699096679688,89.59930419921875,87.49607849121094,-0.026811739822002134,-0.0034182963347791917
1013,1013,1013,1013,2023-02-13,89.72472381591797,89.05902099609375,89.01078796386719,0.0074748499633003895,0.008020778923343519
1014,1014,1014,1014,2023-02-14,88.74066162109375,88.33543395996094,89.77296447753906,0.004587373865356126,-0.011499039409616385
1015,1015,1015,1015,2023-02-15,88.76959228515625,89.48352813720703,90.10099029541016,-0.007978405265336552,-0.014776730043573494
1016,1016,1016,1016,2023-02-16,88.16177368164062,87.92058563232422,89.29058074951172,0.002743248894235384,-0.012641950118319367
1017,1017,1017,1017,2023-02-17,87.82410430908203,86.4926986694336,88.83712005615234,0.015393272034867733,-0.011403068294312146
1018,1018,1018,1018,2023-02-21,84.68856048583984,87.19699096679688,89.59930419921875,-0.028767397282231877,-0.05480783313294668
1019,1019,1019,1019,2023-02-22,85.0455322265625,89.72472381591797,89.05902099609375,-0.052150526525503116,-0.04506549392348802
1020,1020,1020,1020,2023-02-23,85.81735229492188,88.74066162109375,88.33543395996094,-0.03294216284586504,-0.028505906997416397
1021,1021,1021,1021,2023-02-24,85.75947570800781,88.76959228515625,89.48352813720703,-0.03390932074441644,-0.04161718370658174
1022,1022,1022,1022,2023-02-27,85.55686950683594,88.16177368164062,87.92058563232422,-0.02954686669770512,-0.02688467221286628
1023,1023,1023,1023,2023-02-28,86.40586853027344,87.82410430908203,86.4926986694336,-0.016148593714287784,-0.0010039013754445936
1024,1024,1024,1024,2023-03-01,88.0170669555664,84.68856048583984,87.19699096679688,0.03930290526408342,0.00940486569177379
1025,1025,1025,1025,2023-03-02,83.14491271972656,85.0455322265625,89.72472381591797,-0.022348258128042087,-0.0733333112252399
1026,1026,1026,1026,2023-03-03,84.47631072998047,85.81735229492188,88.74066162109375,-0.015626694707764344,-0.048054080431823576
1027,1027,1027,1027,2023-03-06,82.68180847167969,85.75947570800781,88.76959228515625,-0.03588719743118429,-0.06857960768728844
1028,1028,1028,1028,2023-03-07,81.36007690429688,85.55686950683594,88.16177368164062,-0.04905266668509578,-0.07715018077908953
1029,1029,1029,1029,2023-03-08,80.29881286621094,86.40586853027344,87.82410430908203,-0.07067871393391312,-0.08568594581263367
1030,1030,1030,1030,2023-03-09,76.13094329833984,88.0170669555664,84.68856048583984,-0.13504339633615636,-0.10104808888481287
1031,1031,1031,1031,2023-03-10,74.29786682128906,83.14491271972656,85.0455322265625,-0.10640513783759731,-0.12637542647909483
1032,1032,1032,1032,2023-03-13,69.58972930908203,84.47631072998047,85.81735229492188,-0.17622196438575322,-0.18909489225525888
