,Unnamed: 0.1,Unnamed: 0,Date,CTSH,CTSH_6m,CTSH_12m
353,353,353,2020-06-30,53.96736907958984,51.14646911621094,52.04877471923828
354,354,354,2020-07-01,53.58744430541992,52.428688049316406,51.92530059814453
355,355,355,2020-07-02,53.26450729370117,51.09897232055664,52.59015655517578
356,356,356,2020-07-06,53.43547821044922,52.799110412597656,52.70413589477539
357,357,357,2020-07-07,53.04605484008789,52.43819046020508,52.134254455566406
358,358,358,2020-07-08,52.903587341308594,53.653934478759766,51.44091033935547
359,359,359,2020-07-09,52.50467300415039,53.96736907958984,51.14646911621094
360,360,360,2020-07-10,52.97956848144531,53.58744430541992,52.428688049316406
361,361,361,2020-07-13,53.62542724609375,53.26450729370117,51.09897232055664
362,362,362,2020-07-14,53.63492965698242,53.43547821044922,52.799110412597656
363,363,363,2020-07-15,56.67427062988281,53.04605484008789,52.43819046020508
364,364,364,2020-07-16,57.984989166259766,52.903587341308594,53.653934478759766
365,365,365,2020-07-17,58.34592056274414,52.50467300415039,53.96736907958984
366,366,366,2020-07-20,58.611854553222656,52.97956848144531,53.58744430541992
367,367,367,2020-07-21,58.52637481689453,53.62542724609375,53.26450729370117
368,368,368,2020-07-22,58.84930419921875,53.63492965698242,53.43547821044922
369,369,369,2020-07-23,58.96328353881836,56.67427062988281,53.04605484008789
370,370,370,2020-07-24,58.69734191894531,57.984989166259766,52.903587341308594
371,371,371,2020-07-27,60.245513916015625,58.34592056274414,52.50467300415039
372,372,372,2020-07-28,59.49516677856445,58.611854553222656,52.97956848144531
373,373,373,2020-07-29,61.53722381591797,58.52637481689453,53.62542724609375
374,374,374,2020-07-30,65.70681762695312,58.84930419921875,53.63492965698242
375,375,375,2020-07-31,64.8899917602539,58.96328353881836,56.67427062988281
376,376,376,2020-08-03,64.62406921386719,58.69734191894531,57.984989166259766
377,377,377,2020-08-04,64.51008605957031,60.245513916015625,58.34592056274414
