,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,MPC,MPC_6m,MPC_12m,MPC_6m_ret,MPC_12m_ret
61,61,61,61,2019-05-03,50.34907913208008,50.9284782409668,50.39946746826172,-0.011376721412041935,-0.0009997791388047794
62,62,62,62,2019-05-06,49.95441436767578,50.71015167236328,50.58419418334961,-0.014903077189953873,-0.01245013043780241
63,63,63,63,2019-05-07,49.9040412902832,51.2139892578125,50.223121643066406,-0.025577932641313805,-0.006353256076969793
64,64,64,64,2019-05-08,46.37725067138672,51.11322021484375,51.33153533935547,-0.09265645020114899,-0.09651541952165887
65,65,65,65,2019-05-09,44.47110748291016,50.34068298339844,51.27276611328125,-0.11659705734274539,-0.13265636215810184
66,66,66,66,2019-05-10,44.630645751953125,49.28264617919922,49.96281051635742,-0.09439429064605642,-0.10672267451124651
67,67,67,67,2019-05-13,42.59015655517578,50.34907913208008,50.9284782409668,-0.15410257169848962,-0.1637261110834386
68,68,68,68,2019-05-14,43.0855827331543,49.95441436767578,50.71015167236328,-0.13750199499818638,-0.15035586934290968
69,69,69,69,2019-05-15,43.43345642089844,49.9040412902832,51.2139892578125,-0.12966053854729898,-0.1519220226674135
70,70,70,70,2019-05-16,44.85041427612305,46.37725067138672,51.11322021484375,-0.032922098079558704,-0.12252810353948174
71,71,71,71,2019-05-17,44.07830047607422,44.47110748291016,50.34068298339844,-0.008832858659679088,-0.12440003067478156
72,72,72,72,2019-05-20,44.2225341796875,44.630645751953125,49.28264617919922,-0.009144200479056841,-0.10267533080736735
73,73,73,73,2019-05-21,45.20677185058594,42.59015655517578,50.34907913208008,0.06143709032908373,-0.10213309498679002
74,74,74,74,2019-05-22,44.05283737182617,43.0855827331543,49.95441436767578,0.022449612545859088,-0.11813924896431915
75,75,75,75,2019-05-23,42.54255294799805,43.43345642089844,49.9040412902832,-0.02051191745522063,-0.14751286973863798
76,76,76,76,2019-05-24,42.66982269287109,44.85041427612305,46.37725067138672,-0.048619207167788336,-0.0799406589404188
77,77,77,77,2019-05-28,41.575286865234375,44.07830047607422,44.47110748291016,-0.05678561976767871,-0.06511689907404772
78,78,78,78,2019-05-29,41.56680679321289,44.2225341796875,44.630645751953125,-0.06005371324229647,-0.06864877052795404
79,79,79,79,2019-05-30,39.971675872802734,45.20677185058594,42.59015655517578,-0.11580335784837403,-0.06148088887583192
80,80,80,80,2019-05-31,39.02138137817383,44.05283737182617,43.0855827331543,-0.11421411863178177,-0.09432856879647289
81,81,81,81,2019-06-03,39.9886474609375,42.54255294799805,43.43345642089844,-0.06003178723623659,-0.07931233762697809
82,82,82,82,2019-06-04,41.142574310302734,42.66982269287109,44.85041427612305,-0.03579223643747442,-0.08267125344691073
83,83,83,83,2019-06-05,40.46378707885742,41.575286865234375,44.07830047607422,-0.02673462699078566,-0.08200210439553501
84,84,84,84,2019-06-06,40.81166076660156,41.56680679321289,44.2225341796875,-0.0181670444489046,-0.07712975921340659
85,85,85,85,2019-06-07,39.86985397338867,39.971675872802734,45.20677185058594,-0.0025473512728882985,-0.11805571729024245
86,86,86,86,2019-06-10,40.4553108215332,39.02138137817383,44.05283737182617,0.036747275281275193,-0.081663901008877
87,87,87,87,2019-06-11,40.53167343139648,39.9886474609375,42.54255294799805,0.013579503307518115,-0.04726748578204909
88,88,88,88,2019-06-12,39.85289764404297,41.142574310302734,42.66982269287109,-0.0313465233490946,-0.06601679761136547
89,89,89,89,2019-06-13,40.641971588134766,40.46378707885742,41.575286865234375,0.004403554934937048,-0.02244879945446765
90,90,90,90,2019-06-14,40.69287872314453,40.81166076660156,41.56680679321289,-0.0029104927666712133,-0.02102466216411547
91,91,91,91,2019-06-17,41.32923126220703,39.86985397338867,39.971675872802734,0.03660352731144756,0.033962933996670275
92,92,92,92,2019-06-18,42.11831283569336,40.4553108215332,39.02138137817383,0.04110713724327608,0.07936498781285506
93,93,93,93,2019-06-19,42.13528823852539,40.53167343139648,39.9886474609375,0.039564485533595706,0.053681254903277686
94,94,94,94,2019-06-20,44.07830047607422,39.85289764404297,41.142574310302734,0.10602498392391912,0.07135494594066594
95,95,95,95,2019-06-21,44.68070602416992,40.641971588134766,40.46378707885742,0.09937348701887894,0.10421463856297986
96,96,96,96,2019-06-24,43.78133392333984,40.69287872314453,40.81166076660156,0.07589669979378266,0.07276531023134747
97,97,97,97,2019-06-25,43.603153228759766,41.32923126220703,39.86985397338867,0.05501970148261859,0.09363714393995282
98,98,98,98,2019-06-26,45.995853424072266,42.11831283569336,40.4553108215332,0.0920630558851081,0.1369546418016887
99,99,99,99,2019-06-27,46.13160705566406,42.13528823852539,40.53167343139648,0.09484493839263064,0.1381619151191964
100,100,100,100,2019-06-28,47.41279983520508,44.07830047607422,39.85289764404297,0.07564945388356858,0.18969516993934632
101,101,101,101,2019-07-01,46.7679557800293,44.68070602416992,40.641971588134766,0.046714789035121385,0.15073048753577156
102,102,102,102,2019-07-02,46.23342514038086,43.78133392333984,40.69287872314453,0.05600768631980424,0.13615518466834553
103,103,103,103,2019-07-03,46.08917999267578,43.603153228759766,41.32923126220703,0.057014839061599876,0.1151714799694672
104,104,104,104,2019-07-05,46.55583190917969,45.995853424072266,42.11831283569336,0.012174542777683373,0.10535842427490905
105,105,105,105,2019-07-08,46.10615539550781,46.13160705566406,42.13528823852539,-0.0005517184806836939,0.09424089220663623
106,106,106,106,2019-07-09,46.36069869995117,47.41279983520508,44.07830047607422,-0.022190234259751418,0.0517805405205185
107,107,107,107,2019-07-10,46.649173736572266,46.7679557800293,44.68070602416992,-0.002539816878371126,0.04405632514708935
108,108,108,108,2019-07-11,47.03948211669922,46.23342514038086,43.78133392333984,0.017434507044868264,0.07441865976638184
109,109,109,109,2019-07-12,47.07341384887695,46.08917999267578,43.603153228759766,0.021354987360538535,0.07958737758966183
110,110,110,110,2019-07-15,46.52190017700195,46.55583190917969,45.995853424072266,-0.000728839562869954,0.011436829926377179
111,111,111,111,2019-07-16,47.24309539794922,46.10615539550781,46.13160705566406,0.02465918037816217,0.024093856971945327
112,112,112,112,2019-07-17,46.080692291259766,46.36069869995117,47.41279983520508,-0.006039736598958956,-0.028095947688712375
113,113,113,113,2019-07-18,46.97159957885742,46.649173736572266,46.7679557800293,0.006911716038228155,0.0043543446668046215
114,114,114,114,2019-07-19,46.86977767944336,47.03948211669922,46.23342514038086,-0.0036077020753511047,0.01376390646226855
115,115,115,115,2019-07-22,46.85281753540039,47.07341384887695,46.08917999267578,-0.004686218726025704,0.01656869449284981
116,116,116,116,2019-07-23,47.2685661315918,46.52190017700195,46.55583190917969,0.016049773370154785,0.015309236097477585
117,117,117,117,2019-07-24,48.8891487121582,47.24309539794922,46.10615539550781,0.03484219863968607,0.06036055907887605
118,118,118,118,2019-07-25,47.93886566162109,46.080692291259766,46.36069869995117,0.040324337113176734,0.03404105213952646
119,119,119,119,2019-07-26,48.22734069824219,46.97159957885742,46.649173736572266,0.026734050588943292,0.03383054479339398
120,120,120,120,2019-07-29,47.6503791809082,46.86977767944336,47.03948211669922,0.016654687521746148,0.01298690029565841
121,121,121,121,2019-07-30,48.40551376342773,46.85281753540039,47.07341384887695,0.03313986884255504,0.028298349442581472
122,122,122,122,2019-07-31,47.84552764892578,47.2685661315918,46.52190017700195,0.012206029599623802,0.028451706978601887
123,123,123,123,2019-08-01,46.97159957885742,48.8891487121582,47.24309539794922,-0.03922238745842399,-0.005746783033687142
124,124,124,124,2019-08-02,45.495243072509766,47.93886566162109,46.080692291259766,-0.050973725710569684,-0.012704870296860626
125,125,125,125,2019-08-05,42.99224472045898,48.22734069824219,46.97159957885742,-0.10855037623863883,-0.08471831689950815
126,126,126,126,2019-08-06,42.07589721679688,47.6503791809082,46.86977767944336,-0.11698714805494803,-0.10228084492811729
127,127,127,127,2019-08-07,40.83712387084961,48.40551376342773,46.85281753540039,-0.15635388004695316,-0.12839555828217863
128,128,128,128,2019-08-08,42.01650238037109,47.84552764892578,47.2685661315918,-0.12183009687605706,-0.1111111290450274
129,129,129,129,2019-08-09,41.05772018432617,46.97159957885742,48.8891487121582,-0.12590330002713324,-0.16018745946959878
130,130,130,130,2019-08-12,39.32682800292969,45.495243072509766,47.93886566162109,-0.13558373695792625,-0.1796462544499885
131,131,131,131,2019-08-13,40.00561141967773,42.99224472045898,48.22734069824219,-0.06946911751644325,-0.17047859491170592
132,132,132,132,2019-08-14,37.86745071411133,42.07589721679688,47.6503791809082,-0.10002036275070858,-0.2053064138200299
133,133,133,133,2019-08-15,38.52077865600586,40.83712387084961,48.40551376342773,-0.05672155615486929,-0.20420680081470755
134,134,134,134,2019-08-16,39.21652603149414,42.01650238037109,47.84552764892578,-0.06663991979934569,-0.18035126879043584
135,135,135,135,2019-08-19,40.56561279296875,41.05772018432617,46.97159957885742,-0.011985745656313496,-0.13638000075203094
136,136,136,136,2019-08-20,40.08513259887695,39.32682800292969,45.495243072509766,0.019282119470473758,-0.11891595930172838
137,137,137,137,2019-08-21,40.522708892822266,40.00561141967773,42.99224472045898,0.012925623551155008,-0.05744142562673682
138,138,138,138,2019-08-22,40.23098373413086,37.86745071411133,42.07589721679688,0.062415952894836924,-0.04384727610584438
139,139,139,139,2019-08-23,39.26146697998047,38.52077865600586,40.83712387084961,0.019228280159885314,-0.03858393396783455
140,140,140,140,2019-08-26,39.50170135498047,39.21652603149414,42.01650238037109,0.0072718150316861685,-0.05985269793816683
141,141,141,141,2019-08-27,38.89253616333008,40.56561279296875,41.05772018432617,-0.04124371640032676,-0.0527351253619448
142,142,142,142,2019-08-28,39.75052261352539,40.08513259887695,39.32682800292969,-0.008347483559551394,0.010773678735649383
143,143,143,143,2019-08-29,41.6638298034668,40.522708892822266,40.00561141967773,0.028160035244994663,0.04144964481091362
144,144,144,144,2019-08-30,42.221527099609375,40.23098373413086,37.86745071411133,0.04947786956026623,0.11498203083091352
145,145,145,145,2019-09-03,42.590450286865234,39.26146697998047,38.52077865600586,0.08479008969741808,0.10564873745678716
146,146,146,146,2019-09-04,43.46560287475586,39.50170135498047,39.21652603149414,0.1003476150091347,0.10834913933603807
147,147,147,147,2019-09-05,45.02714157104492,38.89253616333008,40.56561279296875,0.1577322029592627,0.1099830243128852
148,148,148,148,2019-09-06,45.01856231689453,39.75052261352539,40.08513259887695,0.13252755830628127,0.12307380313258087
149,149,149,149,2019-09-09,45.97092819213867,41.6638298034668,40.522708892822266,0.10337739974911009,0.13444854621457547
150,150,150,150,2019-09-10,46.74311065673828,42.221527099609375,40.23098373413086,0.10709189997940038,0.16186844859780836
151,151,151,151,2019-09-11,46.4256591796875,42.590450286865234,39.26146697998047,0.09004856410276152,0.18247387962757666
152,152,152,152,2019-09-12,45.63630294799805,43.46560287475586,39.50170135498047,0.04994064109721341,0.15529968033248043
153,153,153,153,2019-09-13,45.72210693359375,45.02714157104492,38.89253616333008,0.015434365547106532,0.17560106498539296
154,154,154,154,2019-09-16,44.96707534790039,45.01856231689453,39.75052261352539,-0.0011436831019105975,0.13123230567539834
155,155,155,155,2019-09-17,45.82505416870117,45.97092819213867,41.6638298034668,-0.0031731798589710314,0.09987618480738236
156,156,156,156,2019-09-18,46.12535858154297,46.74311065673828,42.221527099609375,-0.013215895701332858,0.09246068889748216
157,157,157,157,2019-09-19,46.26264190673828,46.4256591796875,42.590450286865234,-0.0035113615149388044,0.08622100952535683
158,158,158,158,2019-09-20,47.27506637573242,45.63630294799805,43.46560287475586,0.03590920652800733,0.08764317642052166
159,159,159,159,2019-09-23,47.858489990234375,45.72210693359375,45.02714157104492,0.04672538515653879,0.06288092737848094
160,160,160,160,2019-09-24,47.60110092163086,44.96707534790039,45.01856231689453,0.0585767598482132,0.057366083495899556
161,161,161,161,2019-09-25,51.60789489746094,45.82505416870117,45.97092819213867,0.1261938656410686,0.12262024994931964
162,162,162,162,2019-09-26,52.19990158081055,46.12535858154297,46.74311065673828,0.131696385373973,0.11674000397929518
163,163,163,163,2019-09-27,53.55552291870117,46.26264190673828,46.4256591796875,0.15764082446187877,0.15357592902274142
164,164,164,164,2019-09-30,52.12268829345703,47.27506637573242,45.63630294799805,0.10254077443692444,0.14213213881172915
165,165,165,165,2019-10-01,51.80524826049805,47.858489990234375,45.72210693359375,0.0824672544217131,0.13304595380390882
166,166,166,166,2019-10-02,50.79281234741211,47.60110092163086,44.96707534790039,0.06705121024482175,0.12955561273307792
167,167,167,167,2019-10-03,51.47919464111328,51.60789489746094,45.82505416870117,-0.002493809456932339,0.12338535272859374
168,168,168,168,2019-10-04,52.114105224609375,52.19990158081055,46.12535858154297,-0.0016436114552506043,0.1298363162311067
169,169,169,169,2019-10-07,51.82240295410156,53.55552291870117,46.26264190673828,-0.03236118088568629,0.12017820034081295
170,170,170,170,2019-10-08,51.32476806640625,52.12268829345703,47.27506637573242,-0.015308501022786691,0.0856625278637928
171,171,171,171,2019-10-09,51.95966720581055,51.80524826049805,47.858489990234375,0.002980758716491838,0.08569382812564763
172,172,172,172,2019-10-10,53.13511276245117,50.79281234741211,47.60110092163086,0.04611480063396023,0.11625806407148764
173,173,173,173,2019-10-11,54.41350936889648,51.47919464111328,51.60789489746094,0.05700001230088669,0.05436405567423308
174,174,174,174,2019-10-14,54.17327499389648,52.114105224609375,52.19990158081055,0.03951271465589157,0.03780415965020456
175,175,175,175,2019-10-15,54.95404815673828,51.82240295410156,53.55552291870117,0.060430335610071495,0.026113557702724943
176,176,176,176,2019-10-16,53.78718185424805,51.32476806640625,52.12268829345703,0.047977105023754074,0.03193414643964099
177,177,177,177,2019-10-17,54.99694442749024,51.95966720581055,51.80524826049805,0.05845451645502542,0.06160951398095871
178,178,178,178,2019-10-18,55.88925552368164,53.13511276245117,50.79281234741211,0.05183282048432436,0.10033788130121524
179,179,179,179,2019-10-21,55.48599624633789,54.41350936889648,51.47919464111328,0.019709937658504817,0.07783341664837584
180,180,180,180,2019-10-22,55.92356491088867,54.17327499389648,52.114105224609375,0.032309102914479304,0.07309843793461868
181,181,181,181,2019-10-23,56.515586853027344,54.95404815673828,51.82240295410156,0.028415353348224537,0.09056283829760803
182,182,182,182,2019-10-24,56.92741012573242,53.78718185424805,51.32476806640625,0.05838246517532242,0.10916059186233884
183,183,183,183,2019-10-25,58.351661682128906,54.99694442749024,51.95966720581055,0.06099824798560638,0.12301838753123406
184,184,184,184,2019-10-28,57.98273086547852,55.88925552368164,53.13511276245117,0.03745756357247987,0.09123191522523699
185,185,185,185,2019-10-29,58.36024856567383,55.48599624633789,54.41350936889648,0.051801400601609204,0.07253234063659497
186,186,186,186,2019-10-30,56.790138244628906,55.92356491088867,54.17327499389648,0.015495674052987685,0.04830542829517448
187,187,187,187,2019-10-31,54.86824417114258,56.515586853027344,54.95404815673828,-0.02914846635440227,-0.0015613769771969377
188,188,188,188,2019-11-01,57.030372619628906,56.92741012573242,53.78718185424805,0.001808662886104928,0.06029672225938931
189,189,189,189,2019-11-04,58.2916145324707,58.351661682128906,54.99694442749024,-0.0010290563786393703,0.059906420970791574
190,190,190,190,2019-11-05,57.00463485717773,57.98273086547852,55.88925552368164,-0.016868746844125093,0.019956954571052954
191,191,191,191,2019-11-06,55.1513786315918,58.36024856567383,55.48599624633789,-0.05498382911222577,-0.006030667869069362
192,192,192,192,2019-11-07,56.841609954833984,56.790138244628906,55.92356491088867,0.0009063494436896136,0.01641606799223494
193,193,193,193,2019-11-08,56.8244514465332,54.86824417114258,56.515586853027344,0.035652813479667866,0.005465122291113733
194,194,194,194,2019-11-11,56.37831115722656,57.030372619628906,56.92741012573242,-0.01143358236060188,-0.009645598970567826
195,195,195,195,2019-11-12,55.68333053588867,58.2916145324707,58.351661682128906,-0.044745440960965555,-0.045728451758169086
196,196,196,196,2019-11-13,55.12564086914063,57.00463485717773,57.98273086547852,-0.03296212654891695,-0.049274843624844356
197,197,197,197,2019-11-14,55.29723358154297,55.1513786315918,58.36024856567383,0.0026446292653077297,-0.052484611690507
198,198,198,198,2019-11-15,55.503150939941406,56.841609954833984,56.790138244628906,-0.023547169335212503,-0.022662161855350305
199,199,199,199,2019-11-18,55.37446212768555,56.8244514465332,54.86824417114258,-0.02551699632704718,0.00922606444201124
200,200,200,200,2019-11-19,53.505859375,56.37831115722656,57.030372619628906,-0.050949589004465445,-0.06180063504294597
201,201,201,201,2019-11-20,53.46261215209961,55.68333053588867,58.2916145324707,-0.03988120614225432,-0.08284214494832964
202,202,202,202,2019-11-21,54.70833969116211,55.12564086914063,57.00463485717773,-0.007570001389537229,-0.040282604594676696
203,203,203,203,2019-11-22,53.94705581665039,55.29723358154297,55.1513786315918,-0.02441673258213839,-0.021836676522380638
204,204,204,204,2019-11-25,54.00761032104492,55.503150939941406,56.841609954833984,-0.026945148042401668,-0.04985783541389732
205,205,205,205,2019-11-26,53.35013961791992,55.37446212768555,56.8244514465332,-0.03655696925954477,-0.06114114153626815
206,206,206,206,2019-11-27,53.1771240234375,53.505859375,56.37831115722656,-0.006143913122832578,-0.05678047227881067
207,207,207,207,2019-11-29,52.459102630615234,53.46261215209961,55.68333053588867,-0.01877030472490604,-0.0579029284750735
208,208,208,208,2019-12-02,52.65807723999024,54.70833969116211,55.12564086914063,-0.037476232376013385,-0.044762538634389504
209,209,209,209,2019-12-03,51.93140411376953,53.94705581665039,55.29723358154297,-0.037363516365590876,-0.06086795396030231
210,210,210,210,2019-12-04,51.93140411376953,54.00761032104492,55.503150939941406,-0.0384428452755734,-0.06435214516085352
211,211,211,211,2019-12-05,51.77568435668945,53.35013961791992,55.37446212768555,-0.02951173647353722,-0.064989846090023
212,212,212,212,2019-12-06,52.07847213745117,53.1771240234375,53.505859375,-0.02066023513234949,-0.026677213565431623
213,213,213,213,2019-12-09,50.54724884033203,52.459102630615234,53.46261215209961,-0.036444652966050595,-0.05453088044919041
214,214,214,214,2019-12-10,50.75486373901367,52.65807723999024,54.70833969116211,-0.03614285976114617,-0.07226459392601714
215,215,215,215,2019-12-11,49.40533065795898,51.93140411376953,53.94705581665039,-0.048642502526535236,-0.08418856395291252
216,216,216,216,2019-12-12,51.04035568237305,51.93140411376953,54.00761032104492,-0.01715818100054456,-0.054941416978703805
217,217,217,217,2019-12-13,50.70296859741211,51.77568435668945,53.35013961791992,-0.02071852400611962,-0.04961882085906755
218,218,218,218,2019-12-16,52.55426406860352,52.07847213745117,53.1771240234375,0.00913605779172233,-0.011712930442786984
219,219,219,219,2019-12-17,52.95219802856445,50.54724884033203,52.459102630615234,0.04757824102018171,0.009399615571415554
220,220,220,220,2019-12-18,52.69267272949219,50.75486373901367,52.65807723999024,0.03817976934078504,0.0006569835306420302
221,221,221,221,2019-12-19,52.88299560546875,49.40533065795898,51.93140411376953,0.07039048016065719,0.01832400852506333
222,222,222,222,2019-12-20,53.29824066162109,51.04035568237305,51.93140411376953,0.044237250094787406,0.026320038350150066
223,223,223,223,2019-12-23,52.47639846801758,50.70296859741211,51.77568435668945,0.03497684493952846,0.013533652331870982
224,224,224,224,2019-12-24,52.74458312988281,52.55426406860352,52.07847213745117,0.0036213819116723833,0.012790524857825503
225,225,225,225,2019-12-26,52.31203842163086,52.95219802856445,50.54724884033203,-0.01208938685771399,0.03491366240076532
226,226,226,226,2019-12-27,52.23419189453125,52.69267272949219,50.75486373901367,-0.00870103585966564,0.029146529938971488
227,227,227,227,2019-12-30,51.61996078491211,52.88299560546875,49.40533065795898,-0.023883571762451927,0.04482573231389475
228,228,228,228,2019-12-31,52.12172317504883,53.29824066162109,51.04035568237305,-0.02207422744104659,0.021186519533782144
229,229,229,229,2020-01-02,53.55776596069336,52.47639846801758,50.70296859741211,0.020606739872494062,0.05630434355725189
230,230,230,230,2020-01-03,50.37423706054688,52.74458312988281,52.55426406860352,-0.044940085382777384,-0.041481448683419186
231,231,231,231,2020-01-06,50.36558532714844,52.31203842163086,52.95219802856445,-0.03720851171568129,-0.04884807048086459
232,232,232,232,2020-01-07,51.16145706176758,52.23419189453125,52.69267272949219,-0.020537023621035155,-0.029059366101723327
233,233,233,233,2020-01-08,50.62511444091797,51.61996078491211,52.88299560546875,-0.019272512587512947,-0.04269578791253814
234,234,234,234,2020-01-09,51.377742767333984,52.12172317504883,53.29824066162109,-0.014273902749074807,-0.036033044814366866
235,235,235,235,2020-01-10,52.09576797485352,53.55776596069336,52.47639846801758,-0.02729759092104056,-0.00725336540380217
236,236,236,236,2020-01-13,51.57670974731445,50.37423706054688,52.74458312988281,0.02387078707161905,-0.022142053520311067
237,237,237,237,2020-01-14,51.76704025268555,50.36558532714844,52.31203842163086,0.02782564555606748,-0.01041821701828305
238,238,238,238,2020-01-15,50.287723541259766,51.16145706176758,52.23419189453125,-0.017077963973014865,-0.037264257044537064
239,239,239,239,2020-01-16,49.7686653137207,50.62511444091797,51.61996078491211,-0.016917475380658797,-0.035863945710949086
240,240,240,240,2020-01-17,49.21501541137695,51.377742767333984,52.12172317504883,-0.04209463552634107,-0.05576768354165518
241,241,241,241,2020-01-21,48.60079956054688,52.09576797485352,53.55776596069336,-0.06708737677105847,-0.09255364392503695
242,242,242,242,2020-01-22,48.41912841796875,51.57670974731445,50.37423706054688,-0.061221069448116894,-0.03881167748959069
