,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,META,META_6m,META_12m,META_6m_ret,META_12m_ret
599,599,599,599,2021-06-22,339.0299987792969,336.7699890136719,330.3500061035156,0.006710840749925673,0.026275140049676127
600,600,600,600,2021-06-23,340.5899963378906,336.75,336.5799865722656,0.011403107165228299,0.011913987538186621
601,601,601,601,2021-06-24,343.17999267578125,331.0799865722656,333.67999267578125,0.0365470780302648,0.028470391418494945
602,602,602,602,2021-06-25,341.3699951171875,336.510009765625,330.25,0.014442320318933222,0.0336714462291825
603,603,603,603,2021-06-28,355.6400146484375,329.6600036621094,332.4599914550781,0.07880850178281484,0.0697227449591975
604,604,604,604,2021-06-29,351.8900146484375,332.2900085449219,331.260009765625,0.058984638717675786,0.06227737811578504
605,605,605,605,2021-06-30,347.7099914550781,339.0299987792969,336.7699890136719,0.02560243254884287,0.032485087146414626
606,606,606,606,2021-07-01,354.3900146484375,340.5899963378906,336.75,0.04051797897450937,0.05238311699610243
607,607,607,607,2021-07-02,354.70001220703125,343.17999267578125,331.0799865722656,0.03356844739528131,0.0713423540918563
608,608,608,608,2021-07-06,352.7799987792969,341.3699951171875,336.510009765625,0.033424155096561714,0.04834919776978919
609,609,609,609,2021-07-07,350.489990234375,355.6400146484375,329.6600036621094,-0.014481003829542316,0.06318627173715519
610,610,610,610,2021-07-08,345.6499938964844,351.8900146484375,332.2900085449219,-0.017732872466379446,0.040205799175440315
611,611,611,611,2021-07-09,350.4200134277344,347.7099914550781,339.0299987792969,0.00779391458184886,0.03359589030306487
612,612,612,612,2021-07-12,353.1600036621094,354.3900146484375,340.5899963378906,-0.0034707834179479313,0.03690656642700785
613,613,613,613,2021-07-13,352.0899963378906,354.70001220703125,343.17999267578125,-0.007358375470303602,0.025963062685087968
614,614,614,614,2021-07-14,347.6300048828125,352.7799987792969,341.3699951171875,-0.014598315988164301,0.018337902730660494
615,615,615,615,2021-07-15,344.4599914550781,350.489990234375,355.6400146484375,-0.017204482145879774,-0.03143634780358229
616,616,616,616,2021-07-16,341.1600036621094,345.6499938964844,351.8900146484375,-0.012989990781598793,-0.030492513398108656
617,617,617,617,2021-07-19,336.95001220703125,350.4200134277344,347.7099914550781,-0.03843958879215381,-0.03094526908191242
618,618,618,618,2021-07-20,341.6600036621094,353.1600036621094,354.3900146484375,-0.032563143846274234,-0.03592090764452427
619,619,619,619,2021-07-21,346.2300109863281,352.0899963378906,354.70001220703125,-0.016643430408453952,-0.023879337268698397
620,620,620,620,2021-07-22,351.19000244140625,347.6300048828125,352.7799987792969,0.010240766069067764,-0.004507047858133606
621,621,621,621,2021-07-23,369.7900085449219,344.4599914550781,350.489990234375,0.07353544016198788,0.055065818848751835
622,622,622,622,2021-07-26,372.4599914550781,341.1600036621094,345.6499938964844,0.09174577165255515,0.07756400414293907
623,623,623,623,2021-07-27,367.80999755859375,336.95001220703125,350.4200134277344,0.09158624197526755,0.0496261157025657
624,624,624,624,2021-07-28,373.2799987792969,341.6600036621094,353.1600036621094,0.09254813199750078,0.05697133001628796
625,625,625,625,2021-07-29,358.32000732421875,346.2300109863281,352.0899963378906,0.034918972804954374,0.01769437090268644
626,626,626,626,2021-07-30,356.29998779296875,351.19000244140625,347.6300048828125,0.014550486392092221,0.024940260588492524
627,627,627,627,2021-08-02,351.95001220703125,369.7900085449219,344.4599914550781,-0.048243586699621255,0.021744240079417
628,628,628,628,2021-08-03,351.239990234375,372.4599914550781,341.1600036621094,-0.05697256539636264,0.02954621428087756
629,629,629,629,2021-08-04,358.9200134277344,367.80999755859375,336.95001220703125,-0.024170044832571902,0.06520255356810667
630,630,630,630,2021-08-05,362.9700012207031,373.2799987792969,341.6600036621094,-0.027620010695214248,0.0623719409066934
631,631,631,631,2021-08-06,363.510009765625,358.32000732421875,346.2300109863281,0.014484266396852963,0.049909014906218685
632,632,632,632,2021-08-09,361.6099853515625,356.29998779296875,351.19000244140625,0.014903165143185904,0.02967049983689307
633,633,633,633,2021-08-10,361.1300048828125,351.95001220703125,369.7900085449219,0.026083228746647036,-0.023418706460418992
634,634,634,634,2021-08-11,359.9599914550781,351.239990234375,372.4599914550781,0.024826333740883166,-0.033560651578083966
635,635,635,635,2021-08-12,362.6499938964844,358.9200134277344,367.80999755859375,0.010392233169524756,-0.014028992404665042
636,636,636,636,2021-08-13,363.1799926757813,362.9700012207031,373.2799987792969,0.0005785366679669224,-0.02705745321620412
637,637,637,637,2021-08-16,366.55999755859375,363.510009765625,358.32000732421875,0.008390381863033758,0.022996176785962108
638,638,638,638,2021-08-17,358.45001220703125,361.6099853515625,356.29998779296875,-0.008738622473212665,0.006034309536131044
639,639,639,639,2021-08-18,355.45001220703125,361.1300048828125,351.95001220703125,-0.01572838755844841,0.009944594057695877
640,640,640,640,2021-08-19,355.1199951171875,359.9599914550781,351.239990234375,-0.013445928583134314,0.011046592047287751
641,641,641,641,2021-08-20,359.3699951171875,362.6499938964844,358.9200134277344,-0.00904453008272521,0.001253710221271076
642,642,642,642,2021-08-23,363.3500061035156,363.1799926757813,362.9700012207031,0.0004681244318600619,0.0010469319269761357
643,643,643,643,2021-08-24,365.510009765625,366.55999755859375,363.510009765625,-0.0028644363813891127,0.005501911766582435
644,644,644,644,2021-08-25,368.3900146484375,358.45001220703125,361.6099853515625,0.02773051221341616,0.018749563262981717
645,645,645,645,2021-08-26,364.3800048828125,355.45001220703125,361.1300048828125,0.02512306194711833,0.008999529133710826
646,646,646,646,2021-08-27,372.6300048828125,355.1199951171875,359.9599914550781,0.04930730459107724,0.03519839351178433
647,647,647,647,2021-08-30,380.6600036621094,359.3699951171875,362.6499938964844,0.059242587957237136,0.049662236505554125
648,648,648,648,2021-08-31,379.3800048828125,363.3500061035156,363.1799926757813,0.04411723822767755,0.04460601501661832
649,649,649,649,2021-09-01,382.0499877929688,365.510009765625,366.55999755859375,0.0452517785708515,0.042257721348601285
