,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,AEP,AEP_6m,AEP_12m,AEP_6m_ret,AEP_12m_ret
811,811,811,811,2022-04-25,94.18021392822266,95.62338256835938,97.9193115234375,-0.015092214909936064,-0.0381854971919392
812,812,812,812,2022-04-26,92.99945068359376,95.26727294921876,96.86973571777344,-0.02380484079599754,-0.03995350049736501
813,813,813,813,2022-04-27,93.27120971679688,95.98884582519533,96.51363372802734,-0.028311999014422162,-0.03359550237604281
814,814,814,814,2022-04-28,95.98884582519533,96.36370086669922,95.02362060546876,-0.0038900025438254326,0.010157739871164306
815,815,815,815,2022-04-29,92.87762451171876,95.69834899902344,95.87638854980467,-0.02947516354052726,-0.03127739877820024
816,816,816,816,2022-05-02,91.9592514038086,93.94593811035156,95.8201675415039,-0.021147127236191388,-0.0402933561561869
817,817,817,817,2022-05-03,92.38095092773438,94.18021392822266,95.62338256835938,-0.0191044692450959,-0.0339083553994447
818,818,818,818,2022-05-04,94.38638305664062,92.99945068359376,95.26727294921876,0.014913339410633109,-0.009246511055771345
819,819,819,819,2022-05-05,93.39303588867188,93.27120971679688,95.98884582519533,0.0013061497995459082,-0.027042828926713725
820,820,820,820,2022-05-06,93.38365936279295,95.98884582519533,96.36370086669922,-0.027140512421064633,-0.030924938302531402
821,821,821,821,2022-05-09,94.15817260742188,92.87762451171876,95.69834899902344,0.013787476827010536,-0.01609407484780412
822,822,822,822,2022-05-10,93.58202362060548,91.9592514038086,93.94593811035156,0.01764664448681752,-0.003873658585628381
823,823,823,823,2022-05-11,94.2431640625,92.38095092773438,94.18021392822266,0.020157977549098316,0.0006684008418724741
824,824,824,824,2022-05-12,93.06253051757812,94.38638305664062,92.99945068359376,-0.014025884838367642,0.0006782817911363814
825,825,825,825,2022-05-13,94.15817260742188,93.39303588867188,93.27120971679688,0.008192652819018154,0.00950950345040158
826,826,826,826,2022-05-16,93.87481689453124,93.38365936279295,95.98884582519533,0.00525956612848244,-0.022023693612421735
827,827,827,827,2022-05-17,94.82877349853516,94.15817260742188,92.87762451171876,0.007122067819957056,0.021007739991995678
828,828,828,828,2022-05-18,94.3376235961914,93.58202362060548,91.9592514038086,0.008074200005005583,0.025863327028826877
829,829,829,829,2022-05-19,93.54424285888672,94.2431640625,92.38095092773438,-0.007416147479405222,0.012592335535302368
830,830,830,830,2022-05-20,94.16761016845705,93.06253051757812,94.38638305664062,0.0118745927575028,-0.0023178437513841077
831,831,831,831,2022-05-23,94.70597076416016,94.15817260742188,93.39303588867188,0.005817850342340947,0.014058166789366888
832,832,832,832,2022-05-24,96.54777526855467,93.87481689453124,93.38365936279295,0.028473646739854752,0.03388297189628453
833,833,833,833,2022-05-25,96.79335021972656,94.82877349853516,94.15817260742188,0.02071709512537101,0.027986711501843287
834,834,834,834,2022-05-26,96.8877944946289,94.3376235961914,93.58202362060548,0.02703238433642774,0.03532484921917778
835,835,835,835,2022-05-27,97.82286071777344,93.54424285888672,94.2431640625,0.0457389757843365,0.037983621314957805
836,836,836,836,2022-05-31,96.36832427978516,94.16761016845705,93.06253051757812,0.023370181184286576,0.035522285326021974
837,837,837,837,2022-06-01,96.37776947021484,94.70597076416016,94.15817260742188,0.017652516441839294,0.0235730664830045
838,838,838,838,2022-06-02,96.57611083984376,96.54777526855467,93.87481689453124,0.00029348756312885804,0.028775490964178863
839,839,839,839,2022-06-03,96.29275512695312,96.79335021972656,94.82877349853516,-0.005171792190652114,0.015438158423936477
840,840,840,840,2022-06-06,96.39665985107422,96.8877944946289,94.3376235961914,-0.005069107477535972,0.021826246797316484
841,841,841,841,2022-06-07,96.7461166381836,97.82286071777344,93.54424285888672,-0.011007080264155533,0.034228442942522586
842,842,842,842,2022-06-08,94.9515609741211,96.36832427978516,94.16761016845705,-0.014701545515627967,0.00832505788626925
843,843,843,843,2022-06-09,92.80752563476562,96.37776947021484,94.70597076416016,-0.03704426710718378,-0.020045675199529933
844,844,844,844,2022-06-10,92.80752563476562,96.57611083984376,96.54777526855467,-0.03902191931633836,-0.03873988420121821
845,845,845,845,2022-06-13,87.84884643554688,96.29275512695312,96.79335021972656,-0.08768996878606017,-0.09240824668094594
846,846,846,846,2022-06-14,85.42145538330078,96.39665985107422,96.8877944946289,-0.11385461368401484,-0.11834657988797315
847,847,847,847,2022-06-15,85.61979675292969,96.7461166381836,97.82286071777344,-0.11500533842474236,-0.12474654569805044
848,848,848,848,2022-06-16,84.24080657958984,94.9515609741211,96.36832427978516,-0.11280229924235208,-0.12584547662140122
849,849,849,849,2022-06-17,83.50409698486328,92.80752563476562,96.37776947021484,-0.10024433456522719,-0.1335751237667948
850,850,850,850,2022-06-21,84.9586410522461,92.80752563476562,96.57611083984376,-0.08457163930226952,-0.12029341093330426
851,851,851,851,2022-06-22,85.29866790771484,87.84884643554688,96.29275512695312,-0.02902916351557394,-0.1141735658590679
852,852,852,852,2022-06-23,87.28214263916016,85.42145538330078,96.39665985107422,0.021782434489205915,-0.09455220985867485
853,853,853,853,2022-06-24,88.40609741210938,85.61979675292969,96.7461166381836,0.032542715176258064,-0.08620520922058994
854,854,854,854,2022-06-27,89.70952606201172,84.24080657958984,94.9515609741211,0.064917700868107,-0.05520746429369483
855,855,855,855,2022-06-28,89.8039779663086,83.50409698486328,92.80752563476562,0.07544397471404651,-0.03236319089334605
856,856,856,856,2022-06-29,90.07788848876952,84.9586410522461,92.80752563476562,0.06025575942740535,-0.029411808227043035
857,857,857,857,2022-06-30,90.61624145507812,85.29866790771484,87.84884643554688,0.06234063998650474,0.03150177983909708
858,858,858,858,2022-07-01,92.51471710205078,87.28214263916016,85.42145538330078,0.05995011470471123,0.08303840864009304
