,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,MO,MO_6m,MO_12m,MO_6m_ret,MO_12m_ret
21,21,21,21,2019-03-07,36.98165893554688,35.34674072265625,33.09703826904297,0.04625371899827524,0.11737064310486534
22,22,22,22,2019-03-08,37.40727615356445,35.40754318237305,34.12392807006836,0.05647759746818393,0.09621835085205399
23,23,23,23,2019-03-11,37.83965301513672,35.637237548828125,34.02935028076172,0.06180095927163176,0.11197106917815969
24,24,24,24,2019-03-12,37.66400909423828,35.44132232666016,34.792755126953125,0.06271455526099645,0.08252447835212862
25,25,25,25,2019-03-13,37.92073440551758,35.725067138671875,35.022457122802734,0.061460129894869375,0.08275482421328473
26,26,26,26,2019-03-14,38.1031379699707,36.934364318847656,35.1981086730957,0.031644612616944956,0.08253367599536698
27,27,27,27,2019-03-15,38.33959197998047,36.98165893554688,35.34674072265625,0.036719094911351835,0.08467120860752764
28,28,28,28,2019-03-18,38.71116638183594,37.40727615356445,35.40754318237305,0.03485659375247607,0.0933028078917244
29,29,29,29,2019-03-19,37.83965301513672,37.83965301513672,35.637237548828125,0.0,0.06180095927163176
30,30,30,30,2019-03-20,37.64373779296875,37.66400909423828,35.44132232666016,-0.000538214113606772,0.062142587288619655
31,31,31,31,2019-03-21,38.46119689941406,37.92073440551758,35.725067138671875,0.014252426868026191,0.07658851276952161
32,32,32,32,2019-03-22,38.31729507446289,38.1031379699707,36.934364318847656,0.005620458468826639,0.037442928316747004
33,33,33,33,2019-03-25,38.74899291992188,38.33959197998047,36.98165893554688,0.010678281087477037,0.04778947281557011
34,34,34,34,2019-03-26,39.07788848876953,38.71116638183594,37.40727615356445,0.009473290040303839,0.04466009041521435
35,35,35,35,2019-03-27,38.57769012451172,37.83965301513672,37.83965301513672,0.019504330789708035,0.019504330789708035
36,36,36,36,2019-03-28,38.85176467895508,37.64373779296875,37.66400909423828,0.0320910450665175,0.03153555909953565
37,37,37,37,2019-03-29,39.35197830200195,38.46119689941406,37.92073440551758,0.023160522146971063,0.03774304266312223
38,38,38,38,2019-04-01,39.55753707885742,38.31729507446289,38.1031379699707,0.03236768153869796,0.038170061217344786
39,39,39,39,2019-04-02,38.84491729736328,38.74899291992188,38.33959197998047,0.002475532141948511,0.013180247657478272
40,40,40,40,2019-04-03,36.98797607421875,39.07788848876953,38.71116638183594,-0.053480689345623,-0.044514037387045624
41,41,41,41,2019-04-04,37.41281509399414,38.57769012451172,37.83965301513672,-0.030195561910468904,-0.011280175348643784
42,42,42,42,2019-04-05,37.52930450439453,38.85176467895508,37.64373779296875,-0.03403861280146403,-0.003039902392359961
43,43,43,43,2019-04-08,37.87876892089844,39.35197830200195,38.46119689941406,-0.0374367298588536,-0.015143261922888729
44,44,44,44,2019-04-09,37.76227951049805,39.55753707885742,38.31729507446289,-0.045383451572845734,-0.014484727141784615
45,45,45,45,2019-04-10,37.97468948364258,38.84491729736328,38.74899291992188,-0.022402617234553168,-0.019982543491632643
46,46,46,46,2019-04-11,38.35841369628906,36.98797607421875,39.07788848876953,0.037050895115765314,-0.01841130164152127
47,47,47,47,2019-04-12,38.75584030151367,37.41281509399414,38.57769012451172,0.035897464656037714,0.004617958629118624
48,48,48,48,2019-04-15,39.0162239074707,37.52930450439453,38.85176467895508,0.03962022272227461,0.004232992500459165
49,49,49,49,2019-04-16,38.63935089111328,37.87876892089844,39.35197830200195,0.02007937406316329,-0.018109061898227807
50,50,50,50,2019-04-17,38.495452880859375,37.76227951049805,39.55753707885742,0.01941549556502542,-0.026849098210558364
51,51,51,51,2019-04-18,37.25521087646485,37.97468948364258,38.84491729736328,-0.018946267025768293,-0.04092443829211956
52,52,52,52,2019-04-22,37.41967010498047,38.35841369628906,36.98797607421875,-0.02447295132539362,0.011671199037641244
53,53,53,53,2019-04-23,37.56356430053711,38.75584030151367,37.41281509399414,-0.03076377629025362,0.004029346793718469
54,54,54,54,2019-04-24,37.48818588256836,39.0162239074707,37.52930450439453,-0.03916416997519234,-0.0010956403900679312
55,55,55,55,2019-04-25,35.22697830200195,38.63935089111328,37.87876892089844,-0.08831340357469997,-0.07000730737670413
56,56,56,56,2019-04-26,36.172584533691406,38.495452880859375,37.76227951049805,-0.060341369521150434,-0.04209743154845036
57,57,57,57,2019-04-29,36.66593170166016,37.25521087646485,37.97468948364258,-0.015817362482759445,-0.034463949535285976
58,58,58,58,2019-04-30,37.22780227661133,37.41967010498047,38.35841369628906,-0.005127459109897536,-0.029474926378071586
59,59,59,59,2019-05-01,36.58370590209961,37.56356430053711,38.75584030151367,-0.02608534138554819,-0.05604663406896193
60,60,60,60,2019-05-02,36.42610931396485,37.48818588256836,39.0162239074707,-0.028330967306085753,-0.06638557846214088
61,61,61,61,2019-05-03,36.83723449707031,35.22697830200195,38.63935089111328,0.0457108804866424,-0.046639406524229154
62,62,62,62,2019-05-06,36.67963790893555,36.172584533691406,38.495452880859375,0.014017615323336008,-0.047169596303845096
63,63,63,63,2019-05-07,36.27535629272461,36.66593170166016,37.25521087646485,-0.01065227012676373,-0.026301141791663873
64,64,64,64,2019-05-08,35.60383605957031,37.22780227661133,37.41967010498047,-0.043622403626584316,-0.048526190645611145
65,65,65,65,2019-05-09,35.62440490722656,36.58370590209961,37.56356430053711,-0.026222083608483993,-0.051623412991264495
66,66,66,66,2019-05-10,35.70662307739258,36.42610931396485,37.48818588256836,-0.01975193755585747,-0.04752331336481641
67,67,67,67,2019-05-13,35.247528076171875,36.83723449707031,35.22697830200195,-0.043154879637473,0.0005833533036454508
68,68,68,68,2019-05-14,35.55588150024414,36.67963790893555,36.172584533691406,-0.03063706385219378,-0.017048907104574296
69,69,69,69,2019-05-15,35.720333099365234,36.27535629272461,36.66593170166016,-0.015300282342662785,-0.025789569728896677
70,70,70,70,2019-05-16,35.65181350708008,35.60383605957031,37.22780227661133,0.001347535906790931,-0.04233365047502091
71,71,71,71,2019-05-17,35.87107849121094,35.62440490722656,36.58370590209961,0.006924286444272232,-0.019479366382282537
72,72,72,72,2019-05-20,35.85737609863281,35.70662307739258,36.42610931396485,0.004221990438958212,-0.015613339608411048
73,73,73,73,2019-05-21,35.54217529296875,35.247528076171875,36.83723449707031,0.008359372497274808,-0.03515625485416285
74,74,74,74,2019-05-22,36.19999313354492,35.55588150024414,36.67963790893555,0.01811547361851673,-0.013076595155640303
75,75,75,75,2019-05-23,36.186279296875,35.720333099365234,36.27535629272461,0.013044284783504612,-0.0024555787993039146
76,76,76,76,2019-05-24,35.90533447265625,35.65181350708008,35.60383605957031,0.007111025797490678,0.00846814406687768
77,77,77,77,2019-05-28,34.17173767089844,35.87107849121094,35.62440490722656,-0.04737356365599288,-0.0407773053363607
78,78,78,78,2019-05-29,34.39100646972656,35.85737609863281,35.70662307739258,-0.0408945045190342,-0.03684517028716139
79,79,79,79,2019-05-30,34.40470886230469,35.54217529296875,35.247528076171875,-0.03200328683565645,-0.02391144173417803
80,80,80,80,2019-05-31,33.61671447753906,36.19999313354492,35.55588150024414,-0.07136130237582972,-0.0545385725478853
81,81,81,81,2019-06-03,34.329341888427734,36.186279296875,35.720333099365234,-0.051316063561351766,-0.03894116012490989
82,82,82,82,2019-06-04,34.54861068725586,35.90533447265625,35.65181350708008,-0.03778613415880039,-0.030943806536100404
83,83,83,83,2019-06-05,34.04840087890625,34.17173767089844,35.87107849121094,-0.0036093216323975774,-0.050811898860283145
84,84,84,84,2019-06-06,34.77473068237305,34.39100646972656,35.85737609863281,0.011157690688240463,-0.030193102063066024
85,85,85,85,2019-06-07,35.206417083740234,34.40470886230469,35.54217529296875,0.02330228180811411,-0.009446754636172727
86,86,86,86,2019-06-10,35.089927673339844,33.61671447753906,36.19999313354492,0.04382383045746807,-0.030664797534904253
87,87,87,87,2019-06-11,35.734031677246094,34.329341888427734,36.186279296875,0.04091805177575725,-0.012497765131325944
88,88,88,88,2019-06-12,35.35031509399414,34.54861068725586,35.90533447265625,0.023205112761133684,-0.015457852901629043
89,89,89,89,2019-06-13,35.64263916015625,34.04840087890625,34.17173767089844,0.04682270650301423,0.043044386663148027
90,90,90,90,2019-06-14,35.39903259277344,34.77473068237305,34.39100646972656,0.017952746093209626,0.029310747969362616
91,91,91,91,2019-06-17,35.39903259277344,35.206417083740234,34.40470886230469,0.005471034117872753,0.028900803504783523
92,92,92,92,2019-06-18,34.88397979736328,35.089927673339844,33.61671447753906,-0.005869145069028914,0.03769747697000381
93,93,93,93,2019-06-19,34.730865478515625,35.734031677246094,34.329341888427734,-0.02807313229559938,0.011696221599378775
94,94,94,94,2019-06-20,34.98143005371094,35.35031509399414,34.54861068725586,-0.010435127361732466,0.012527837092295435
95,95,95,95,2019-06-21,33.408447265625,35.64263916015625,34.04840087890625,-0.06268312187804492,-0.01879540879341901
96,96,96,96,2019-06-24,33.74949645996094,35.39903259277344,34.77473068237305,-0.04659833933284507,-0.02948216139404325
97,97,97,97,2019-06-25,33.95133590698242,35.39903259277344,35.206417083740234,-0.04089650421934288,-0.035649216271355866
98,98,98,98,2019-06-26,33.3666877746582,34.88397979736328,35.089927673339844,-0.0434953818778373,-0.04910924624079238
99,99,99,99,2019-06-27,33.33884811401367,34.730865478515625,35.734031677246094,-0.04008012312169562,-0.06702808081847567
100,100,100,100,2019-06-28,32.95603942871094,34.98143005371094,35.35031509399414,-0.057899023049949316,-0.06772996673203568
101,101,101,101,2019-07-01,33.19268035888672,33.408447265625,35.64263916015625,-0.006458453606740688,-0.06873673945021053
102,102,102,102,2019-07-02,33.8260498046875,33.74949645996094,35.39903259277344,0.002268281093241953,-0.044435756371688395
103,103,103,103,2019-07-03,34.2366943359375,33.95133590698242,35.39903259277344,0.008404924911846967,-0.03283531135461659
104,104,104,104,2019-07-05,33.95133590698242,33.3666877746582,34.88397979736328,0.017521910963193,-0.026735593123217938
105,105,105,105,2019-07-08,34.16014099121094,33.33884811401367,34.730865478515625,0.024634710665124793,-0.016432774693096452
106,106,106,106,2019-07-09,33.652042388916016,32.95603942871094,34.98143005371094,0.021119132403960128,-0.03800266777984096
107,107,107,107,2019-07-10,34.10445785522461,33.19268035888672,33.408447265625,0.027469233773215862,0.020833371394538114
108,108,108,108,2019-07-11,34.28542709350586,33.8260498046875,33.74949645996094,0.013580577438714103,0.015879663098995467
109,109,109,109,2019-07-12,34.45246505737305,34.2366943359375,33.95133590698242,0.006302323446252034,0.014760218913435041
110,110,110,110,2019-07-15,34.48030090332031,33.95133590698242,33.3666877746582,0.015580093749097523,0.033374997727760425
111,111,111,111,2019-07-16,34.38982391357422,34.16014099121094,33.33884811401367,0.006723711193767468,0.031524058538746624
112,112,112,112,2019-07-17,34.417667388916016,33.652042388916016,32.95603942871094,0.02275121941045022,0.04435083782949123
113,113,113,113,2019-07-18,35.16934585571289,34.10445785522461,33.19268035888672,0.031224305192265156,0.059551246704213634
114,114,114,114,2019-07-19,35.16934585571289,34.28542709350586,33.8260498046875,0.02578117985219608,0.039711880600354466
115,115,115,115,2019-07-22,34.57078170776367,34.45246505737305,34.2366943359375,0.0034341998516969063,0.009758166736193452
116,116,116,116,2019-07-23,34.82830810546875,34.48030090332031,33.95133590698242,0.010092928223689679,0.025830270740715422
117,117,117,117,2019-07-24,34.647342681884766,34.38982391357422,34.16014099121094,0.007488225847207763,0.014262285708925404
118,118,118,118,2019-07-25,34.515106201171875,34.417667388916016,33.652042388916016,0.00283106961185986,0.025646699308215837
119,119,119,119,2019-07-26,34.70301818847656,35.16934585571289,34.10445785522461,-0.013259492205214829,0.017550794555740268
120,120,120,120,2019-07-29,35.0162239074707,35.16934585571289,34.28542709350586,-0.004353846923124238,0.02131508561849782
121,121,121,121,2019-07-30,33.75645065307617,34.57078170776367,34.45246505737305,-0.02355547125232127,-0.020202165596505672
122,122,122,122,2019-07-31,32.761165618896484,34.82830810546875,34.48030090332031,-0.05935236590627502,-0.04985847685158351
123,123,123,123,2019-08-01,33.324928283691406,34.647342681884766,34.38982391357422,-0.038167844799387174,-0.030965428394138406
124,124,124,124,2019-08-02,33.3597297668457,34.515106201171875,34.417667388916016,-0.03347451482814634,-0.030738213897988143
125,125,125,125,2019-08-05,32.46883773803711,34.70301818847656,35.16934585571289,-0.06438000401882427,-0.07678585006257976
126,126,126,126,2019-08-06,32.12778854370117,35.0162239074707,35.16934585571289,-0.08248848794781904,-0.0864831926214985
127,127,127,127,2019-08-07,32.176513671875,33.75645065307617,34.57078170776367,-0.04680400192065792,-0.06925698285124349
128,128,128,128,2019-08-08,32.36442947387695,32.761165618896484,34.82830810546875,-0.012109952058320439,-0.07074356365892254
129,129,129,129,2019-08-09,32.12778854370117,33.324928283691406,34.647342681884766,-0.03592325030076937,-0.07271998205798713
130,130,130,130,2019-08-12,32.00250244140625,33.3597297668457,34.515106201171875,-0.04068460191150358,-0.07279721942968598
131,131,131,131,2019-08-13,32.559322357177734,32.46883773803711,34.70301818847656,0.0027868142331015644,-0.06177260489724956
132,132,132,132,2019-08-14,31.92594146728516,32.12778854370117,35.0162239074707,-0.006282632125191312,-0.08825287524867098
133,133,133,133,2019-08-15,31.661466598510746,32.176513671875,33.75645065307617,-0.016006926002503752,-0.062061739727796716
134,134,134,134,2019-08-16,32.35050964355469,32.36442947387695,32.761165618896484,-0.00043009657665993295,-0.01253484018605655
135,135,135,135,2019-08-19,32.50363540649414,32.12778854370117,33.324928283691406,0.011698497774963013,-0.02464500058951935
136,136,136,136,2019-08-20,32.03730773925781,32.00250244140625,33.3597297668457,0.0010875805076584477,-0.03964126918384603
137,137,137,137,2019-08-21,32.19042205810547,32.559322357177734,32.46883773803711,-0.011330097568536757,-0.008574858212601733
138,138,138,138,2019-08-22,32.42708206176758,31.92594146728516,32.12778854370117,0.015696971536327098,0.009315721113493325
139,139,139,139,2019-08-23,32.301788330078125,31.661466598510746,32.176513671875,0.02022400729843321,0.0038933571076291695
140,140,140,140,2019-08-26,32.795955657958984,32.35050964355469,32.36442947387695,0.013769366211300094,0.013333347477369806
141,141,141,141,2019-08-27,31.49442672729492,32.50363540649414,32.12778854370117,-0.03104910163364638,-0.019713831705059137
142,142,142,142,2019-08-28,31.91203117370605,32.03730773925781,32.00250244140625,-0.003910333744999717,-0.002827006040100888
143,143,143,143,2019-08-29,30.79841041564941,32.19042205810547,32.559322357177734,-0.043243037942882534,-0.05408318767236653
144,144,144,144,2019-08-30,30.44344711303711,32.42708206176758,31.92594146728516,-0.06117216914405099,-0.04643541540559348
145,145,145,145,2019-09-03,30.652250289916992,32.301788330078125,31.661466598510746,-0.051066461810262975,-0.03187522300818568
146,146,146,146,2019-09-04,30.833213806152344,32.795955657958984,32.35050964355469,-0.059847069933768426,-0.04690175994505974
147,147,147,147,2019-09-05,30.520008087158203,31.49442672729492,32.50363540649414,-0.03093939916970223,-0.0610278602540445
148,148,148,148,2019-09-06,30.520008087158203,31.91203117370605,32.03730773925781,-0.043620635708541355,-0.047360398209751686
149,149,149,149,2019-09-09,30.652250289916992,30.79841041564941,32.19042205810547,-0.004745703552873959,-0.047783522856953975
150,150,150,150,2019-09-10,30.79145050048828,30.44344711303711,32.42708206176758,0.011431142674449113,-0.05044029426279317
151,151,151,151,2019-09-11,31.12553024291992,30.652250289916992,32.301788330078125,0.015440300419268471,-0.03641464290269414
152,152,152,152,2019-09-12,30.94457626342773,30.833213806152344,32.795955657958984,0.003611769372324325,-0.05645145437565435
153,153,153,153,2019-09-13,29.80242156982422,30.520008087158203,31.49442672729492,-0.023512002856772574,-0.053723954784809846
154,154,154,154,2019-09-16,29.376771926879883,30.520008087158203,31.91203117370605,-0.037458579860578656,-0.07944524850286239
155,155,155,155,2019-09-17,29.30583381652832,30.652250289916992,30.79841041564941,-0.043925534362205476,-0.048462780350594814
156,156,156,156,2019-09-18,28.97240829467773,30.79145050048828,30.44344711303711,-0.05907621031954002,-0.04832037623391938
157,157,157,157,2019-09-19,28.461626052856445,31.12553024291992,30.652250289916992,-0.08558582518186741,-0.07146699561503811
158,158,158,158,2019-09-20,28.95112609863281,30.94457626342773,30.833213806152344,-0.06442001815842957,-0.06104091903465447
159,159,159,159,2019-09-23,29.00078773498535,29.80242156982422,30.520008087158203,-0.026898278482529236,-0.049777848938778235
160,160,160,160,2019-09-24,28.89436912536621,29.376771926879883,30.520008087158203,-0.01642123248648264,-0.053264696298557235
161,161,161,161,2019-09-25,28.77377319335937,29.30583381652832,30.652250289916992,-0.018155450771336512,-0.06128349725682436
162,162,162,162,2019-09-26,28.844709396362305,28.97240829467773,30.79145050048828,-0.004407603849034714,-0.0632234296365839
163,163,163,163,2019-09-27,28.46872329711914,28.461626052856445,31.12553024291992,0.00024936186883750544,-0.08535780515434332
164,164,164,164,2019-09-30,29.01497268676757,28.95112609863281,30.94457626342773,0.0022053231337961776,-0.06235676198095785
165,165,165,165,2019-10-01,29.19942092895508,29.00078773498535,29.80242156982422,0.006849234434073814,-0.020233276663655153
166,166,166,166,2019-10-02,28.525480270385746,28.89436912536621,29.376771926879883,-0.012766807725752338,-0.028978393494460186
167,167,167,167,2019-10-03,28.95112609863281,28.77377319335937,29.30583381652832,0.006163699980590964,-0.01210365554231252
168,168,168,168,2019-10-04,29.547039031982425,28.844709396362305,28.97240829467773,0.02434864660861158,0.019833723571065942
169,169,169,169,2019-10-07,29.915918350219727,28.46872329711914,28.461626052856445,0.05083456107239748,0.05109659914238551
170,170,170,170,2019-10-08,29.79533195495605,29.01497268676757,28.95112609863281,0.026895054378057948,0.029159689797458643
171,171,171,171,2019-10-09,30.12165069580078,29.19942092895508,29.00078773498535,0.03158383753875027,0.03864939708045467
172,172,172,172,2019-10-10,30.490550994873047,28.525480270385746,28.89436912536621,0.06888826080615984,0.05524196990013386
173,173,173,173,2019-10-11,30.199689865112305,28.95112609863281,28.77377319335937,0.043126604548154646,0.04955612398036191
174,174,174,174,2019-10-14,30.30610466003418,29.547039031982425,28.844709396362305,0.02569007429915815,0.05066423944822884
175,175,175,175,2019-10-15,30.809785842895508,29.915918350219727,28.46872329711914,0.02987932652481029,0.0822327900462354
176,176,176,176,2019-10-16,30.86653709411621,29.79533195495605,29.01497268676757,0.03595211292760836,0.06381410133786058
177,177,177,177,2019-10-17,31.41278648376465,30.12165069580078,29.19942092895508,0.04286404490255458,0.07580169347176069
178,178,178,178,2019-10-18,31.44826316833496,30.490550994873047,28.525480270385746,0.03141013009646665,0.10246218013666741
179,179,179,179,2019-10-21,32.320838928222656,30.199689865112305,28.95112609863281,0.07023744523816355,0.11639315231157732
180,180,180,180,2019-10-22,32.87417984008789,30.30610466003418,29.547039031982425,0.08473788396303972,0.1126048807971618
181,181,181,181,2019-10-23,33.165035247802734,30.809785842895508,29.915918350219727,0.07644484829972709,0.10860829540802452
182,182,182,182,2019-10-24,33.31401062011719,30.86653709411621,29.79533195495605,0.07929213175220462,0.11809496435483924
183,183,183,183,2019-10-25,33.20050048828125,31.41278648376465,30.12165069580078,0.05691039237924844,0.10221384689616908
184,184,184,184,2019-10-28,32.625885009765625,31.44826316833496,30.490550994873047,0.03744632366904144,0.07003264766358708
185,185,185,185,2019-10-29,32.90254592895508,32.320838928222656,30.199689865112305,0.017997893000991194,0.08949946426321431
186,186,186,186,2019-10-30,32.60459899902344,32.87417984008789,30.30610466003418,-0.00820038225670705,0.07584261866621111
187,187,187,187,2019-10-31,31.774587631225582,33.165035247802734,30.809785842895508,-0.04192510594932275,0.0313147839861585
188,188,188,188,2019-11-01,31.96613121032715,33.31401062011719,30.86653709411621,-0.04045983610799775,0.035624148988858906
189,189,189,189,2019-11-04,32.34920883178711,33.20050048828125,31.41278648376465,-0.02564092841897425,0.02981022866298222
190,190,190,190,2019-11-05,32.81032943725586,32.625885009765625,31.44826316833496,0.005653315685843596,0.04331133524386033
191,191,191,191,2019-11-06,32.569129943847656,32.90254592895508,32.320838928222656,-0.01013344030663621,0.0076820721199841735
192,192,192,192,2019-11-07,32.6187858581543,32.60459899902344,32.87417984008789,0.0004351183442337092,-0.007768832049222962
193,193,193,193,2019-11-08,32.9238395690918,31.774587631225582,33.165035247802734,0.03616890174010701,-0.007272589246740457
194,194,194,194,2019-11-11,32.9238395690918,31.96613121032715,33.31401062011719,0.029960095967298317,-0.011711920713316282
195,195,195,195,2019-11-12,33.34239196777344,32.34920883178711,33.20050048828125,0.03070192971799668,0.004273775316798956
196,196,196,196,2019-11-13,33.2217903137207,32.81032943725586,32.625885009765625,0.012540589610710695,0.01826480120851004
197,197,197,197,2019-11-14,33.07991027832031,32.569129943847656,32.90254592895508,0.015682959150376208,0.00539059651335827
198,198,198,198,2019-11-15,34.030513763427734,32.6187858581543,32.60459899902344,0.043279596960244415,0.043733547051046484
199,199,199,199,2019-11-18,34.292999267578125,32.9238395690918,31.774587631225582,0.041585663045559995,0.07925867254615904
200,200,200,200,2019-11-19,33.29273223876953,32.9238395690918,31.96613121032715,0.011204424347397213,0.04150020594340198
201,201,201,201,2019-11-20,34.371036529541016,33.34239196777344,32.34920883178711,0.030850952827913503,0.06250006633136596
202,202,202,202,2019-11-21,34.633522033691406,33.2217903137207,32.81032943725586,0.0424941493712232,0.055567640670054486
203,203,203,203,2019-11-22,34.76121139526367,33.07991027832031,32.569129943847656,0.05082544368462938,0.06730549619211135
204,204,204,204,2019-11-25,34.94566345214844,34.030513763427734,32.6187858581543,0.026892032694028956,0.07133550599071281
205,205,205,205,2019-11-26,34.91728591918945,34.292999267578125,32.9238395690918,0.018204492606208156,0.060547201547205276
206,206,206,206,2019-11-27,35.29327774047852,33.29273223876953,32.9238395690918,0.06008955610375977,0.07196724933659016
207,207,207,207,2019-11-29,35.25780487060547,34.371036529541016,33.34239196777344,0.02579987194457467,0.05744677540481624
208,208,208,208,2019-12-02,35.896270751953125,34.633522033691406,33.2217903137207,0.03646030331634531,0.0805038022628135
209,209,209,209,2019-12-03,35.54156494140625,34.76121139526367,33.07991027832031,0.022448974440772984,0.0744153972116195
210,210,210,210,2019-12-04,35.548667907714844,34.94566345214844,34.030513763427734,0.017255487405242853,0.04461155523072513
211,211,211,211,2019-12-05,35.59122848510742,34.91728591918945,34.292999267578125,0.019301115426831883,0.03785697504611951
212,212,212,212,2019-12-06,35.7614860534668,35.29327774047852,33.29273223876953,0.013266217902206279,0.07415293515088539
213,213,213,213,2019-12-09,35.846614837646484,35.25780487060547,34.371036529541016,0.016700131196537127,0.04293086438743998
214,214,214,214,2019-12-10,35.5060920715332,35.896270751953125,34.633522033691406,-0.010869616042181507,0.02519437777633371
215,215,215,215,2019-12-11,35.683448791503906,35.54156494140625,34.76121139526367,0.003992054101488396,0.026530646062751684
216,216,216,216,2019-12-12,35.42097091674805,35.548667907714844,34.94566345214844,-0.003592173729218273,0.013601328967482784
217,217,217,217,2019-12-13,35.584136962890625,35.59122848510742,34.91728591918945,-0.00019924915544189403,0.019098020540442073
218,218,218,218,2019-12-16,35.896270751953125,35.7614860534668,35.29327774047852,0.0037689904240783,0.01708520857452167
219,219,219,219,2019-12-17,36.05944061279297,35.846614837646484,35.25780487060547,0.005937123382790732,0.02273640531875043
220,220,220,220,2019-12-18,36.43543243408203,35.5060920715332,35.896270751953125,0.026174110084447255,0.015019991515401898
221,221,221,221,2019-12-19,36.03105926513672,35.683448791503906,35.54156494140625,0.009741504406254986,0.013772447120363074
222,222,222,222,2019-12-20,36.27225875854492,35.42097091674805,35.548667907714844,0.024033441765266783,0.02035493573791669
223,223,223,223,2019-12-23,36.57021713256836,35.584136962890625,35.59122848510742,0.027711229043044572,0.027506458448619764
224,224,224,224,2019-12-24,36.26011276245117,35.896270751953125,35.7614860534668,0.010135927852011006,0.01394312049110269
225,225,225,225,2019-12-26,36.34665298461914,36.05944061279297,35.846614837646484,0.007964970253151238,0.013949382647075348
226,226,226,226,2019-12-27,36.34665298461914,36.43543243408203,35.5060920715332,-0.002436624009431121,0.02367370960995885
227,227,227,227,2019-12-30,35.97886276245117,36.03105926513672,35.683448791503906,-0.0014486530163172473,0.008278739330196183
228,228,228,228,2019-12-31,35.9932861328125,36.27225875854492,35.42097091674805,-0.007691073985479413,0.016157524801045042
229,229,229,229,2020-01-02,35.517311096191406,36.57021713256836,35.584136962890625,-0.028791353153855503,-0.0018779678925164855
230,230,230,230,2020-01-03,35.79136276245117,36.26011276245117,35.896270751953125,-0.012927428082502024,-0.0029225317088473757
231,231,231,231,2020-01-06,35.93559265136719,36.34665298461914,36.05944061279297,-0.01130944115888477,-0.0034345502681437656
232,232,232,232,2020-01-07,35.74808120727539,36.34665298461914,36.43543243408203,-0.0164684153337874,-0.018864912007018897
233,233,233,233,2020-01-08,36.11588287353516,35.97886276245117,36.03105926513672,0.0038083502524428603,0.0023541802580453464
234,234,234,234,2020-01-09,36.46924591064453,35.9932861328125,36.27225875854492,0.013223571087001451,0.005430793637939635
235,235,235,235,2020-01-10,36.21684265136719,35.517311096191406,36.57021713256836,0.019695509980506287,-0.009662903556743374
236,236,236,236,2020-01-13,36.60626602172852,35.79136276245117,36.26011276245117,0.022768154000893936,0.009546392244974111
237,237,237,237,2020-01-14,36.68560028076172,35.93559265136719,36.34665298461914,0.020870885215969803,0.009325406008801274
238,238,238,238,2020-01-15,36.95964813232422,35.74808120727539,36.34665298461914,0.033891802976050434,0.016865243354442505
239,239,239,239,2020-01-16,36.8442497253418,36.11588287353516,35.97886276245117,0.020167494017995224,0.024052649151372618
240,240,240,240,2020-01-17,36.79377746582031,36.46924591064453,35.9932861328125,0.008898773393092307,0.022240018042644305
241,241,241,241,2020-01-21,36.8442497253418,36.21684265136719,35.517311096191406,0.017323627021112564,0.03736033467051181
242,242,242,242,2020-01-22,36.80097961425781,36.60626602172852,35.79136276245117,0.005319132861399067,0.028208393698432532
243,243,243,243,2020-01-23,36.46204376220703,36.68560028076172,35.93559265136719,-0.006093849271751495,0.014649851915544021
