,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,PEAK,PEAK_6m,PEAK_12m,PEAK_6m_ret,PEAK_12m_ret
49,49,49,49,2019-04-16,23.94472312927246,24.81966781616211,25.12470054626465,-0.0352520707920152,-0.04696483505621796
50,50,50,50,2019-04-17,23.39888381958008,24.715320587158203,25.02837562561035,-0.053263997241537964,-0.06510577555672004
51,51,51,51,2019-04-18,23.94472312927246,24.859806060791016,25.084562301635746,-0.0368097373439219,-0.04543986690527013
52,52,52,52,2019-04-22,23.49520492553711,24.77953720092773,25.06850814819336,-0.05183035764455424,-0.0627601456518917
53,53,53,53,2019-04-23,23.73601150512696,24.771509170532227,24.924022674560547,-0.041801961207800664,-0.04766530607622044
54,54,54,54,2019-04-24,23.92064094543457,24.73137283325196,25.05245590209961,-0.0327815157404987,-0.045177804566864155
55,55,55,55,2019-04-25,24.016965866088867,23.94472312927246,24.81966781616211,0.0030170629422767714,-0.032341365566163516
56,56,56,56,2019-04-26,24.281862258911133,23.39888381958008,24.715320587158203,0.03773592134305903,-0.017538041908802482
57,57,57,57,2019-04-29,23.719959259033203,23.94472312927246,24.859806060791016,-0.009386780921450066,-0.045850993325148415
58,58,58,58,2019-04-30,23.90458869934082,23.49520492553711,24.77953720092773,0.01742414144082427,-0.03530931568625717
59,59,59,59,2019-05-01,24.024991989135746,23.73601150512696,24.771509170532227,0.012174770135511936,-0.030136120341207384
60,60,60,60,2019-05-02,24.51464462280273,23.92064094543457,24.73137283325196,0.024832264265959525,-0.008763290736445994
61,61,61,61,2019-05-03,24.937170028686523,24.016965866088867,23.94472312927246,0.038314754983141075,0.04144741595281998
62,62,62,62,2019-05-06,24.60402107238769,24.281862258911133,23.39888381958008,0.013267467298902602,0.05150404874437453
63,63,63,63,2019-05-07,24.21400260925293,23.719959259033203,23.94472312927246,0.020828170268951007,0.011245879876191855
64,64,64,64,2019-05-08,24.124616622924805,23.90458869934082,23.49520492553711,0.009204422061026785,0.026788942653723558
65,65,65,65,2019-05-09,24.376508712768555,24.024991989135746,23.73601150512696,0.014631294103730319,0.02698419688174014
66,66,66,66,2019-05-10,24.6446475982666,24.51464462280273,23.92064094543457,0.005303074038566669,0.030267025640473566
67,67,67,67,2019-05-13,25.14843368530273,24.937170028686523,24.016965866088867,0.008471837677378025,0.04711118904538458
68,68,68,68,2019-05-14,25.091550827026367,24.60402107238769,24.281862258911133,0.019815043776962638,0.033345406521202436
69,69,69,69,2019-05-15,25.343448638916016,24.21400260925293,23.719959259033203,0.046644334185026004,0.06844402058846466
70,70,70,70,2019-05-16,25.635957717895508,24.124616622924805,23.90458869934082,0.06264725854895148,0.07242831241862913
71,71,71,71,2019-05-17,25.684717178344727,24.376508712768555,24.024991989135746,0.05366676914200297,0.06908327752864674
72,72,72,72,2019-05-20,25.205310821533203,24.6446475982666,24.51464462280273,0.022749898168803018,0.02817361660172857
73,73,73,73,2019-05-21,25.39219665527344,25.14843368530273,24.937170028686523,0.009692968278703251,0.01824692320995025
