,Unnamed: 0.1,Unnamed: 0,Date,AMT,AMT_6m,AMT_12m
376,376,376,2020-08-03,234.6363067626953,234.4076995849609,235.4593963623047
377,377,377,2020-08-04,237.91932678222656,238.04736328125,236.94992065429688
378,378,378,2020-08-05,233.4566345214844,243.98228454589844,238.2485198974609
379,379,379,2020-08-06,233.65782165527344,248.0883178710937,237.04139709472656
380,380,380,2020-08-07,235.57827758789065,240.04086303710932,236.88595581054688
381,381,381,2020-08-10,231.7374420166016,239.03497314453125,235.8434295654297
382,382,382,2020-08-11,225.1440887451172,234.6363067626953,234.4076995849609
383,383,383,2020-08-12,229.80792236328125,237.91932678222656,238.04736328125
384,384,384,2020-08-13,229.28662109375,233.4566345214844,243.98228454589844
385,385,385,2020-08-14,228.72882080078125,233.65782165527344,248.0883178710937
386,386,386,2020-08-17,229.45127868652344,235.57827758789065,240.04086303710932
387,387,387,2020-08-18,230.95098876953125,231.7374420166016,239.03497314453125
388,388,388,2020-08-19,224.2570343017578,225.1440887451172,234.6363067626953
389,389,389,2020-08-20,226.4974822998047,229.80792236328125,237.91932678222656
390,390,390,2020-08-21,228.0155334472656,229.28662109375,233.4566345214844
391,391,391,2020-08-24,224.4490966796875,228.72882080078125,233.65782165527344
392,392,392,2020-08-25,225.3361358642578,229.45127868652344,235.57827758789065
393,393,393,2020-08-26,225.8482360839844,230.95098876953125,231.7374420166016
394,394,394,2020-08-27,226.76271057128903,224.2570343017578,225.1440887451172
395,395,395,2020-08-28,228.24417114257807,226.4974822998047,229.80792236328125
396,396,396,2020-08-31,227.841796875,228.0155334472656,229.28662109375
397,397,397,2020-09-01,226.8175506591797,224.4490966796875,228.72882080078125
398,398,398,2020-09-02,234.5631866455078,225.3361358642578,229.45127868652344
399,399,399,2020-09-03,230.7406768798828,225.8482360839844,230.95098876953125
400,400,400,2020-09-04,228.600814819336,226.76271057128903,224.2570343017578
401,401,401,2020-09-08,225.701904296875,228.24417114257807,226.4974822998047
402,402,402,2020-09-09,230.83209228515625,227.841796875,228.0155334472656
403,403,403,2020-09-10,227.1376495361328,226.8175506591797,224.4490966796875
404,404,404,2020-09-11,228.4270172119141,234.5631866455078,225.3361358642578
405,405,405,2020-09-14,232.1855316162109,230.7406768798828,225.8482360839844
406,406,406,2020-09-15,241.193115234375,228.600814819336,226.76271057128903
407,407,407,2020-09-16,240.77252197265625,225.701904296875,228.24417114257807
408,408,408,2020-09-17,229.28662109375,230.83209228515625,227.841796875
409,409,409,2020-09-18,224.50393676757807,227.1376495361328,226.8175506591797
410,410,410,2020-09-21,220.36135864257807,228.4270172119141,234.5631866455078
411,411,411,2020-09-22,221.24839782714844,232.1855316162109,230.7406768798828
412,412,412,2020-09-23,215.55123901367188,241.193115234375,228.600814819336
413,413,413,2020-09-24,215.98101806640625,240.77252197265625,225.701904296875
414,414,414,2020-09-25,220.36422729492188,229.28662109375,230.83209228515625
415,415,415,2020-09-28,220.538818359375,224.50393676757807,227.1376495361328
416,416,416,2020-09-29,220.6490936279297,220.36135864257807,228.4270172119141
417,417,417,2020-09-30,222.12852478027344,221.24839782714844,232.1855316162109
418,418,418,2020-10-01,222.5144805908203,215.55123901367188,241.193115234375
419,419,419,2020-10-02,223.5712432861328,215.98101806640625,240.77252197265625
420,420,420,2020-10-05,223.5988311767578,220.36422729492188,229.28662109375
421,421,421,2020-10-06,221.4669189453125,220.538818359375,224.50393676757807
422,422,422,2020-10-07,222.165283203125,220.6490936279297,220.36135864257807
423,423,423,2020-10-08,223.8101806640625,222.12852478027344,221.24839782714844
424,424,424,2020-10-09,224.8393402099609,222.5144805908203,215.55123901367188
425,425,425,2020-10-12,226.40147399902344,223.5712432861328,215.98101806640625
426,426,426,2020-10-13,222.7534027099609,223.5988311767578,220.36422729492188
427,427,427,2020-10-14,219.16046142578125,221.4669189453125,220.538818359375
428,428,428,2020-10-15,220.1712951660156,222.165283203125,220.6490936279297
429,429,429,2020-10-16,223.0382843017578,223.8101806640625,222.12852478027344
430,430,430,2020-10-19,220.1712951660156,224.8393402099609,222.5144805908203
431,431,431,2020-10-20,224.0306701660156,226.40147399902344,223.5712432861328
432,432,432,2020-10-21,222.1377410888672,222.7534027099609,223.5988311767578
433,433,433,2020-10-22,216.6518402099609,219.16046142578125,221.4669189453125
434,434,434,2020-10-23,218.44371032714844,220.1712951660156,222.165283203125
435,435,435,2020-10-26,217.89236450195312,223.0382843017578,223.8101806640625
436,436,436,2020-10-27,217.0102386474609,220.1712951660156,224.8393402099609
437,437,437,2020-10-28,211.4691772460937,224.0306701660156,226.40147399902344
438,438,438,2020-10-29,212.86590576171875,222.1377410888672,222.7534027099609
439,439,439,2020-10-30,211.028076171875,216.6518402099609,219.16046142578125
440,440,440,2020-11-02,214.5567169189453,218.44371032714844,220.1712951660156
441,441,441,2020-11-03,215.2366943359375,217.89236450195312,223.0382843017578
442,442,442,2020-11-04,217.84640502929688,217.0102386474609,220.1712951660156
443,443,443,2020-11-05,220.4653167724609,211.4691772460937,224.0306701660156
444,444,444,2020-11-06,222.5144805908203,212.86590576171875,222.1377410888672
445,445,445,2020-11-09,218.68263244628903,211.028076171875,216.6518402099609
446,446,446,2020-11-10,213.5367126464844,214.5567169189453,218.44371032714844
447,447,447,2020-11-11,219.1145172119141,215.2366943359375,217.89236450195312
448,448,448,2020-11-12,218.71017456054688,217.84640502929688,217.0102386474609
