,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,ITW,ITW_6m,ITW_12m,ITW_6m_ret,ITW_12m_ret
527,527,527,527,2021-03-10,199.8795623779297,192.89244079589844,187.77359008789065,0.03622288957100395,0.06447111270745065
528,528,528,528,2021-03-11,199.0108642578125,193.8826141357422,188.2499542236328,0.026450283564259713,0.057162882607642906
529,529,529,529,2021-03-12,201.76646423339844,190.5292053222656,190.04345703125,0.05897919372584304,0.061685929025279584
530,530,530,530,2021-03-15,205.23199462890625,196.17117309570312,189.3335418701172,0.04618834352783696,0.08397060870331896
531,531,531,531,2021-03-16,204.12042236328125,199.33778381347656,188.8571319580078,0.02399263430298726,0.08081924281613695
532,532,532,532,2021-03-17,205.4094696044922,196.95584106445312,192.83644104003903,0.04292144114310692,0.06520048024451253
533,533,533,533,2021-03-18,207.13755798339844,199.8795623779297,192.89244079589844,0.03631184458841985,0.0738500540960696
534,534,534,534,2021-03-19,204.2792205810547,199.0108642578125,193.8826141357422,0.026472707120236416,0.0536232012945399
535,535,535,535,2021-03-22,204.6715240478516,201.76646423339844,190.5292053222656,0.014398130162466716,0.07422651399645175
536,536,536,536,2021-03-23,202.4483642578125,205.23199462890625,196.17117309570312,-0.013563335366530094,0.03199854016801451
537,537,537,537,2021-03-24,205.8391571044922,204.12042236328125,199.33778381347656,0.008420199808091944,0.03261485688583288
538,538,538,538,2021-03-25,208.09967041015625,205.4094696044922,196.95584106445312,0.01309677110234464,0.05658034453548577
539,539,539,539,2021-03-26,212.61138916015625,207.13755798339844,199.8795623779297,0.026426067923406293,0.06369749178334394
540,540,540,540,2021-03-29,211.83609008789065,204.2792205810547,199.0108642578125,0.036992844819659476,0.06444485268635125
541,541,541,541,2021-03-30,211.00991821289065,204.6715240478516,201.76646423339844,0.03096861761559544,0.045812637965443104
542,542,542,542,2021-03-31,207.9681396484375,202.4483642578125,205.23199462890625,0.027265102441606848,0.013331961346858545
543,543,543,543,2021-04-01,207.83670043945312,205.8391571044922,204.12042236328125,0.009704389403163427,0.018206302109045502
544,544,544,544,2021-04-05,208.700424194336,208.09967041015625,205.4094696044922,0.0028868560098902485,0.016021435604602008
545,545,545,545,2021-04-06,209.5265655517578,212.61138916015625,207.13755798339844,-0.014509211480080664,0.011533435035238071
546,546,546,546,2021-04-07,206.49420166015625,211.83609008789065,204.2792205810547,-0.025217083762818948,0.010842909390398336
547,547,547,547,2021-04-08,204.9451446533203,211.00991821289065,204.6715240478516,-0.02874165162914999,0.0013368767675017157
548,548,548,548,2021-04-09,209.0102386474609,207.9681396484375,202.4483642578125,0.005010858878600644,0.032412582900852804
549,549,549,549,2021-04-12,209.9209442138672,207.83670043945312,205.8391571044922,0.010028275901258654,0.019829983598810275
550,550,550,550,2021-04-13,207.88365173339844,208.700424194336,208.09967041015625,-0.003913611886945723,-0.0010380539110516063
551,551,551,551,2021-04-14,208.06202697753903,209.5265655517578,212.61138916015625,-0.006989751253556498,-0.02139754695450613
552,552,552,552,2021-04-15,207.71466064453125,206.49420166015625,211.83609008789065,0.005910378957679319,-0.01945574732638533
553,553,553,553,2021-04-16,210.3245849609375,204.9451446533203,211.00991821289065,0.026248195909773342,-0.003247872222109094
554,554,554,554,2021-04-19,210.13682556152344,209.0102386474609,207.9681396484375,0.005390103955446701,0.010427971884308995
555,555,555,555,2021-04-20,209.2261505126953,209.9209442138672,207.83670043945312,-0.0033097874238980918,0.006685297015899039
556,556,556,556,2021-04-21,212.9439392089844,207.88365173339844,208.700424194336,0.024341921230417674,0.020333044511193554
557,557,557,557,2021-04-22,212.1646728515625,208.06202697753903,209.5265655517578,0.01971837885856198,0.012590801041660882
558,558,558,558,2021-04-23,214.53990173339844,207.71466064453125,206.49420166015625,0.03285873547725848,0.03896332201367869
559,559,559,559,2021-04-26,213.7700653076172,210.3245849609375,204.9451446533203,0.016381728970579434,0.043059915711713304
560,560,560,560,2021-04-27,215.3285217285156,210.13682556152344,209.0102386474609,0.024706265325551646,0.030229538619453766
561,561,561,561,2021-04-28,215.9293975830078,209.2261505126953,209.9209442138672,0.032038285146893,0.028622457809732493
562,562,562,562,2021-04-29,216.6522521972656,212.9439392089844,207.88365173339844,0.01741450356397256,0.042180327268411144
563,563,563,563,2021-04-30,216.3612518310547,212.1646728515625,208.06202697753903,0.01977981971781073,0.03988822455532248
564,564,564,564,2021-05-03,219.2715759277344,214.53990173339844,207.71466064453125,0.022054984439285663,0.055638418816189805
565,565,565,565,2021-05-04,221.54351806640625,213.7700653076172,210.3245849609375,0.03636361689651446,0.05334104478348256
566,566,566,566,2021-05-05,221.2431182861328,215.3285217285156,210.13682556152344,0.027467780441433165,0.05285267203847477
