,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,AJG,AJG_6m,AJG_12m,AJG_6m_ret,AJG_12m_ret
1017,1017,1017,1017,2023-02-17,186.66455078125,191.34600830078125,194.2657165527344,-0.02446592725452812,-0.03912767474553869
1018,1018,1018,1018,2023-02-21,184.6355895996093,193.0582427978516,192.68214416503903,-0.043627524399782014,-0.04176076927261918
1019,1019,1019,1019,2023-02-22,184.3782501220703,193.2165985107422,191.50436401367188,-0.04574321490387112,-0.037211234993542064
1020,1020,1020,1020,2023-02-23,183.5567626953125,186.31814575195312,192.5534820556641,-0.014820795073373416,-0.0467232234094358
1021,1021,1021,1021,2023-02-24,182.8342437744141,188.3767852783203,195.44351196289065,-0.029422635574321454,-0.06451617688322508
1022,1022,1022,1022,2023-02-27,183.0024871826172,186.69422912597656,194.1370391845703,-0.019774269192157412,-0.05735408373755646
1023,1023,1023,1023,2023-02-28,185.4273834228516,186.66455078125,191.34600830078125,-0.0066277574034302456,-0.030931530427465437
1024,1024,1024,1024,2023-03-01,185.8529663085937,184.6355895996093,193.0582427978516,0.006593402234229773,-0.037321775982403604
1025,1025,1025,1025,2023-03-02,185.6445159912109,184.3782501220703,193.2165985107422,0.006867761616688783,-0.03918960678272321
1026,1026,1026,1026,2023-03-03,187.6397247314453,183.5567626953125,186.31814575195312,0.02224359362291728,0.007093130806763215
1027,1027,1027,1027,2023-03-06,189.47613525390625,182.8342437744141,188.3767852783203,0.03632739328463597,0.005835910056335658
1028,1028,1028,1028,2023-03-07,187.6397247314453,183.0024871826172,186.69422912597656,0.02533975149857204,0.005064407239019353
1029,1029,1029,1029,2023-03-08,187.590087890625,185.4273834228516,186.66455078125,0.011663349974806891,0.004958290717232305
1030,1030,1030,1030,2023-03-09,184.0860595703125,185.8529663085937,184.6355895996093,-0.009507013922755436,-0.0029762952553646915
1031,1031,1031,1031,2023-03-10,181.41583251953125,185.6445159912109,184.3782501220703,-0.022778391535572484,-0.016067066481961656
1032,1032,1032,1032,2023-03-13,178.64634704589844,187.6397247314453,183.5567626953125,-0.04792896439396521,-0.02675148317779441
1033,1033,1033,1033,2023-03-14,182.00149536132807,189.47613525390625,182.8342437744141,-0.03944897800750391,-0.0045546632616234595
1034,1034,1034,1034,2023-03-15,175.7875213623047,187.6397247314453,183.0024871826172,-0.06316468107221851,-0.03942550689550317
1035,1035,1035,1035,2023-03-16,182.24966430664065,187.590087890625,185.4273834228516,-0.028468580851127356,-0.017137269898073293
1036,1036,1036,1036,2023-03-17,178.67613220214844,184.0860595703125,185.8529663085937,-0.02938803394885925,-0.03861565542370038
1037,1037,1037,1037,2023-03-20,181.11802673339844,181.41583251953125,185.6445159912109,-0.0016415644764673498,-0.024382563813663993
1038,1038,1038,1038,2023-03-21,182.5276031494141,178.64634704589844,187.6397247314453,0.021725919212434164,-0.027244345989890006
1039,1039,1039,1039,2023-03-22,179.212158203125,182.00149536132807,189.47613525390625,-0.015325902420006976,-0.05417028923999889
1040,1040,1040,1040,2023-03-23,183.0834808349609,175.7875213623047,187.6397247314453,0.04150442202105453,-0.024281872631210732
1041,1041,1041,1041,2023-03-24,184.2945098876953,182.24966430664065,187.590087890625,0.011220023854826566,-0.017567975152563364
1042,1042,1042,1042,2023-03-27,184.7610626220703,178.67613220214844,184.0860595703125,0.03405564215503376,0.0036667798383722694
1043,1043,1043,1043,2023-03-28,185.148178100586,181.11802673339844,181.41583251953125,0.022251519850753798,0.020573428069752042
1044,1044,1044,1044,2023-03-29,187.60992431640625,182.5276031494141,178.64634704589844,0.02784412373416112,0.05017498212938465
1045,1045,1045,1045,2023-03-30,188.27500915527344,179.212158203125,182.00149536132807,0.05057051398196033,0.03446957279933627
1046,1046,1046,1046,2023-03-31,189.9029541015625,183.0834808349609,175.7875213623047,0.03724788951739977,0.08029826366437787
1047,1047,1047,1047,2023-04-03,191.838607788086,184.2945098876953,182.24966430664065,0.04093501160174484,0.05261432726324067
1048,1048,1048,1048,2023-04-04,192.49375915527344,184.7610626220703,178.67613220214844,0.04185241426663788,0.07733336726526052
1049,1049,1049,1049,2023-04-05,193.8437347412109,185.148178100586,181.11802673339844,0.046965391341311724,0.07026196252979511
1050,1050,1050,1050,2023-04-06,195.9183654785156,187.60992431640625,182.5276031494141,0.04428572311610268,0.0733629440043655
1051,1051,1051,1051,2023-04-10,194.1713256835937,188.27500915527344,179.212158203125,0.03131757398273427,0.08347183377766965
1052,1052,1052,1052,2023-04-11,195.34263610839844,189.9029541015625,183.0834808349609,0.028644536008253674,0.06695937403816599
1053,1053,1053,1053,2023-04-12,196.811767578125,191.838607788086,184.2945098876953,0.02592366493574949,0.06791986206239886
1054,1054,1054,1054,2023-04-13,198.23123168945312,192.49375915527344,184.7610626220703,0.02980601843590991,0.07290588653376662
1055,1055,1055,1055,2023-04-14,198.97573852539065,193.8437347412109,185.148178100586,0.02647495309059722,0.07468375096455193
1056,1056,1056,1056,2023-04-17,201.71543884277344,195.9183654785156,187.60992431640625,0.02958922891225102,0.0751853324271805
1057,1057,1057,1057,2023-04-18,205.100341796875,194.1713256835937,188.27500915527344,0.056285427700536905,0.0893657247294326
1058,1058,1058,1058,2023-04-19,202.6485137939453,195.34263610839844,189.9029541015625,0.03740032299703766,0.06711617390410018
1059,1059,1059,1059,2023-04-20,206.35108947753903,196.811767578125,191.838607788086,0.04846926592246259,0.0756494318676677
