,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,BK,BK_6m,BK_12m,BK_6m_ret,BK_12m_ret
320,320,320,320,2020-05-13,28.86156272888184,31.215606689453125,32.81459045410156,-0.07541240457026421,-0.12046555116233748
321,321,321,321,2020-05-14,28.8171443939209,30.647085189819336,33.22322463989258,-0.05971010895699558,-0.13262048743700539
322,322,322,322,2020-05-15,28.47958374023437,30.957990646362305,33.77397918701172,-0.08005709848675713,-0.1567595993786064
323,323,323,323,2020-05-18,29.96308135986328,31.393274307250977,33.34758377075195,-0.045557304198032056,-0.10149168330021874
324,324,324,324,2020-05-19,29.77652740478516,30.60267639160156,31.979568481445312,-0.026995971732822754,-0.06888901824733396
325,325,325,325,2020-05-20,30.949115753173828,29.305721282958984,31.570940017700195,0.05607759844390747,-0.01969609597236388
326,326,326,326,2020-05-21,31.0734806060791,28.86156272888184,31.215606689453125,0.07663888119903461,-0.004553045686023549
327,327,327,327,2020-05-22,30.647085189819336,28.8171443939209,30.647085189819336,0.06350180888445256,0.0
328,328,328,328,2020-05-26,32.77017593383789,28.47958374023437,30.957990646362305,0.15065501773967327,0.05853691566020691
329,329,329,329,2020-05-27,34.26255416870117,29.96308135986328,31.393274307250977,0.143492345036222,0.09139791642528583
330,330,330,330,2020-05-28,33.391998291015625,29.77652740478516,30.60267639160156,0.12142016552438717,0.09114633843527331
331,331,331,331,2020-05-29,33.01890563964844,30.949115753173828,29.305721282958984,0.06687718973884915,0.12670510037398874
332,332,332,332,2020-06-01,33.489723205566406,31.0734806060791,28.86156272888184,0.07775899424072241,0.16035723776152833
333,333,333,333,2020-06-02,34.04935836791992,30.647085189819336,28.8171443939209,0.11101457633011003,0.18156601162406583
334,334,334,334,2020-06-03,34.946556091308594,32.77017593383789,28.47958374023437,0.06641344135181804,0.22707397727650225
335,335,335,335,2020-06-04,35.92371368408203,34.26255416870117,29.96308135986328,0.04848323645696939,0.1989325547873475
336,336,336,336,2020-06-05,37.575984954833984,33.391998291015625,29.77652740478516,0.12529907995785017,0.2619330805107729
337,337,337,337,2020-06-08,37.56710815429688,33.01890563964844,30.949115753173828,0.13774540453536588,0.2138346198289811
338,338,338,338,2020-06-09,36.79427337646485,33.489723205566406,31.0734806060791,0.09867355876949113,0.18410530969828187
339,339,339,339,2020-06-10,35.48844528198242,34.04935836791992,30.647085189819336,0.04226472929423419,0.1579713066406505
340,340,340,340,2020-06-11,33.471946716308594,34.946556091308594,32.77017593383789,-0.042196128601259875,0.021414922638424594
341,341,341,341,2020-06-12,34.14707565307617,35.92371368408203,34.26255416870117,-0.049455856558424105,-0.003370400089158787
342,342,342,342,2020-06-15,34.1381950378418,37.575984954833984,33.391998291015625,-0.09148901675164023,0.02234657358098091
343,343,343,343,2020-06-16,34.395809173583984,37.56710815429688,33.01890563964844,-0.08441690448164474,0.04170045939627354
344,344,344,344,2020-06-17,34.40468978881836,36.79427337646485,33.489723205566406,-0.06494444293537727,0.027320816527377945
345,345,345,345,2020-06-18,34.31585693359375,35.48844528198242,34.04935836791992,-0.03304141218561629,0.007826830767093451
346,346,346,346,2020-06-19,34.848846435546875,33.471946716308594,34.946556091308594,0.041135931856852936,-0.002795973815171493
347,347,347,347,2020-06-22,34.22702407836914,34.14707565307617,35.92371368408203,0.0023412963998796776,-0.04723035097745765
348,348,348,348,2020-06-23,34.395809173583984,34.1381950378418,37.575984954833984,0.007546214305021781,-0.08463319817358195
349,349,349,349,2020-06-24,33.072200775146484,34.395809173583984,37.56710815429688,-0.038481676408823495,-0.11965007688877094
350,350,350,350,2020-06-25,33.88945388793945,34.40468978881836,36.79427337646485,-0.014975746156745129,-0.07894759760043102
351,351,351,351,2020-06-26,32.26383590698242,34.31585693359375,35.48844528198242,-0.059798041196590046,-0.09086364165513738
352,352,352,352,2020-06-29,32.8234748840332,34.848846435546875,33.471946716308594,-0.05811875452634008,-0.01937359179528797
353,353,353,353,2020-06-30,34.3336181640625,34.22702407836914,34.14707565307617,0.0031143252609193706,0.005462913219320464
354,354,354,354,2020-07-01,33.391998291015625,34.395809173583984,34.1381950378418,-0.029184104304756042,-0.021858119505117957
355,355,355,355,2020-07-02,33.702903747558594,33.072200775146484,34.395809173583984,0.019070486923449037,-0.020145053792121392
356,356,356,356,2020-07-06,34.244781494140625,33.88945388793945,34.40468978881836,0.010484902098927718,-0.004647863290129228
357,357,357,357,2020-07-07,33.551902770996094,32.26383590698242,34.31585693359375,0.03992293004859082,-0.022262424163733363
358,358,358,358,2020-07-08,34.48463439941406,32.8234748840332,34.848846435546875,0.05060888651338136,-0.010451193465081388
359,359,359,359,2020-07-09,33.00114440917969,34.3336181640625,34.22702407836914,-0.03880959322479827,-0.03581613366042502
