,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,PPG,PPG_6m,PPG_12m,PPG_6m_ret,PPG_12m_ret
44,44,44,44,2019-04-09,105.18775177001952,105.1325454711914,98.20162963867188,0.0005251114065647489,0.0711405926465043
45,45,45,45,2019-04-10,105.75843811035156,105.15093994140624,98.54217529296876,0.0057773917121790586,0.07323019606507208
46,46,46,46,2019-04-11,105.4086685180664,105.46389770507812,99.73875427246094,-0.0005236786067414068,0.05684765452470675
47,47,47,47,2019-04-12,106.40274047851562,105.85047912597656,101.32191467285156,0.005217372250925667,0.050145378934745244
48,48,48,48,2019-04-15,107.20350646972656,105.81363677978516,102.83143615722656,0.013135071548801891,0.04251686522995968
49,49,49,49,2019-04-16,108.9799575805664,105.29821014404295,103.88993072509766,0.03496495744312278,0.048994419574091674
50,50,50,50,2019-04-17,108.0503158569336,105.18775177001952,105.1325454711914,0.02721385369251661,0.02775325540407203
51,51,51,51,2019-04-18,110.32381439208984,105.75843811035156,105.15093994140624,0.04316796241804011,0.049194752358524996
52,52,52,52,2019-04-22,107.91226959228516,105.4086685180664,105.46389770507812,0.023751377466547208,0.023215260771545898
53,53,53,53,2019-04-23,108.26203918457033,106.40274047851562,105.85047912597656,0.017474161827910173,0.022782703285864958
54,54,54,54,2019-04-24,107.36000061035156,107.20350646972656,105.81363677978516,0.001459785652339507,0.01461403159013086
55,55,55,55,2019-04-25,106.33831024169922,108.9799575805664,105.29821014404295,-0.024239753781462814,0.009877661702259344
56,56,56,56,2019-04-26,108.4368896484375,108.0503158569336,105.18775177001952,0.003577720143046692,0.030888937388088955
57,57,57,57,2019-04-29,107.79261016845705,110.32381439208984,105.75843811035156,-0.02294340743728207,0.01923413483076364
58,58,58,58,2019-04-30,108.15155029296876,107.91226959228516,105.4086685180664,0.0022173632487543227,0.02602140614680315
59,59,59,59,2019-05-01,106.2830810546875,108.26203918457033,106.40274047851562,-0.018279335441936384,-0.0011245896796453492
60,60,60,60,2019-05-02,107.47044372558594,107.36000061035156,107.20350646972656,0.0010287175354555256,0.0024900048948934828
61,61,61,61,2019-05-03,108.27122497558594,106.33831024169922,108.9799575805664,0.018177030737965838,-0.006503329793063228
62,62,62,62,2019-05-06,107.03783416748048,108.4368896484375,108.0503158569336,-0.012902025182508381,-0.009370464874843165
63,63,63,63,2019-05-07,105.35342407226562,107.79261016845705,110.32381439208984,-0.022628509434732935,-0.045052741760355564
64,64,64,64,2019-05-08,104.94842529296876,108.15155029296876,107.91226959228516,-0.02961700494651387,-0.027465313356066057
65,65,65,65,2019-05-09,104.33837127685548,106.2830810546875,108.26203918457033,-0.018297453917725415,-0.03624232406176631
66,66,66,66,2019-05-10,103.74681854248048,107.47044372558594,107.36000061035156,-0.034647899962275464,-0.03365482532907793
67,67,67,67,2019-05-13,102.83172607421876,108.27122497558594,106.33831024169922,-0.050239561828119395,-0.032975737149765205
68,68,68,68,2019-05-14,103.1182632446289,107.03783416748048,108.4368896484375,-0.03661855598384667,-0.04904812763490429
69,69,69,69,2019-05-15,103.46952056884766,105.35342407226562,107.79261016845705,-0.01788174916959251,-0.04010562127453188
70,70,70,70,2019-05-16,104.37535858154295,104.94842529296876,108.15155029296876,-0.005460460314921978,-0.034915742781278514
71,71,71,71,2019-05-17,103.31237030029295,104.33837127685548,106.2830810546875,-0.009833400349331667,-0.02795092807731059
72,72,72,72,2019-05-20,99.58733367919922,103.74681854248048,107.47044372558594,-0.04009264979608129,-0.0733514236389996
73,73,73,73,2019-05-21,100.7519760131836,102.83172607421876,108.27122497558594,-0.020224789959609413,-0.0694482672020923
74,74,74,74,2019-05-22,100.2713394165039,103.1182632446289,107.03783416748048,-0.027608337636284674,-0.06321591616277611
75,75,75,75,2019-05-23,98.7369384765625,103.46952056884766,105.35342407226562,-0.04573890036666539,-0.06280275799260826
76,76,76,76,2019-05-24,99.59656524658205,104.37535858154295,104.94842529296876,-0.0457846890291399,-0.05099514386658721
77,77,77,77,2019-05-28,99.37472534179688,103.31237030029295,104.33837127685548,-0.0381139736417887,-0.04757258402939679
78,78,78,78,2019-05-29,99.06971740722656,99.58733367919922,103.74681854248048,-0.005197611511922329,-0.04508187528988006
79,79,79,79,2019-05-30,99.12516784667967,100.7519760131836,102.83172607421876,-0.016146662635093567,-0.0360448897343596
80,80,80,80,2019-05-31,96.73114013671876,100.2713394165039,103.1182632446289,-0.03530619317928896,-0.061939785513628
81,81,81,81,2019-06-03,99.6242904663086,98.7369384765625,103.46952056884766,0.00898703163615644,-0.03716292567510726
82,82,82,82,2019-06-04,103.2569351196289,99.59656524658205,104.37535858154295,0.03675196894576116,-0.010715397552768957
83,83,83,83,2019-06-05,103.84849548339844,99.37472534179688,103.31237030029295,0.045019195033889625,0.005189360979204638
84,84,84,84,2019-06-06,104.44007110595705,99.06971740722656,99.58733367919922,0.05420782292792481,0.04872846021151611
85,85,85,85,2019-06-07,105.3643798828125,99.12516784667967,100.7519760131836,0.06294276389809728,0.04577978568902075
86,86,86,86,2019-06-10,105.734130859375,96.73114013671876,100.2713394165039,0.09307231063266186,0.05448008847453334
87,87,87,87,2019-06-11,108.00797271728516,99.6242904663086,98.7369384765625,0.08415299332858783,0.09389631057806547
88,88,88,88,2019-06-12,108.13738250732422,103.2569351196289,99.59656524658205,0.04726508085913106,0.08575413458884595
89,89,89,89,2019-06-13,108.06344604492188,103.84849548339844,99.37472534179688,0.04058749760315261,0.08743390910757598
90,90,90,90,2019-06-14,107.73068237304688,104.44007110595705,99.06971740722656,0.03150717183782281,0.08742292995769207
91,91,91,91,2019-06-17,106.23324584960938,105.3643798828125,99.12516784667967,0.008246296972119316,0.07170810559356644
