,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,GM,GM_6m,GM_12m,GM_6m_ret,GM_12m_ret
32,32,32,32,2019-03-22,34.3658561706543,35.8653450012207,36.11054992675781,-0.04180885003379642,-0.04831534716702568
33,33,33,33,2019-03-25,34.658206939697266,35.903072357177734,35.874778747558594,-0.03467294957646139,-0.0339116184220124
34,34,34,34,2019-03-26,34.77136993408203,35.81819152832031,35.8276252746582,-0.029225975672462212,-0.02948158948517554
35,35,35,35,2019-03-27,34.526180267333984,36.0916862487793,36.4217643737793,-0.04337580601400304,-0.052045367352109406
36,36,36,36,2019-03-28,34.9505615234375,34.89397430419922,36.4217643737793,0.001621690287983979,-0.04039350854185808
37,37,37,37,2019-03-29,34.988277435302734,35.224056243896484,36.59151458740234,-0.006693687034825979,-0.043814451797837384
38,38,38,38,2019-04-01,35.6107177734375,34.3658561706543,35.8653450012207,0.03622379132943632,-0.007099533763707977
39,39,39,39,2019-04-02,35.65787124633789,34.658206939697266,35.903072357177734,0.02884350908227784,-0.0068295300302014805
40,40,40,40,2019-04-03,36.204856872558594,34.77136993408203,35.81819152832031,0.04122607021794367,0.010795222420220574
41,41,41,41,2019-04-04,36.58209228515625,34.526180267333984,36.0916862487793,0.059546465954341654,0.01358778398428373
42,42,42,42,2019-04-05,36.72355651855469,34.9505615234375,34.89397430419922,0.050728655501807385,0.05243261195774118
43,43,43,43,2019-04-08,36.83671951293945,34.988277435302734,35.224056243896484,0.05283032527264875,0.045783008574499684
44,44,44,44,2019-04-09,36.64810562133789,35.6107177734375,34.3658561706543,0.02913133777590393,0.06641037660608196
45,45,45,45,2019-04-10,37.015907287597656,35.65787124633789,34.658206939697266,0.03808516868205469,0.06802718767311355
46,46,46,46,2019-04-11,37.09135818481445,36.204856872558594,34.77136993408203,0.024485701334943766,0.0667212207954575
47,47,47,47,2019-04-12,37.44972229003906,36.58209228515625,34.526180267333984,0.023717342302885802,0.08467609217319372
48,48,48,48,2019-04-15,37.31769180297852,36.72355651855469,34.9505615234375,0.016178587826144897,0.06772796133629067
49,49,49,49,2019-04-16,37.40257263183594,36.83671951293945,34.988277435302734,0.015361115929384495,0.06900297395313348
50,50,50,50,2019-04-17,37.71378326416016,36.64810562133789,35.6107177734375,0.029078655629113825,0.05905709354421851
51,51,51,51,2019-04-18,38.00613784790039,37.015907287597656,35.65787124633789,0.02675148693800944,0.06585549051259387
52,52,52,52,2019-04-22,37.25167083740234,37.09135818481445,36.204856872558594,0.004322102517494653,0.02891363356382093
53,53,53,53,2019-04-23,37.56290435791016,37.44972229003906,36.58209228515625,0.003022240512079888,0.02681126232771258
54,54,54,54,2019-04-24,37.45915222167969,37.31769180297852,36.72355651855469,0.00379070654873348,0.020030622653700147
55,55,55,55,2019-04-25,36.88387298583984,37.40257263183594,36.83671951293945,-0.013868020553072902,0.00128006710488493
56,56,56,56,2019-04-26,37.42143249511719,37.71378326416016,36.64810562133789,-0.007751828210796341,0.021101414675279706
57,57,57,57,2019-04-29,37.73264694213867,38.00613784790039,37.015907287597656,-0.007195966789791175,0.01936301733663459
58,58,58,58,2019-04-30,36.73297882080078,37.25167083740234,37.09135818481445,-0.013923993338864293,-0.00966207174803313
59,59,59,59,2019-05-01,36.54436874389648,37.56290435791016,37.44972229003906,-0.02711546488282124,-0.024175173827214014
60,60,60,60,2019-05-02,36.07283020019531,37.45915222167969,37.31769180297852,-0.037008900075480966,-0.03335848340662517
61,61,61,61,2019-05-03,36.59151458740234,36.88387298583984,37.40257263183594,-0.007926456057088638,-0.021684552354648834
62,62,62,62,2019-05-06,35.92193603515625,37.42143249511719,37.71378326416016,-0.04007052536421729,-0.04751173374607387
63,63,63,63,2019-05-07,36.33688735961914,37.73264694213867,38.00613784790039,-0.03699076782659505,-0.0439205502795772
64,64,64,64,2019-05-08,36.03510284423828,36.73297882080078,37.25167083740234,-0.018998621918658976,-0.032658078572480265
65,65,65,65,2019-05-09,35.44096374511719,36.54436874389648,37.56290435791016,-0.03019357117677879,-0.05649032334066917
66,66,66,66,2019-05-10,35.73332214355469,36.07283020019531,37.45915222167969,-0.009411738828265959,-0.046072320801915145
67,67,67,67,2019-05-13,34.47901916503906,36.59151458740234,36.88387298583984,-0.05773183882064725,-0.06520068599422912
68,68,68,68,2019-05-14,34.93170166015625,35.92193603515625,37.42143249511719,-0.027566286350236613,-0.06653221613805949
69,69,69,69,2019-05-15,35.242916107177734,36.33688735961914,37.73264694213867,-0.030106355605382107,-0.0659834662216735
70,70,70,70,2019-05-16,35.25234603881836,36.03510284423828,36.73297882080078,-0.021722063866541075,-0.04030799650650674
71,71,71,71,2019-05-17,34.89397430419922,35.44096374511719,36.54436874389648,-0.015433819600724874,-0.04516138864685959
72,72,72,72,2019-05-20,34.86568069458008,35.73332214355469,36.07283020019531,-0.024281018302439228,-0.03346423052795833
73,73,73,73,2019-05-21,35.01658248901367,34.47901916503906,36.59151458740234,0.015591027151946601,-0.04304091033528523
74,74,74,74,2019-05-22,33.52650451660156,34.93170166015625,35.92193603515625,-0.04022698800148872,-0.06668436568146874
75,75,75,75,2019-05-23,33.13041305541992,35.242916107177734,36.33688735961914,-0.05994121046435119,-0.08824295467207643
76,76,76,76,2019-05-24,33.1209831237793,35.25234603881836,36.03510284423828,-0.060460172287316594,-0.08086891643005056
77,77,77,77,2019-05-28,32.866355895996094,34.89397430419922,35.44096374511719,-0.058107981353076155,-0.07264497285223526
78,78,78,78,2019-05-29,32.80976486206055,34.86568069458008,35.73332214355469,-0.05896674872144758,-0.08181599431894604
79,79,79,79,2019-05-30,32.83805847167969,35.01658248901367,34.47901916503906,-0.06221406723564438,-0.04759302129520182
80,80,80,80,2019-05-31,31.442302703857425,33.52650451660156,34.93170166015625,-0.06216579517593579,-0.09989204048077904
81,81,81,81,2019-06-03,31.78180885314941,33.13041305541992,35.242916107177734,-0.04070592781365545,-0.09820717569178161
82,82,82,82,2019-06-04,33.69626235961914,33.1209831237793,35.25234603881836,0.0173690265681401,-0.04414128005794926
83,83,83,83,2019-06-05,33.80000305175781,32.866355895996094,34.89397430419922,0.028407382878594678,-0.031351294149080444
84,84,84,84,2019-06-06,33.54263687133789,32.80976486206055,34.86568069458008,0.02233700888618073,-0.037946880625447155
85,85,85,85,2019-06-07,33.82859420776367,32.83805847167969,35.01658248901367,0.030164260074579285,-0.03392644846545856
86,86,86,86,2019-06-10,34.32425308227539,31.442302703857425,33.52650451660156,0.09165837520113951,0.023794564246290673
87,87,87,87,2019-06-11,34.5053596496582,31.78180885314941,33.13041305541992,0.0856952733273677,0.04150103990367704
88,88,88,88,2019-06-12,34.00017166137695,33.69626235961914,33.1209831237793,0.009019080469945928,0.026544759686388586
89,89,89,89,2019-06-13,34.33378601074219,33.80000305175781,32.866355895996094,0.01579239381034947,0.044648397266484396
90,90,90,90,2019-06-14,33.99063873291016,33.54263687133789,32.80976486206055,0.013356190906836263,0.03599153714798842
91,91,91,91,2019-06-17,34.44816207885742,33.82859420776367,32.83805847167969,0.01831491628911852,0.04903163226188689
92,92,92,92,2019-06-18,34.981956481933594,34.32425308227539,31.442302703857425,0.01916147739855223,0.11257616248449631
93,93,93,93,2019-06-19,35.058204650878906,34.5053596496582,31.78180885314941,0.01602200373605389,0.10309028705283474
94,94,94,94,2019-06-20,35.22978210449219,34.00017166137695,33.69626235961914,0.03616483044148944,0.045510084427369035
95,95,95,95,2019-06-21,35.191654205322266,34.33378601074219,33.80000305175781,0.024986122832817648,0.04117310733473678
96,96,96,96,2019-06-24,35.22978210449219,33.99063873291016,33.54263687133789,0.03645543060602363,0.05029852720362471
97,97,97,97,2019-06-25,35.916072845458984,34.44816207885742,33.82859420776367,0.04261216500437026,0.06170751952844178
98,98,98,98,2019-06-26,36.345008850097656,34.981956481933594,34.32425308227539,0.038964440678668444,0.05887253432663209
99,99,99,99,2019-06-27,36.52611541748047,35.058204650878906,34.5053596496582,0.041870677098827525,0.05856353297978978
100,100,100,100,2019-06-28,36.72628021240234,35.22978210449219,34.00017166137695,0.042478210721585086,0.0801792584512786
101,101,101,101,2019-07-01,36.93598175048828,35.191654205322266,34.33378601074219,0.04956651184934091,0.07579110963562052
102,102,102,102,2019-07-02,36.54518127441406,35.22978210449219,33.99063873291016,0.03733770382173751,0.07515429649842265
103,103,103,103,2019-07-03,36.37360763549805,35.916072845458984,34.44816207885742,0.012738998275445113,0.05589399957631902
104,104,104,104,2019-07-05,36.69769287109375,36.345008850097656,34.981956481933594,0.009703781403678002,0.049046324497209026
105,105,105,105,2019-07-08,36.44033432006836,36.52611541748047,35.058204650878906,-0.0023484867315252123,0.039423857637695736
106,106,106,106,2019-07-09,36.2973518371582,36.72628021240234,35.22978210449219,-0.011679058504250217,0.03030304670916162
107,107,107,107,2019-07-10,36.31640625,36.93598175048828,35.191654205322266,-0.016774307088239016,0.03196076087004829
108,108,108,108,2019-07-11,36.6309700012207,36.54518127441406,35.22978210449219,0.0023474702769281652,0.03977282324859588
109,109,109,109,2019-07-12,37.37445068359375,36.37360763549805,35.916072845458984,0.02751563875998242,0.04060515871013881
110,110,110,110,2019-07-15,37.51744079589844,36.69769287109375,36.345008850097656,0.022337859976216512,0.03225840309012962
111,111,111,111,2019-07-16,37.58414840698242,36.44033432006836,36.52611541748047,0.03138868257539951,0.028966479939325884
112,112,112,112,2019-07-17,37.326786041259766,36.2973518371582,36.72628021240234,0.02836113798934803,0.016350848095273207
113,113,113,113,2019-07-18,37.28866195678711,36.31640625,36.93598175048828,0.026771803908518965,0.009548418360212363
114,114,114,114,2019-07-19,37.63180923461914,36.6309700012207,36.54518127441406,0.02732221487350972,0.02973382323775331
115,115,115,115,2019-07-22,37.99402618408203,37.37445068359375,36.37360763549805,0.016577514562916562,0.04454929422515064
116,116,116,116,2019-07-23,38.804229736328125,37.51744079589844,36.69769287109375,0.03429841996499827,0.057402433243798345
117,117,117,117,2019-07-24,38.96627426147461,37.58414840698242,36.44033432006836,0.03677416977832637,0.06931714509587161
118,118,118,118,2019-07-25,38.84235763549805,37.326786041259766,36.2973518371582,0.04060278837194886,0.07011546764506593
119,119,119,119,2019-07-26,38.86142349243164,37.28866195678711,36.31640625,0.042178009429975294,0.07007899473620527
120,120,120,120,2019-07-29,38.775634765625,37.63180923461914,36.6309700012207,0.03039517775705569,0.058547856208362115
121,121,121,121,2019-07-30,38.53733825683594,37.99402618408203,37.37445068359375,0.014299934156005056,0.03111450608564148
122,122,122,122,2019-07-31,38.45155334472656,38.804229736328125,37.51744079589844,-0.009088606937902699,0.024898088169442723
123,123,123,123,2019-08-01,38.27044677734375,38.96627426147461,37.58414840698242,-0.017857172575998947,0.01826031450625676
124,124,124,124,2019-08-02,37.91776657104492,38.84235763549805,37.326786041259766,-0.023803680330880317,0.015832612246120092
125,125,125,125,2019-08-05,37.18380737304688,38.86142349243164,37.28866195678711,-0.04316918858393026,-0.002811969597132258
126,126,126,126,2019-08-06,37.25053787231445,38.775634765625,37.63180923461914,-0.03933131984889027,-0.010131624550061225
127,127,127,127,2019-08-07,37.54602813720703,38.53733825683594,37.99402618408203,-0.02572336763432448,-0.011791275941760881
128,128,128,128,2019-08-08,38.22278594970703,38.45155334472656,38.804229736328125,-0.0059494968374510515,-0.01498403113711988
129,129,129,129,2019-08-09,37.75572967529297,38.27044677734375,38.96627426147461,-0.013449466765971918,-0.03106646989287576
130,130,130,130,2019-08-12,37.04083633422852,37.91776657104492,38.84235763549805,-0.02312715953808442,-0.04638032835635886
131,131,131,131,2019-08-13,37.18380737304688,37.18380737304688,38.86142349243164,0.0,-0.04316918858393026
132,132,132,132,2019-08-14,35.449012756347656,37.25053787231445,38.775634765625,-0.048362392031545354,-0.0857915551707854
133,133,133,133,2019-08-15,34.762725830078125,37.54602813720703,38.53733825683594,-0.07413040593688613,-0.09794688988641431
134,134,134,134,2019-08-16,35.26791000366211,38.22278594970703,38.45155334472656,-0.07730666074244052,-0.08279622184629043
135,135,135,135,2019-08-19,35.61105728149414,37.75572967529297,38.27044677734375,-0.056803892077929685,-0.0694893767852216
136,136,136,136,2019-08-20,35.22978210449219,37.04083633422852,37.91776657104492,-0.048893448662841954,-0.07088984161333367
137,137,137,137,2019-08-21,35.38228988647461,37.18380737304688,37.18380737304688,-0.048448978570121426,-0.048448978570121426
138,138,138,138,2019-08-22,35.5157356262207,35.449012756347656,37.25053787231445,0.001882220820411895,-0.046571199912340044
139,139,139,139,2019-08-23,34.371910095214844,34.762725830078125,37.54602813720703,-0.011242378885177429,-0.0845393827116091
140,140,140,140,2019-08-26,34.553016662597656,35.26791000366211,38.22278594970703,-0.02027036308616592,-0.09600998974637809
141,141,141,141,2019-08-27,34.209869384765625,35.61105728149414,37.75572967529297,-0.039346989494093654,-0.09391581942720939
142,142,142,142,2019-08-28,34.73412322998047,35.22978210449219,37.04083633422852,-0.014069314225151452,-0.062274865595204676
143,143,143,143,2019-08-29,35.18212127685547,35.38228988647461,37.18380737304688,-0.005657310769353496,-0.05383219841124609
144,144,144,144,2019-08-30,35.353694915771484,35.5157356262207,35.449012756347656,-0.004562504692415481,-0.00268887151332875
145,145,145,145,2019-09-03,35.18212127685547,34.371910095214844,34.762725830078125,0.023571898663653945,0.012064515562656641
146,146,146,146,2019-09-04,36.44985961914063,34.553016662597656,35.26791000366211,0.054896594849162206,0.033513457853209694
147,147,147,147,2019-09-05,37.28745269775391,34.209869384765625,35.61105728149414,0.08996185511187016,0.047075137449820614
148,148,148,148,2019-09-06,37.33559036254883,34.73412322998047,35.22978210449219,0.07489658268739374,0.05977352490602339
149,149,149,149,2019-09-09,38.105804443359375,35.18212127685547,35.38228988647461,0.08310138958071445,0.07697394842513772
150,150,150,150,2019-09-10,38.105804443359375,35.353694915771484,35.5157356262207,0.07784503243988117,0.0729273594216775
151,151,151,151,2019-09-11,37.99026870727539,35.18212127685547,34.371910095214844,0.07981745638138249,0.1052708040384489
152,152,152,152,2019-09-12,37.61479187011719,36.44985961914063,34.553016662597656,0.03195985562492609,0.08861093771976747
153,153,153,153,2019-09-13,37.41261672973633,37.28745269775391,34.209869384765625,0.0033567332420634255,0.09362056630350524
154,154,154,154,2019-09-16,35.824066162109375,37.33559036254883,34.73412322998047,-0.040484807813716994,0.03137960111767346
155,155,155,155,2019-09-17,36.86384201049805,38.105804443359375,35.18212127685547,-0.032592473797722454,0.047800435920528184
156,156,156,156,2019-09-18,36.7579460144043,38.105804443359375,35.353694915771484,-0.035371472893546696,0.039720066091489814
157,157,157,157,2019-09-19,36.372840881347656,37.99026870727539,35.18212127685547,-0.042574792992132404,0.03384445170665429
158,158,158,158,2019-09-20,35.97811508178711,37.61479187011719,36.44985961914063,-0.04351152052047702,-0.012942286809406456
159,159,159,159,2019-09-23,35.85294723510742,37.41261672973633,37.28745269775391,-0.04168832952519064,-0.03847153288465055
160,160,160,160,2019-09-24,35.40045928955078,35.824066162109375,37.33559036254883,-0.011824645215920193,-0.05183073454060527
161,161,161,161,2019-09-25,35.72779083251953,36.86384201049805,38.105804443359375,-0.030817492589486295,-0.06240554806747445
162,162,162,162,2019-09-26,36.20917510986328,36.7579460144043,38.105804443359375,-0.014929313632648822,-0.049772714713719024
163,163,163,163,2019-09-27,36.0262451171875,36.372840881347656,37.99026870727539,-0.00952897150076315,-0.05169807050382269
164,164,164,164,2019-09-30,36.084014892578125,35.97811508178711,37.61479187011719,0.0029434507769592333,-0.040696143762400494
165,165,165,165,2019-10-01,34.76504135131836,35.85294723510742,37.41261672973633,-0.030343555207750894,-0.07076691260447499
166,166,166,166,2019-10-02,33.3883056640625,35.40045928955078,35.824066162109375,-0.056839760440119846,-0.06799229565467768
167,167,167,167,2019-10-03,33.67713165283203,35.72779083251953,36.86384201049805,-0.05739675283311907,-0.0864454214175101
168,168,168,168,2019-10-04,33.609737396240234,36.20917510986328,36.7579460144043,-0.07178947616829212,-0.08564702219570097
169,169,169,169,2019-10-07,33.4556884765625,36.0262451171875,36.372840881347656,-0.07135233306339306,-0.08020139021588224
170,170,170,170,2019-10-08,32.618099212646484,36.084014892578125,35.97811508178711,-0.09605127617449583,-0.09339054760102028
171,171,171,171,2019-10-09,32.868408203125,34.76504135131836,35.85294723510742,-0.05455575700390858,-0.08324389658711073
172,172,172,172,2019-10-10,33.36905288696289,33.3883056640625,35.40045928955078,-0.0005766323482635505,-0.0573836171438461
173,173,173,173,2019-10-11,34.245155334472656,33.67713165283203,35.72779083251953,0.016866747664148418,-0.0414981017157483
174,174,174,174,2019-10-14,34.177764892578125,33.609737396240234,36.20917510986328,0.016900682371931763,-0.0561020849307281
175,175,175,175,2019-10-15,34.909454345703125,33.4556884765625,36.0262451171875,0.043453473395385744,-0.03099936637447609
176,176,176,176,2019-10-16,35.28493118286133,32.618099212646484,36.084014892578125,0.08175926968732972,-0.022145088679728753
177,177,177,177,2019-10-17,34.84205627441406,32.868408203125,34.76504135131836,0.06004696239294649,0.0022152978999054884
178,178,178,178,2019-10-18,34.82280349731445,33.36905288696289,33.3883056640625,0.04356583374649925,0.04296407992921836
179,179,179,179,2019-10-21,34.59174346923828,34.245155334472656,33.67713165283203,0.010120793186087162,0.02715824571506631
180,180,180,180,2019-10-22,34.95759582519531,34.177764892578125,33.609737396240234,0.022816908451100293,0.04010321214547363
181,181,181,181,2019-10-23,35.246421813964844,34.909454345703125,33.4556884765625,0.009652613441756497,0.0535255264185297
182,182,182,182,2019-10-24,34.485843658447266,35.28493118286133,32.618099212646484,-0.02264670774821287,0.057260983652800634
183,183,183,183,2019-10-25,35.371578216552734,34.84205627441406,32.868408203125,0.015197781037037172,0.07615732401637088
184,184,184,184,2019-10-28,35.275299072265625,34.82280349731445,33.36905288696289,0.012994231638646436,0.057126169920378445
185,185,185,185,2019-10-29,36.78681945800781,34.59174346923828,34.245155334472656,0.0634566451014984,0.0742196698689408
186,186,186,186,2019-10-30,36.49799728393555,34.95759582519531,34.177764892578125,0.04406485693246687,0.06788718919010628
187,187,187,187,2019-10-31,35.77593231201172,35.246421813964844,34.909454345703125,0.015023099389824601,0.02482072500268817
188,188,188,188,2019-11-01,36.55575942993164,34.485843658447266,35.28493118286133,0.06002218742232657,0.03601617473715191
189,189,189,189,2019-11-04,36.96012115478516,35.371578216552734,34.84205627441406,0.044910151548992694,0.060790467235611434
190,190,190,190,2019-11-05,36.80607604980469,35.275299072265625,34.82280349731445,0.043395152353012945,0.05695327065332889
191,191,191,191,2019-11-06,36.9890022277832,36.78681945800781,34.59174346923828,0.0054960655135241065,0.06930147249376883
192,192,192,192,2019-11-07,37.056396484375,36.49799728393555,34.95759582519531,0.01529944769559255,0.06003847260191164
193,193,193,193,2019-11-08,37.22969055175781,35.77593231201172,35.246421813964844,0.040635090291078146,0.056268654681060015
194,194,194,194,2019-11-11,37.277828216552734,36.55575942993164,34.485843658447266,0.019752531417248198,0.08096030898236628
195,195,195,195,2019-11-12,37.15267181396485,36.96012115478516,35.371578216552734,0.005209686904794175,0.05035380628220376
196,196,196,196,2019-11-13,35.8048095703125,36.80607604980469,35.275299072265625,-0.027203836620271815,0.01501080109801789
197,197,197,197,2019-11-14,35.42934036254883,36.9890022277832,36.78681945800781,-0.042165556551911565,-0.03690123569961101
198,198,198,198,2019-11-15,35.5159912109375,37.056396484375,36.49799728393555,-0.04156921394359048,-0.026905752262474825
199,199,199,199,2019-11-18,35.25604248046875,37.22969055175781,35.77593231201172,-0.053012744453119764,-0.01453183181947204
200,200,200,200,2019-11-19,35.024986267089844,37.277828216552734,36.55575942993164,-0.06043383043603767,-0.04187502015314193
201,201,201,201,2019-11-20,33.9659538269043,37.15267181396485,36.96012115478516,-0.08577358858650752,-0.08101075522294976
202,202,202,202,2019-11-21,33.37867736816406,35.8048095703125,36.80607604980469,-0.06775995267853796,-0.09312045861674545
203,203,203,203,2019-11-22,34.01409149169922,35.42934036254883,36.9890022277832,-0.0399456737372853,-0.08042689872422315
204,204,204,204,2019-11-25,34.47621536254883,35.5159912109375,37.056396484375,-0.02927627282632228,-0.06962849512132452
205,205,205,205,2019-11-26,34.57249069213867,35.25604248046875,37.22969055175781,-0.01938821660737322,-0.07137313848808446
206,206,206,206,2019-11-27,34.79391860961914,35.024986267089844,37.277828216552734,-0.006597223356738846,-0.06663235831508674
207,207,207,207,2019-11-29,34.65913391113281,33.9659538269043,37.15267181396485,0.02040808533630667,-0.06711597796567548
208,208,208,208,2019-12-02,34.543609619140625,33.37867736816406,35.8048095703125,0.03490049165601916,-0.03522431668558845
209,209,209,209,2019-12-03,34.206642150878906,34.01409149169922,35.42934036254883,0.005660908486315952,-0.034510894054420316
210,210,210,210,2019-12-04,34.466583251953125,34.47621536254883,35.5159912109375,-0.0002793842216848308,-0.029547477719309656
211,211,211,211,2019-12-05,34.359554290771484,34.57249069213867,35.25604248046875,-0.0061591281711042,-0.025427930267383436
212,212,212,212,2019-12-06,34.58335876464844,34.79391860961914,35.024986267089844,-0.006051627795453096,-0.012608927211953502
213,213,213,213,2019-12-09,34.427669525146484,34.65913391113281,33.9659538269043,-0.0066783084245500834,0.01359348542352623
214,214,214,214,2019-12-10,34.1649284362793,34.543609619140625,33.37867736816406,-0.010962409170218845,0.023555489016025
215,215,215,215,2019-12-11,34.29143142700195,34.206642150878906,34.01409149169922,0.002478737192298963,0.008153677583022212
216,216,216,216,2019-12-12,35.12828063964844,34.466583251953125,34.47621536254883,0.019198229858128357,0.01891348195393694
217,217,217,217,2019-12-13,34.69039535522461,34.359554290771484,34.57249069213867,0.009628793832811233,0.003410360686357805
218,218,218,218,2019-12-16,35.13801574707031,34.58335876464844,34.79391860961914,0.01603826239656203,0.009889577006599204
219,219,219,219,2019-12-17,35.33263397216797,34.427669525146484,34.65913391113281,0.02628596299149688,0.019432108798853154
220,220,220,220,2019-12-18,36.30571365356445,34.1649284362793,34.543609619140625,0.06266031615660816,0.051010998961945386
221,221,221,221,2019-12-19,36.25705337524414,34.29143142700195,34.206642150878906,0.05732108186928597,0.05994190295911728
222,222,222,222,2019-12-20,36.24732971191406,35.12828063964844,34.466583251953125,0.03185607299557325,0.05166588306544795
223,223,223,223,2019-12-23,35.780250549316406,34.69039535522461,34.359554290771484,0.031416626502287937,0.041347924554612225
224,224,224,224,2019-12-24,35.59536361694336,35.13801574707031,34.58335876464844,0.013015756870425443,0.029262769390965282
225,225,225,225,2019-12-26,35.49805450439453,35.33263397216797,34.427669525146484,0.004681805844332754,0.03109083461098705
226,226,226,226,2019-12-27,35.575904846191406,36.30571365356445,34.1649284362793,-0.020101761787056804,0.041298971620669755
227,227,227,227,2019-12-30,35.459129333496094,36.25705337524414,34.29143142700195,-0.022007415591385526,0.03405217740705524
228,228,228,228,2019-12-31,35.61482620239258,36.24732971191406,35.12828063964844,-0.017449658072704488,0.013850537341556945
229,229,229,229,2020-01-02,36.37382888793945,35.780250549316406,34.69039535522461,0.016589552323142964,0.0485273665946071
230,230,230,230,2020-01-03,35.34236526489258,35.59536361694336,35.13801574707031,-0.007107620946744664,0.005815624857510748
231,231,231,231,2020-01-06,34.875282287597656,35.49805450439453,35.33263397216797,-0.01754384079611404,-0.01294417180815266
232,232,232,232,2020-01-07,34.203853607177734,35.575904846191406,36.30571365356445,-0.03856686836063872,-0.05789336814703716
233,233,233,233,2020-01-08,33.71731185913086,35.459129333496094,36.25705337524414,-0.04912183426680605,-0.07004820523687083
234,234,234,234,2020-01-09,34.135738372802734,35.61482620239258,36.24732971191406,-0.041530115047717975,-0.05825508681311975
235,235,235,235,2020-01-10,33.71731185913086,36.37382888793945,35.780250549316406,-0.07303374734050672,-0.05765579219022432
236,236,236,236,2020-01-13,34.03843307495117,35.34236526489258,35.59536361694336,-0.03689431027517198,-0.04373970044938913
237,237,237,237,2020-01-14,34.203853607177734,34.875282287597656,35.49805450439453,-0.019252279447747878,-0.036458361318268295
238,238,238,238,2020-01-15,34.203853607177734,34.203853607177734,35.575904846191406,0.0,-0.03856686836063872
239,239,239,239,2020-01-16,34.59309005737305,33.71731185913086,35.459129333496094,0.025974140580991234,-0.024423591114656973
240,240,240,240,2020-01-17,34.64173889160156,34.135738372802734,35.61482620239258,0.014823189505166257,-0.027322534308075408
241,241,241,241,2020-01-21,34.04816436767578,33.71731185913086,36.37382888793945,0.009812541104320616,-0.06393785288396725
242,242,242,242,2020-01-22,33.97031784057617,34.03843307495117,35.34236526489258,-0.002001127203035802,-0.038821607270278946
243,243,243,243,2020-01-23,33.94112777709961,34.203853607177734,34.875282287597656,-0.007681176311168381,-0.026785575606086187
