,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,BMY,BMY_6m,BMY_12m,BMY_6m_ret,BMY_12m_ret
733,733,733,733,2021-12-31,57.72085571289063,57.48941040039063,55.09170913696289,0.004025877303108105,0.04772308968290395
734,734,734,734,2022-01-03,57.2857551574707,57.44313049316406,56.11003875732422,-0.002739671991102366,0.020953762039471302
735,735,735,735,2022-01-04,57.51718521118164,57.665306091308594,57.55421447753906,-0.0025686307793530982,-0.0006433806228364203
736,736,736,736,2022-01-05,57.544960021972656,57.72085571289063,56.989505767822266,-0.0030473507148420786,0.009746605917470674
737,737,737,737,2022-01-06,57.41421508789063,57.665306091308594,57.13763046264648,-0.0043542819840474145,0.004840673703208065
738,738,738,738,2022-01-07,58.67494201660156,57.87823486328125,56.88767623901367,0.013765228936270635,0.03141745094453663
739,739,739,739,2022-01-10,60.79481506347656,57.72085571289063,57.48941040039063,0.053255609478073396,0.05749588733064259
740,740,740,740,2022-01-11,61.14970016479492,57.2857551574707,57.44313049316406,0.06745036347522637,0.06452589961252109
741,741,741,741,2022-01-12,60.5333366394043,57.51718521118164,57.665306091308594,0.05243913479333995,0.049735807238314056
742,742,742,742,2022-01-13,60.327880859375,57.544960021972656,57.72085571289063,0.04836080929311137,0.04516608623149976
743,743,743,743,2022-01-14,60.63607025146485,57.41421508789063,57.665306091308594,0.056115983796733104,0.05151735699542259
744,744,744,744,2022-01-18,60.59870910644531,58.67494201660156,57.87823486328125,0.032786859666592116,0.04700340723227492
745,745,745,745,2022-01-19,60.4399528503418,60.79481506347656,57.72085571289063,-0.005837047333136058,0.047107706631658974
746,746,746,746,2022-01-20,60.30921936035156,61.14970016479492,57.2857551574707,-0.013744643100102039,0.052778639202185174
747,747,747,747,2022-01-21,59.33798599243164,60.5333366394043,57.51718521118164,-0.019746980975017703,0.03165663922121187
748,748,748,748,2022-01-24,58.4694938659668,60.327880859375,57.544960021972656,-0.030804778270599686,0.016066287015250813
749,749,749,749,2022-01-25,58.32941055297852,60.63607025146485,57.41421508789063,-0.03804104865174052,0.01594022427524089
750,750,750,750,2022-01-26,58.12395858764648,60.59870910644531,58.67494201660156,-0.040838337240019174,-0.009390438405532442
751,751,751,751,2022-01-27,59.6368293762207,60.4399528503418,60.79481506347656,-0.013287956661874767,-0.019047441563014744
752,752,752,752,2022-01-28,60.61738586425781,60.30921936035156,61.14970016479492,0.005109774379020493,-0.00870510074624331
753,753,753,753,2022-01-31,60.59870910644531,59.33798599243164,60.5333366394043,0.02124647631576959,0.0010799415771582943
754,754,754,754,2022-02-01,60.87887573242188,58.4694938659668,60.327880859375,0.04120750338592383,0.009133337110435846
755,755,755,755,2022-02-02,60.5146598815918,58.32941055297852,60.63607025146485,0.0374639364241216,-0.002002279655814565
756,756,756,756,2022-02-03,59.83293914794922,58.12395858764648,60.59870910644531,0.029402342886294175,-0.01263673714816227
757,757,757,757,2022-02-04,60.69209671020508,59.6368293762207,60.4399528503418,0.017694893323841665,0.004171807686343287
758,758,758,758,2022-02-07,61.81274032592773,60.61738586425781,60.30921936035156,0.019719663667890686,0.02493020107908417
759,759,759,759,2022-02-08,61.5325813293457,60.59870910644531,59.33798599243164,0.015410760999215123,0.036984661683562736
760,760,760,760,2022-02-09,62.69992065429688,60.87887573242188,58.4694938659668,0.029912591189741322,0.07235271777839825
761,761,761,761,2022-02-10,62.11157989501953,60.5146598815918,58.32941055297852,0.02638897775435578,0.06484154916336404
762,762,762,762,2022-02-11,62.45709991455078,59.83293914794922,58.12395858764648,0.04385812905016717,0.07455000368514586
763,763,763,763,2022-02-14,62.39173889160156,60.69209671020508,59.6368293762207,0.028004341150248857,0.04619476830334879
764,764,764,764,2022-02-15,63.28824234008789,61.81274032592773,60.61738586425781,0.023870516116582197,0.044060898333870835
765,765,765,765,2022-02-16,63.12948989868164,61.5325813293457,60.59870910644531,0.02595224407681962,0.041762948906896025
766,766,766,766,2022-02-17,62.93338394165039,62.69992065429688,60.87887573242188,0.0037235021179808925,0.033747472904371634
767,767,767,767,2022-02-18,63.08280563354492,62.11157989501953,60.5146598815918,0.01563679011493435,0.04243840677578259
768,768,768,768,2022-02-22,62.98941421508789,62.45709991455078,59.83293914794922,0.008522878924339894,0.052754805498249624
769,769,769,769,2022-02-23,63.43766784667969,62.39173889160156,60.69209671020508,0.016763901337888854,0.04523770450021303
770,770,770,770,2022-02-24,62.66254425048828,63.28824234008789,61.81274032592773,-0.009886482330119684,0.01374803835066496
771,771,771,771,2022-02-25,64.25012969970703,63.12948989868164,61.5325813293457,0.017751447110121443,0.04416438107505982
772,772,772,772,2022-02-28,64.12873840332031,62.93338394165039,62.69992065429688,0.01899396451934332,0.022788190704440936
773,773,773,773,2022-03-01,64.09137725830078,63.08280563354492,62.11157989501953,0.015988059101473162,0.03187485114092237
774,774,774,774,2022-03-02,64.29682159423828,62.98941421508789,62.45709991455078,0.020755985675402933,0.02945576535260952
775,775,775,775,2022-03-03,64.53964233398438,63.43766784667969,62.39173889160156,0.017370980439697314,0.03442608717981943
776,776,776,776,2022-03-04,64.77310180664062,62.66254425048828,63.28824234008789,0.03368132560522219,0.02346185344465157
777,777,777,777,2022-03-07,64.22211456298828,64.25012969970703,63.12948989868164,-0.0004360323761164464,0.017307674528342032
778,778,778,778,2022-03-08,63.26023864746094,64.12873840332031,62.93338394165039,-0.013543066298874917,0.005193661699704588
779,779,779,779,2022-03-09,63.62442779541016,64.09137725830078,63.08280563354492,-0.007285683080404448,0.00858589208938465
780,780,780,780,2022-03-10,63.895263671875,64.29682159423828,62.98941421508789,-0.006245377491556514,0.014380979218094225
781,781,781,781,2022-03-11,64.31551361083984,64.53964233398438,63.43766784667969,-0.0034727295510051936,0.013837926171589299
782,782,782,782,2022-03-14,64.66104125976562,64.77310180664062,62.66254425048828,-0.0017300475621735423,0.03189300774779458
783,783,783,783,2022-03-15,65.13731384277344,64.22211456298828,64.25012969970703,0.01425053170567181,0.013808285636354833
784,784,784,784,2022-03-16,65.05326080322266,63.26023864746094,64.12873840332031,0.028343588233265216,0.014416662839799033
785,785,785,785,2022-03-17,65.85638427734375,63.62442779541016,64.09137725830078,0.035080181610601446,0.027538915444579093
786,786,786,786,2022-03-18,66.32333374023438,63.895263671875,64.29682159423828,0.038000783294805496,0.03151807656659811
787,787,787,787,2022-03-21,66.3513412475586,64.31551361083984,64.53964233398438,0.03165375696192263,0.02807110247371547
788,788,788,788,2022-03-22,66.13655853271484,64.66104125976562,64.77310180664062,0.022819262483286584,0.021049736511683292
789,789,789,789,2022-03-23,66.65950012207031,65.13731384277344,64.22211456298828,0.023368883202200985,0.03795243391887193
790,790,790,790,2022-03-24,67.62139129638672,65.05326080322266,63.26023864746094,0.03947735227189164,0.06893987032249083
791,791,791,791,2022-03-25,68.4338607788086,65.85638427734375,63.62442779541016,0.03913783803572035,0.07559098211246118
