,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,K,K_6m,K_12m,K_6m_ret,K_12m_ret
105,105,105,105,2019-07-08,43.8189697265625,42.048187255859375,43.5264778137207,0.0421131702997819,0.006719861737803923
106,106,106,106,2019-07-09,43.36045837402344,42.34858703613281,43.62923431396485,0.023893863023747963,-0.006160455120693742
107,107,107,107,2019-07-10,43.30512619018555,42.19839096069336,43.94544219970703,0.026226953310212187,-0.014570703523965278
108,108,108,108,2019-07-11,43.1628303527832,42.1430549621582,44.10356140136719,0.024197946530945424,-0.02133004724998966
109,109,109,109,2019-07-12,43.12330627441406,44.799224853515625,43.10749435424805,-0.037409544128977124,0.0003668021164968671
110,110,110,110,2019-07-15,43.47903823852539,44.08774948120117,42.253719329833984,-0.013806811412211739,0.028999078143311374
111,111,111,111,2019-07-16,43.652957916259766,43.8189697265625,42.048187255859375,-0.003788583148774949,0.038165037903667764
112,112,112,112,2019-07-17,44.26956558227539,43.36045837402344,42.34858703613281,0.020966273013308,0.04536110129255433
113,113,113,113,2019-07-18,45.04429244995117,43.30512619018555,42.19839096069336,0.04016074799384328,0.06744099536659331
114,114,114,114,2019-07-19,44.72807693481445,43.1628303527832,42.1430549621582,0.03626376141782184,0.06133921650856666
115,115,115,115,2019-07-22,44.69646072387695,43.12330627441406,44.799224853515625,0.0364803765150139,-0.002293881869043224
116,116,116,116,2019-07-23,46.01664352416992,43.47903823852539,44.08774948120117,0.05836387805367882,0.04375124758389459
117,117,117,117,2019-07-24,46.05615997314453,43.652957916259766,43.8189697265625,0.055052444819314816,0.051055290905798634
118,118,118,118,2019-07-25,46.14311599731445,44.26956558227539,43.36045837402344,0.042321409537146915,0.0641750047771188
119,119,119,119,2019-07-26,46.42770767211914,45.04429244995117,43.30512619018555,0.030712331061811815,0.07210650924373208
120,120,120,120,2019-07-29,46.182647705078125,44.72807693481445,43.1628303527832,0.03252030648184423,0.06996337653515816
121,121,121,121,2019-07-30,46.2933235168457,44.69646072387695,43.12330627441406,0.03572682863714305,0.07351053331252744
122,122,122,122,2019-07-31,46.0245475769043,46.01664352416992,43.47903823852539,0.0001717650860437736,0.05854566801625838
123,123,123,123,2019-08-01,50.30129623413086,46.05615997314453,43.652957916259766,0.09217303968593304,0.15229983568638628
124,124,124,124,2019-08-02,50.119476318359375,46.14311599731445,44.26956558227539,0.08617450805178284,0.1321429442358515
125,125,125,125,2019-08-05,48.81510162353516,46.42770767211914,45.04429244995117,0.051421749449191534,0.08371336230386461
126,126,126,126,2019-08-06,48.74395751953125,46.182647705078125,44.72807693481445,0.05546043680322588,0.08978433368752792
127,127,127,127,2019-08-07,48.61747741699219,46.2933235168457,44.69646072387695,0.05020494800509945,0.08772544021635742
128,128,128,128,2019-08-08,49.40010070800781,46.0245475769043,46.01664352416992,0.07334245112270077,0.07352681388117221
129,129,129,129,2019-08-09,49.155029296875,50.30129623413086,46.05615997314453,-0.02278801985381218,0.06728457877377148
130,130,130,130,2019-08-12,48.71233749389648,50.119476318359375,46.14311599731445,-0.02807568889037748,0.05567941048306224
131,131,131,131,2019-08-13,49.56610870361328,48.81510162353516,46.42770767211914,0.015384728395526626,0.06759758749361677
132,132,132,132,2019-08-14,48.657005310058594,48.74395751953125,46.182647705078125,-0.0017838561720766588,0.053577647188651545
133,133,133,133,2019-08-15,50.21434783935547,48.61747741699219,46.2933235168457,0.03284560423953975,0.08469956409768131
134,134,134,134,2019-08-16,50.41987991333008,49.40010070800781,46.0245475769043,0.020643261667621537,0.09549974020019292
135,135,135,135,2019-08-19,50.9337158203125,49.155029296875,50.30129623413086,0.03618523981940913,0.012572630002177343
136,136,136,136,2019-08-20,49.98508834838867,48.71233749389648,50.119476318359375,0.026127895313002858,-0.0026813522375427334
137,137,137,137,2019-08-21,50.07995223999024,49.56610870361328,48.81510162353516,0.010366832293605022,0.025911051588290768
138,138,138,138,2019-08-22,50.49102783203125,48.657005310058594,48.74395751953125,0.03769287711575453,0.0358417822721917
139,139,139,139,2019-08-23,50.00090026855469,50.21434783935547,48.61747741699219,-0.0042507287256550175,0.028455257760432007
140,140,140,140,2019-08-26,50.317115783691406,50.41987991333008,49.40010070800781,-0.0020381668860639524,0.01856302036920643
141,141,141,141,2019-08-27,49.091796875,50.9337158203125,49.155029296875,-0.03616305850942725,-0.0012863876347851688
142,142,142,142,2019-08-28,49.41590881347656,49.98508834838867,48.71233749389648,-0.011386986673805888,0.014443390643453347
143,143,143,143,2019-08-29,49.77165222167969,50.07995223999024,49.56610870361328,-0.006156156396338708,0.004146856056332249
144,144,144,144,2019-08-30,50.12848663330078,50.49102783203125,48.657005310058594,-0.007180309340038327,0.030241921258109095
145,145,145,145,2019-09-03,50.846900939941406,50.00090026855469,50.21434783935547,0.01691970878209892,0.012597058964294083
146,146,146,146,2019-09-04,50.55952835083008,50.317115783691406,50.41987991333008,0.0048176959939592034,0.0027697098394532382
147,147,147,147,2019-09-05,50.160423278808594,49.091796875,50.9337158203125,0.021767921971354687,-0.015182331173951291
148,148,148,148,2019-09-06,51.261966705322266,49.41590881347656,49.98508834838867,0.037357562294640045,0.025545185556819172
