,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,MDLZ,MDLZ_6m,MDLZ_12m,MDLZ_6m_ret,MDLZ_12m_ret
851,851,851,851,2022-06-22,57.8665771484375,56.82981872558594,59.91129684448242,0.018243211857805752,-0.03412911760786286
852,852,852,852,2022-06-23,58.59614944458008,56.129051208496094,59.949703216552734,0.04395403419380339,-0.022578156343548428
853,853,853,853,2022-06-24,60.14168548583984,56.67622756958008,60.70806503295898,0.06114482323307935,-0.009329560196188913
854,854,854,854,2022-06-27,60.12249374389648,56.2634391784668,60.112892150878906,0.06858902729335159,0.00015972602006031345
855,855,855,855,2022-06-28,59.24892807006836,56.445831298828125,58.778541564941406,0.04965994311254707,0.00800269099237938
856,856,856,856,2022-06-29,59.90542221069336,57.424991607666016,58.36575698852539,0.04319427018768973,0.0263795982714774
857,857,857,857,2022-06-30,59.94404220581055,57.8665771484375,56.82981872558594,0.03590094938644817,0.05479910986980707
858,858,858,858,2022-07-01,61.150840759277344,58.59614944458008,56.129051208496094,0.04359827973190411,0.08946863420383488
859,859,859,859,2022-07-05,60.320560455322266,60.14168548583984,56.67622756958008,0.0029742260802541054,0.06430090784126596
860,860,860,860,2022-07-06,60.25298309326172,60.12249374389648,56.2634391784668,0.0021703914997452944,0.07090828383490999
861,861,861,861,2022-07-07,60.21436309814453,59.24892807006836,56.445831298828125,0.01629455687256387,0.0667636867524466
862,862,862,862,2022-07-08,60.28194427490234,59.90542221069336,57.424991607666016,0.006285275194033657,0.04975103325665842
863,863,863,863,2022-07-11,60.12747573852539,59.94404220581055,57.8665771484375,0.003060079466864263,0.03907088861137065
864,864,864,864,2022-07-12,60.39780044555664,61.150840759277344,58.59614944458008,-0.01231447195771318,0.03074691798102802
865,865,865,865,2022-07-13,59.82818984985352,60.320560455322266,60.14168548583984,-0.00816256682219374,-0.005212618061063878
866,866,866,866,2022-07-14,58.77585983276367,60.25298309326172,60.12249374389648,-0.024515354836651015,-0.022398171254656485
867,867,867,867,2022-07-15,58.64070510864258,60.21436309814453,59.24892807006836,-0.026134262799342722,-0.010265552158285285
868,868,868,868,2022-07-18,57.98420333862305,60.28194427490234,59.90542221069336,-0.038116569794115374,-0.032070867730690455
869,869,869,869,2022-07-19,59.29719924926758,60.12747573852539,59.94404220581055,-0.013808603788198481,-0.010790779746252532
870,870,870,870,2022-07-20,59.32616424560547,60.39780044555664,61.150840759277344,-0.017742967327380677,-0.02983894401149423
871,871,871,871,2022-07-21,59.229610443115234,59.82818984985352,60.320560455322266,-0.010004972710030202,-0.01808587327392397
872,872,872,872,2022-07-22,59.84749221801758,58.77585983276367,60.25298309326172,0.01823252587547075,-0.006729805802585864
873,873,873,873,2022-07-25,60.59088134765625,58.64070510864258,60.21436309814453,0.03325635725901677,0.00625296407931808
874,874,874,874,2022-07-26,60.76466369628906,57.98420333862305,60.28194427490234,0.04795203171850715,0.00800769496062359
875,875,875,875,2022-07-27,61.43081665039063,59.29719924926758,60.12747573852539,0.03598175678001203,0.021676295168834958
876,876,876,876,2022-07-28,61.98111343383789,59.32616424560547,60.39780044555664,0.044751741866221995,0.026214745845065446
877,877,877,877,2022-07-29,61.8266487121582,59.229610443115234,59.82818984985352,0.04384695846576925,0.03340329813287135
878,878,878,878,2022-08-01,62.647274017333984,59.84749221801758,58.77585983276367,0.04678194015410231,0.06586741896393744
879,879,879,879,2022-08-02,62.52176284790039,60.59088134765625,58.64070510864258,0.03186752622338007,0.06618368131944274
880,880,880,880,2022-08-03,62.87896728515625,60.76466369628906,57.98420333862305,0.03479495253087883,0.08441547291679052
881,881,881,881,2022-08-04,62.029388427734375,61.43081665039063,59.29719924926758,0.00974383558581482,0.04607619268798002
882,882,882,882,2022-08-05,61.56597518920898,61.98111343383789,59.32616424560547,-0.00669781844225914,0.03775418438196798
883,883,883,883,2022-08-08,61.73009490966797,61.8266487121582,59.229610443115234,-0.0015616858507041531,0.04221679744043283
884,884,884,884,2022-08-09,61.7204475402832,62.647274017333984,59.84749221801758,-0.014794362429789598,0.03129546874650435
885,885,885,885,2022-08-10,62.24178695678711,62.52176284790039,60.59088134765625,-0.004478054974143775,0.02724676671491788
886,886,886,886,2022-08-11,62.06800842285156,62.87896728515625,60.76466369628906,-0.012897140289009346,0.021449056857729243
887,887,887,887,2022-08-12,61.98111343383789,62.029388427734375,61.43081665039063,-0.0007782600331893708,0.008957992314819085
888,888,888,888,2022-08-15,62.927242279052734,61.56597518920898,61.98111343383789,0.022110704584150875,0.015264792656956683
889,889,889,889,2022-08-16,63.68029022216797,61.73009490966797,61.8266487121582,0.03159229408854469,0.02998127099917114
890,890,890,890,2022-08-17,63.2458381652832,61.7204475402832,62.647274017333984,0.024714510114406174,0.009554512264709158
891,891,891,891,2022-08-18,63.28445816040039,62.24178695678711,62.52176284790039,0.016751948403042727,0.012198877283026155
892,892,892,892,2022-08-19,63.10102462768555,62.06800842285156,62.87896728515625,0.016643295492846155,0.003531504286994114
893,893,893,893,2022-08-22,62.28040313720703,61.98111343383789,62.029388427734375,0.004828724215943936,0.004046706179686055
894,894,894,894,2022-08-23,61.517704010009766,62.927242279052734,61.56597518920898,-0.022399492143519217,-0.0007840561129887069
895,895,895,895,2022-08-24,62.36729049682617,63.68029022216797,61.73009490966797,-0.020618620310318914,0.010322284261681913
896,896,896,896,2022-08-25,62.23213195800781,63.2458381652832,61.7204475402832,-0.016028030249614633,0.008290354949073375
897,897,897,897,2022-08-26,60.561920166015625,63.28445816040039,62.24178695678711,-0.043020641616054234,-0.026989372781629384
898,898,898,898,2022-08-29,60.320560455322266,63.10102462768555,62.06800842285156,-0.04406369292367007,-0.028153762492658663
899,899,899,899,2022-08-30,59.71233367919922,62.28040313720703,61.98111343383789,-0.041233989002129934,-0.03660437234740055
900,900,900,900,2022-08-31,59.72198867797852,61.517704010009766,62.927242279052734,-0.029190220293967006,-0.050935866327343815
901,901,901,901,2022-09-01,59.82818984985352,62.36729049682617,63.68029022216797,-0.04071205637996833,-0.060491250257736384
902,902,902,902,2022-09-02,58.63104248046875,62.23213195800781,63.2458381652832,-0.057865436459238806,-0.0729659977428776
903,903,903,903,2022-09-06,57.9262809753418,60.561920166015625,63.28445816040039,-0.04351974282600135,-0.08466813718271538
904,904,904,904,2022-09-07,59.29719924926758,60.320560455322266,63.10102462768555,-0.016965379604068187,-0.06028151525053116
905,905,905,905,2022-09-08,58.84344100952149,59.71233367919922,62.28040313720703,-0.014551309857454231,-0.05518529030895525
906,906,906,906,2022-09-09,59.21030807495117,59.72198867797852,61.517704010009766,-0.00856770871757695,-0.037507835706663384
907,907,907,907,2022-09-12,59.7606086730957,59.82818984985352,62.36729049682617,-0.0011295875226615681,-0.04179565607172109
908,908,908,908,2022-09-13,57.81042098999024,58.63104248046875,62.23213195800781,-0.01399636533414661,-0.07105189600448203
909,909,909,909,2022-09-14,58.157981872558594,57.9262809753418,60.561920166015625,0.003999927033386141,-0.03969389158843095
910,910,910,910,2022-09-15,57.511138916015625,59.29719924926758,60.320560455322266,-0.030120483865416547,-0.046574858026849686
911,911,911,911,2022-09-16,58.21590423583984,58.84344100952149,59.71233367919922,-0.010664515244445227,-0.025060642436097957
912,912,912,912,2022-09-19,58.29314422607422,59.21030807495117,59.72198867797852,-0.015489935430093804,-0.023924930892851637
913,913,913,913,2022-09-20,57.68491744995117,59.7606086730957,59.82818984985352,-0.03473343510436855,-0.035823788172116955
914,914,914,914,2022-09-21,57.68491744995117,57.81042098999024,58.63104248046875,-0.00217095011400803,-0.016136930037236707
915,915,915,915,2022-09-22,57.733184814453125,58.157981872558594,57.9262809753418,-0.007304191865466159,-0.003333481066579602
916,916,916,916,2022-09-23,56.91256332397461,57.511138916015625,59.29719924926758,-0.010407994056857883,-0.0402149841052134
917,917,917,917,2022-09-26,56.33329772949219,58.21590423583984,58.84344100952149,-0.032338353772209394,-0.042657996149870536
918,918,918,918,2022-09-27,55.58991622924805,58.29314422607422,59.21030807495117,-0.046373000336753734,-0.06114462098593143
919,919,919,919,2022-09-28,56.130558013916016,57.68491744995117,59.7606086730957,-0.02694568190001756,-0.06074320091076879
920,920,920,920,2022-09-29,55.07607650756836,57.68491744995117,57.81042098999024,-0.045225702969000636,-0.04729847033799195
921,921,921,921,2022-09-30,53.28783416748047,57.733184814453125,58.157981872558594,-0.07699818849868456,-0.08373997082206297
922,922,922,922,2022-10-03,54.765079498291016,56.91256332397461,57.511138916015625,-0.03773303643800141,-0.047748305275865266
923,923,923,923,2022-10-04,55.911888122558594,56.33329772949219,58.21590423583984,-0.007480648637989695,-0.039577090548098104
924,924,924,924,2022-10-05,55.63005065917969,55.58991622924805,58.29314422607422,0.0007219732040273374,-0.04568450719635986
925,925,925,925,2022-10-06,54.43463897705078,56.130558013916016,57.68491744995117,-0.030213828204679105,-0.05634537790091165
926,926,926,926,2022-10-07,53.70573043823242,55.07607650756836,57.68491744995117,-0.02488096749498181,-0.06898141121847301
927,927,927,927,2022-10-10,54.055606842041016,53.28783416748047,57.733184814453125,0.014408029272638068,-0.0636995513798756
928,928,928,928,2022-10-11,54.69704818725586,54.765079498291016,56.91256332397461,-0.0012422388802937334,-0.03892840187336033
929,929,929,929,2022-10-12,55.2315788269043,55.911888122558594,56.33329772949219,-0.012167524984365796,-0.019557152643153497
930,930,930,930,2022-10-13,56.05766677856445,55.63005065917969,55.58991622924805,0.007686782850595986,0.008414305705866543
931,931,931,931,2022-10-14,55.33848190307617,54.43463897705078,56.130558013916016,0.016604187021547867,-0.014111317237278653
