,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,PRU,PRU_6m,PRU_12m,PRU_6m_ret,PRU_12m_ret
28,28,28,28,2019-03-18,76.37739562988281,73.27517700195312,75.27786254882812,0.04233655590960894,0.014606327063836133
29,29,29,29,2019-03-19,76.02396392822266,74.26473999023438,75.86688995361328,0.023688549077524712,0.002070389002441164
30,30,30,30,2019-03-20,73.75425720214844,74.4061050415039,75.968994140625,-0.008760676815321333,-0.029153169178163685
31,31,31,31,2019-03-21,74.0134048461914,74.71238708496094,76.07109069824219,-0.009355640557631606,-0.02704951162345215
32,32,32,32,2019-03-22,70.65202331542969,74.82234191894531,75.00296783447266,-0.055736274708339306,-0.05801029805440849
33,33,33,33,2019-03-25,70.64417266845703,75.37996673583984,73.91130828857422,-0.06282563222638238,-0.04420346082038229
34,34,34,34,2019-03-26,71.83009338378906,76.37739562988281,73.27517700195312,-0.05953727812518672,-0.019721325519630573
35,35,35,35,2019-03-27,71.88504028320312,76.02396392822266,74.26473999023438,-0.05444235516221252,-0.03204346648684386
36,36,36,36,2019-03-28,72.0107192993164,73.75425720214844,74.4061050415039,-0.02363982729909786,-0.032193403227481765
37,37,37,37,2019-03-29,72.15994262695312,74.0134048461914,74.71238708496094,-0.025042250428689128,-0.03416360469255575
38,38,38,38,2019-04-01,75.29357147216797,70.65202331542969,74.82234191894531,0.06569589855927904,0.006297979201628445
39,39,39,39,2019-04-02,74.68096923828125,70.64417266845703,75.37996673583984,0.057142668918630735,-0.009272987609667549
40,40,40,40,2019-04-03,75.75692749023438,71.83009338378906,76.37739562988281,0.05466836978011691,-0.008123714281319083
41,41,41,41,2019-04-04,76.25956726074219,71.88504028320312,76.02396392822266,0.06085448321799469,0.0030990666672152667
42,42,42,42,2019-04-05,77.3355484008789,72.0107192993164,73.75425720214844,0.07394495088195918,0.048557077714371566
43,43,43,43,2019-04-08,77.66539764404297,72.15994262695312,74.0134048461914,0.07629516899080024,0.049342315833744266
44,44,44,44,2019-04-09,76.38523864746094,75.29357147216797,70.65202331542969,0.014498809844562865,0.08114722074462044
45,45,45,45,2019-04-10,77.27271270751953,74.68096923828125,70.64417266845703,0.03470420236471394,0.0938299620291565
46,46,46,46,2019-04-11,78.19160461425781,75.75692749023438,71.83009338378906,0.032138013046229874,0.08856331560755626
47,47,47,47,2019-04-12,79.68377685546875,76.25956726074219,71.88504028320312,0.044902032856005025,0.10848900607888923
48,48,48,48,2019-04-15,79.58953857421875,77.3355484008789,72.0107192993164,0.02914558983478055,0.10524570992549842
49,49,49,49,2019-04-16,81.70221710205078,77.66539764404297,72.15994262695312,0.051977065468838735,0.13223783345322992
50,50,50,50,2019-04-17,81.80430603027344,76.38523864746094,75.29357147216797,0.07094390851906618,0.08647132060287688
51,51,51,51,2019-04-18,81.54513549804688,77.27271270751953,74.68096923828125,0.055290187710876015,0.09191319193869107
52,52,52,52,2019-04-22,81.25454711914062,78.19160461425781,75.75692749023438,0.03917226817371522,0.07256920008556222
53,53,53,53,2019-04-23,81.41162872314453,79.68377685546875,76.25956726074219,0.02168386007618306,0.0675595423297739
54,54,54,54,2019-04-24,80.70477294921875,79.58953857421875,77.3355484008789,0.014012323666885207,0.04356631093989316
55,55,55,55,2019-04-25,80.68907165527344,81.70221710205078,77.66539764404297,-0.012400464549350843,0.03893206116176229
56,56,56,56,2019-04-26,81.59225463867188,81.80430603027344,76.38523864746094,-0.002592178845977733,0.06816783037417418
57,57,57,57,2019-04-29,82.69962310791016,81.54513549804688,77.27271270751953,0.014157651499529855,0.07023061841935996
58,58,58,58,2019-04-30,83.02163696289062,81.25454711914062,78.19160461425781,0.02174758098348617,0.061771751231616046
59,59,59,59,2019-05-01,82.14987182617188,81.41162872314453,79.68377685546875,0.009068030140237937,0.030948520113148748
60,60,60,60,2019-05-02,79.98224639892578,80.70477294921875,79.58953857421875,-0.008952711517416723,0.004934163857990281
61,61,61,61,2019-05-03,80.99535369873047,80.68907165527344,81.70221710205078,0.0037958305526868408,-0.008651704058867837
62,62,62,62,2019-05-06,80.1314697265625,81.59225463867188,81.80430603027344,-0.017903475257282753,-0.020449245093429047
63,63,63,63,2019-05-07,79.22044372558594,82.69962310791016,81.54513549804688,-0.04207007543171548,-0.028508037398706887
64,64,64,64,2019-05-08,79.16544342041016,83.02163696289062,81.25454711914062,-0.04644805479087488,-0.02571060664047875
65,65,65,65,2019-05-09,79.18900299072266,82.14987182617188,81.41162872314453,-0.03604228186398617,-0.027301084222013605
66,66,66,66,2019-05-10,79.53459167480469,79.98224639892578,80.70477294921875,-0.0055969261214336985,-0.014499529973900915
67,67,67,67,2019-05-13,75.50562286376953,80.99535369873047,80.68907165527344,-0.0677783426365478,-0.06423978718765122
68,68,68,68,2019-05-14,77.42194366455078,80.1314697265625,81.59225463867188,-0.033813507617638905,-0.05111160357792721
69,69,69,69,2019-05-15,77.14704895019531,79.22044372558594,82.69962310791016,-0.026172471118348195,-0.06714146871588034
70,70,70,70,2019-05-16,78.07379150390625,79.16544342041016,83.02163696289062,-0.01378950043526772,-0.05959705975438645
71,71,71,71,2019-05-17,77.6025619506836,79.18900299072266,82.14987182617188,-0.0200336029009599,-0.05535382800243849
72,72,72,72,2019-05-20,77.99524688720703,79.53459167480469,79.98224639892578,-0.01935440611666961,-0.02484300705694409
73,73,73,73,2019-05-21,78.88272857666016,75.50562286376953,80.99535369873047,0.04472654598166481,-0.026083287813377654
74,74,74,74,2019-05-22,78.26226806640625,77.42194366455078,80.1314697265625,0.010853827249498904,-0.02332668633852142
75,75,75,75,2019-05-23,76.26744842529297,77.14704895019531,79.22044372558594,-0.011401609483082109,-0.037275672306531615
76,76,76,76,2019-05-24,77.56884765625,78.07379150390625,79.16544342041016,-0.0064675205075827025,-0.020167837065996008
77,77,77,77,2019-05-28,76.44994354248047,77.6025619506836,79.18900299072266,-0.014852839638665682,-0.03458888664835291
78,78,78,78,2019-05-29,76.40233612060547,77.99524688720703,79.53459167480469,-0.0204231774393272,-0.03938230508564322
79,79,79,79,2019-05-30,75.98969268798828,78.88272857666016,75.50562286376953,-0.03667514981889031,0.006411043388015347
80,80,80,80,2019-05-31,73.30752563476562,78.26226806640625,77.42194366455078,-0.06330946641408963,-0.053142789176307215
81,81,81,81,2019-06-03,74.76763916015625,76.26744842529297,77.14704895019531,-0.019665129699544703,-0.030842525053358383
82,82,82,82,2019-06-04,77.6243896484375,77.56884765625,78.07379150390625,0.0007160347725370109,-0.0057561167046212836
83,83,83,83,2019-06-05,78.40206909179688,76.44994354248047,77.6025619506836,0.025534689220949813,0.010302586938062186
84,84,84,84,2019-06-06,79.24321746826172,76.40233612060547,77.99524688720703,0.03718317386489023,0.01600059786796293
85,85,85,85,2019-06-07,78.8940658569336,75.98969268798828,78.88272857666016,0.03822062001053994,0.00014372322659217396
86,86,86,86,2019-06-10,79.14798736572266,73.30752563476562,78.26226806640625,0.07967069793155357,0.011317322142579078
87,87,87,87,2019-06-11,79.14798736572266,74.76763916015625,76.26744842529297,0.05858615110453691,0.037768917144924474
88,88,88,88,2019-06-12,78.3703384399414,77.6243896484375,77.56884765625,0.009609721826893791,0.010332637494413266
89,89,89,89,2019-06-13,78.82263946533203,78.40206909179688,76.44994354248047,0.005364276458606376,0.03103594081182215
90,90,90,90,2019-06-14,78.74329376220703,79.24321746826172,76.40233612060547,-0.00630872549130046,0.030639869936780917
91,91,91,91,2019-06-17,77.71961212158203,78.8940658569336,75.98969268798828,-0.014886464813225864,0.02276518528238758
92,92,92,92,2019-06-18,78.94961547851562,79.14798736572266,73.30752563476562,-0.002506341523131894,0.07696467443001898
93,93,93,93,2019-06-19,78.53694915771484,79.14798736572266,74.76763916015625,-0.007720198938026779,0.05041365542496967
94,94,94,94,2019-06-20,79.45747375488281,78.3703384399414,77.6243896484375,0.013871770067377387,0.023614795745865225
95,95,95,95,2019-06-21,79.03690338134766,78.82263946533203,78.40206909179688,0.0027183042520400047,0.008097162446152772
96,96,96,96,2019-06-24,78.79884338378906,78.74329376220703,79.24321746826172,0.0007054520953846399,-0.0056077238995329015
97,97,97,97,2019-06-25,77.98149108886719,77.71961212158203,78.8940658569336,0.003369535180843153,-0.011567090099289246
98,98,98,98,2019-06-26,78.17987060546875,78.94961547851562,79.14798736572266,-0.009749824218666991,-0.012231729352516374
99,99,99,99,2019-06-27,78.74329376220703,78.53694915771484,79.14798736572266,0.0026273570173678262,-0.005113125639514271
100,100,100,100,2019-06-28,80.14785766601562,79.45747375488281,78.3703384399414,0.008688722136605653,0.02268102015964124
101,101,101,101,2019-07-01,80.957275390625,79.03690338134766,78.82263946533203,0.024297156481595472,0.027081507797411808
102,102,102,102,2019-07-02,80.13198852539062,78.79884338378906,78.74329376220703,0.016918333878436442,0.017635721047905895
103,103,103,103,2019-07-03,81.2984848022461,77.98149108886719,77.71961212158203,0.0425356538720052,0.046048514435010235
104,104,104,104,2019-07-05,81.52861785888672,78.17987060546875,78.94961547851562,0.042833880735327234,0.032666433708887554
105,105,105,105,2019-07-08,80.83824157714844,78.74329376220703,78.53694915771484,0.026604777560713,0.029302034827100698
106,106,106,106,2019-07-09,80.61604309082031,80.14785766601562,79.45747375488281,0.005841521388577409,0.014580998881383422
107,107,107,107,2019-07-10,79.94947814941406,80.957275390625,79.03690338134766,-0.012448507392921027,0.011546185756586391
108,108,108,108,2019-07-11,80.25894165039062,80.13198852539062,78.79884338378906,0.0015843001944195745,0.018529437792508707
109,109,109,109,2019-07-12,81.34610748291016,81.2984848022461,77.98149108886719,0.0005857757469884817,0.043146345973414046
110,110,110,110,2019-07-15,80.85411071777344,81.52861785888672,78.17987060546875,-0.00827325617466923,0.034206248892379554
111,111,111,111,2019-07-16,81.01280975341797,80.83824157714844,78.74329376220703,0.002159475179861925,0.028821705097383132
112,112,112,112,2019-07-17,79.44159698486328,80.61604309082031,80.14785766601562,-0.014568391860090735,-0.008811972044161287
113,113,113,113,2019-07-18,80.49701690673828,79.94947814941406,80.957275390625,0.006848559490294059,-0.005685202246072829
114,114,114,114,2019-07-19,80.16372680664062,80.25894165039062,80.13198852539062,-0.001186345618221063,0.00039607504860494913
115,115,115,115,2019-07-22,79.97325134277344,81.34610748291016,81.2984848022461,-0.016876728126482776,-0.016300838357519387
116,116,116,116,2019-07-23,80.84617614746094,80.85411071777344,81.52861785888672,-9.813440828254638e-05,-0.008370578691852537
117,117,117,117,2019-07-24,81.37784576416016,81.01280975341797,80.83824157714844,0.0045059048297826365,0.006675110399287254
118,118,118,118,2019-07-25,81.30643463134766,79.44159698486328,80.61604309082031,0.02347432223498358,0.008563947249923487
119,119,119,119,2019-07-26,81.9491958618164,80.49701690673828,79.94947814941406,0.018040158640419968,0.025012267230377194
120,120,120,120,2019-07-29,81.33817291259766,80.16372680664062,80.25894165039062,0.014650592640108373,0.013446866355504516
121,121,121,121,2019-07-30,81.2112045288086,79.97325134277344,81.34610748291016,0.015479590553711065,-0.0016583824140559145
122,122,122,122,2019-07-31,80.39385223388672,80.84617614746094,80.85411071777344,-0.005594870841500232,-0.005692456200443341
123,123,123,123,2019-08-01,72.28385162353516,81.37784576416016,81.01280975341797,-0.11175024424927837,-0.10774787538478792
124,124,124,124,2019-08-02,70.27618408203125,81.30643463134766,79.44159698486328,-0.13566270122812274,-0.11537296895703641
125,125,125,125,2019-08-05,68.20503234863281,81.9491958618164,80.49701690673828,-0.1677156605216621,-0.15270111900353567
126,126,126,126,2019-08-06,68.42723083496094,81.33817291259766,80.16372680664062,-0.15873164610557744,-0.1464065661516557
127,127,127,127,2019-08-07,67.58606719970703,81.2112045288086,79.97325134277344,-0.16777410713404983,-0.1548915910642883
128,128,128,128,2019-08-08,68.26851654052734,80.39385223388672,80.84617614746094,-0.15082416573450919,-0.15557519484894788
129,129,129,129,2019-08-09,67.3083267211914,72.28385162353516,81.37784576416016,-0.0688331458630208,-0.17289126924966036
130,130,130,130,2019-08-12,65.64190673828125,70.27618408203125,81.30643463134766,-0.06594378172754156,-0.1926603713973083
131,131,131,131,2019-08-13,66.32432556152344,68.20503234863281,81.9491958618164,-0.02757431119592557,-0.19066532790193313
132,132,132,132,2019-08-14,63.800872802734375,68.42723083496094,81.33817291259766,-0.06760989705085152,-0.2156097129045187
133,133,133,133,2019-08-15,63.55485916137695,67.58606719970703,81.2112045288086,-0.05964554834087987,-0.21741267685751775
134,134,134,134,2019-08-16,65.09435272216797,68.26851654052734,80.39385223388672,-0.04649528038997364,-0.19030683424907302
135,135,135,135,2019-08-19,66.05030822753906,67.3083267211914,72.28385162353516,-0.018690384309557717,-0.08623701222316293
136,136,136,136,2019-08-20,64.78907775878906,65.64190673828125,70.27618408203125,-0.012992142091369674,-0.07807917283666477
137,137,137,137,2019-08-21,65.39158630371094,66.32432556152344,68.20503234863281,-0.014063305580805041,-0.041249830812202126
138,138,138,138,2019-08-22,65.9378433227539,63.800872802734375,68.42723083496094,0.03349437752406326,-0.036380070942972464
139,139,139,139,2019-08-23,63.567996978759766,63.55485916137695,67.58606719970703,0.00020671617491041516,-0.059451161865572866
140,140,140,140,2019-08-26,63.95360565185547,65.09435272216797,68.26851654052734,-0.017524516683979807,-0.06320498975703315
141,141,141,141,2019-08-27,62.89320373535156,66.05030822753906,67.3083267211914,-0.04779848235244377,-0.06559549465742076
142,142,142,142,2019-08-28,62.97353363037109,64.78907775878906,65.64190673828125,-0.028022379561834176,-0.04065045091619823
143,143,143,143,2019-08-29,63.88933563232422,65.39158630371094,66.32432556152344,-0.022973149242924373,-0.03671337640577266
144,144,144,144,2019-08-30,64.33920288085938,65.9378433227539,63.800872802734375,-0.024244657716047446,0.008437660089532839
145,145,145,145,2019-09-03,63.17436981201172,63.567996978759766,63.55485916137695,-0.0061922222730971255,-0.005986786130689148
146,146,146,146,2019-09-04,63.985748291015625,63.95360565185547,65.09435272216797,0.0005025930724709138,-0.017030731312192682
147,147,147,147,2019-09-05,65.80931091308594,62.89320373535156,66.05030822753906,0.04636601420409536,-0.003648693260036029
148,148,148,148,2019-09-06,66.01013946533203,62.97353363037109,64.78907775878906,0.04822035004077385,0.018846721527492782
149,149,149,149,2019-09-09,67.64091491699219,63.88933563232422,65.39158630371094,0.05871996081251929,0.03439782914631029
150,150,150,150,2019-09-10,69.65729522705078,64.33920288085938,65.9378433227539,0.08265710652398384,0.05640845555246354
151,151,151,151,2019-09-11,70.70967102050781,63.17436981201172,63.567996978759766,0.11927782154248523,0.1123470044861461
152,152,152,152,2019-09-12,70.8703384399414,63.985748291015625,63.95360565185547,0.10759568080088333,0.10815235071715246
153,153,153,153,2019-09-13,72.15567016601562,65.80931091308594,62.89320373535156,0.09643558282066333,0.14727293062760194
154,154,154,154,2019-09-16,71.57726287841797,66.01013946533203,62.97353363037109,0.08433739813577801,0.13662452703618722
155,155,155,155,2019-09-17,70.92657470703125,67.64091491699219,63.88933563232422,0.04857503471192204,0.11014731965919222
156,156,156,156,2019-09-18,71.64154052734375,69.65729522705078,64.33920288085938,0.028485821819886015,0.11349748395245962
157,157,157,157,2019-09-19,71.5049819946289,70.70967102050781,63.17436981201172,0.0112475558525853,0.13186696135484421
158,158,158,158,2019-09-20,71.56119537353516,70.8703384399414,63.985748291015625,0.009748181662476707,0.1183927247059049
159,159,159,159,2019-09-23,72.02713012695312,72.15567016601562,65.80931091308594,-0.0017814267231771597,0.09448236317318437
160,160,160,160,2019-09-24,71.64154052734375,71.57726287841797,66.01013946533203,0.0008980176992092748,0.08531115231121844
161,161,161,161,2019-09-25,72.11550903320312,70.92657470703125,67.64091491699219,0.01676288938360382,0.06615218202920659
162,162,162,162,2019-09-26,72.09138488769531,71.64154052734375,69.65729522705078,0.006279099486698803,0.03494378661575248
163,163,163,163,2019-09-27,72.42880249023438,71.5049819946289,70.70967102050781,0.012919666152420906,0.02431253667165234
164,164,164,164,2019-09-30,72.2601089477539,71.56119537353516,70.8703384399414,0.00976665594489523,0.019610044743757715
165,165,165,165,2019-10-01,70.11518859863281,72.02713012695312,72.15567016601562,-0.026544741196135035,-0.02827888040798565
166,166,166,166,2019-10-02,68.34784698486328,71.64154052734375,71.57726287841797,-0.04597463312815486,-0.045117901463209265
167,167,167,167,2019-10-03,68.7173843383789,72.11550903320312,70.92657470703125,-0.047120581139622364,-0.03114756884535319
168,168,168,168,2019-10-04,70.17141723632812,72.09138488769531,71.64154052734375,-0.02663241459930521,-0.020520542693446386
169,169,169,169,2019-10-07,69.8822250366211,72.42880249023438,71.5049819946289,-0.03515973433299047,-0.022694320210159713
170,170,170,170,2019-10-08,68.24342346191406,72.2601089477539,71.56119537353516,-0.05558648532821919,-0.046362723460710575
171,171,171,171,2019-10-09,69.1351318359375,70.11518859863281,72.02713012695312,-0.013977809691214649,-0.04015151354660762
172,172,172,172,2019-10-10,70.42848205566406,68.34784698486328,71.64154052734375,0.030441852415066917,-0.016932333709612113
173,173,173,173,2019-10-11,71.8343276977539,68.7173843383789,72.11550903320312,0.045358876642139334,-0.003899041124701186
174,174,174,174,2019-10-14,71.77006530761719,70.17141723632812,72.09138488769531,0.022782040526629688,-0.004457114821398989
175,175,175,175,2019-10-15,72.2601089477539,69.8822250366211,72.42880249023438,0.0340270206034039,-0.0023290947341454427
176,176,176,176,2019-10-16,71.85843658447266,68.24342346191406,72.2601089477539,0.05297232962786658,-0.005558701324013593
177,177,177,177,2019-10-17,71.80220794677734,69.1351318359375,70.11518859863281,0.03857772510174717,0.024060683310740183
178,178,178,178,2019-10-18,72.05123901367188,70.42848205566406,68.34784698486328,0.02304120308492874,0.054184472403772554
179,179,179,179,2019-10-21,73.00718688964844,71.8343276977539,68.7173843383789,0.016327280138674016,0.062426743866524914
180,180,180,180,2019-10-22,73.27229309082031,71.77006530761719,70.17141723632812,0.020931119078188898,0.04419001320792537
181,181,181,181,2019-10-23,73.56150817871094,72.2601089477539,69.8822250366211,0.01800992622219799,0.05264977095623036
182,182,182,182,2019-10-24,73.3124771118164,71.85843658447266,68.24342346191406,0.02023479213375956,0.07427900584048697
183,183,183,183,2019-10-25,73.70610046386719,71.80220794677734,69.1351318359375,0.026515793476728167,0.06611643757007535
184,184,184,184,2019-10-28,74.80667877197266,72.05123901367188,70.42848205566406,0.038242781054437236,0.06216514382417371
185,185,185,185,2019-10-29,74.71027374267578,73.00718688964844,71.8343276977539,0.023327660269961914,0.040035817652843475
186,186,186,186,2019-10-30,74.15599060058594,73.27229309082031,71.77006530761719,0.01206045931536881,0.03324401730362547
187,187,187,187,2019-10-31,73.21607208251953,73.56150817871094,72.2601089477539,-0.0046958811033646075,0.01322947264661356
188,188,188,188,2019-11-01,74.68618774414062,73.3124771118164,71.85843658447266,0.018737746785298715,0.03935169333031374
189,189,189,189,2019-11-04,75.91529083251953,73.70610046386719,71.80220794677734,0.029972964988635553,0.05728351541488763
190,190,190,190,2019-11-05,73.94712829589844,74.80667877197266,72.05123901367188,-0.011490290575448703,0.02631306981225978
191,191,191,191,2019-11-06,72.74209594726562,74.71027374267578,73.00718688964844,-0.026344138453958,-0.003631025295954826
192,192,192,192,2019-11-07,73.77840423583984,74.15599060058594,73.27229309082031,-0.005091785055907683,0.0069072649929518
193,193,193,193,2019-11-08,74.62191772460938,73.21607208251953,73.56150817871094,0.01920132563933996,0.01441527739374604
194,194,194,194,2019-11-11,74.1077880859375,74.68618774414062,73.3124771118164,-0.007744399274797642,0.010848234917885557
195,195,195,195,2019-11-12,74.95931243896484,75.91529083251953,73.70610046386719,-0.01259269882353109,0.01700282564415434
196,196,196,196,2019-11-13,74.54157257080078,73.94712829589844,74.80667877197266,0.008038774305388685,-0.003543884122699459
197,197,197,197,2019-11-14,74.55763244628906,72.74209594726562,74.71027374267578,0.02495853983008156,-0.0020431098527688984
198,198,198,198,2019-11-15,75.2324447631836,73.77840423583984,74.15599060058594,0.01970821329634309,0.014516078254494413
199,199,199,199,2019-11-18,74.82273864746094,74.62191772460938,73.21607208251953,0.0026911787980670177,0.021944178637862244
200,200,200,200,2019-11-19,75.07982635498047,74.1077880859375,74.68618774414062,0.013116546777995453,0.005270567727842401
201,201,201,201,2019-11-20,74.80667877197266,74.95931243896484,75.91529083251953,-0.0020362202110173477,-0.01460327752669277
202,202,202,202,2019-11-21,75.1601333618164,74.54157257080078,73.94712829589844,0.008298198839689075,0.016403680492691253
203,203,203,203,2019-11-22,76.26875305175781,74.55763244628906,72.74209594726562,0.02295030769252815,0.048481653691266224
204,204,204,204,2019-11-25,76.0495376586914,75.2324447631836,73.77840423583984,0.01086091111461096,0.030783173563793342
205,205,205,205,2019-11-26,76.179443359375,74.82273864746094,74.62191772460938,0.01813225145776065,0.020872227386511844
206,206,206,206,2019-11-27,76.25251770019531,75.07982635498047,74.1077880859375,0.015619260221385156,0.02894067775671183
207,207,207,207,2019-11-29,76.00896453857422,74.80667877197266,74.95931243896484,0.01607190409116277,0.014002957944205363
208,208,208,208,2019-12-02,75.45686340332031,75.1601333618164,74.54157257080078,0.0039479711947219,0.012278931084398259
209,209,209,209,2019-12-03,73.37842559814453,76.26875305175781,74.55763244628906,-0.037896613461765094,-0.015816044708689247
210,210,210,210,2019-12-04,73.68695831298828,76.0495376586914,75.2324447631836,-0.031066320959192817,-0.020542818395177576
211,211,211,211,2019-12-05,73.88993072509766,76.179443359375,74.82273864746094,-0.03005420535139136,-0.012466904302425363
212,212,212,212,2019-12-06,74.92913818359375,76.25251770019531,75.07982635498047,-0.017355223886570403,-0.002007039423270074
213,213,213,213,2019-12-09,75.34318542480469,76.00896453857422,74.80667877197266,-0.00875921830814641,0.007171908466454102
214,214,214,214,2019-12-10,75.05902862548828,75.45686340332031,75.1601333618164,-0.005272347138332356,-0.0013451910182411542
215,215,215,215,2019-12-11,75.03468322753906,73.37842559814453,76.26875305175781,0.022571452247626578,-0.01618054281523762
216,216,216,216,2019-12-12,76.76400756835938,73.68695831298828,76.0495376586914,0.041758396951346644,0.009394796229721836
217,217,217,217,2019-12-13,76.4311294555664,73.88993072509766,76.179443359375,0.034391678345498944,0.0033038584307327756
218,218,218,218,2019-12-16,76.71528625488281,74.92913818359375,76.25251770019531,0.023837830176460573,0.00606889541020772
219,219,219,219,2019-12-17,77.23489379882812,75.34318542480469,76.00896453857422,0.025107889497338,0.016128745703827496
220,220,220,220,2019-12-18,77.34856414794922,75.05902862548828,75.45686340332031,0.030503132859402093,0.02506996261582839
221,221,221,221,2019-12-19,76.5123062133789,75.03468322753906,73.37842559814453,0.019692533136429935,0.042708474455380285
222,222,222,222,2019-12-20,76.75588989257812,76.76400756835938,73.68695831298828,-0.0001057484625723859,0.04164823260249717
223,223,223,223,2019-12-23,76.54478454589844,76.4311294555664,73.88993072509766,0.001487026178228934,0.035929845849740794
224,224,224,224,2019-12-24,76.16320037841797,76.71528625488281,74.92913818359375,-0.007196556298187606,0.016469723591381547
225,225,225,225,2019-12-26,76.32557678222656,77.23489379882812,75.34318542480469,-0.011773396348158882,0.013038888014661021
226,226,226,226,2019-12-27,75.68418884277344,77.34856414794922,75.05902862548828,-0.021517856517571987,0.008328914305625101
227,227,227,227,2019-12-30,75.40814971923828,76.5123062133789,75.03468322753906,-0.014431096757969053,0.004977251527359616
228,228,228,228,2019-12-31,76.10636901855469,76.75588989257812,76.76400756835938,-0.008462163293689318,-0.008567016895503432
229,229,229,229,2020-01-02,76.99945068359375,76.54478454589844,76.4311294555664,0.005939870892479604,0.007435729814221137
230,230,230,230,2020-01-03,75.7166748046875,76.16320037841797,76.71528625488281,-0.005862746989515943,-0.013017111698931494
231,231,231,231,2020-01-06,75.90338134765625,76.32557678222656,77.23489379882812,-0.005531506637348138,-0.017239778365463088
232,232,232,232,2020-01-07,75.82221221923828,75.68418884277344,77.34856414794922,0.00182367517674753,-0.019733422921612287
233,233,233,233,2020-01-08,76.30933380126953,75.40814971923828,76.5123062133789,0.011950751813783578,-0.002652807399940671
234,234,234,234,2020-01-09,76.88578796386719,76.10636901855469,76.75588989257812,0.010241178962597353,0.0016923531402066594
235,235,235,235,2020-01-10,76.65034484863281,76.99945068359375,76.54478454589844,-0.004533874357045553,0.001379065907110677
236,236,236,236,2020-01-13,77.1861801147461,75.7166748046875,76.16320037841797,0.019407948300017352,0.013431417420032732
237,237,237,237,2020-01-14,77.07251739501953,75.90338134765625,76.32557678222656,0.015402950785661895,0.009786242623808228
238,238,238,238,2020-01-15,76.5772705078125,75.82221221923828,75.68418884277344,0.009958272997772522,0.011800108829789435
239,239,239,239,2020-01-16,77.44598388671875,76.30933380126953,75.40814971923828,0.014895295618873705,0.027024057413791436
240,240,240,240,2020-01-17,78.83430480957031,76.88578796386719,76.10636901855469,0.02534300417937896,0.03584372538322711
241,241,241,241,2020-01-21,77.52718353271484,76.65034484863281,76.99945068359375,0.01143946169862109,0.006853722259521744
242,242,242,242,2020-01-22,77.9006576538086,77.1861801147461,75.7166748046875,0.00925654745448412,0.02884414634893462
