,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,NWSA,NWSA_6m,NWSA_12m,NWSA_6m_ret,NWSA_12m_ret
228,228,228,228,2019-12-31,13.497268676757812,13.31590461730957,13.16317653656006,0.013620108033252531,0.025380814370287386
229,229,229,229,2020-01-02,13.783632278442385,13.363633155822754,12.97226905822754,0.031428513318373374,0.06254597530878714
230,230,230,230,2020-01-03,13.745450973510742,13.344541549682615,13.105904579162598,0.03004295219401243,0.04879834051019838
231,231,231,231,2020-01-06,13.707268714904783,13.525903701782228,13.16317653656006,0.013408716868112736,0.04133441322719733
232,232,232,232,2020-01-07,13.84090518951416,13.506813049316406,13.420904159545898,0.024735082878389436,0.031294540589467346
233,233,233,233,2020-01-08,13.8790864944458,13.430449485778809,13.28726863861084,0.03340446715071188,0.044540219057152663
234,234,234,234,2020-01-09,13.774085998535156,13.497268676757812,13.31590461730957,0.020509136211685597,0.03440858089580989
235,235,235,235,2020-01-10,13.697723388671877,13.783632278442385,13.363633155822754,-0.006232674235286284,0.024999955397874363
236,236,236,236,2020-01-13,13.907723426818848,13.745450973510742,13.344541549682615,0.011805538692097217,0.04220316412066083
237,237,237,237,2020-01-14,14.00317668914795,13.707268714904783,13.525903701782228,0.021587668586478204,0.03528584839050963
238,238,238,238,2020-01-15,14.11772346496582,13.84090518951416,13.506813049316406,0.020000012402467515,0.04522979724520093
239,239,239,239,2020-01-16,14.232267379760742,13.8790864944458,13.430449485778809,0.02544698352130581,0.05970149359713983
240,240,240,240,2020-01-17,14.232267379760742,13.774085998535156,13.497268676757812,0.03326401339982277,0.0544553657932727
241,241,241,241,2020-01-21,13.831357955932615,13.697723388671877,13.783632278442385,0.009755969183262714,0.0034624891702075278
242,242,242,242,2020-01-22,13.793177604675291,13.907723426818848,13.745450973510742,-0.008236130287338939,0.0034721764499778818
243,243,243,243,2020-01-23,13.697723388671877,14.00317668914795,13.707268714904783,-0.021813143350022157,-0.0006963696730135638
244,244,244,244,2020-01-24,13.306358337402344,14.11772346496582,13.84090518951416,-0.057471385494760496,-0.038620801514975156
245,245,245,245,2020-01-27,13.03908634185791,14.232267379760742,13.8790864944458,-0.08383632811730457,-0.06052272625608657
246,246,246,246,2020-01-28,12.895906448364258,14.232267379760742,13.774085998535156,-0.0938965588362175,-0.06375592182771994
247,247,247,247,2020-01-29,12.762269020080566,13.831357955932615,13.697723388671877,-0.07729457507051862,-0.06829268937967736
248,248,248,248,2020-01-30,13.029541015625,13.793177604675291,13.907723426818848,-0.05536335505398349,-0.0631435055359536
249,249,249,249,2020-01-31,13.000905990600586,13.697723388671877,14.00317668914795,-0.050871037346802095,-0.07157452346681403
250,250,250,250,2020-02-03,13.019996643066406,13.306358337402344,14.11772346496582,-0.021520666066162875,-0.07775522906533083
251,251,251,251,2020-02-04,13.182268142700195,13.03908634185791,14.232267379760742,0.01098096884155475,-0.07377596338259618
252,252,252,252,2020-02-05,13.449542045593262,12.895906448364258,14.232267379760742,0.042931111469037386,-0.054996531001136884
