,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,NVR,NVR_6m,NVR_12m,NVR_6m_ret,NVR_12m_ret
24,24,24,24,2019-03-12,2769.4599609375,2660.659912109375,2680.0,0.04089212917928631,0.03338058243936559
25,25,25,25,2019-03-13,2739.0,2639.25,2647.739990234375,0.03779482807615797,0.034467134273840294
26,26,26,26,2019-03-14,2722.77001953125,2692.35009765625,2632.969970703125,0.011298650164954793,0.03410599050780072
27,27,27,27,2019-03-15,2724.2099609375,2751.719970703125,2643.10009765625,-0.009997387110068368,0.030687397481909073
28,28,28,28,2019-03-18,2760.06005859375,2710.0,2620.0,0.0184723463445573,0.05345803763120238
29,29,29,29,2019-03-19,2732.320068359375,2738.929931640625,2601.0,-0.002413301342576002,0.05048830002282778
30,30,30,30,2019-03-20,2741.739990234375,2769.4599609375,2660.659912109375,-0.010009161025654079,0.0304736722479948
31,31,31,31,2019-03-21,2760.72998046875,2739.0,2639.25,0.00793354526058776,0.046028220315904145
32,32,32,32,2019-03-22,2780.909912109375,2722.77001953125,2692.35009765625,0.021353214616390614,0.03289312728319338
33,33,33,33,2019-03-25,2832.780029296875,2724.2099609375,2751.719970703125,0.03985378143247531,0.029457960641626313
34,34,34,34,2019-03-26,2826.2099609375,2760.06005859375,2710.0,0.02396683439470282,0.04288190440498152
35,35,35,35,2019-03-27,2860.239990234375,2732.320068359375,2738.929931640625,0.046817326914342594,0.0442910412538684
36,36,36,36,2019-03-28,2807.320068359375,2741.739990234375,2769.4599609375,0.023919145636925876,0.013670574030995919
37,37,37,37,2019-03-29,2767.0,2760.72998046875,2739.0,0.00227114552151364,0.010222709017889686
38,38,38,38,2019-04-01,2766.989990234375,2780.909912109375,2722.77001953125,-0.005005527800230447,0.016240802706773527
39,39,39,39,2019-04-02,2768.0,2832.780029296875,2724.2099609375,-0.02286800550233825,0.016074399437050024
40,40,40,40,2019-04-03,2793.8798828125,2826.2099609375,2760.06005859375,-0.011439375903365523,0.012253292863482645
41,41,41,41,2019-04-04,2869.89990234375,2860.239990234375,2732.320068359375,0.0033773082476842298,0.05035275170634934
42,42,42,42,2019-04-05,2870.469970703125,2807.320068359375,2741.739990234375,0.02249472835516597,0.0469519286756821
43,43,43,43,2019-04-08,2881.27001953125,2767.0,2760.72998046875,0.04129744110272848,0.043662379122652695
44,44,44,44,2019-04-09,2878.06005859375,2766.989990234375,2780.909912109375,0.04014111679166832,0.0349346615154047
45,45,45,45,2019-04-10,2910.419921875,2768.0,2832.780029296875,0.051452283914378505,0.02740766730037847
46,46,46,46,2019-04-11,2944.25,2793.8798828125,2826.2099609375,0.05382125341628052,0.04176619596349607
47,47,47,47,2019-04-12,2970.10009765625,2869.89990234375,2860.239990234375,0.03491417774908112,0.03840940193723852
48,48,48,48,2019-04-15,2998.699951171875,2870.469970703125,2807.320068359375,0.04467212051597946,0.06817173608720162
49,49,49,49,2019-04-16,3022.159912109375,2881.27001953125,2767.0,0.04889853836088798,0.09221536397158481
50,50,50,50,2019-04-17,3044.6201171875,2878.06005859375,2766.989990234375,0.05787233594949126,0.10033651293751467
51,51,51,51,2019-04-18,3084.1201171875,2910.419921875,2768.0,0.0596821764471005,0.11420524464866322
52,52,52,52,2019-04-22,3271.949951171875,2944.25,2793.8798828125,0.11130167314999584,0.17111332212253827
53,53,53,53,2019-04-23,3215.0,2970.10009765625,2869.89990234375,0.08245510059980954,0.12024813038755067
54,54,54,54,2019-04-24,3215.77001953125,2998.699951171875,2870.469970703125,0.07238805879012511,0.12029390739229484
55,55,55,55,2019-04-25,3145.780029296875,3022.159912109375,2881.27001953125,0.04090455858810493,0.09180327007624856
56,56,56,56,2019-04-26,3116.139892578125,3044.6201171875,2878.06005859375,0.023490541557838807,0.08272233002000084
57,57,57,57,2019-04-29,3132.60009765625,3084.1201171875,2910.419921875,0.015719225784552204,0.07633955983853813
58,58,58,58,2019-04-30,3152.47998046875,3271.949951171875,2944.25,-0.036513385744282534,0.0707242864800035
59,59,59,59,2019-05-01,3183.530029296875,3215.0,2970.10009765625,-0.00978848233378693,0.07185950797047069
60,60,60,60,2019-05-02,3247.8701171875,3215.77001953125,2998.699951171875,0.009982087481781088,0.08309273020738561
61,61,61,61,2019-05-03,3270.0,3145.780029296875,3022.159912109375,0.03948781209946506,0.0820076022111087
62,62,62,62,2019-05-06,3292.3701171875,3116.139892578125,3044.6201171875,0.05655401576453989,0.0813730417799583
63,63,63,63,2019-05-07,3251.409912109375,3132.60009765625,3084.1201171875,0.03792690121602704,0.05424230852410239
64,64,64,64,2019-05-08,3228.0,3152.47998046875,3271.949951171875,0.0239557491242246,-0.013432342128623986
65,65,65,65,2019-05-09,3307.47998046875,3183.530029296875,3215.0,0.038934751684830404,0.028765157222006232
66,66,66,66,2019-05-10,3290.7900390625,3247.8701171875,3215.77001953125,0.013214790101325313,0.02332878877395128
67,67,67,67,2019-05-13,3249.35009765625,3270.0,3145.780029296875,-0.006314954845183518,0.03292349350393842
68,68,68,68,2019-05-14,3286.0400390625,3292.3701171875,3116.139892578125,-0.001922650825906369,0.054522631313515424
69,69,69,69,2019-05-15,3315.580078125,3251.409912109375,3132.60009765625,0.019736104567016577,0.05841153507134611
70,70,70,70,2019-05-16,3344.64990234375,3228.0,3152.47998046875,0.03613689663684938,0.060958332191034525
71,71,71,71,2019-05-17,3320.0,3307.47998046875,3183.530029296875,0.0037853651738430916,0.04286749911175369
72,72,72,72,2019-05-20,3261.179931640625,3290.7900390625,3247.8701171875,-0.00899787196095636,0.004098013151046409
73,73,73,73,2019-05-21,3309.320068359375,3249.35009765625,3270.0,0.018455989321181976,0.012024485736811918
74,74,74,74,2019-05-22,3246.780029296875,3286.0400390625,3292.3701171875,-0.01194751412001227,-0.013847194048028255
75,75,75,75,2019-05-23,3215.280029296875,3315.580078125,3251.409912109375,-0.030251131465612424,-0.011112066392471753
76,76,76,76,2019-05-24,3272.719970703125,3344.64990234375,3228.0,-0.02150596736304755,0.013853770354127937
77,77,77,77,2019-05-28,3214.320068359375,3320.0,3307.47998046875,-0.03183130471103157,-0.0281664326494796
78,78,78,78,2019-05-29,3219.760009765625,3261.179931640625,3290.7900390625,-0.012700900515526747,-0.021584491399855632
79,79,79,79,2019-05-30,3226.179931640625,3309.320068359375,3249.35009765625,-0.025123026785368485,-0.007130707778253087
80,80,80,80,2019-05-31,3201.570068359375,3246.780029296875,3286.0400390625,-0.013924553104785131,-0.025705703429963145
81,81,81,81,2019-06-03,3266.699951171875,3215.280029296875,3315.580078125,0.01599236191139619,-0.014742556596843648
82,82,82,82,2019-06-04,3317.550048828125,3272.719970703125,3344.64990234375,0.013698109989950913,-0.008102448479476054
83,83,83,83,2019-06-05,3356.679931640625,3214.320068359375,3320.0,0.0442892618823465,0.011048172180911253
84,84,84,84,2019-06-06,3362.489990234375,3219.760009765625,3261.179931640625,0.04432938481000015,0.03106546118808695
85,85,85,85,2019-06-07,3391.0,3226.179931640625,3309.320068359375,0.05108830624817573,0.024681786576515208
86,86,86,86,2019-06-10,3402.35009765625,3201.570068359375,3246.780029296875,0.06271298925522606,0.0479151858011968
87,87,87,87,2019-06-11,3370.820068359375,3266.699951171875,3215.280029296875,0.03187318050136456,0.048375269850605696
88,88,88,88,2019-06-12,3395.0,3317.550048828125,3272.719970703125,0.023345526075554845,0.03736342564946171
89,89,89,89,2019-06-13,3395.81005859375,3356.679931640625,3214.320068359375,0.011657389965685327,0.05646294904508675
90,90,90,90,2019-06-14,3459.6201171875,3362.489990234375,3219.760009765625,0.028886369100047382,0.07449626888164729
91,91,91,91,2019-06-17,3430.0,3391.0,3226.179931640625,0.011501032143910406,0.06317690664442432
92,92,92,92,2019-06-18,3449.949951171875,3402.35009765625,3201.570068359375,0.013990286757501691,0.07758064871582859
93,93,93,93,2019-06-19,3375.8701171875,3370.820068359375,3266.699951171875,0.0014981662401762907,0.033419098064535024
94,94,94,94,2019-06-20,3411.989990234375,3395.0,3317.550048828125,0.005004415385677419,0.028466772171111376
95,95,95,95,2019-06-21,3313.239990234375,3395.81005859375,3356.679931640625,-0.024315278809665886,-0.012941341531189199
96,96,96,96,2019-06-24,3334.22998046875,3459.6201171875,3362.489990234375,-0.036243903223885154,-0.008404488889989237
97,97,97,97,2019-06-25,3271.639892578125,3430.0,3391.0,-0.046169127528243425,-0.03519908800409166
98,98,98,98,2019-06-26,3236.739990234375,3449.949951171875,3402.35009765625,-0.061800885217212276,-0.048675210565766736
99,99,99,99,2019-06-27,3333.6201171875,3375.8701171875,3370.820068359375,-0.012515291919820482,-0.011035875667484318
100,100,100,100,2019-06-28,3370.25,3411.989990234375,3395.0,-0.012233327282272555,-0.007290132547864481
101,101,101,101,2019-07-01,3367.75,3313.239990234375,3395.81005859375,0.016452176699028875,-0.00826314137409967
102,102,102,102,2019-07-02,3396.3798828125,3334.22998046875,3459.6201171875,0.01863995666400098,-0.018279531345311795
103,103,103,103,2019-07-03,3396.4599609375,3271.639892578125,3430.0,0.03815214157356839,-0.009778437044460686
104,104,104,104,2019-07-05,3348.0,3236.739990234375,3449.949951171875,0.03437409557187454,-0.029551139180220454
105,105,105,105,2019-07-08,3343.31005859375,3333.6201171875,3375.8701171875,0.0029067323407039325,-0.009644938182893248
106,106,106,106,2019-07-09,3371.0400390625,3370.25,3411.989990234375,0.0002344155663527303,-0.01200177939826319
107,107,107,107,2019-07-10,3468.14990234375,3367.75,3313.239990234375,0.029812160149580658,0.04675481177517016
108,108,108,108,2019-07-11,3468.679931640625,3396.3798828125,3334.22998046875,0.021287385782138735,0.04032413839460869
109,109,109,109,2019-07-12,3489.6298828125,3396.4599609375,3271.639892578125,0.027431479524723468,0.0666301907886917
110,110,110,110,2019-07-15,3450.0,3348.0,3236.739990234375,0.03046594982078843,0.06588728486349082
111,111,111,111,2019-07-16,3497.10009765625,3343.31005859375,3333.6201171875,0.045999334900809874,0.049039774995920826
112,112,112,112,2019-07-17,3501.860107421875,3371.0400390625,3370.25,0.038807034874541735,0.03905054741395286
113,113,113,113,2019-07-18,3507.739990234375,3468.14990234375,3367.75,0.01141533353672819,0.04156780943786642
114,114,114,114,2019-07-19,3520.010009765625,3468.679931640625,3396.3798828125,0.014798159281511403,0.0364005591891412
115,115,115,115,2019-07-22,3498.300048828125,3489.6298828125,3396.4599609375,0.0024845517452518617,0.02998418620030341
116,116,116,116,2019-07-23,3381.530029296875,3450.0,3348.0,-0.0198463683197464,0.010014943039687862
117,117,117,117,2019-07-24,3382.06005859375,3497.10009765625,3343.31005859375,-0.0328958382231036,0.011590309998438686
118,118,118,118,2019-07-25,3419.929931640625,3501.860107421875,3371.0400390625,-0.023396187531194212,0.01450291067789311
119,119,119,119,2019-07-26,3309.81005859375,3507.739990234375,3468.14990234375,-0.05642662574525659,-0.04565542096176267
120,120,120,120,2019-07-29,3301.35009765625,3520.010009765625,3468.679931640625,-0.062119116565789056,-0.048240205865644925
121,121,121,121,2019-07-30,3288.090087890625,3498.300048828125,3489.6298828125,-0.060089174171299886,-0.057753917088606
122,122,122,122,2019-07-31,3344.139892578125,3381.530029296875,3450.0,-0.01105716536443846,-0.030684089107789858
123,123,123,123,2019-08-01,3387.9599609375,3382.06005859375,3497.10009765625,0.001744470009856336,-0.031208754016476492
124,124,124,124,2019-08-02,3404.2900390625,3419.929931640625,3501.860107421875,-0.004573161699433448,-0.02786235468189724
125,125,125,125,2019-08-05,3340.139892578125,3309.81005859375,3507.739990234375,0.009163617684230907,-0.04778008008656642
126,126,126,126,2019-08-06,3394.070068359375,3301.35009765625,3520.010009765625,0.028085470477351215,-0.035778290702825455
127,127,127,127,2019-08-07,3485.159912109375,3288.090087890625,3498.300048828125,0.05993443578219426,-0.003756149139680476
128,128,128,128,2019-08-08,3543.300048828125,3344.139892578125,3381.530029296875,0.05955497157640122,0.04783929704296819
129,129,129,129,2019-08-09,3524.56005859375,3387.9599609375,3382.06005859375,0.04031927745050767,0.04213408323069556
130,130,130,130,2019-08-12,3483.68994140625,3404.2900390625,3419.929931640625,0.02332348343786128,0.01864365967727233
131,131,131,131,2019-08-13,3559.3701171875,3340.139892578125,3309.81005859375,0.06563504274072773,0.07540011486332276
132,132,132,132,2019-08-14,3496.929931640625,3394.070068359375,3301.35009765625,0.03030575716162809,0.059242379087036
133,133,133,133,2019-08-15,3490.0,3485.159912109375,3288.090087890625,0.0013887706770090436,0.0614064416461606
134,134,134,134,2019-08-16,3499.89990234375,3543.300048828125,3344.139892578125,-0.012248510113821331,0.046577001790897965
135,135,135,135,2019-08-19,3551.3798828125,3524.56005859375,3387.9599609375,0.007609410471913103,0.04823549385447268
136,136,136,136,2019-08-20,3575.0,3483.68994140625,3404.2900390625,0.026210730613095645,0.05014553959230561
137,137,137,137,2019-08-21,3609.239990234375,3559.3701171875,3340.139892578125,0.014010870295860345,0.08056551710729165
138,138,138,138,2019-08-22,3662.72998046875,3496.929931640625,3394.070068359375,0.04741303145022924,0.07915567642928467
139,139,139,139,2019-08-23,3546.22998046875,3490.0,3485.159912109375,0.01611174225465617,0.017522888446864116
140,140,140,140,2019-08-26,3598.639892578125,3499.89990234375,3543.300048828125,0.028212232632211176,0.015618164701660664
141,141,141,141,2019-08-27,3591.889892578125,3551.3798828125,3524.56005859375,0.011406836526185238,0.019103046299412174
142,142,142,142,2019-08-28,3608.659912109375,3575.0,3483.68994140625,0.0094153600305944,0.035872874109077246
143,143,143,143,2019-08-29,3632.090087890625,3609.239990234375,3559.3701171875,0.006330999799978976,0.020430572912879974
144,144,144,144,2019-08-30,3599.0,3662.72998046875,3496.929931640625,-0.017399584683715608,0.029188479710683612
145,145,145,145,2019-09-03,3599.22998046875,3546.22998046875,3490.0,0.014945449193059401,0.03129798867299427
146,146,146,146,2019-09-04,3671.0,3598.639892578125,3499.89990234375,0.020107626653923072,0.048887140326976386
147,147,147,147,2019-09-05,3585.60009765625,3591.889892578125,3551.3798828125,-0.0017511101704068555,0.009635751728325204
148,148,148,148,2019-09-06,3649.75,3608.659912109375,3575.0,0.011386522668080046,0.020909090909090988
149,149,149,149,2019-09-09,3766.27001953125,3632.090087890625,3609.239990234375,0.03694289744849133,0.04350778272482736
150,150,150,150,2019-09-10,3674.89990234375,3599.0,3662.72998046875,0.02108916430779373,0.003322636923795974
151,151,151,151,2019-09-11,3675.0,3599.22998046875,3546.22998046875,0.021051730493026666,0.03631180725459582
152,152,152,152,2019-09-12,3680.06005859375,3671.0,3598.639892578125,0.0024680083339008174,0.022625260777980882
153,153,153,153,2019-09-13,3624.81005859375,3585.60009765625,3591.889892578125,0.010935397107761702,0.009165137852261918
154,154,154,154,2019-09-16,3576.340087890625,3649.75,3608.659912109375,-0.02011368233697508,-0.008956184568763681
155,155,155,155,2019-09-17,3636.489990234375,3766.27001953125,3632.090087890625,-0.03445850367176473,0.0012113968093521166
156,156,156,156,2019-09-18,3698.68994140625,3674.89990234375,3599.0,0.006473656342946166,0.0276993446530287
157,157,157,157,2019-09-19,3665.659912109375,3675.0,3599.22998046875,-0.002541520514455775,0.018456706573658055
158,158,158,158,2019-09-20,3635.25,3680.06005859375,3671.0,-0.012176447634083765,-0.009738490874421135
159,159,159,159,2019-09-23,3502.989990234375,3624.81005859375,3585.60009765625,-0.03360729704183041,-0.023039409072939776
160,160,160,160,2019-09-24,3523.3798828125,3576.340087890625,3649.75,-0.014808492418673103,-0.03462432144324956
161,161,161,161,2019-09-25,3575.0,3636.489990234375,3766.27001953125,-0.0169091597665616,-0.0507849990944238
162,162,162,162,2019-09-26,3611.919921875,3698.68994140625,3674.89990234375,-0.023459662990366725,-0.017137876443541478
163,163,163,163,2019-09-27,3626.68994140625,3665.659912109375,3675.0,-0.01063109280115948,-0.013145594175170028
164,164,164,164,2019-09-30,3717.35009765625,3635.25,3680.06005859375,0.0225844433412421,0.010132997415468692
165,165,165,165,2019-10-01,3718.7099609375,3502.989990234375,3624.81005859375,0.061581669175335474,0.025904778685197805
166,166,166,166,2019-10-02,3634.929931640625,3523.3798828125,3576.340087890625,0.03165995508241415,0.01638262645892752
167,167,167,167,2019-10-03,3603.85009765625,3575.0,3636.489990234375,0.008069957386363624,-0.008975658578953327
168,168,168,168,2019-10-04,3706.340087890625,3611.919921875,3698.68994140625,0.026141267818199587,0.002068339494676996
169,169,169,169,2019-10-07,3676.75,3626.68994140625,3665.659912109375,0.013803236395317331,0.003025400107082854
170,170,170,170,2019-10-08,3693.909912109375,3717.35009765625,3635.25,-0.006305616885978527,0.016136417607970577
171,171,171,171,2019-10-09,3654.919921875,3718.7099609375,3502.989990234375,-0.017153808641321988,0.04337150036516646
172,172,172,172,2019-10-10,3602.60009765625,3634.929931640625,3523.3798828125,-0.0088942110556125,0.022484153704287246
173,173,173,173,2019-10-11,3572.0400390625,3603.85009765625,3575.0,-0.008826687495808283,-0.0008279611013985999
174,174,174,174,2019-10-14,3621.820068359375,3706.340087890625,3611.919921875,-0.022804172722140192,0.0027409651095575693
175,175,175,175,2019-10-15,3650.1298828125,3676.75,3626.68994140625,-0.00724012162575649,0.0064631776592296575
176,176,176,176,2019-10-16,3705.840087890625,3693.909912109375,3717.35009765625,0.003229687801031833,-0.0030962942588813602
177,177,177,177,2019-10-17,3779.409912109375,3654.919921875,3718.7099609375,0.03406093509444408,0.016322851690367512
178,178,178,178,2019-10-18,3892.889892578125,3602.60009765625,3634.929931640625,0.08057785684032193,0.0709669693195627
179,179,179,179,2019-10-21,3820.0,3572.0400390625,3603.85009765625,0.0694169041292656,0.05997749531378194
180,180,180,180,2019-10-22,3779.0,3621.820068359375,3706.340087890625,0.043398050889873474,0.019604221519436305
181,181,181,181,2019-10-23,3775.06005859375,3650.1298828125,3676.75,0.03422622750207149,0.026738303826409293
182,182,182,182,2019-10-24,3759.510009765625,3705.840087890625,3693.909912109375,0.014482525042128547,0.017758986877617122
183,183,183,183,2019-10-25,3727.75,3779.409912109375,3654.919921875,-0.013668777219389416,0.0199265865413647
184,184,184,184,2019-10-28,3643.64990234375,3892.889892578125,3602.60009765625,-0.06402441299702732,0.011394493858534416
185,185,185,185,2019-10-29,3631.510009765625,3820.0,3572.0400390625,-0.049342929380726486,0.016648741350260288
186,186,186,186,2019-10-30,3622.090087890625,3779.0,3621.820068359375,-0.04152154329435698,7.455354660179658e-05
187,187,187,187,2019-10-31,3636.590087890625,3775.06005859375,3650.1298828125,-0.03668020337528255,-0.003709400858755818
188,188,188,188,2019-11-01,3669.510009765625,3759.510009765625,3705.840087890625,-0.023939289898475602,-0.0098034662217924
189,189,189,189,2019-11-04,3422.47998046875,3727.75,3779.409912109375,-0.08189122648548053,-0.09444065077381725
190,190,190,190,2019-11-05,3390.43994140625,3643.64990234375,3892.889892578125,-0.0694934935364192,-0.1290686264026646
191,191,191,191,2019-11-06,3515.0,3631.510009765625,3820.0,-0.032083075484389045,-0.07984293193717273
192,192,192,192,2019-11-07,3427.419921875,3622.090087890625,3779.0,-0.0537452579289639,-0.09303521516935698
193,193,193,193,2019-11-08,3423.25,3636.590087890625,3775.06005859375,-0.058664870863785246,-0.09319323484479958
194,194,194,194,2019-11-11,3590.389892578125,3669.510009765625,3759.510009765625,-0.021561493762638162,-0.04498461681128585
195,195,195,195,2019-11-12,3588.06005859375,3422.47998046875,3727.75,0.04838014511989108,-0.037472990787002836
196,196,196,196,2019-11-13,3594.070068359375,3390.43994140625,3643.64990234375,0.060060089685194606,-0.013607189305559597
197,197,197,197,2019-11-14,3687.419921875,3515.0,3631.510009765625,0.04905260935277389,0.015395775299813508
198,198,198,198,2019-11-15,3595.169921875,3427.419921875,3622.090087890625,0.04894352131449087,-0.007432218791471934
199,199,199,199,2019-11-18,3652.639892578125,3423.25,3636.590087890625,0.06700938949189372,0.0044134214469053745
200,200,200,200,2019-11-19,3657.300048828125,3590.389892578125,3669.510009765625,0.018635902576573438,-0.0033274090832307035
201,201,201,201,2019-11-20,3632.18994140625,3588.06005859375,3422.47998046875,0.01229909257143147,0.06127426957477122
202,202,202,202,2019-11-21,3665.550048828125,3594.070068359375,3390.43994140625,0.019888310219110306,0.08114289359975158
203,203,203,203,2019-11-22,3689.5400390625,3687.419921875,3515.0,0.0005749595197777069,0.049655772137268794
204,204,204,204,2019-11-25,3720.8798828125,3595.169921875,3427.419921875,0.034966347535511755,0.08562124502589685
205,205,205,205,2019-11-26,3806.989990234375,3652.639892578125,3423.25,0.04225713516678087,0.112098149487877
206,206,206,206,2019-11-27,3803.179931640625,3657.300048828125,3590.389892578125,0.03988731601587969,0.05926655472776621
207,207,207,207,2019-11-29,3791.889892578125,3632.18994140625,3588.06005859375,0.04396795149706434,0.05680780997413426
208,208,208,208,2019-12-02,3758.0,3665.550048828125,3594.070068359375,0.025221303744421997,0.04561122307653176
209,209,209,209,2019-12-03,3720.280029296875,3689.5400390625,3687.419921875,0.008331659206545883,0.008911409093099953
210,210,210,210,2019-12-04,3783.35009765625,3720.8798828125,3595.169921875,0.016789097420831123,0.052342498371567237
211,211,211,211,2019-12-05,3854.47998046875,3806.989990234375,3652.639892578125,0.01247441951678252,0.05525868791521105
212,212,212,212,2019-12-06,3760.6201171875,3803.179931640625,3657.300048828125,-0.011190586619120424,0.028250366931879434
213,213,213,213,2019-12-09,3804.10009765625,3791.889892578125,3632.18994140625,0.0032200842914833494,0.04732961629849197
214,214,214,214,2019-12-10,3820.0,3758.0,3665.550048828125,0.016498137307078276,0.04213554558373933
215,215,215,215,2019-12-11,3838.02001953125,3720.280029296875,3689.5400390625,0.03164815264097953,0.04024349346984679
216,216,216,216,2019-12-12,3752.949951171875,3783.35009765625,3720.8798828125,-0.008035245404121483,0.00861894749881964
217,217,217,217,2019-12-13,3798.35009765625,3854.47998046875,3806.989990234375,-0.014562245256667272,-0.0022694812963227617
218,218,218,218,2019-12-16,3860.0,3760.6201171875,3803.179931640625,0.026426461518486155,0.014940147292706207
219,219,219,219,2019-12-17,3817.27001953125,3804.10009765625,3791.889892578125,0.0034620334735970815,0.006693265804685211
220,220,220,220,2019-12-18,3735.75,3820.0,3758.0,-0.02205497382198951,-0.005920702501330477
221,221,221,221,2019-12-19,3705.489990234375,3838.02001953125,3720.280029296875,-0.034530833247988446,-0.003975517688461605
222,222,222,222,2019-12-20,3840.739990234375,3752.949951171875,3783.35009765625,0.0233922754645548,0.0151690673865148
223,223,223,223,2019-12-23,3786.7099609375,3798.35009765625,3854.47998046875,-0.0030645244433714636,-0.01758214334349928
224,224,224,224,2019-12-24,3817.14990234375,3860.0,3760.6201171875,-0.011101061568976722,0.015032038173142359
225,225,225,225,2019-12-26,3810.550048828125,3817.27001953125,3804.10009765625,-0.0017604127213275422,0.0016955261445010805
226,226,226,226,2019-12-27,3816.3701171875,3735.75,3820.0,0.02158070459412431,-0.000950231102748722
227,227,227,227,2019-12-30,3823.0,3705.489990234375,3838.02001953125,0.0317124078260409,-0.00391348128848068
228,228,228,228,2019-12-31,3808.409912109375,3840.739990234375,3752.949951171875,-0.008417669044820442,0.014777697986668503
229,229,229,229,2020-01-02,3735.5,3786.7099609375,3798.35009765625,-0.013523602669801904,-0.016546683702229337
230,230,230,230,2020-01-03,3781.429931640625,3817.14990234375,3860.0,-0.009357759484685868,-0.02035493998947535
231,231,231,231,2020-01-06,3783.27001953125,3810.550048828125,3817.27001953125,-0.007159079121730638,-0.008906888909099298
232,232,232,232,2020-01-07,3806.1201171875,3816.3701171875,3735.75,-0.0026857982022859828,0.01883694497423538
233,233,233,233,2020-01-08,3785.81005859375,3823.0,3705.489990234375,-0.009727947006604731,0.02167596419665263
234,234,234,234,2020-01-09,3741.699951171875,3808.409912109375,3840.739990234375,-0.017516486532971776,-0.025786707591329616
235,235,235,235,2020-01-10,3781.31005859375,3735.5,3786.7099609375,0.01226343423738463,-0.0014260142444110224
236,236,236,236,2020-01-13,3809.510009765625,3781.429931640625,3817.14990234375,0.007425783006064446,-0.0020014651699777897
237,237,237,237,2020-01-14,3819.0400390625,3783.27001953125,3810.550048828125,0.009454788938295655,0.002228022234476601
238,238,238,238,2020-01-15,3903.989990234375,3806.1201171875,3816.3701171875,0.025713816178559057,0.022958955855006735
239,239,239,239,2020-01-16,3870.52001953125,3785.81005859375,3823.0,0.02237565002639519,0.012430033882095293
240,240,240,240,2020-01-17,3893.409912109375,3741.699951171875,3808.409912109375,0.04054573132994954,0.02231902604016711
241,241,241,241,2020-01-21,3905.139892578125,3781.31005859375,3735.5,0.032747865704095824,0.04541290123895725
242,242,242,242,2020-01-22,3932.0,3809.510009765625,3781.429931640625,0.03215373891140172,0.039818288605455665
243,243,243,243,2020-01-23,4028.239990234375,3819.0400390625,3783.27001953125,0.0547781508002283,0.06475085559277027
244,244,244,244,2020-01-24,3983.60009765625,3903.989990234375,3806.1201171875,0.02039198553813293,0.0466301574843353
245,245,245,245,2020-01-27,3946.219970703125,3870.52001953125,3785.81005859375,0.01955808283896765,0.04237135768215472
246,246,246,246,2020-01-28,4030.0,3893.409912109375,3741.699951171875,0.03508238047727752,0.07705055258047389
247,247,247,247,2020-01-29,3898.56005859375,3905.139892578125,3781.31005859375,-0.001684916332160169,0.031007771958167396
248,248,248,248,2020-01-30,3966.760009765625,3932.0,3809.510009765625,0.008840287325947438,0.041278274527929204
249,249,249,249,2020-01-31,3816.969970703125,4028.239990234375,3819.0400390625,-0.05244722758411369,-0.0005420389255419433
250,250,250,250,2020-02-03,3810.0,3983.60009765625,3903.989990234375,-0.043578696003744866,-0.024075366604290993
