,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,FMC,FMC_6m,FMC_12m,FMC_6m_ret,FMC_12m_ret
173,173,173,173,2019-10-11,76.64411163330078,76.14076232910156,79.86443328857422,0.006610773110250712,-0.04032235029625075
174,174,174,174,2019-10-14,75.45439910888672,75.21647644042969,79.64579772949219,0.0031631722159368714,-0.05262548357969965
175,175,175,175,2019-10-15,75.99434661865234,74.18234252929688,78.82217407226562,0.0244263530588813,-0.03587603979332865
176,176,176,176,2019-10-16,76.66240692138672,72.33374786376953,80.24064636230469,0.059842869828473644,-0.04459385116068737
177,177,177,177,2019-10-17,77.23895263671875,72.73639678955078,77.04676818847656,0.06190237688285927,0.002494386886832789
178,178,178,178,2019-10-18,75.96690368652344,73.13906860351562,76.28719329833984,0.038663810423091416,-0.004198471564733519
179,179,179,179,2019-10-21,76.45191192626953,76.64411163330078,76.14076232910156,-0.002507690453127265,0.004086504884507125
180,180,180,180,2019-10-22,75.18900299072266,75.45439910888672,75.21647644042969,-0.0035173047734575746,-0.000365258398255186
181,181,181,181,2019-10-23,75.5276107788086,75.99434661865234,74.18234252929688,-0.006141717912068856,0.018134615376704133
182,182,182,182,2019-10-24,76.31464385986328,76.66240692138672,72.33374786376953,-0.004536291977892737,0.055035113120243784
183,183,183,183,2019-10-25,76.8545913696289,77.23895263671875,72.73639678955078,-0.004976262028016154,0.05661807240731709
184,184,184,184,2019-10-28,76.90034484863281,75.96690368652344,73.13906860351562,0.012287471475225686,0.0514263623660145
185,185,185,185,2019-10-29,77.70568084716797,76.45191192626953,76.64411163330078,0.016399444949232622,0.013850629764569522
186,186,186,186,2019-10-30,83.25151824951172,75.18900299072266,75.45439910888672,0.1072299796259284,0.10333551433327481
187,187,187,187,2019-10-31,83.73653411865234,75.5276107788086,75.99434661865234,0.1086877137406681,0.10187846655029631
188,188,188,188,2019-11-01,86.94872283935547,76.31464385986328,76.66240692138672,0.13934519564842063,0.1341767931773501
189,189,189,189,2019-11-04,87.8455810546875,76.8545913696289,77.23895263671875,0.14301018962156586,0.13732227141731657
190,190,190,190,2019-11-05,88.66007995605469,76.90034484863281,75.96690368652344,0.15292174736757302,0.1670882404515195
191,191,191,191,2019-11-06,89.24576568603516,77.70568084716797,76.45191192626953,0.14851018243523662,0.16734511194571633
192,192,192,192,2019-11-07,88.61431884765625,83.25151824951172,75.18900299072266,0.06441685041793188,0.17855424760174166
193,193,193,193,2019-11-08,89.41049194335938,83.73653411865234,75.5276107788086,0.06775964499160181,0.1838119996302865
194,194,194,194,2019-11-11,90.60934448242188,86.94872283935547,76.31464385986328,0.04210092481553396,0.18731268206935447
195,195,195,195,2019-11-12,90.0053482055664,87.8455810546875,76.8545913696289,0.024585950994329142,0.17111218212962043
196,196,196,196,2019-11-13,88.1658706665039,88.66007995605469,76.90034484863281,-0.005574203066315064,0.1464951274281754
197,197,197,197,2019-11-14,88.8064956665039,89.24576568603516,77.70568084716797,-0.004922026453071049,0.1428571849356688
198,198,198,198,2019-11-15,88.76988220214844,88.61431884765625,83.25151824951172,0.0017555103567361563,0.06628544522272528
199,199,199,199,2019-11-18,88.73328399658203,89.41049194335938,83.73653411865234,-0.007574144063611121,0.05967227961512522
200,200,200,200,2019-11-19,89.18170928955078,90.60934448242188,86.94872283935547,-0.015755937768074824,0.025681647496087256
201,201,201,201,2019-11-20,88.84310150146484,90.0053482055664,87.8455810546875,-0.012913084914099371,0.011355385607346058
202,202,202,202,2019-11-21,89.60266876220703,88.1658706665039,88.66007995605469,0.016296533849679218,0.010631490594408932
203,203,203,203,2019-11-22,88.98037719726562,88.8064956665039,89.24576568603516,0.001957982121203239,-0.0029736815716631115
204,204,204,204,2019-11-25,90.16090393066406,88.76988220214844,88.61431884765625,0.015669973802014958,0.01745299296005043
205,205,205,205,2019-11-26,90.16090393066406,88.73328399658203,89.41049194335938,0.01608888874367609,0.00839288511889702
206,206,206,206,2019-11-27,90.39884948730467,89.18170928955078,90.60934448242188,0.013647868015201903,-0.0023231047119873782
207,207,207,207,2019-11-29,89.64844512939453,88.84310150146484,90.0053482055664,0.00906478515854614,-0.003965354096033602
208,208,208,208,2019-12-02,89.55692291259766,89.60266876220703,88.1658706665039,-0.000510541150629984,0.015777672647906416
209,209,209,209,2019-12-03,88.99867248535156,88.98037719726562,88.8064956665039,0.00020561036783850462,0.0021639950704657185
210,210,210,210,2019-12-04,88.68751525878906,90.16090393066406,88.76988220214844,-0.016341769077737656,-0.0009278703690493995
211,211,211,211,2019-12-05,89.67588806152344,90.16090393066406,88.73328399658203,-0.005379447720639696,0.010622891687156688
212,212,212,212,2019-12-06,90.06940460205078,90.39884948730467,89.18170928955078,-0.0036443482093226898,0.00995378222251686
213,213,213,213,2019-12-09,90.7740707397461,89.64844512939453,88.84310150146484,0.012555997025122778,0.021734599599153137
214,214,214,214,2019-12-10,89.52947235107422,89.55692291259766,89.60266876220703,-0.00030651523780278467,-0.0008168998997905019
215,215,215,215,2019-12-11,89.913818359375,88.99867248535156,88.98037719726562,0.01028269128591841,0.010490415881694748
216,216,216,216,2019-12-12,91.0577621459961,88.68751525878906,90.16090393066406,0.026725823587352426,0.009947307272138106
217,217,217,217,2019-12-13,90.76490783691406,89.67588806152344,90.16090393066406,0.012143953061758195,0.006699177580500981
218,218,218,218,2019-12-16,91.0760726928711,90.06940460205078,90.39884948730467,0.011176582051008577,0.007491502484902046
219,219,219,219,2019-12-17,92.35728454589844,90.7740707397461,89.64844512939453,0.017441256002405092,0.030216245386008422
220,220,220,220,2019-12-18,91.76243591308594,89.52947235107422,89.55692291259766,0.024941100437356978,0.024626940372222572
221,221,221,221,2019-12-19,90.02363586425781,89.913818359375,88.99867248535156,0.0012213640448888174,0.011516614240228762
222,222,222,222,2019-12-20,90.63679504394533,91.0577621459961,88.68751525878906,-0.004623077617214144,0.02197919041330998
223,223,223,223,2019-12-23,91.75328826904295,90.76490783691406,89.67588806152344,0.010889455580176621,0.023165649679368405
224,224,224,224,2019-12-24,92.35728454589844,91.0760726928711,90.06940460205078,0.014067491220749906,0.025401299741639072
225,225,225,225,2019-12-26,92.87892150878906,92.35728454589844,90.7740707397461,0.005648032696667249,0.023187797483244843
226,226,226,226,2019-12-27,92.54946899414062,91.76243591308594,89.52947235107422,0.008576854714277049,0.033731871346499354
227,227,227,227,2019-12-30,91.19831848144533,90.02363586425781,89.913818359375,0.013048602246622965,0.014285903385131915
228,228,228,228,2019-12-31,91.74981689453124,90.63679504394533,91.0577621459961,0.012280022148248415,0.007600173035501756
229,229,229,229,2020-01-02,91.8049774169922,91.75328826904295,90.76490783691406,0.0005633492698122744,0.011458939416838732
230,230,230,230,2020-01-03,91.20751190185548,92.35728454589844,91.0760726928711,-0.012449181996808889,0.0014431804654952973
231,231,231,231,2020-01-06,90.4078598022461,92.87892150878906,92.35728454589844,-0.026605193798564186,-0.02110742810637256
232,232,232,232,2020-01-07,92.05313110351562,92.54946899414062,91.76243591308594,-0.005362946930105306,0.003167910567511756
233,233,233,233,2020-01-08,92.32886505126952,91.19831848144533,90.02363586425781,0.012396572531698569,0.025606932722509024
234,234,234,234,2020-01-09,91.47406768798828,91.74981689453124,90.63679504394533,-0.0030054469412177376,0.009237668252027209
235,235,235,235,2020-01-10,90.07696533203124,91.8049774169922,91.75328826904295,-0.01882264048834814,-0.01826989493931086
236,236,236,236,2020-01-13,90.8766098022461,91.20751190185548,92.35728454589844,-0.0036280136658640716,-0.016032029860259644
237,237,237,237,2020-01-14,90.33430480957033,90.4078598022461,92.87892150878906,-0.00081359068599407,-0.0273971387466847
238,238,238,238,2020-01-15,90.54571533203124,92.05313110351562,92.54946899414062,-0.016375496991941185,-0.021650623000724623
239,239,239,239,2020-01-16,91.53839111328124,92.32886505126952,91.19831848144533,-0.008561503897500877,0.00372893533015195
240,240,240,240,2020-01-17,91.9152603149414,91.47406768798828,91.74981689453124,0.004823144286728365,0.001803201641267016
241,241,241,241,2020-01-21,90.2148208618164,90.07696533203124,91.8049774169922,0.0015304193394729548,-0.017321027681898582
242,242,242,242,2020-01-22,89.70928955078125,90.8766098022461,91.20751190185548,-0.012845112224201705,-0.016426523647376845
243,243,243,243,2020-01-23,89.00154876708984,90.33430480957033,90.4078598022461,-0.014753598262476353,-0.015555185558339124
244,244,244,244,2020-01-24,87.94451904296875,90.54571533203124,92.05313110351562,-0.028727988723971087,-0.04463305062297829
245,245,245,245,2020-01-27,86.23487091064453,91.53839111328124,92.32886505126952,-0.05793766023343638,-0.06600313062703667
246,246,246,246,2020-01-28,87.4022216796875,91.9152603149414,91.47406768798828,-0.049099992969505624,-0.04451366503334653
247,247,247,247,2020-01-29,88.57872772216797,90.2148208618164,90.07696533203124,-0.01813552500596849,-0.016632860624696155
248,248,248,248,2020-01-30,88.28459930419922,89.70928955078125,90.8766098022461,-0.01588118971531438,-0.028522306275369114
249,249,249,249,2020-01-31,87.8617935180664,89.00154876708984,90.33430480957033,-0.012806015904353374,-0.027370679352833993
250,250,250,250,2020-02-03,89.7184829711914,87.94451904296875,90.54571533203124,0.020171398371692906,-0.009136074057246812
251,251,251,251,2020-02-04,90.97772216796876,86.23487091064453,91.53839111328124,0.05499922719474726,-0.0061249595770001
252,252,252,252,2020-02-05,93.5881118774414,87.4022216796875,91.9152603149414,0.07077497664102883,0.018199932816031827
253,253,253,253,2020-02-06,99.1949462890625,88.57872772216797,90.2148208618164,0.11985065534236261,0.09954157577945089
254,254,254,254,2020-02-07,96.63970184326172,88.28459930419922,89.70928955078125,0.09463827898537103,0.0772541208071591
255,255,255,255,2020-02-10,96.38233947753906,87.8617935180664,89.00154876708984,0.09697669053068703,0.08292878958504613
256,256,256,256,2020-02-11,96.74080657958984,89.7184829711914,87.94451904296875,0.07827064586739962,0.10002087261769343
257,257,257,257,2020-02-12,97.83458709716795,90.97772216796876,86.23487091064453,0.07536861514887816,0.13451305793155188
258,258,258,258,2020-02-13,96.9062728881836,93.5881118774414,87.4022216796875,0.035454941275955054,0.10873924055759865
259,259,259,259,2020-02-14,96.9430160522461,99.1949462890625,88.57872772216797,-0.02270206619452253,0.09442773163680074
260,260,260,260,2020-02-18,97.23714447021484,96.63970184326172,88.28459930419922,0.006182165461583455,0.10140551394664143
261,261,261,261,2020-02-19,97.8437728881836,96.38233947753906,87.8617935180664,0.015162875466258052,0.11361001147859184
262,262,262,262,2020-02-20,99.5350341796875,96.74080657958984,89.7184829711914,0.028883650022070162,0.10941503783170514
263,263,263,263,2020-02-21,97.96328735351562,97.83458709716795,90.97772216796876,0.001315488317233271,0.07678324999882569
264,264,264,264,2020-02-24,94.12120819091795,96.9062728881836,93.5881118774414,-0.02873977725342114,0.0056961969077298225
265,265,265,265,2020-02-25,89.83796691894531,96.9430160522461,99.1949462890625,-0.07329098497896547,-0.09432919438103382
266,266,266,266,2020-02-26,89.05670166015625,97.23714447021484,96.63970184326172,-0.08412878488594844,-0.07846671749261191
267,267,267,267,2020-02-27,84.89292907714844,97.8437728881836,96.38233947753906,-0.13236247365313125,-0.11920659389128152
268,268,268,268,2020-02-28,85.57308197021484,99.5350341796875,96.74080657958984,-0.14027173773073287,-0.11543964748926483
269,269,269,269,2020-03-02,89.0750732421875,97.96328735351562,97.83458709716795,-0.09073005154730707,-0.08953391755290618
270,270,270,270,2020-03-03,86.94263458251953,94.12120819091795,96.9062728881836,-0.0762694587795475,-0.1028172687764054
271,271,271,271,2020-03-04,91.31780242919922,89.83796691894531,96.9430160522461,0.016472272926535192,-0.058025981160058415
272,272,272,272,2020-03-05,87.16322326660156,89.05670166015625,97.23714447021484,-0.021261492490259437,-0.10360157384814062
273,273,273,273,2020-03-06,83.21089935302734,84.89292907714844,97.8437728881836,-0.019813543276289924,-0.14955344732953801
274,274,274,274,2020-03-09,72.83364868164062,85.57308197021484,99.5350341796875,-0.14887196996139973,-0.2682611777662496
275,275,275,275,2020-03-10,79.94789123535156,89.0750732421875,97.96328735351562,-0.10246617459432128,-0.18389946483883013
