,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,CRM,CRM_6m,CRM_12m,CRM_6m_ret,CRM_12m_ret
51,51,51,51,2019-04-18,155.99000549316406,160.24000549316406,160.50999450683594,-0.02652271501688952,-0.02816017175478358
52,52,52,52,2019-04-22,158.75999450683594,160.72999572753906,162.6199951171875,-0.012256587277228337,-0.023736322262031595
53,53,53,53,2019-04-23,161.22999572753906,160.7100067138672,158.52000427246094,0.0032355733429696443,0.01709558025509672
54,54,54,54,2019-04-24,159.55999755859375,160.08999633789062,158.55999755859375,-0.003310630216882826,0.006306760944736256
55,55,55,55,2019-04-25,163.08999633789062,158.69000244140625,158.47000122070312,0.027726976046326568,0.029153752013626688
56,56,56,56,2019-04-26,165.9600067138672,155.33999633789062,156.97000122070312,0.06836623294928024,0.05727212475792709
57,57,57,57,2019-04-29,165.36000061035156,155.99000549316406,160.24000549316406,0.060067919656545676,0.03195204032494825
58,58,58,58,2019-04-30,165.35000610351562,158.75999450683594,160.72999572753906,0.041509270752689176,0.0287439214756664
59,59,59,59,2019-05-01,162.14999389648438,161.22999572753906,160.7100067138672,0.005706122888572196,0.00896015881065182
60,60,60,60,2019-05-02,161.8300018310547,159.55999755859375,160.08999633789062,0.014226650208034375,0.010868920813087879
61,61,61,61,2019-05-03,163.33999633789062,163.08999633789062,158.69000244140625,0.0015328959814435716,0.02930237459792906
62,62,62,62,2019-05-06,162.5,165.9600067138672,155.33999633789062,-0.020848436815458893,0.046092467045867336
63,63,63,63,2019-05-07,156.89999389648438,165.36000061035156,155.99000549316406,-0.05116114346057632,0.005833632741042427
64,64,64,64,2019-05-08,156.86000061035156,165.35000610351562,158.75999450683594,-0.05134566180692479,-0.011967712032155298
65,65,65,65,2019-05-09,156.30999755859375,162.14999389648438,161.22999572753906,-0.036016013306906736,-0.030515402216220178
66,66,66,66,2019-05-10,159.94000244140625,161.8300018310547,159.55999755859375,-0.011678918422194262,0.0023815798986395187
67,67,67,67,2019-05-13,153.14999389648438,163.33999633789062,163.08999633789062,-0.06238522511245115,-0.060947959191883894
68,68,68,68,2019-05-14,158.07000732421875,162.5,165.9600067138672,-0.027261493389423075,-0.04754157068245746
69,69,69,69,2019-05-15,155.05999755859375,156.89999389648438,165.36000061035156,-0.011727191902279999,-0.06228835881555406
70,70,70,70,2019-05-16,158.47999572753906,156.86000061035156,165.35000610351562,0.010327649565752939,-0.04154829224303547
71,71,71,71,2019-05-17,154.57000732421875,156.30999755859375,162.14999389648438,-0.011131663115296009,-0.04674675829531416
72,72,72,72,2019-05-20,155.97999572753906,159.94000244140625,161.8300018310547,-0.024759326331246778,-0.03614908260103
73,73,73,73,2019-05-21,155.77999877929688,153.14999389648438,163.33999633789062,0.01717273906383654,-0.0462838112409093
74,74,74,74,2019-05-22,157.63999938964844,158.07000732421875,162.5,-0.0027203638555435283,-0.029907696063701916
75,75,75,75,2019-05-23,153.7100067138672,155.05999755859375,156.89999389648438,-0.008706248329563127,-0.020331340386933294
76,76,76,76,2019-05-24,154.50999450683594,158.47999572753906,156.86000061035156,-0.025050487933684695,-0.014981551028761975
77,77,77,77,2019-05-28,155.19000244140625,154.57000732421875,156.30999755859375,0.004011095864717262,-0.007165217418467873
78,78,78,78,2019-05-29,152.88999938964844,155.97999572753906,159.94000244140625,-0.019810209145588953,-0.04407904804390994
79,79,79,79,2019-05-30,155.66000366210938,155.77999877929688,153.14999389648438,-0.0007702857756309855,0.016389225371576277
80,80,80,80,2019-05-31,151.41000366210938,157.63999938964844,158.07000732421875,-0.03952039933811469,-0.042133253327742204
81,81,81,81,2019-06-03,145.10000610351562,153.7100067138672,155.05999755859375,-0.0560145744211642,-0.06423314595574181
82,82,82,82,2019-06-04,150.80999755859375,154.50999450683594,158.47999572753906,-0.02394665121859474,-0.04839726385487586
83,83,83,83,2019-06-05,158.44000244140625,155.19000244140625,154.57000732421875,0.020942070680275204,0.025037167198096677
84,84,84,84,2019-06-06,159.30999755859375,152.88999938964844,155.97999572753906,0.041990962094149875,0.021348903207251135
85,85,85,85,2019-06-07,161.27000427246094,155.66000366210938,155.77999877929688,0.036040090443073325,0.03524204349842175
86,86,86,86,2019-06-10,152.7899932861328,151.41000366210938,157.63999938964844,0.009114256592338998,-0.03076634180597504
87,87,87,87,2019-06-11,150.14999389648438,145.10000610351562,153.7100067138672,0.03480349814297079,-0.023160579415039684
88,88,88,88,2019-06-12,151.27999877929688,150.80999755859375,154.50999450683594,0.003116512355359813,-0.02090476889762727
89,89,89,89,2019-06-13,151.33999633789062,158.44000244140625,155.19000244140625,-0.04481195401484117,-0.024808338442866118
90,90,90,90,2019-06-14,150.00999450683594,159.30999755859375,152.88999938964844,-0.058376769783938354,-0.018837104416964845
91,91,91,91,2019-06-17,150.2899932861328,161.27000427246094,155.66000366210938,-0.06808464497698974,-0.03449833129667157
92,92,92,92,2019-06-18,150.58999633789062,152.7899932861328,151.41000366210938,-0.014398828751318926,-0.005415806778848675
93,93,93,93,2019-06-19,154.13999938964844,150.14999389648438,145.10000610351562,0.02657346423813256,0.062301811894367454
94,94,94,94,2019-06-20,157.1999969482422,151.27999877929688,150.80999755859375,0.03913272221519537,0.04237119218283758
95,95,95,95,2019-06-21,156.83999633789062,151.33999633789062,158.44000244140625,0.03634201224453837,-0.01009849835181198
96,96,96,96,2019-06-24,152.55999755859375,150.00999450683594,159.30999755859375,0.01699888770838931,-0.042370222229884624
97,97,97,97,2019-06-25,149.33999633789062,150.2899932861328,161.27000427246094,-0.006321092492389102,-0.0739753681311679
98,98,98,98,2019-06-26,149.0399932861328,150.58999633789062,152.7899932861328,-0.010292868646333941,-0.024543492144654455
99,99,99,99,2019-06-27,150.69000244140625,154.13999938964844,150.14999389648438,-0.0223822301927028,0.003596460651834388
100,100,100,100,2019-06-28,151.72999572753906,157.1999969482422,151.27999877929688,-0.034796446099831124,0.002974596456063461
101,101,101,101,2019-07-01,154.05999755859375,156.83999633789062,151.33999633789062,-0.017725062765927002,0.017972785030536675
102,102,102,102,2019-07-02,154.1199951171875,152.55999755859375,150.00999450683594,0.010225469215772609,0.02739817852712645
103,103,103,103,2019-07-03,155.58999633789062,149.33999633789062,150.2899932861328,0.04185081125794987,0.03526517591671774
104,104,104,104,2019-07-05,154.5800018310547,149.0399932861328,150.58999633789062,0.03717128820776283,0.026495820374491386
105,105,105,105,2019-07-08,152.80999755859375,150.69000244140625,154.13999938964844,0.014068585060988514,-0.008628531441034926
106,106,106,106,2019-07-09,153.9499969482422,151.72999572753906,157.1999969482422,0.014631261340635415,-0.020674300655807665
107,107,107,107,2019-07-10,156.27000427246094,154.05999755859375,156.83999633789062,0.014345104172980738,-0.003634226464796164
108,108,108,108,2019-07-11,158.89999389648438,154.1199951171875,152.55999755859375,0.031014786729407273,0.04155739669211522
109,109,109,109,2019-07-12,158.0800018310547,155.58999633789062,149.33999633789062,0.016003634885089824,0.05852421124605689
110,110,110,110,2019-07-15,159.64999389648438,154.5800018310547,149.0399932861328,0.032798499193775754,0.0711889498678524
111,111,111,111,2019-07-16,157.1300048828125,152.80999755859375,150.69000244140625,0.02827044953365876,0.042736759818624126
112,112,112,112,2019-07-17,158.24000549316406,153.9499969482422,151.72999572753906,0.027866246378453363,0.04290522605243452
113,113,113,113,2019-07-18,157.97999572753906,156.27000427246094,154.05999755859375,0.010942544367610774,0.025444620479462277
114,114,114,114,2019-07-19,156.75,158.89999389648438,154.1199951171875,-0.013530484449766456,0.017064657190085875
115,115,115,115,2019-07-22,157.6999969482422,158.0800018310547,155.58999633789062,-0.002403877014238831,0.013561287100806396
116,116,116,116,2019-07-23,156.25,159.64999389648438,154.5800018310547,-0.021296548866070686,0.01080345548689099
117,117,117,117,2019-07-24,159.75,157.1300048828125,152.80999755859375,0.016674059923446727,0.045415892626692544
118,118,118,118,2019-07-25,159.35000610351562,158.24000549316406,153.9499969482422,0.007014664887631916,0.035076383646106324
119,119,119,119,2019-07-26,159.97000122070312,157.97999572753906,156.27000427246094,0.012596566318409996,0.02367694917183938
120,120,120,120,2019-07-29,156.2100067138672,156.75,158.89999389648438,-0.0034449332448663883,-0.016928806078932768
121,121,121,121,2019-07-30,156.9600067138672,157.6999969482422,158.0800018310547,-0.004692392192105599,-0.007084989272611919
122,122,122,122,2019-07-31,154.5,156.25,159.64999389648438,-0.011199999999999988,-0.032258027518770716
123,123,123,123,2019-08-01,150.80999755859375,159.75,157.1300048828125,-0.05596245659722221,-0.04022151802854079
124,124,124,124,2019-08-02,145.6999969482422,159.35000610351562,158.24000549316406,-0.08566054993688688,-0.07924676510115258
125,125,125,125,2019-08-05,142.82000732421875,159.97000122070312,157.97999572753906,-0.10720756245305851,-0.09596144330492362
126,126,126,126,2019-08-06,142.8000030517578,156.2100067138672,156.75,-0.0858459963238638,-0.0889951958420554
127,127,127,127,2019-08-07,141.63999938964844,156.9600067138672,157.6999969482422,-0.09760452770715411,-0.1018389211755325
128,128,128,128,2019-08-08,143.82000732421875,154.5,156.25,-0.06912616618628642,-0.07955195312499996
129,129,129,129,2019-08-09,143.3699951171875,150.80999755859375,159.75,-0.0493336155550006,-0.10253524183294205
130,130,130,130,2019-08-12,140.72000122070312,145.6999969482422,159.35000610351562,-0.03417979294335971,-0.11691248301998958
131,131,131,131,2019-08-13,143.8800048828125,142.82000732421875,159.97000122070312,0.007421912226817318,-0.10058133534481883
132,132,132,132,2019-08-14,139.72000122070312,142.8000030517578,156.2100067138672,-0.02156863981255197,-0.10556305476235661
133,133,133,133,2019-08-15,142.1300048828125,141.63999938964844,156.9600067138672,0.0034595135221375806,-0.09448267836844126
134,134,134,134,2019-08-16,143.88999938964844,143.82000732421875,154.5,0.00048666431556987355,-0.06867314310907158
135,135,135,135,2019-08-19,143.6699981689453,143.3699951171875,150.80999755859375,0.002092509325348102,-0.04734433728025467
136,136,136,136,2019-08-20,145.5399932861328,140.72000122070312,145.6999969482422,0.03425235946288896,-0.0010981720347339463
137,137,137,137,2019-08-21,147.3800048828125,143.8800048828125,142.82000732421875,0.024325826252582283,0.03192828262669112
138,138,138,138,2019-08-22,148.24000549316406,139.72000122070312,142.8000030517578,0.06097913110523567,0.038095254377792376
139,139,139,139,2019-08-23,151.57000732421875,142.1300048828125,141.63999938964844,0.06641808286145934,0.07010737063937067
140,140,140,140,2019-08-26,155.13999938964844,143.88999938964844,143.82000732421875,0.0781847247739258,0.07870943880506553
141,141,141,141,2019-08-27,153.57000732421875,143.6699981689453,143.3699951171875,0.06890797857205899,0.07114467848515993
142,142,142,142,2019-08-28,151.8300018310547,145.5399932861328,140.72000122070312,0.043218419919504036,0.07895111223689377
143,143,143,143,2019-08-29,155.92999267578125,147.3800048828125,143.8800048828125,0.05801321420614136,0.08375025982785611
144,144,144,144,2019-08-30,156.07000732421875,148.24000549316406,139.72000122070312,0.05281976214859063,0.11701979645483251
145,145,145,145,2019-09-03,152.72999572753906,151.57000732421875,142.1300048828125,0.007653152650702211,0.07457954323906724
146,146,146,146,2019-09-04,152.4600067138672,155.13999938964844,143.88999938964844,-0.017274672465675378,0.05955943679596176
147,147,147,147,2019-09-05,153.77000427246094,153.57000732421875,143.6699981689453,0.0013023177619568838,0.07030003641845095
148,148,148,148,2019-09-06,151.07000732421875,151.8300018310547,145.5399932861328,-0.005005562126526253,0.037996525307060436
149,149,149,149,2019-09-09,149.5399932861328,155.92999267578125,147.3800048828125,-0.04097992490088098,0.014655912143833882
150,150,150,150,2019-09-10,149.64999389648438,156.07000732421875,148.24000549316406,-0.041135472073102974,0.00951152422471635
151,151,151,151,2019-09-11,154.08999633789062,152.72999572753906,151.57000732421875,0.008904607139371024,0.01662590810780551
152,152,152,152,2019-09-12,154.75,152.4600067138672,155.13999938964844,0.01502028850379511,-0.0025138545261232936
153,153,153,153,2019-09-13,152.97999572753906,153.77000427246094,153.57000732421875,-0.005137598510578711,-0.0038419715344159
154,154,154,154,2019-09-16,153.00999450683594,151.07000732421875,151.8300018310547,0.012841643533211045,0.007771801762172625
155,155,155,155,2019-09-17,152.82000732421875,149.5399932861328,155.92999267578125,0.02193402558076807,-0.019944754041186674
156,156,156,156,2019-09-18,152.77000427246094,149.64999389648438,156.07000732421875,0.02084871702791191,-0.02114437686225268
157,157,157,157,2019-09-19,153.60000610351562,154.08999633789062,152.72999572753906,-0.0031798964632365756,0.005696394947385608
158,158,158,158,2019-09-20,155.1999969482422,154.75,152.4600067138672,0.0029078962729705005,0.017971862217724732
159,159,159,159,2019-09-23,154.64999389648438,152.97999572753906,153.77000427246094,0.010916448003565282,0.0057227651659825796
160,160,160,160,2019-09-24,152.0500030517578,153.00999450683594,151.07000732421875,-0.006274044111773569,0.006487030383442338
161,161,161,161,2019-09-25,152.99000549316406,152.82000732421875,149.5399932861328,0.0011124078052466846,0.023070832967271304
162,162,162,162,2019-09-26,152.33999633789062,152.77000427246094,149.64999389648438,-0.0028147406070854197,0.017975292690402433
163,163,163,163,2019-09-27,148.25999450683594,153.60000610351562,154.08999633789062,-0.03476569911775196,-0.03783504425732209
164,164,164,164,2019-09-30,148.44000244140625,155.1999969482422,154.75,-0.043556666493301144,-0.040775428488489474
165,165,165,165,2019-10-01,147.69000244140625,154.64999389648438,152.97999572753906,-0.04500479618341802,-0.03457964069730013
166,166,166,166,2019-10-02,144.22000122070312,152.0500030517578,153.00999450683594,-0.05149622935811027,-0.05744718385530112
167,167,167,167,2019-10-03,147.0,152.99000549316406,152.82000732421875,-0.03915292030910944,-0.03808406651801277
168,168,168,168,2019-10-04,148.02999877929688,152.33999633789062,152.77000427246094,-0.028291963123290076,-0.0310270691929182
169,169,169,169,2019-10-07,148.8000030517578,148.25999450683594,153.60000610351562,0.0036423078708327505,-0.031250018626450715
170,170,170,170,2019-10-08,145.91000366210938,148.44000244140625,155.1999969482422,-0.017043914966894058,-0.059858205340242
171,171,171,171,2019-10-09,147.0500030517578,147.69000244140625,154.64999389648438,-0.0043333968384376975,-0.0491431693803599
172,172,172,172,2019-10-10,146.41000366210938,144.22000122070312,152.0500030517578,0.015185150623143073,-0.03709305673429408
173,173,173,173,2019-10-11,149.3699951171875,147.0,152.99000549316406,0.016122415763180298,-0.023661744205495272
174,174,174,174,2019-10-14,149.3699951171875,148.02999877929688,152.33999633789062,0.009052194480447584,-0.019495872995268115
175,175,175,175,2019-10-15,152.74000549316406,148.8000030517578,148.25999450683594,0.02647851048790484,0.030217261245895743
176,176,176,176,2019-10-16,146.97000122070312,145.91000366210938,148.44000244140625,0.007264735329925998,-0.009902999168188376
177,177,177,177,2019-10-17,146.1699981689453,147.0500030517578,147.69000244140625,-0.005984392142465711,-0.010291856234913244
178,178,178,178,2019-10-18,144.08999633789062,146.41000366210938,144.22000122070312,-0.015845961793518937,-0.0009014344869789914
179,179,179,179,2019-10-21,144.5500030517578,149.3699951171875,147.0,-0.03226881049067576,-0.016666645906409427
180,180,180,180,2019-10-22,142.3300018310547,149.3699951171875,148.02999877929688,-0.0471312413219912,-0.03850568800409515
181,181,181,181,2019-10-23,145.1300048828125,152.74000549316406,148.8000030517578,-0.049823231220796016,-0.024663965683312195
182,182,182,182,2019-10-24,148.1199951171875,146.97000122070312,145.91000366210938,0.007824684540605364,0.01514626413275888
183,183,183,183,2019-10-25,150.49000549316406,146.1699981689453,147.0500030517578,0.029554678650441257,0.023393419721286612
184,184,184,184,2019-10-28,154.7899932861328,144.08999633789062,146.41000366210938,0.07425912429861348,0.05723645525863863
185,185,185,185,2019-10-29,155.08999633789062,144.5500030517578,149.3699951171875,0.07291589805334597,0.038294178266629286
186,186,186,186,2019-10-30,158.27999877929688,142.3300018310547,149.3699951171875,0.1120634914849139,0.059650558702362355
187,187,187,187,2019-10-31,156.49000549316406,145.1300048828125,152.74000549316406,0.0782746518855586,0.024551524585141093
188,188,188,188,2019-11-01,159.74000549316406,148.1199951171875,146.97000122070312,0.07844997811931598,0.08688850899092238
189,189,189,189,2019-11-04,157.60000610351562,150.49000549316406,146.1699981689453,0.047245666494939,0.07819667563626398
190,190,190,190,2019-11-05,158.14999389648438,154.7899932861328,144.08999633789062,0.02170683349110636,0.09757788823606539
191,191,191,191,2019-11-06,158.92999267578125,155.08999633789062,144.5500030517578,0.024759793852367595,0.09948107451007471
192,192,192,192,2019-11-07,159.5,158.27999877929688,142.3300018310547,0.007707867261259382,0.1206351292633725
193,193,193,193,2019-11-08,161.11000061035156,156.49000549316406,145.1300048828125,0.029522620966291102,0.11010814573073535
194,194,194,194,2019-11-11,161.77999877929688,159.74000549316406,148.1199951171875,0.012770710003638497,0.09222255004330804
195,195,195,195,2019-11-12,162.86000061035156,157.60000610351562,150.49000549316406,0.03337559837009807,0.08219811725469972
196,196,196,196,2019-11-13,162.60000610351562,158.14999389648438,154.7899932861328,0.028137922091504786,0.05045554077223735
197,197,197,197,2019-11-14,163.0500030517578,158.92999267578125,155.08999633789062,0.02592342896775568,0.05132508157731164
198,198,198,198,2019-11-15,163.2100067138672,159.5,158.27999877929688,0.02326023018098544,0.03114738420894625
199,199,199,199,2019-11-18,162.77000427246094,161.11000061035156,156.49000549316406,0.010303542026072865,0.040130350558210015
200,200,200,200,2019-11-19,163.9600067138672,161.77999877929688,159.74000549316406,0.01347513877499984,0.02641793586819241
201,201,201,201,2019-11-20,164.1999969482422,162.86000061035156,157.60000610351562,0.008227903308784867,0.04187811287514487
202,202,202,202,2019-11-21,162.8800048828125,162.60000610351562,158.14999389648438,0.0017220096481338487,0.029908385512958713
203,203,203,203,2019-11-22,162.80999755859375,163.0500030517578,158.92999267578125,-0.0014719747848632725,0.024413295549114755
204,204,204,204,2019-11-25,161.7100067138672,163.2100067138672,159.5,-0.00919061294219381,0.013855841466251961
205,205,205,205,2019-11-26,162.5399932861328,162.77000427246094,161.11000061035156,-0.0014131042593271692,0.008875877787622333
206,206,206,206,2019-11-27,161.50999450683594,163.9600067138672,161.77999877929688,-0.014942742783042529,-0.0016689595407234359
207,207,207,207,2019-11-29,162.88999938964844,164.1999969482422,162.86000061035156,-0.00797806079744734,0.00018419979850459178
208,208,208,208,2019-12-02,161.0,162.8800048828125,162.60000610351562,-0.011542269317618925,-0.009840135568611297
209,209,209,209,2019-12-03,161.57000732421875,162.80999755859375,163.0500030517578,-0.007616179921191457,-0.009076943881253796
210,210,210,210,2019-12-04,156.42999267578125,161.7100067138672,163.2100067138672,-0.03265112744339005,-0.0415416565111254
211,211,211,211,2019-12-05,158.22000122070312,162.5399932861328,162.77000427246094,-0.02657802537142251,-0.02795357210989291
212,212,212,212,2019-12-06,158.00999450683594,161.50999450683594,163.9600067138672,-0.02167048553674411,-0.036289411828427376
213,213,213,213,2019-12-09,157.47999572753906,162.88999938964844,164.1999969482422,-0.0332126200649564,-0.04092570856028299
214,214,214,214,2019-12-10,156.39999389648438,161.0,162.8800048828125,-0.02857146648146347,-0.039783956238154006
215,215,215,215,2019-12-11,156.38999938964844,161.57000732421875,162.80999755859375,-0.03206045490965237,-0.03943245663789663
216,216,216,216,2019-12-12,158.58999633789062,156.42999267578125,161.7100067138672,0.013808117133817355,-0.019293860901862248
217,217,217,217,2019-12-13,161.1300048828125,158.22000122070312,162.5399932861328,0.018392135252547348,-0.008674716756252088
218,218,218,218,2019-12-16,161.9600067138672,158.00999450683594,161.50999450683594,0.024998495945522947,0.0027862808639511627
219,219,219,219,2019-12-17,161.6300048828125,157.47999572753906,162.88999938964844,0.0263526115561592,-0.007735247784131372
220,220,220,220,2019-12-18,161.47999572753906,156.39999389648438,161.0,0.03248083138939872,0.0029813399226028547
221,221,221,221,2019-12-19,163.3300018310547,156.38999938964844,161.57000732421875,0.04437625467415662,0.010893076852464212
222,222,222,222,2019-12-20,164.5500030517578,158.58999633789062,156.42999267578125,0.03758122738819436,0.051908270511820565
223,223,223,223,2019-12-23,163.74000549316406,161.1300048828125,158.22000122070312,0.016198104209391495,0.03488815718539273
224,224,224,224,2019-12-24,163.25,161.9600067138672,158.00999450683594,0.007964887828214362,0.03316249398981763
225,225,225,225,2019-12-26,164.50999450683594,161.6300048828125,157.47999572753906,0.0178184095589895,0.0446405827408054
226,226,226,226,2019-12-27,164.97999572753906,161.47999572753906,156.39999389648438,0.0216745113487955,0.054859348886761916
227,227,227,227,2019-12-30,162.44000244140625,163.3300018310547,156.38999938964844,-0.005449086999760322,0.03868535760195324
228,228,228,228,2019-12-31,162.63999938964844,164.5500030517578,158.58999633789062,-0.011607436199855936,0.025537569489117784
229,229,229,229,2020-01-02,166.99000549316406,163.74000549316406,161.1300048828125,0.019848539702996826,0.03636815262690174
230,230,230,230,2020-01-03,166.1699981689453,163.25,161.9600067138672,0.017886665659695655,0.025994018773510374
231,231,231,231,2020-01-06,173.4499969482422,164.50999450683594,161.6300048828125,0.05434321767626571,0.07312993694456416
232,232,232,232,2020-01-07,176.0,164.97999572753906,161.47999572753906,0.06679600289637677,0.08991828496800403
233,233,233,233,2020-01-08,177.3300018310547,162.44000244140625,163.3300018310547,0.09166460949186095,0.08571603406018036
234,234,234,234,2020-01-09,179.60000610351562,162.63999938964844,164.5500030517578,0.10427943173582332,0.09146157868513649
235,235,235,235,2020-01-10,180.1999969482422,166.99000549316406,163.74000549316406,0.07910647955286687,0.10052516735603323
236,236,236,236,2020-01-13,183.8500061035156,166.1699981689453,163.25,0.10639711217060377,0.12618686740285212
237,237,237,237,2020-01-14,182.1199951171875,173.4499969482422,164.50999450683594,0.04998557694718464,0.10704517171216499
238,238,238,238,2020-01-15,181.0599975585937,176.0,164.97999572753906,0.028749986128373317,0.0974663731814518
239,239,239,239,2020-01-16,182.69000244140625,177.3300018310547,162.44000244140625,0.030226135199942883,0.12466141157135469
240,240,240,240,2020-01-17,182.22999572753903,179.60000610351562,162.63999938964844,0.014643594290902007,0.12045005171795053
241,241,241,241,2020-01-21,185.2700042724609,180.1999969482422,166.99000549316406,0.028135446226866145,0.10946762188138948
242,242,242,242,2020-01-22,182.75,183.8500061035156,166.1699981689453,-0.005983171427779266,0.09977734858128695
243,243,243,243,2020-01-23,183.97999572753903,182.1199951171875,173.4499969482422,0.010213049968262444,0.06070913211050111
244,244,244,244,2020-01-24,182.1100006103516,181.0599975585937,176.0,0.005799199524555876,0.0347159125588159
245,245,245,245,2020-01-27,180.7100067138672,182.69000244140625,177.3300018310547,-0.010838008107061592,0.019060535994539052
