,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,PH,PH_6m,PH_12m,PH_6m_ret,PH_12m_ret
106,106,106,106,2019-07-09,151.66661071777344,157.8406219482422,159.7624053955078,-0.039115477082276584,-0.050673965866327775
107,107,107,107,2019-07-10,150.18112182617188,157.81272888183594,158.79684448242188,-0.04835862803803559,-0.05425625858203831
108,108,108,108,2019-07-11,151.72230529785156,155.5567169189453,157.6456298828125,-0.024649604961074822,-0.03757366816551844
109,109,109,109,2019-07-12,156.96788024902344,156.54086303710938,156.503662109375,0.0027278322326154125,0.002966180684794484
110,110,110,110,2019-07-15,155.7516632080078,154.70252990722656,158.05413818359375,0.006781616961341275,-0.014567634875281898
111,111,111,111,2019-07-16,158.79684448242188,153.95054626464844,156.39227294921875,0.03147957792525413,0.015375257919449048
112,112,112,112,2019-07-17,155.39886474609375,151.66661071777344,157.8406219482422,0.02460827739643645,-0.015469764196374691
113,113,113,113,2019-07-18,153.9041290283203,150.18112182617188,157.81272888183594,0.02479011447562396,-0.024767329487358603
114,114,114,114,2019-07-19,157.46923828125,151.72230529785156,155.5567169189453,0.0378779703624752,0.012294688395237952
115,115,115,115,2019-07-22,158.1005401611328,156.96788024902344,156.54086303710938,0.007215870599210916,0.009963386516233186
116,116,116,116,2019-07-23,164.03317260742188,155.7516632080078,154.70252990722656,0.05317124214817559,0.06031344610712441
117,117,117,117,2019-07-24,165.4907989501953,158.79684448242188,153.95054626464844,0.042154203312991134,0.07496077776631349
118,118,118,118,2019-07-25,164.5994873046875,155.39886474609375,151.66661071777344,0.059206497895764265,0.08527174521609115
119,119,119,119,2019-07-26,162.37130737304688,153.9041290283203,150.18112182617188,0.055015927111146556,0.08116989271783837
120,120,120,120,2019-07-29,160.42161560058594,157.46923828125,151.72230529785156,0.01874891471858664,0.05733705591710092
121,121,121,121,2019-07-30,164.1445770263672,158.1005401611328,156.96788024902344,0.0382290715710043,0.045720798203799484
122,122,122,122,2019-07-31,162.54769897460938,164.03317260742188,155.7516632080078,-0.009055934291825607,0.04363379258124134
123,123,123,123,2019-08-01,160.48660278320312,165.4907989501953,158.79684448242188,-0.030238515970293922,0.010641006792602159
124,124,124,124,2019-08-02,156.8936309814453,164.5994873046875,155.39886474609375,-0.0468157978461865,0.009618900612909043
125,125,125,125,2019-08-05,151.76873779296875,162.37130737304688,153.9041290283203,-0.06529829531838893,-0.013874814462961016
126,126,126,126,2019-08-06,155.1017608642578,160.42161560058594,157.46923828125,-0.03316170776869232,-0.015034539080983733
127,127,127,127,2019-08-07,152.86424255371094,164.1445770263672,158.1005401611328,-0.06872194425798328,-0.03312004881251607
128,128,128,128,2019-08-08,155.45457458496094,162.54769897460938,164.03317260742188,-0.04363718732651156,-0.052297946117228156
129,129,129,129,2019-08-09,152.73428344726562,160.48660278320312,165.4907989501953,-0.048305087163006966,-0.07708292898367586
130,130,130,130,2019-08-12,149.9397735595703,156.8936309814453,164.5994873046875,-0.044322114150684544,-0.08906293686067701
131,131,131,131,2019-08-13,153.78341674804688,151.76873779296875,162.37130737304688,0.013274663704631928,-0.05289044452459435
132,132,132,132,2019-08-14,147.52586364746094,155.1017608642578,160.42161560058594,-0.048844688639139044,-0.08038662311712752
133,133,133,133,2019-08-15,146.33750915527344,152.86424255371094,164.1445770263672,-0.04269627278036747,-0.1084840461603147
134,134,134,134,2019-08-16,150.23681640625,155.45457458496094,162.54769897460938,-0.0335645200061917,-0.07573704608566856
135,135,135,135,2019-08-19,153.50491333007812,152.73428344726562,160.48660278320312,0.0050455592904168345,-0.043503254053899876
136,136,136,136,2019-08-20,151.75942993164062,149.9397735595703,156.8936309814453,0.012135915166947786,-0.0327240884010892
137,137,137,137,2019-08-21,152.3350372314453,153.78341674804688,151.76873779296875,-0.009418307560265293,0.003731331278837402
138,138,138,138,2019-08-22,152.67857360839844,147.52586364746094,155.1017608642578,0.03492750242934228,-0.015623209190900877
139,139,139,139,2019-08-23,146.71815490722656,146.33750915527344,152.86424255371094,0.002601149590083729,-0.04020618258272446
140,140,140,140,2019-08-26,147.210205078125,150.23681640625,155.45457458496094,-0.02014560345808214,-0.053033945953968153
141,141,141,141,2019-08-27,147.35025024414062,153.50491333007812,152.73428344726562,-0.04009424162667208,-0.035250980209586946
142,142,142,142,2019-08-28,148.70394897460938,151.75942993164062,149.9397735595703,-0.02013371398671948,-0.008242139864710119
143,143,143,143,2019-08-29,153.24127197265625,152.3350372314453,153.78341674804688,0.005948958018332284,-0.0035253786582128965
144,144,144,144,2019-08-30,154.76304626464844,152.67857360839844,147.52586364746094,0.013652686208586173,0.04905704286864587
145,145,145,145,2019-09-03,150.28175354003906,146.71815490722656,146.33750915527344,0.024288736694281887,0.02695306492186167
146,146,146,146,2019-09-04,152.37303161621094,147.210205078125,150.23681640625,0.03507111844145583,0.014218986138420764
147,147,147,147,2019-09-05,160.2432861328125,147.35025024414062,153.50491333007812,0.08749924664063857,0.043896789077005005
148,148,148,148,2019-09-06,161.9704132080078,148.70394897460938,151.75942993164062,0.08921393362367014,0.06728401181374144
149,149,149,149,2019-09-09,165.6768341064453,153.24127197265625,152.3350372314453,0.0811502147803107,0.08758193201954967
150,150,150,150,2019-09-10,169.25254821777344,154.76304626464844,152.67857360839844,0.09362378360236989,0.10855468595013984
151,151,151,151,2019-09-11,172.21206665039062,150.28175354003906,146.71815490722656,0.14592798256448836,0.1737611256036069
152,152,152,152,2019-09-12,169.5419464111328,152.37303161621094,147.210205078125,0.1126768602869701,0.15169968224116182
153,153,153,153,2019-09-13,170.13009643554688,160.2432861328125,147.35025024414062,0.061698749079197146,0.1545965897829351
154,154,154,154,2019-09-16,167.2825927734375,161.9704132080078,148.70394897460938,0.0327972217901773,0.12493712458167705
155,155,155,155,2019-09-17,167.2359619140625,165.6768341064453,153.24127197265625,0.009410656692144803,0.09132454828424685
156,156,156,156,2019-09-18,167.21725463867188,169.25254821777344,154.76304626464844,-0.012025187215986777,0.08047275286069544
157,157,157,157,2019-09-19,166.0596160888672,172.21206665039062,150.28175354003906,-0.03572601317196655,0.1049885443652645
158,158,158,158,2019-09-20,165.28469848632812,169.5419464111328,152.37303161621094,-0.025110292850366478,0.08473721847733784
159,159,159,159,2019-09-23,169.0377655029297,170.13009643554688,160.2432861328125,-0.006420562590058965,0.05488204580894673
160,160,160,160,2019-09-24,165.90089416503906,167.2825927734375,161.9704132080078,-0.008259667581012264,0.024266660059597323
161,161,161,161,2019-09-25,168.98178100585938,167.2359619140625,165.6768341064453,0.010439256436328037,0.019948153386916356
162,162,162,162,2019-09-26,168.1602020263672,167.21725463867188,169.25254821777344,0.00563905554921873,-0.006453942365468812
163,163,163,163,2019-09-27,168.4776611328125,166.0596160888672,172.21206665039062,0.014561306962502574,-0.021684923653807475
164,164,164,164,2019-09-30,168.61767578125,165.28469848632812,169.5419464111328,0.020165068669061093,-0.005451574960933181
165,165,165,165,2019-10-01,164.06167602539062,169.0377655029297,170.13009643554688,-0.029437738145283388,-0.035669293895070786
166,166,166,166,2019-10-02,159.94456481933594,165.90089416503906,167.2825927734375,-0.03590293696535318,-0.043866058221849524
167,167,167,167,2019-10-03,160.76608276367188,168.98178100585938,167.2359619140625,-0.04861884040565667,-0.03868712851196021
168,168,168,168,2019-10-04,163.15611267089844,168.1602020263672,167.21725463867188,-0.029757869550395277,-0.024286620280597693
169,169,169,169,2019-10-07,159.53370666503906,168.4776611328125,166.0596160888672,-0.0530868864610059,-0.03929859394794555
170,170,170,170,2019-10-08,155.54722595214844,168.61767578125,165.28469848632812,-0.07751530062635925,-0.05891333331733151
171,171,171,171,2019-10-09,156.69557189941406,164.06167602539062,169.0377655029297,-0.04489838397625878,-0.07301441525090269
