,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,MRNA,MRNA_6m,MRNA_12m,MRNA_6m_ret,MRNA_12m_ret
34,34,34,34,2019-03-26,19.89999961853028,22.18000030517578,20.93000030517578,-0.10279534063457407,-0.04921168999652581
35,35,35,35,2019-03-27,19.270000457763672,20.350000381469727,20.43000030517578,-0.05307124832732091,-0.05677923788959671
36,36,36,36,2019-03-28,19.65999984741211,20.0,19.26000022888184,-0.017000007629394576,0.020768411930257358
37,37,37,37,2019-03-29,20.350000381469727,19.34000015258789,19.96999931335449,0.05222338267389759,0.019028596954488775
38,38,38,38,2019-04-01,20.59000015258789,19.0,20.81999969482422,0.0836842185572575,-0.011047048300077744
39,39,39,39,2019-04-02,19.700000762939453,19.39999961853028,21.81999969482422,0.015463976820010883,-0.09715852252681911
40,40,40,40,2019-04-03,21.32999992370605,19.89999961853028,22.18000030517578,0.07185931319537309,-0.03832283001688597
41,41,41,41,2019-04-04,23.07999992370605,19.270000457763672,20.350000381469727,0.19771662560637737,0.13415230914306053
42,42,42,42,2019-04-05,25.959999084472656,19.65999984741211,20.0,0.3204475730395202,0.2979999542236329
43,43,43,43,2019-04-08,27.229999542236328,20.350000381469727,19.34000015258789,0.33808349050604347,0.4079627366803653
44,44,44,44,2019-04-09,26.81999969482422,20.59000015258789,19.0,0.30257404060549753,0.4115789313065379
45,45,45,45,2019-04-10,26.799999237060547,19.700000762939453,19.39999961853028,0.36040599995701195,0.381443286806151
46,46,46,46,2019-04-11,25.729999542236328,21.32999992370605,19.89999961853028,0.20628221445233774,0.29296482590267625
47,47,47,47,2019-04-12,24.61000061035156,23.07999992370605,19.270000457763672,0.06629119114831572,0.27711468737596534
48,48,48,48,2019-04-15,25.84000015258789,25.959999084472656,19.65999984741211,-0.004622455166284678,0.31434386333371567
49,49,49,49,2019-04-16,23.780000686645508,27.229999542236328,20.350000381469727,-0.12669845441016414,0.16855038038717018
50,50,50,50,2019-04-17,23.5,26.81999969482422,20.59000015258789,-0.12378820777782928,0.14133073462101753
51,51,51,51,2019-04-18,22.51000022888184,26.799999237060547,19.700000762939453,-0.16007459441440042,0.14263956127497646
52,52,52,52,2019-04-22,23.6299991607666,25.729999542236328,21.32999992370605,-0.08161680601752563,0.10782931295298992
53,53,53,53,2019-04-23,24.700000762939453,24.61000061035156,23.07999992370605,0.0036570560892241755,0.07019067784179045
54,54,54,54,2019-04-24,25.76000022888184,25.84000015258789,25.959999084472656,-0.003095972261363933,-0.007704116434674391
55,55,55,55,2019-04-25,25.739999771118164,23.780000686645508,27.229999542236328,0.08242216265255875,-0.05471905237482766
56,56,56,56,2019-04-26,26.26000022888184,23.5,26.81999969482422,0.11744681825029102,-0.02087992066795019
57,57,57,57,2019-04-29,25.13999938964844,22.51000022888184,26.799999237060547,0.11683692287982006,-0.06194029457719408
58,58,58,58,2019-04-30,26.030000686645508,23.6299991607666,25.729999542236328,0.1015658743595591,0.011659586076428807
59,59,59,59,2019-05-01,26.39999961853028,24.700000762939453,24.61000061035156,0.06882586247290945,0.07273461860158603
60,60,60,60,2019-05-02,28.34000015258789,25.76000022888184,25.84000015258789,0.10015527565148785,0.09674922543487763
61,61,61,61,2019-05-03,27.200000762939453,25.739999771118164,23.780000686645508,0.05672109575772022,0.14381833379065312
62,62,62,62,2019-05-06,27.100000381469727,26.26000022888184,23.5,0.03198781969788489,0.15319150559445638
63,63,63,63,2019-05-07,24.549999237060547,25.13999938964844,22.51000022888184,-0.02346858261384166,0.09062634328902641
64,64,64,64,2019-05-08,23.540000915527344,26.030000686645508,23.6299991607666,-0.09565884385072798,-0.0038086436070926544
65,65,65,65,2019-05-09,23.26000022888184,26.39999961853028,24.700000762939453,-0.11893937253864428,-0.05829961496269387
66,66,66,66,2019-05-10,24.920000076293945,28.34000015258789,25.76000022888184,-0.1206774896923084,-0.032608701285883335
67,67,67,67,2019-05-13,24.43000030517578,27.200000762939453,25.739999771118164,-0.10183824926717844,-0.05089353059794044
68,68,68,68,2019-05-14,23.59000015258789,27.100000381469727,26.26000022888184,-0.12952030182560004,-0.10167555418972818
69,69,69,69,2019-05-15,23.1200008392334,24.549999237060547,25.13999938964844,-0.05824840905365203,-0.08034998406749327
70,70,70,70,2019-05-16,23.459999084472656,23.540000915527344,26.030000686645508,-0.0033985483408336403,-0.0987322909865066
71,71,71,71,2019-05-17,23.07999992370605,23.26000022888184,26.39999961853028,-0.007738620094778992,-0.1257575660150353
72,72,72,72,2019-05-20,22.600000381469727,24.920000076293945,28.34000015258789,-0.09309790079138891,-0.20254056952056898
73,73,73,73,2019-05-21,22.700000762939453,24.43000030517578,27.200000762939453,-0.07081455262486458,-0.16544117183008833
74,74,74,74,2019-05-22,22.0,23.59000015258789,27.100000381469727,-0.06740144732103626,-0.1881918933461334
75,75,75,75,2019-05-23,21.3799991607666,23.1200008392334,24.549999237060547,-0.07525958543712974,-0.12912424337303152
76,76,76,76,2019-05-24,21.82999992370605,23.459999084472656,23.540000915527344,-0.06947993283791065,-0.0726423502682767
77,77,77,77,2019-05-28,21.540000915527344,23.07999992370605,23.26000022888184,-0.06672439398914098,-0.07394665934778366
78,78,78,78,2019-05-29,21.700000762939453,22.600000381469727,24.920000076293945,-0.03982299129818623,-0.1292134551964802
79,79,79,79,2019-05-30,21.489999771118164,22.700000762939453,24.43000030517578,-0.05330400665874713,-0.12034385989895968
80,80,80,80,2019-05-31,20.780000686645508,22.0,23.59000015258789,-0.05545451424338599,-0.11911824704393303
81,81,81,81,2019-06-03,19.850000381469727,21.3799991607666,23.1200008392334,-0.07156215338420135,-0.1414360008246478
82,82,82,82,2019-06-04,19.46999931335449,21.82999992370605,23.459999084472656,-0.10810813644523865,-0.17007672322370238
83,83,83,83,2019-06-05,17.700000762939453,21.540000915527344,23.07999992370605,-0.17827298000808278,-0.23310221744154624
84,84,84,84,2019-06-06,17.940000534057617,21.700000762939453,22.600000381469727,-0.17327189385649178,-0.20619468003341068
85,85,85,85,2019-06-07,17.520000457763672,21.489999771118164,22.700000762939453,-0.18473705703291987,-0.22819383837346696
86,86,86,86,2019-06-10,15.670000076293944,20.780000686645508,22.0,-0.245909549639022,-0.2877272692593662
87,87,87,87,2019-06-11,16.0,19.850000381469727,21.3799991607666,-0.19395467543989364,-0.25163701459068233
88,88,88,88,2019-06-12,16.299999237060547,19.46999931335449,21.82999992370605,-0.16281459620389593,-0.2533211500674474
89,89,89,89,2019-06-13,16.15999984741211,17.700000762939453,21.540000915527344,-0.08700569769193589,-0.2497679126947948
90,90,90,90,2019-06-14,15.399999618530272,17.940000534057617,21.700000762939453,-0.14158310144447106,-0.29032262317560364
91,91,91,91,2019-06-17,15.770000457763672,17.520000457763672,21.489999771118164,-0.09988584213903484,-0.2661702826559347
92,92,92,92,2019-06-18,15.739999771118164,15.670000076293944,20.780000686645508,0.004467115155290857,-0.2425409407597544
93,93,93,93,2019-06-19,15.5,16.0,19.850000381469727,-0.03125,-0.21914359183239696
94,94,94,94,2019-06-20,15.18000030517578,16.299999237060547,19.46999931335449,-0.06871159412929773,-0.22033893988050612
95,95,95,95,2019-06-21,14.699999809265137,16.15999984741211,17.700000762939453,-0.09034653786712621,-0.1694915719978819
96,96,96,96,2019-06-24,14.039999961853027,15.399999618530272,17.940000534057617,-0.08831166820555014,-0.21739132977174436
97,97,97,97,2019-06-25,13.770000457763672,15.770000457763672,17.520000457763672,-0.12682307811953086,-0.21404109029793172
98,98,98,98,2019-06-26,13.699999809265137,15.739999771118164,15.670000076293944,-0.1296060985716334,-0.12571794878349007
99,99,99,99,2019-06-27,14.34000015258789,15.5,16.0,-0.07483869983303937,-0.10374999046325684
100,100,100,100,2019-06-28,14.640000343322754,15.18000030517578,16.299999237060547,-0.0355731193015133,-0.10184042769545232
101,101,101,101,2019-07-01,14.729999542236328,14.699999809265137,16.15999984741211,0.002040798187785242,-0.08849011873009294
102,102,102,102,2019-07-02,14.399999618530272,14.039999961853027,15.399999618530272,0.025641001257505014,-0.06493506654355596
103,103,103,103,2019-07-03,15.3100004196167,13.770000457763672,15.770000457763672,0.11183732103543687,-0.02916931038645032
104,104,104,104,2019-07-05,14.960000038146973,13.699999809265137,15.739999771118164,0.09197082090685238,-0.049555256944948556
105,105,105,105,2019-07-08,14.289999961853027,14.34000015258789,15.5,-0.003486763612470356,-0.07806451859012731
106,106,106,106,2019-07-09,14.850000381469728,14.640000343322754,15.18000030517578,0.014344264564362108,-0.021739124971791646
107,107,107,107,2019-07-10,14.479999542236328,14.729999542236328,14.699999809265137,-0.016972166175780123,-0.014966004753969253
108,108,108,108,2019-07-11,14.4399995803833,14.399999618530272,14.039999961853027,0.0027777752022684066,0.028490001397228015
109,109,109,109,2019-07-12,14.199999809265137,15.3100004196167,13.770000457763672,-0.07250167079873615,0.03122725760397671
110,110,110,110,2019-07-15,14.31999969482422,14.960000038146973,13.699999809265137,-0.04278077150339543,0.045255466729261284
111,111,111,111,2019-07-16,14.140000343322754,14.289999961853027,14.34000015258789,-0.010496824277865358,-0.013946987945397171
112,112,112,112,2019-07-17,14.029999732971191,14.850000381469728,14.640000343322754,-0.055218897470316386,-0.041666707380220935
113,113,113,113,2019-07-18,14.260000228881836,14.479999542236328,14.729999542236328,-0.015193323225790256,-0.031907625795019934
114,114,114,114,2019-07-19,14.109999656677246,14.4399995803833,14.399999618530272,-0.022853180976151743,-0.020138886773291786
115,115,115,115,2019-07-22,14.050000190734863,14.199999809265137,15.3100004196167,-0.010563353559512212,-0.08229916357594591
116,116,116,116,2019-07-23,13.600000381469728,14.31999969482422,14.960000038146973,-0.05027928273034299,-0.09090906772789697
117,117,117,117,2019-07-24,14.470000267028809,14.140000343322754,14.289999961853027,0.023338042128258296,0.012596242523183365
118,118,118,118,2019-07-25,13.510000228881836,14.029999732971191,14.850000381469728,-0.037063400854337236,-0.09023569819297672
119,119,119,119,2019-07-26,14.119999885559082,14.260000228881836,14.479999542236328,-0.009817695727606046,-0.02486185552887432
120,120,120,120,2019-07-29,13.6899995803833,14.109999656677246,14.4399995803833,-0.029766129448145606,-0.051939059681059385
121,121,121,121,2019-07-30,13.399999618530272,14.050000190734863,14.199999809265137,-0.046263385293989434,-0.05633804235778128
122,122,122,122,2019-07-31,13.100000381469728,13.600000381469728,14.31999969482422,-0.0367647048511307,-0.08519548459176607
123,123,123,123,2019-08-01,13.010000228881836,14.470000267028809,14.140000343322754,-0.10089841127879684,-0.07991514052363735
124,124,124,124,2019-08-02,12.729999542236328,13.510000228881836,14.029999732971191,-0.05773506094974101,-0.09265860409674842
125,125,125,125,2019-08-05,12.260000228881836,14.119999885559082,14.260000228881836,-0.13172802207877632,-0.1402524521668136
126,126,126,126,2019-08-06,12.289999961853027,13.6899995803833,14.109999656677246,-0.10226440185844587,-0.12898651588293586
127,127,127,127,2019-08-07,12.850000381469728,13.399999618530272,14.050000190734863,-0.04104472035207918,-0.08540923793413635
128,128,128,128,2019-08-08,13.1899995803833,13.100000381469728,13.600000381469728,0.0068701676559397296,-0.03014711688133931
129,129,129,129,2019-08-09,13.329999923706056,13.010000228881836,14.470000267028809,0.024596440368527483,-0.07878371266656747
130,130,130,130,2019-08-12,13.020000457763672,12.729999542236328,13.510000228881836,0.02278090541678046,-0.03626941249568871
131,131,131,131,2019-08-13,13.300000190734863,12.260000228881836,14.119999885559082,0.08482870656095254,-0.058073633248599044
132,132,132,132,2019-08-14,12.739999771118164,12.289999961853027,13.6899995803833,0.036615118849625095,-0.06939370623695362
133,133,133,133,2019-08-15,12.670000076293944,12.850000381469728,13.399999618530272,-0.014007805434414822,-0.054477579329692216
134,134,134,134,2019-08-16,13.15999984741211,13.1899995803833,13.100000381469728,-0.002274430168732411,0.00458011177062656
135,135,135,135,2019-08-19,13.399999618530272,13.329999923706056,13.010000228881836,0.00525128996435531,0.029976893373348856
136,136,136,136,2019-08-20,14.149999618530272,13.020000457763672,12.729999542236328,0.08678948702285139,0.11154753553467023
137,137,137,137,2019-08-21,14.289999961853027,13.300000190734863,12.260000228881836,0.0744360719489181,0.16557909421477524
138,138,138,138,2019-08-22,14.15999984741211,12.739999771118164,12.289999961853027,0.11145997659380757,0.15215621573339155
139,139,139,139,2019-08-23,13.880000114440918,12.670000076293944,12.850000381469728,0.09550118633471283,0.08015561886336564
140,140,140,140,2019-08-26,14.970000267028809,13.15999984741211,13.1899995803833,0.13753802740146925,0.13495077659386712
141,141,141,141,2019-08-27,14.510000228881836,13.399999618530272,13.329999923706056,0.08283586880230898,0.08852215393319462
142,142,142,142,2019-08-28,14.81999969482422,14.149999618530272,13.020000457763672,0.04734982998985693,0.13824878446814726
143,143,143,143,2019-08-29,15.18000030517578,14.289999961853027,13.300000190734863,0.0622813397969626,0.14135339003608238
144,144,144,144,2019-08-30,15.729999542236328,14.15999984741211,12.739999771118164,0.1108756858575215,0.234693863801831
145,145,145,145,2019-09-03,14.880000114440918,13.880000114440918,12.670000076293944,0.07204610891606467,0.1744277841230617
146,146,146,146,2019-09-04,15.420000076293944,14.970000267028809,13.15999984741211,0.030060106963140987,0.17173254217979794
147,147,147,147,2019-09-05,15.529999732971191,14.510000228881836,13.399999618530272,0.07029631206063458,0.1589552369460845
148,148,148,148,2019-09-06,15.880000114440918,14.81999969482422,14.149999618530272,0.07152499604887952,0.1222615224416761
149,149,149,149,2019-09-09,16.030000686645508,15.18000030517578,14.289999961853027,0.055994753911823736,0.12176352200401608
150,150,150,150,2019-09-10,17.09000015258789,15.729999542236328,14.15999984741211,0.08645903686772849,0.20692092773654025
151,151,151,151,2019-09-11,15.920000076293944,14.880000114440918,13.880000114440918,0.0698924700171013,0.14697405944043074
152,152,152,152,2019-09-12,16.399999618530273,15.420000076293944,14.970000267028809,0.06355379619893387,0.09552433707372843
153,153,153,153,2019-09-13,16.709999084472656,15.529999732971191,14.510000228881836,0.07598192992857888,0.15161949144644193
154,154,154,154,2019-09-16,17.049999237060547,15.880000114440918,14.81999969482422,0.07367752608236189,0.15047230689317348
155,155,155,155,2019-09-17,17.65999984741211,16.030000686645508,15.18000030517578,0.10168428514944128,0.16337282558490784
156,156,156,156,2019-09-18,17.780000686645508,17.09000015258789,15.729999542236328,0.04037451889391197,0.13032429777920584
157,157,157,157,2019-09-19,17.899999618530273,15.920000076293944,14.880000114440918,0.1243718299464518,0.20295695435905747
158,158,158,158,2019-09-20,18.06999969482422,16.399999618530273,15.420000076293944,0.10182927531333719,0.17185470852262008
159,159,159,159,2019-09-23,17.829999923706055,16.709999084472656,15.529999732971191,0.06702578698966732,0.14810046556870282
160,160,160,160,2019-09-24,17.81999969482422,17.049999237060547,15.880000114440918,0.04516131919173172,0.1221662195467561
161,161,161,161,2019-09-25,17.18000030517578,17.65999984741211,16.030000686645508,-0.027180042264081217,0.07174045971740539
162,162,162,162,2019-09-26,16.34000015258789,17.780000686645508,17.09000015258789,-0.08098990317470556,-0.0438853126567369
163,163,163,163,2019-09-27,15.899999618530272,17.899999618530273,15.920000076293944,-0.11173184595655405,-0.0012563101550140399
164,164,164,164,2019-09-30,15.920000076293944,18.06999969482422,16.399999618530273,-0.11898171858553486,-0.029268265451298014
165,165,165,165,2019-10-01,14.8100004196167,17.829999923706055,16.709999084472656,-0.16937742664115696,-0.1137042949703978
166,166,166,166,2019-10-02,14.859999656677246,17.81999969482422,17.049999237060547,-0.16610550442414984,-0.12844572893722084
167,167,167,167,2019-10-03,15.06999969482422,17.18000030517578,17.65999984741211,-0.12281726268164761,-0.1466591265552829
168,168,168,168,2019-10-04,15.510000228881836,16.34000015258789,17.780000686645508,-0.05079558849175414,-0.12767156187281037
169,169,169,169,2019-10-07,15.470000267028809,15.899999618530272,17.899999618530273,-0.027043985019995276,-0.13575415660824386
170,170,170,170,2019-10-08,15.3100004196167,15.920000076293944,18.06999969482422,-0.03831656116544746,-0.15273930945322955
171,171,171,171,2019-10-09,14.199999809265137,14.8100004196167,17.829999923706055,-0.04118842627064223,-0.20358946326267868
172,172,172,172,2019-10-10,14.15999984741211,14.859999656677246,17.81999969482422,-0.04710631395947551,-0.20538720034182423
173,173,173,173,2019-10-11,14.05500030517578,15.06999969482422,17.18000030517578,-0.06735231653634621,-0.18189755206573188
174,174,174,174,2019-10-14,13.93000030517578,15.510000228881836,16.34000015258789,-0.1018697550219162,-0.14749080935782133
175,175,175,175,2019-10-15,14.329999923706056,15.470000267028809,15.899999618530272,-0.07369103578830782,-0.09874212154033624
176,176,176,176,2019-10-16,14.149999618530272,15.3100004196167,15.920000076293944,-0.07576752248811947,-0.11118093274379648
177,177,177,177,2019-10-17,14.539999961853027,14.199999809265137,14.8100004196167,0.02394367303906919,-0.018230955443190977
178,178,178,178,2019-10-18,14.8100004196167,14.15999984741211,14.859999656677246,0.04590399570684922,-0.0033646862863876414
179,179,179,179,2019-10-21,15.5,14.05500030517578,15.06999969482422,0.10281036381707498,0.02853353111370427
180,180,180,180,2019-10-22,15.920000076293944,13.93000030517578,15.510000228881836,0.1428571232965994,0.026434548121323065
181,181,181,181,2019-10-23,16.899999618530273,14.329999923706056,15.470000267028809,0.17934401315471593,0.09243693127460517
182,182,182,182,2019-10-24,16.59000015258789,14.149999618530272,15.3100004196167,0.17243820493551754,0.08360546687713533
183,183,183,183,2019-10-25,17.010000228881836,14.539999961853027,14.199999809265137,0.16987622238714395,0.19788735615216324
184,184,184,184,2019-10-28,17.030000686645508,14.8100004196167,14.15999984741211,0.1498987308662254,0.20268367727121994
185,185,185,185,2019-10-29,16.989999771118164,15.5,14.05500030517578,0.09612901749149438,0.2088224405702479
186,186,186,186,2019-10-30,17.139999389648438,15.920000076293944,13.93000030517578,0.07663312233089514,0.23043783303292265
187,187,187,187,2019-10-31,16.75,16.899999618530273,14.329999923706056,-0.008875717273141515,0.1688764891261827
188,188,188,188,2019-11-01,15.65999984741211,16.59000015258789,14.149999618530272,-0.05605788406401613,0.10671379997101926
189,189,189,189,2019-11-04,16.799999237060547,17.010000228881836,14.539999961853027,-0.012345737154354719,0.15543323804242282
190,190,190,190,2019-11-05,16.889999389648438,17.030000686645508,14.8100004196167,-0.008220862674823914,0.14044557130981983
191,191,191,191,2019-11-06,16.1299991607666,16.989999771118164,15.5,-0.05061804720053642,0.04064510714623237
192,192,192,192,2019-11-07,17.5,17.139999389648438,15.920000076293944,0.02100353694113788,0.09924622588782483
193,193,193,193,2019-11-08,17.489999771118164,16.75,16.899999618530273,0.044179090813024624,0.03491125242044246
194,194,194,194,2019-11-11,17.399999618530273,15.65999984741211,16.59000015258789,0.11111109757805693,0.04882456048778461
195,195,195,195,2019-11-12,17.989999771118164,16.799999237060547,17.010000228881836,0.07083336833923748,0.05761314103760884
196,196,196,196,2019-11-13,18.25,16.889999389648438,17.030000686645508,0.0805210574006936,0.07163824217054704
197,197,197,197,2019-11-14,18.34000015258789,16.1299991607666,16.989999771118164,0.1370118479111102,0.07945852852597657
198,198,198,198,2019-11-15,19.3700008392334,17.5,17.139999389648438,0.10685719081333711,0.1301051067091492
199,199,199,199,2019-11-18,19.450000762939453,17.489999771118164,16.75,0.11206409476676527,0.16119407539937036
200,200,200,200,2019-11-19,19.36000061035156,17.399999618530273,15.65999984741211,0.11264373763169311,0.23627080453330218
201,201,201,201,2019-11-20,20.18000030517578,17.989999771118164,16.799999237060547,0.12173432806672557,0.20119054890544286
202,202,202,202,2019-11-21,20.200000762939453,18.25,16.889999389648438,0.10684935687339459,0.19597403747211817
203,203,203,203,2019-11-22,20.690000534057617,18.34000015258789,16.1299991607666,0.12813524328886805,0.2827031376655258
204,204,204,204,2019-11-25,20.0,19.3700008392334,17.5,0.032524477721784795,0.1428571428571428
205,205,205,205,2019-11-26,20.32999992370605,19.450000762939453,17.489999771118164,0.045244171015323076,0.1623785128503934
206,206,206,206,2019-11-27,20.3700008392334,19.36000061035156,17.399999618530273,0.05216943166529675,0.1706897290698901
207,207,207,207,2019-11-29,20.36000061035156,20.18000030517578,17.989999771118164,0.008919737485316714,0.13173990380134892
208,208,208,208,2019-12-02,19.76000022888184,20.200000762939453,18.25,-0.021782203833619396,0.08273973856886796
209,209,209,209,2019-12-03,21.280000686645508,20.690000534057617,18.34000015258789,0.02851619803569827,0.16030537129754419
210,210,210,210,2019-12-04,21.270000457763672,20.0,19.3700008392334,0.06350002288818368,0.09808980568972814
211,211,211,211,2019-12-05,20.63999938964844,20.32999992370605,19.450000762939453,0.015248375165063832,0.06118244627406089
212,212,212,212,2019-12-06,18.940000534057617,20.3700008392334,19.36000061035156,-0.07020128847621576,-0.021694218132894738
213,213,213,213,2019-12-09,18.780000686645508,20.36000061035156,20.18000030517578,-0.0776031373448357,-0.06937559947267202
214,214,214,214,2019-12-10,18.8700008392334,19.76000022888184,20.200000762939453,-0.04504045442001514,-0.06584157789469891
215,215,215,215,2019-12-11,18.64999961853028,21.280000686645508,20.690000534057617,-0.12359027176938542,-0.09859839839874873
216,216,216,216,2019-12-12,18.450000762939453,21.270000457763672,20.0,-0.13258108293998194,-0.07749996185302732
217,217,217,217,2019-12-13,18.6200008392334,20.63999938964844,20.32999992370605,-0.09786814971652236,-0.0841121048150466
218,218,218,218,2019-12-16,18.520000457763672,18.940000534057617,20.3700008392334,-0.022175293793614603,-0.09081984807318
219,219,219,219,2019-12-17,18.440000534057617,18.780000686645508,20.36000061035156,-0.01810437381025576,-0.09430255494775197
220,220,220,220,2019-12-18,18.63999938964844,18.8700008392334,19.76000022888184,-0.012188735524947703,-0.05668020375811378
221,221,221,221,2019-12-19,19.40999984741211,18.64999961853028,21.280000686645508,0.04075068334729126,-0.08787597645177414
222,222,222,222,2019-12-20,19.82999992370605,18.450000762939453,21.270000457763672,0.07479669938760125,-0.06770101095752501
223,223,223,223,2019-12-23,19.700000762939453,18.6200008392334,20.63999938964844,0.05800214151604299,-0.04554257047025034
224,224,224,224,2019-12-24,19.75,18.520000457763672,18.940000534057617,0.06641466046620459,0.04276660206454874
225,225,225,225,2019-12-26,19.86000061035156,18.440000534057617,18.780000686645508,0.07700650949935084,0.057507981055295865
226,226,226,226,2019-12-27,19.520000457763672,18.63999938964844,18.8700008392334,0.0472103592773685,0.03444618916915099
227,227,227,227,2019-12-30,19.049999237060547,19.40999984741211,18.64999961853028,-0.018547172240166776,0.021447701164177824
228,228,228,228,2019-12-31,19.559999465942383,19.82999992370605,18.450000762939453,-0.013615756873548546,0.0601625288402472
229,229,229,229,2020-01-02,19.229999542236328,19.700000762939453,18.6200008392334,-0.023857929060962957,0.03276040147740633
230,230,230,230,2020-01-03,18.88999938964844,19.75,18.520000457763672,-0.04354433470134478,0.019978343560443257
231,231,231,231,2020-01-06,18.1299991607666,19.86000061035156,18.440000534057617,-0.08710983869170852,-0.01681135381305765
232,232,232,232,2020-01-07,17.780000686645508,19.520000457763672,18.63999938964844,-0.08913933044638411,-0.04613727098513354
233,233,233,233,2020-01-08,17.979999542236328,19.049999237060547,19.40999984741211,-0.05616796523238721,-0.07367338054700912
234,234,234,234,2020-01-09,18.39999961853028,19.559999465942383,19.82999992370605,-0.059304697294694675,-0.07211297582841925
235,235,235,235,2020-01-10,19.13999938964844,19.229999542236328,19.700000762939453,-0.004680195253786268,-0.028426464548392927
236,236,236,236,2020-01-13,20.26000022888184,18.88999938964844,19.75,0.07252519235041088,0.025822796399080472
237,237,237,237,2020-01-14,20.0,18.1299991607666,19.86000061035156,0.10314401135109197,0.007049314468574153
238,238,238,238,2020-01-15,20.239999771118164,17.780000686645508,19.520000457763672,0.1383576484516309,0.03688520986013244
239,239,239,239,2020-01-16,21.01000022888184,17.979999542236328,19.049999237060547,0.16852062090034092,0.10288719529228318
240,240,240,240,2020-01-17,20.6200008392334,18.39999961853028,19.559999465942383,0.1206522427569725,0.05419230072764969
241,241,241,241,2020-01-21,20.940000534057617,19.13999938964844,19.229999542236328,0.09404394993777676,0.08892361063584442
242,242,242,242,2020-01-22,21.96999931335449,20.26000022888184,18.88999938964844,0.08440271792469889,0.16304923362749602
243,243,243,243,2020-01-23,21.46999931335449,20.0,18.1299991607666,0.07349996566772443,0.18422505831195313
244,244,244,244,2020-01-24,21.1200008392334,20.239999771118164,17.780000686645508,0.043478314133726714,0.18785151988754145
245,245,245,245,2020-01-27,22.739999771118164,21.01000022888184,17.979999542236328,0.08234171934268453,0.26473861791265607
