,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,HPE,HPE_6m,HPE_12m,HPE_6m_ret,HPE_12m_ret
276,276,276,276,2020-03-11,9.304987907409668,10.963845252990724,11.93918514251709,-0.15130251360749114,-0.2206345913614055
277,277,277,277,2020-03-12,8.028522491455078,10.676469802856444,11.60826587677002,-0.24801712179178537,-0.3083788244787342
278,278,278,278,2020-03-13,8.679959297180176,10.26717758178711,11.35572338104248,-0.15459149040360343,-0.23563131947448546
279,279,279,279,2020-03-16,7.350677490234375,10.4413423538208,10.955135345458984,-0.2960026363330055,-0.32901992915301537
280,280,280,280,2020-03-17,7.280250549316406,9.701132774353027,11.138015747070312,-0.24954634488012883,-0.34636018527524826
281,281,281,281,2020-03-18,7.509133338928223,10.141292572021484,11.22509765625,-0.25954869306848016,-0.3310407117262604
282,282,282,282,2020-03-19,8.019719123840332,9.304987907409668,10.963845252990724,-0.1381268623192795,-0.26853043446114777
283,283,283,283,2020-03-20,7.597165107727051,8.028522491455078,10.676469802856444,-0.053728115501591955,-0.28841974472737586
284,284,284,284,2020-03-23,6.892909049987793,8.679959297180176,10.26717758178711,-0.2058823303207119,-0.32864616443226935
285,285,285,285,2020-03-24,7.8700666427612305,7.350677490234375,10.4413423538208,0.07065867781804891,-0.2462591134289035
286,286,286,286,2020-03-25,8.266210556030273,7.280250549316406,9.701132774353027,0.13542940590230734,-0.1479128522100296
287,287,287,287,2020-03-26,9.269773483276367,7.509133338928223,10.141292572021484,0.2344664909891505,-0.08593767338391611
288,288,288,288,2020-03-27,8.644747734069824,8.019719123840332,9.304987907409668,0.07793647141225435,-0.07095551116343601
289,289,289,289,2020-03-30,8.847219467163086,7.597165107727051,8.028522491455078,0.16454221301108873,0.10197355448394951
290,290,290,290,2020-03-31,8.547911643981934,6.892909049987793,8.679959297180176,0.24010219516781106,-0.01521293460916806
291,291,291,291,2020-04-01,8.43346881866455,7.8700666427612305,7.350677490234375,0.07158798031545621,0.14730497017026
292,292,292,292,2020-04-02,8.257405281066895,8.266210556030273,7.280250549316406,-0.001065213002220844,0.1342199317360362
293,293,293,293,2020-04-03,8.186979293823242,9.269773483276367,7.509133338928223,-0.11680913146438776,0.0902695323548175
294,294,294,294,2020-04-06,8.653552055358887,8.644747734069824,8.019719123840332,0.0010184590181114839,0.07903430553251556
295,295,295,295,2020-04-07,8.503897666931152,8.847219467163086,7.597165107727051,-0.038805615878094835,0.11935143521915381
296,296,296,296,2020-04-08,9.005678176879883,8.547911643981934,6.892909049987793,0.05355302581072352,0.30651342003356796
297,297,297,297,2020-04-09,9.269773483276367,8.43346881866455,7.8700666427612305,0.09916496789090479,0.177851967975718
298,298,298,298,2020-04-13,9.12012004852295,8.257405281066895,8.266210556030273,0.10447770674816481,0.10330120273427368
299,299,299,299,2020-04-14,9.12012004852295,8.186979293823242,9.269773483276367,0.11397863866636682,-0.016144238586132453
300,300,300,300,2020-04-15,8.380650520324707,8.653552055358887,8.644747734069824,-0.031536360247024775,-0.030550019719405297
301,301,301,301,2020-04-16,8.204586029052734,8.503897666931152,8.847219467163086,-0.03519699431971557,-0.072636769156176
302,302,302,302,2020-04-17,8.547911643981934,9.005678176879883,8.547911643981934,-0.05083087846434098,0.0
303,303,303,303,2020-04-20,8.239798545837402,9.269773483276367,8.43346881866455,-0.11111112254222244,-0.02296448555053965
304,304,304,304,2020-04-21,7.966899394989014,9.12012004852295,8.257405281066895,-0.12644796860110474,-0.03518125563534724
305,305,305,305,2020-04-22,7.949294567108154,9.12012004852295,8.186979293823242,-0.12837829712607962,-0.02903204200044962
306,306,306,306,2020-04-23,8.16057014465332,8.380650520324707,8.653552055358887,-0.026260536116814448,-0.056968734636579366
307,307,307,307,2020-04-24,8.389452934265137,8.204586029052734,8.503897666931152,0.0225321429451506,-0.013457915081816374
308,308,308,308,2020-04-27,8.503897666931152,8.547911643981934,9.005678176879883,-0.005149091249880722,-0.05571823688269728
309,309,309,309,2020-04-28,8.6271390914917,8.239798545837402,9.269773483276367,0.04700849705239141,-0.06932579236634495
310,310,310,310,2020-04-29,9.076104164123535,7.966899394989014,9.12012004852295,0.13922665696421177,-0.0048262395851403905
311,311,311,311,2020-04-30,8.856023788452148,7.949294567108154,9.12012004852295,0.11406411143647555,-0.02895754207901824
312,312,312,312,2020-05-01,8.345438957214355,8.16057014465332,8.380650520324707,0.022653908891667074,-0.004201531017783977
313,313,313,313,2020-05-04,8.257405281066895,8.389452934265137,8.204586029052734,-0.01573972155668435,0.006437771732434205
314,314,314,314,2020-05-05,8.28381633758545,8.503897666931152,8.547911643981934,-0.025880053825380167,-0.03089588631656226
315,315,315,315,2020-05-06,8.230995178222656,8.6271390914917,8.239798545837402,-0.045918340839054106,-0.001068395976645986
316,316,316,316,2020-05-07,8.43346881866455,9.076104164123535,7.966899394989014,-0.07080519723420808,0.05856348882339324
317,317,317,317,2020-05-08,9.02328395843506,8.856023788452148,7.949294567108154,0.01888659899502665,0.1351049935639268
318,318,318,318,2020-05-11,8.565518379211426,8.345438957214355,8.16057014465332,0.026371221828519698,0.04962254197685212
319,319,319,319,2020-05-12,8.345438957214355,8.257405281066895,8.389452934265137,0.010661179044864078,-0.0052463465014523925
320,320,320,320,2020-05-13,7.993309497833252,8.28381633758545,8.503897666931152,-0.03506920336151176,-0.06004166431628277
321,321,321,321,2020-05-14,8.072537422180176,8.230995178222656,8.6271390914917,-0.01925134842281573,-0.06428569928337957
322,322,322,322,2020-05-15,8.019719123840332,8.43346881866455,9.076104164123535,-0.04906044045701907,-0.11639190352827078
323,323,323,323,2020-05-18,8.794402122497559,9.02328395843506,8.856023788452148,-0.025365691359357068,-0.006958164005266276
324,324,324,324,2020-05-19,8.838417053222656,8.565518379211426,8.345438957214355,0.03186014692041961,0.059071559750866864
325,325,325,325,2020-05-20,9.04969596862793,8.345438957214355,8.257405281066895,0.08438825267600425,0.09594910999193051
326,326,326,326,2020-05-21,9.12012004852295,7.993309497833252,8.28381633758545,0.1409692131894984,0.10095633182293184
327,327,327,327,2020-05-22,8.072537422180176,8.072537422180176,8.230995178222656,0.0,-0.01925134842281573
328,328,328,328,2020-05-26,8.292619705200195,8.019719123840332,8.43346881866455,0.03402869566199751,-0.016701207592377032
329,329,329,329,2020-05-27,8.591927528381348,8.794402122497559,9.02328395843506,-0.023023122128819518,-0.047804816078128254
330,330,330,330,2020-05-28,8.44227409362793,8.838417053222656,8.565518379211426,-0.044820577848867726,-0.014388421123771145
331,331,331,331,2020-05-29,8.547911643981934,9.04969596862793,8.345438957214355,-0.05544764447175943,0.02426147837227277
332,332,332,332,2020-06-01,8.591927528381348,9.12012004852295,7.993309497833252,-0.05791508415803637,0.0748898851858999
333,333,333,333,2020-06-02,8.759187698364258,8.072537422180176,8.072537422180176,0.0850600301086788,0.0850600301086788
334,334,334,334,2020-06-03,9.102514266967772,8.292619705200195,8.019719123840332,0.0976645005509782,0.13501659177920566
335,335,335,335,2020-06-04,9.225759506225586,8.591927528381348,8.794402122497559,0.07377063828233288,0.049049085738818166
336,336,336,336,2020-06-05,9.780359268188477,8.44227409362793,8.838417053222656,0.15849819133099552,0.10657363295867217
337,337,337,337,2020-06-08,10.20291519165039,8.547911643981934,9.04969596862793,0.19361495726662592,0.12743181947993176
338,338,338,338,2020-06-09,9.802626609802246,8.591927528381348,9.12012004852295,0.14091123061986366,0.07483526068166535
339,339,339,339,2020-06-10,9.51797580718994,8.759187698364258,8.072537422180176,0.08662767998080256,0.1790562631568935
340,340,340,340,2020-06-11,8.672921180725098,9.102514266967772,8.292619705200195,-0.047194991805904585,0.04586023344184231
341,341,341,341,2020-06-12,9.028735160827637,9.225759506225586,8.591927528381348,-0.021355894359157745,0.05083930596520991
342,342,342,342,2020-06-15,9.08210563659668,9.780359268188477,8.44227409362793,-0.0713934542121506,0.07578900375334685
343,343,343,343,2020-06-16,9.260011672973633,10.20291519165039,8.547911643981934,-0.09241510891400806,0.08330690098944182
344,344,344,344,2020-06-17,8.930886268615723,9.802626609802246,8.591927528381348,-0.08892926109363553,0.039450837907408776
