,Unnamed: 0.1,Unnamed: 0,Date,HUBB,HUBB_6m,HUBB_12m
278,278,278,2020-03-13,110.3022003173828,126.4485092163086,125.35604858398438
279,279,279,2020-03-16,100.46074676513672,124.55984497070312,122.921142578125
280,280,280,2020-03-17,100.62737274169922,113.03337860107422,123.35626220703124
281,281,281,2020-03-18,89.4990234375,120.56028747558594,129.69813537597656
282,282,282,2020-03-19,93.85962677001952,113.02411651611328,123.53216552734376
283,283,283,2020-03-20,89.41570281982422,98.98868560791016,130.0777130126953
284,284,284,2020-03-23,80.27786254882812,110.3022003173828,126.4485092163086
285,285,285,2020-03-24,91.30438995361328,100.46074676513672,124.55984497070312
286,286,286,2020-03-25,99.29419708251952,100.62737274169922,113.03337860107422
287,287,287,2020-03-26,104.65469360351562,89.4990234375,120.56028747558594
288,288,288,2020-03-27,99.0349578857422,93.85962677001952,113.02411651611328
289,289,289,2020-03-30,104.58989715576172,89.41570281982422,98.98868560791016
290,290,290,2020-03-31,106.22859191894533,80.27786254882812,110.3022003173828
291,291,291,2020-04-01,102.0716552734375,91.30438995361328,100.46074676513672
292,292,292,2020-04-02,104.2380828857422,99.29419708251952,100.62737274169922
293,293,293,2020-04-03,99.80341339111328,104.65469360351562,89.4990234375
294,294,294,2020-04-06,107.2655029296875,99.0349578857422,93.85962677001952
295,295,295,2020-04-07,107.66361236572266,104.58989715576172,89.41570281982422
296,296,296,2020-04-08,111.15393829345705,106.22859191894533,80.27786254882812
297,297,297,2020-04-09,115.20905303955078,102.0716552734375,91.30438995361328
298,298,298,2020-04-13,110.31146240234376,104.2380828857422,99.29419708251952
299,299,299,2020-04-14,114.4220962524414,99.80341339111328,104.65469360351562
300,300,300,2020-04-15,110.53365325927734,107.2655029296875,99.0349578857422
301,301,301,2020-04-16,109.20973205566406,107.66361236572266,104.58989715576172
302,302,302,2020-04-17,111.5335464477539,111.15393829345705,106.22859191894533
303,303,303,2020-04-20,108.2839126586914,115.20905303955078,102.0716552734375
304,304,304,2020-04-21,106.14527893066406,110.31146240234376,104.2380828857422
305,305,305,2020-04-22,109.20973205566406,114.4220962524414,99.80341339111328
306,306,306,2020-04-23,109.88558197021484,110.53365325927734,107.2655029296875
307,307,307,2020-04-24,110.57069396972656,109.20973205566406,107.66361236572266
308,308,308,2020-04-27,113.50553131103516,111.5335464477539,111.15393829345705
309,309,309,2020-04-28,114.56098175048828,108.2839126586914,115.20905303955078
310,310,310,2020-04-29,117.38473510742188,106.14527893066406,110.31146240234376
311,311,311,2020-04-30,115.19979858398438,109.20973205566406,114.4220962524414
312,312,312,2020-05-01,113.02411651611328,109.88558197021484,110.53365325927734
313,313,313,2020-05-04,111.09839630126952,110.57069396972656,109.20973205566406
314,314,314,2020-05-05,112.56120300292967,113.50553131103516,111.5335464477539
315,315,315,2020-05-06,110.3392333984375,114.56098175048828,108.2839126586914
316,316,316,2020-05-07,110.47811126708984,117.38473510742188,106.14527893066406
317,317,317,2020-05-08,113.38519287109376,115.19979858398438,109.20973205566406
318,318,318,2020-05-11,112.47787475585938,113.02411651611328,109.88558197021484
319,319,319,2020-05-12,105.83049011230467,111.09839630126952,110.57069396972656
320,320,320,2020-05-13,101.65503692626952,112.56120300292967,113.50553131103516
321,321,321,2020-05-14,104.376953125,110.3392333984375,114.56098175048828
322,322,322,2020-05-15,105.16389465332033,110.47811126708984,117.38473510742188
323,323,323,2020-05-18,110.4133071899414,113.38519287109376,115.19979858398438
324,324,324,2020-05-19,109.01531982421876,112.47787475585938,113.02411651611328
325,325,325,2020-05-20,109.91336822509766,105.83049011230467,111.09839630126952
326,326,326,2020-05-21,109.0523452758789,101.65503692626952,112.56120300292967
327,327,327,2020-05-22,108.19133758544922,104.376953125,110.3392333984375
328,328,328,2020-05-26,111.8760986328125,105.16389465332033,110.47811126708984
329,329,329,2020-05-27,116.0422821044922,110.4133071899414,113.38519287109376
330,330,330,2020-05-28,116.00498962402344,109.01531982421876,112.47787475585938
331,331,331,2020-05-29,114.1677703857422,109.91336822509766,105.83049011230467
332,332,332,2020-06-01,116.56453704833984,109.0523452758789,101.65503692626952
333,333,333,2020-06-02,119.98713684082033,108.19133758544922,104.376953125
334,334,334,2020-06-03,122.33726501464844,111.8760986328125,105.16389465332033
335,335,335,2020-06-04,124.5661849975586,116.0422821044922,110.4133071899414
336,336,336,2020-06-05,128.51101684570312,116.00498962402344,109.01531982421876
337,337,337,2020-06-08,128.47372436523438,114.1677703857422,109.91336822509766
338,338,338,2020-06-09,126.5246124267578,116.56453704833984,109.0523452758789
339,339,339,2020-06-10,122.69166564941406,119.98713684082033,108.19133758544922
340,340,340,2020-06-11,114.8672103881836,122.33726501464844,111.8760986328125
341,341,341,2020-06-12,116.35005950927734,124.5661849975586,116.0422821044922
342,342,342,2020-06-15,116.94690704345705,128.51101684570312,116.00498962402344
343,343,343,2020-06-16,118.93331909179688,128.47372436523438,114.1677703857422
344,344,344,2020-06-17,120.0431137084961,126.5246124267578,116.56453704833984
345,345,345,2020-06-18,118.24319458007812,122.69166564941406,119.98713684082033
346,346,346,2020-06-19,117.69296264648438,114.8672103881836,122.33726501464844
347,347,347,2020-06-22,117.32926177978516,116.35005950927734,124.5661849975586
348,348,348,2020-06-23,117.00285339355467,116.94690704345705,128.51101684570312
349,349,349,2020-06-24,110.94100952148438,118.93331909179688,128.47372436523438
350,350,350,2020-06-25,111.8642807006836,120.0431137084961,126.5246124267578
351,351,351,2020-06-26,110.7824935913086,118.24319458007812,122.69166564941406
352,352,352,2020-06-29,113.86934661865234,117.69296264648438,114.8672103881836
353,353,353,2020-06-30,116.90959930419922,117.32926177978516,116.35005950927734
354,354,354,2020-07-01,114.6713638305664,117.00285339355467,116.94690704345705
355,355,355,2020-07-02,115.52005767822266,110.94100952148438,118.93331909179688
356,356,356,2020-07-06,117.30127716064452,111.8642807006836,120.0431137084961
357,357,357,2020-07-07,116.5738754272461,110.7824935913086,118.24319458007812
358,358,358,2020-07-08,116.9935302734375,113.86934661865234,117.69296264648438
359,359,359,2020-07-09,116.31273651123048,116.90959930419922,117.32926177978516
360,360,360,2020-07-10,116.24745178222656,114.6713638305664,117.00285339355467
361,361,361,2020-07-13,115.62264251708984,115.52005767822266,110.94100952148438
362,362,362,2020-07-14,120.86377716064452,117.30127716064452,111.8642807006836
363,363,363,2020-07-15,123.02739715576172,116.5738754272461,110.7824935913086
364,364,364,2020-07-16,122.73828887939452,116.9935302734375,113.86934661865234
365,365,365,2020-07-17,123.01806640625,116.31273651123048,116.90959930419922
366,366,366,2020-07-20,121.55390167236328,116.24745178222656,114.6713638305664
367,367,367,2020-07-21,122.69166564941406,115.62264251708984,115.52005767822266
368,368,368,2020-07-22,123.5776138305664,120.86377716064452,117.30127716064452
369,369,369,2020-07-23,124.57547760009766,123.02739715576172,116.5738754272461
370,370,370,2020-07-24,123.65222930908205,122.73828887939452,116.9935302734375
371,371,371,2020-07-27,123.98796081542967,123.01806640625,116.31273651123048
372,372,372,2020-07-28,122.07614135742188,121.55390167236328,116.24745178222656
373,373,373,2020-07-29,124.91122436523438,122.69166564941406,115.62264251708984
374,374,374,2020-07-30,123.83872985839844,123.5776138305664,120.86377716064452
375,375,375,2020-07-31,125.87181091308594,124.57547760009766,123.02739715576172
376,376,376,2020-08-03,127.38259887695312,123.65222930908205,122.73828887939452
377,377,377,2020-08-04,127.83953094482422,123.98796081542967,123.01806640625
378,378,378,2020-08-05,129.90992736816406,122.07614135742188,121.55390167236328
379,379,379,2020-08-06,130.90780639648438,124.91122436523438,122.69166564941406
380,380,380,2020-08-07,132.64239501953125,123.83872985839844,123.5776138305664
381,381,381,2020-08-10,134.83399963378906,125.87181091308594,124.57547760009766
382,382,382,2020-08-11,134.7967071533203,127.38259887695312,123.65222930908205
383,383,383,2020-08-12,137.1374969482422,127.83953094482422,123.98796081542967
384,384,384,2020-08-13,136.7458038330078,129.90992736816406,122.07614135742188
385,385,385,2020-08-14,136.4380645751953,130.90780639648438,124.91122436523438
386,386,386,2020-08-17,136.75511169433594,132.64239501953125,123.83872985839844
387,387,387,2020-08-18,135.03916931152344,134.83399963378906,125.87181091308594
388,388,388,2020-08-19,135.16973876953125,134.7967071533203,127.38259887695312
389,389,389,2020-08-20,133.40711975097656,137.1374969482422,127.83953094482422
390,390,390,2020-08-21,134.32106018066406,136.7458038330078,129.90992736816406
391,391,391,2020-08-24,136.1209716796875,136.4380645751953,130.90780639648438
392,392,392,2020-08-25,136.0277099609375,136.75511169433594,132.64239501953125
393,393,393,2020-08-26,137.16546630859375,135.03916931152344,134.83399963378906
394,394,394,2020-08-27,137.48255920410156,135.16973876953125,134.7967071533203
395,395,395,2020-08-28,137.02276611328125,133.40711975097656,137.1374969482422
396,396,396,2020-08-31,135.99049377441406,134.32106018066406,136.7458038330078
397,397,397,2020-09-01,137.3511962890625,136.1209716796875,136.4380645751953
398,398,398,2020-09-02,139.8284912109375,136.0277099609375,136.75511169433594
399,399,399,2020-09-03,137.3793182373047,137.16546630859375,135.03916931152344
400,400,400,2020-09-04,135.47442626953125,137.48255920410156,135.16973876953125
401,401,401,2020-09-08,130.15379333496094,137.02276611328125,133.40711975097656
402,402,402,2020-09-09,132.64988708496094,135.99049377441406,134.32106018066406
403,403,403,2020-09-10,131.81471252441406,137.3511962890625,136.1209716796875
404,404,404,2020-09-11,132.08685302734375,139.8284912109375,136.0277099609375
405,405,405,2020-09-14,134.11373901367188,137.3793182373047,137.16546630859375
406,406,406,2020-09-15,134.71432495117188,135.47442626953125,137.48255920410156
407,407,407,2020-09-16,134.34835815429688,130.15379333496094,137.02276611328125
408,408,408,2020-09-17,134.3201904296875,132.64988708496094,135.99049377441406
409,409,409,2020-09-18,130.4634552001953,131.81471252441406,137.3511962890625
410,410,410,2020-09-21,126.06243133544922,132.08685302734375,139.8284912109375
