,Unnamed: 0.1,Unnamed: 0,Date,SPG,SPG_6m,SPG_12m
240,240,240,2020-01-17,116.74408721923828,113.94735717773438,117.68425750732422
241,241,241,2020-01-21,117.80274963378906,114.38975524902344,114.62679290771484
242,242,242,2020-01-22,115.35365295410156,114.78479766845705,114.83221435546876
243,243,243,2020-01-23,116.33325958251952,116.2384796142578,115.4326400756836
244,244,244,2020-01-24,114.41346740722656,116.21476745605467,114.12118530273438
245,245,245,2020-01-27,111.8932647705078,117.35240936279295,114.87169647216795
246,246,246,2020-01-28,110.59759521484376,116.74408721923828,113.94735717773438
247,247,247,2020-01-29,110.6291961669922,117.80274963378906,114.38975524902344
248,248,248,2020-01-30,107.80084228515624,115.35365295410156,114.78479766845705
249,249,249,2020-01-31,105.19371032714844,116.33325958251952,116.2384796142578
250,250,250,2020-02-03,104.91722869873048,114.41346740722656,116.21476745605467
251,251,251,2020-02-04,108.46446990966795,111.8932647705078,117.35240936279295
252,252,252,2020-02-05,110.976806640625,110.59759521484376,116.74408721923828
253,253,253,2020-02-06,111.284912109375,110.6291961669922,117.80274963378906
254,254,254,2020-02-07,111.4113311767578,107.80084228515624,115.35365295410156
255,255,255,2020-02-10,113.02301025390624,105.19371032714844,116.33325958251952
256,256,256,2020-02-11,112.24876403808594,104.91722869873048,114.41346740722656
257,257,257,2020-02-12,109.94976806640624,108.46446990966795,111.8932647705078
258,258,258,2020-02-13,111.22516632080078,110.976806640625,110.59759521484376
259,259,259,2020-02-14,111.43370819091795,111.284912109375,110.6291961669922
260,260,260,2020-02-18,111.63426208496094,111.4113311767578,107.80084228515624
261,261,261,2020-02-19,109.901611328125,113.02301025390624,105.19371032714844
262,262,262,2020-02-20,112.72516632080078,112.24876403808594,104.91722869873048
263,263,263,2020-02-21,114.1048583984375,109.94976806640624,108.46446990966795
264,264,264,2020-02-24,112.9256820678711,111.22516632080078,110.976806640625
265,265,265,2020-02-25,108.51390838623048,111.43370819091795,111.284912109375
266,266,266,2020-02-26,106.06737518310548,111.63426208496094,111.4113311767578
267,267,267,2020-02-27,100.90960693359376,109.901611328125,113.02301025390624
268,268,268,2020-02-28,98.72776794433594,112.72516632080078,112.24876403808594
269,269,269,2020-03-02,102.04864501953124,114.1048583984375,109.94976806640624
270,270,270,2020-03-03,98.23844909667967,112.9256820678711,111.22516632080078
271,271,271,2020-03-04,99.056640625,108.51390838623048,111.43370819091795
272,272,272,2020-03-05,96.1769561767578,106.06737518310548,111.63426208496094
273,273,273,2020-03-06,95.5031509399414,100.90960693359376,109.901611328125
274,274,274,2020-03-09,82.65283966064453,98.72776794433594,112.72516632080078
275,275,275,2020-03-10,89.39082336425781,102.04864501953124,114.1048583984375
276,276,276,2020-03-11,81.41753387451172,98.23844909667967,112.9256820678711
277,277,277,2020-03-12,66.9709243774414,99.056640625,108.51390838623048
278,278,278,2020-03-13,72.00838470458984,96.1769561767578,106.06737518310548
279,279,279,2020-03-16,52.77299880981445,95.5031509399414,100.90960693359376
280,280,280,2020-03-17,47.214141845703125,82.65283966064453,98.72776794433594
281,281,281,2020-03-18,36.03226089477539,89.39082336425781,102.04864501953124
282,282,282,2020-03-19,44.711456298828125,81.41753387451172,98.23844909667967
283,283,283,2020-03-20,38.61516952514648,66.9709243774414,99.056640625
284,284,284,2020-03-23,40.23550415039063,72.00838470458984,96.1769561767578
285,285,285,2020-03-24,43.90129089355469,52.77299880981445,95.5031509399414
286,286,286,2020-03-25,50.0056037902832,47.214141845703125,82.65283966064453
287,287,287,2020-03-26,49.81308364868164,36.03226089477539,89.39082336425781
288,288,288,2020-03-27,46.66065979003906,44.711456298828125,81.41753387451172
289,289,289,2020-03-30,45.13658905029297,38.61516952514648,66.9709243774414
290,290,290,2020-03-31,44.00557327270508,40.23550415039063,72.00838470458984
291,291,291,2020-04-01,37.73281097412109,43.90129089355469,52.77299880981445
292,292,292,2020-04-02,35.30231857299805,50.0056037902832,47.214141845703125
293,293,293,2020-04-03,37.47613143920898,49.81308364868164,36.03226089477539
294,294,294,2020-04-06,43.36385726928711,46.66065979003906,44.711456298828125
295,295,295,2020-04-07,48.83447647094727,45.13658905029297,38.61516952514648
296,296,296,2020-04-08,50.46281814575195,44.00557327270508,40.23550415039063
297,297,297,2020-04-09,54.68209457397461,37.73281097412109,43.90129089355469
298,298,298,2020-04-13,52.37994766235352,35.30231857299805,50.0056037902832
299,299,299,2020-04-14,54.345191955566406,37.47613143920898,49.81308364868164
300,300,300,2020-04-15,49.107200622558594,43.36385726928711,46.66065979003906
301,301,301,2020-04-16,42.59380340576172,48.83447647094727,45.13658905029297
302,302,302,2020-04-17,45.01626968383789,50.46281814575195,44.00557327270508
303,303,303,2020-04-20,43.17936706542969,54.68209457397461,37.73281097412109
304,304,304,2020-04-21,42.96278381347656,52.37994766235352,35.30231857299805
305,305,305,2020-04-22,42.08042526245117,54.345191955566406,37.47613143920898
306,306,306,2020-04-23,42.6339111328125,49.107200622558594,43.36385726928711
307,307,307,2020-04-24,41.30235290527344,42.59380340576172,48.83447647094727
308,308,308,2020-04-27,45.87456130981445,45.01626968383789,50.46281814575195
309,309,309,2020-04-28,50.79972076416016,43.17936706542969,54.68209457397461
310,310,310,2020-04-29,55.18745040893555,42.96278381347656,52.37994766235352
311,311,311,2020-04-30,53.55909729003906,42.08042526245117,54.345191955566406
312,312,312,2020-05-01,50.69544982910156,42.6339111328125,49.107200622558594
313,313,313,2020-05-04,50.54303359985352,41.30235290527344,42.59380340576172
314,314,314,2020-05-05,48.56976318359375,45.87456130981445,45.01626968383789
315,315,315,2020-05-06,44.711456298828125,50.79972076416016,43.17936706542969
316,316,316,2020-05-07,45.7221565246582,55.18745040893555,42.96278381347656
317,317,317,2020-05-08,46.54034805297852,53.55909729003906,42.08042526245117
318,318,318,2020-05-11,44.18204879760742,50.69544982910156,42.6339111328125
319,319,319,2020-05-12,43.74888610839844,50.54303359985352,41.30235290527344
320,320,320,2020-05-13,41.0456657409668,48.56976318359375,45.87456130981445
321,321,321,2020-05-14,41.3504753112793,44.711456298828125,50.79972076416016
