,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,URI,URI_6m,URI_12m,URI_6m_ret,URI_12m_ret
29,29,29,29,2019-03-19,118.99707794189452,122.2806396484375,133.79774475097656,-0.02685267034898886,-0.11061970316935421
30,30,30,30,2019-03-20,114.49080657958984,123.55265045166016,130.64239501953125,-0.0733439860573104,-0.12363206015571526
31,31,31,31,2019-03-21,117.39966583251952,122.60603332519533,128.6209716796875,-0.0424642030369472,-0.08724320537021812
32,32,32,32,2019-03-22,109.41262817382812,120.01270294189452,126.2643051147461,-0.08832460654767971,-0.13346350677337948
33,33,33,33,2019-03-25,109.57039642333984,118.46460723876952,124.81480407714844,-0.07507905544736315,-0.12213621426177923
34,34,34,34,2019-03-26,110.043701171875,121.2748565673828,121.52137756347656,-0.09260910062810535,-0.09444985418805185
35,35,35,35,2019-03-27,109.17597198486328,118.99707794189452,122.2806396484375,-0.0825323287503481,-0.1071687856822694
36,36,36,36,2019-03-28,111.00017547607422,114.49080657958984,123.55265045166016,-0.030488309129773405,-0.10159616106735869
37,37,37,37,2019-03-29,112.65675354003906,117.39966583251952,122.60603332519533,-0.040399708626484676,-0.08114837023368326
38,38,38,38,2019-04-01,116.4629135131836,109.41262817382812,120.01270294189452,0.06443758327561966,-0.029578447461762414
39,39,39,39,2019-04-02,116.87705993652344,109.57039642333984,118.46460723876952,0.06668464979311861,-0.013401026173550101
40,40,40,40,2019-04-03,119.29290008544922,110.043701171875,121.2748565673828,0.08405023472563955,-0.01634268254798854
41,41,41,41,2019-04-04,120.83114624023438,109.17597198486328,118.99707794189452,0.10675585518933617,0.015412717102477158
42,42,42,42,2019-04-05,121.6199722290039,111.00017547607422,114.49080657958984,0.09567369337374387,0.06226845510480472
43,43,43,43,2019-04-08,122.34967041015624,112.65675354003906,117.39966583251952,0.08603937682859142,0.04216370244782741
44,44,44,44,2019-04-09,117.90255737304688,116.4629135131836,109.41262817382812,0.012361393137398258,0.07759551471271187
45,45,45,45,2019-04-10,119.49996185302734,116.87705993652344,109.57039642333984,0.02244154599652326,0.09062270242523618
46,46,46,46,2019-04-11,123.01031494140624,119.29290008544922,110.043701171875,0.03116207966521256,0.11783149450125219
47,47,47,47,2019-04-12,124.97257232666016,120.83114624023438,109.17597198486328,0.034274491431140364,0.14468934926438748
48,48,48,48,2019-04-15,123.6216812133789,121.6199722290039,111.00017547607422,0.016458719301513103,0.11370707913903444
49,49,49,49,2019-04-16,124.29220581054688,122.34967041015624,112.65675354003906,0.01587691567846994,0.103282332437997
50,50,50,50,2019-04-17,124.00624084472656,117.90255737304688,116.4629135131836,0.05176888108005562,0.06477020970876768
51,51,51,51,2019-04-18,134.1034393310547,119.49996185302734,116.87705993652344,0.12220487146253745,0.14738888370298664
52,52,52,52,2019-04-22,133.5709686279297,123.01031494140624,119.29290008544922,0.08585177341878869,0.11968917288667735
53,53,53,53,2019-04-23,136.4502716064453,124.97257232666016,120.83114624023438,0.09184174628160902,0.1292640668586993
54,54,54,54,2019-04-24,137.93917846679688,123.6216812133789,121.6199722290039,0.11581704044863339,0.13418195990922266
55,55,55,55,2019-04-25,135.61207580566406,124.29220581054688,122.34967041015624,0.09107465686441807,0.10839755719036992
56,56,56,56,2019-04-26,138.44207763671875,124.00624084472656,117.90255737304688,0.11641217969076179,0.17420758905749834
57,57,57,57,2019-04-29,138.97454833984375,134.1034393310547,119.49996185302734,0.03632352035926534,0.16296730295837358
58,58,58,58,2019-04-30,138.95481872558594,133.5709686279297,123.01031494140624,0.04030703792119161,0.129619242026773
59,59,59,59,2019-05-01,136.70663452148438,136.4502716064453,124.97257232666016,0.0018788010607884154,0.09389309971273607
60,60,60,60,2019-05-02,135.0894775390625,137.93917846679688,123.6216812133789,-0.020659111931859986,0.09276525131452829
61,61,61,61,2019-05-03,138.2843017578125,135.61207580566406,124.29220581054688,0.01970492624843989,0.11257420250947314
62,62,62,62,2019-05-06,135.63182067871094,138.44207763671875,124.00624084472656,-0.02029915330642551,0.0937499577020584
63,63,63,63,2019-05-07,132.39755249023438,138.97454833984375,134.1034393310547,-0.047325182403372246,-0.0127206792706418
64,64,64,64,2019-05-08,132.12149047851562,138.95481872558594,133.5709686279297,-0.04917661949216079,-0.010851745437675753
65,65,65,65,2019-05-09,131.9242706298828,136.70663452148438,136.4502716064453,-0.03498267592016524,-0.03316960034800487
66,66,66,66,2019-05-10,130.662109375,135.0894775390625,137.93917846679688,-0.032773597505270424,-0.052755636017859375
67,67,67,67,2019-05-13,124.43024444580078,138.2843017578125,135.61207580566406,-0.10018532209299758,-0.08245454022757648
68,68,68,68,2019-05-14,125.31768798828124,135.63182067871094,138.44207763671875,-0.07604508026816326,-0.09480058283202586
69,69,69,69,2019-05-15,126.87564849853516,132.39755249023438,138.97454833984375,-0.04170699448621995,-0.08705838576803537
70,70,70,70,2019-05-16,126.66858673095705,132.12149047851562,138.95481872558594,-0.04127189095285966,-0.08841889836790962
71,71,71,71,2019-05-17,124.56828308105467,131.9242706298828,136.70663452148438,-0.055759167844600555,-0.08879123886648
72,72,72,72,2019-05-20,122.3200912475586,130.662109375,135.0894775390625,-0.06384420217417297,-0.09452539549434191
73,73,73,73,2019-05-21,124.96271514892578,124.43024444580078,138.2843017578125,0.004279270731135876,-0.09633477147838365
74,74,74,74,2019-05-22,120.6832275390625,125.31768798828124,135.63182067871094,-0.03698169447278754,-0.11021449881631507
75,75,75,75,2019-05-23,116.8376235961914,126.87564849853516,132.39755249023438,-0.07911703326158481,-0.11752429407779774
76,76,76,76,2019-05-24,116.8869171142578,126.66858673095705,132.12149047851562,-0.07722253692997638,-0.11530730775955889
77,77,77,77,2019-05-28,113.3962860107422,124.56828308105467,131.9242706298828,-0.0896857273295083,-0.14044409365067767
78,78,78,78,2019-05-29,114.21471405029295,122.3200912475586,130.662109375,-0.06626366212286006,-0.12587731365566013
79,79,79,79,2019-05-30,113.58364868164062,124.96271514892578,124.43024444580078,-0.09105969291499483,-0.08717009126253628
80,80,80,80,2019-05-31,108.56461334228516,120.6832275390625,125.31768798828124,-0.10041672272027047,-0.13368483663345831
81,81,81,81,2019-06-03,112.26231384277344,116.8376235961914,126.87564849853516,-0.03915955847605168,-0.11517840364717769
82,82,82,82,2019-06-04,119.64787292480467,116.8869171142578,126.66858673095705,0.02362074284026172,-0.05542584777601023
83,83,83,83,2019-06-05,117.71519470214844,113.3962860107422,124.56828308105467,0.03808686195416566,-0.05501471329140051
84,84,84,84,2019-06-06,117.093994140625,114.21471405029295,122.3200912475586,0.025209362158576054,-0.042724764620692746
85,85,85,85,2019-06-07,120.52546691894533,113.58364868164062,124.96271514892578,0.06111635185062303,-0.03550857729597434
86,86,86,86,2019-06-10,121.8665008544922,108.56461334228516,120.6832275390625,0.12252507610623109,0.009804786792321218
87,87,87,87,2019-06-11,120.54518127441406,112.26231384277344,116.8376235961914,0.07378137104176408,0.031732566651959226
88,88,88,88,2019-06-12,119.85494232177734,119.64787292480467,116.8869171142578,0.0017306567338879475,0.025392278971805515
89,89,89,89,2019-06-13,122.05384063720705,117.71519470214844,113.3962860107422,0.03685714444967414,0.07634777937651949
90,90,90,90,2019-06-14,121.1565399169922,117.093994140625,114.21471405029295,0.03469474080359958,0.06077873524809174
91,91,91,91,2019-06-17,119.64787292480467,120.52546691894533,113.58364868164062,-0.00728139883275325,0.05338994048484236
92,92,92,92,2019-06-18,125.97835540771484,121.8665008544922,108.56461334228516,0.033740646727292045,0.16039979814165806
93,93,93,93,2019-06-19,124.51898193359376,120.54518127441406,112.26231384277344,0.03296523857003941,0.10917883011021967
94,94,94,94,2019-06-20,128.92665100097656,119.85494232177734,119.64787292480467,0.07568906632856409,0.07755071485477516
95,95,95,95,2019-06-21,128.0589141845703,122.05384063720705,117.71519470214844,0.04920020145218329,0.08787072483373382
96,96,96,96,2019-06-24,127.80254364013672,121.1565399169922,117.093994140625,0.054854684094625794,0.09145259394475169
97,97,97,97,2019-06-25,126.82634735107422,119.64787292480467,120.52546691894533,0.05999667399671216,0.05227841545195
98,98,98,98,2019-06-26,128.74916076660156,125.97835540771484,121.8665008544922,0.02199429695616617,0.05647704548707133
99,99,99,99,2019-06-27,130.129638671875,124.51898193359376,120.54518127441406,0.04505864608878185,0.07950925367678097
100,100,100,100,2019-06-28,130.7804412841797,128.92665100097656,119.85494232177734,0.014378642963347232,0.09115601535287876
101,101,101,101,2019-07-01,132.42713928222656,128.0589141845703,122.05384063720705,0.034111058378648806,0.08498953077480875
102,102,102,102,2019-07-02,129.96200561523438,127.80254364013672,121.1565399169922,0.016896862250083355,0.07267841838562772
103,103,103,103,2019-07-03,131.06639099121094,126.82634735107422,119.64787292480467,0.03343188326948843,0.09543435906781639
104,104,104,104,2019-07-05,131.06639099121094,128.74916076660156,125.97835540771484,0.01799802197398459,0.04038817277007012
105,105,105,105,2019-07-08,130.08033752441406,130.129638671875,124.51898193359376,-0.0003788617870925659,0.04466271330250815
106,106,106,106,2019-07-09,129.57745361328125,130.7804412841797,128.92665100097656,-0.009198528916754434,0.005047851683510851
107,107,107,107,2019-07-10,128.660400390625,132.42713928222656,128.0589141845703,-0.02844385910635694,0.0046969491338006986
108,108,108,108,2019-07-11,129.4985809326172,129.96200561523438,127.80254364013672,-0.003565847421508783,0.013270763195888602
109,109,109,109,2019-07-12,134.43869018554688,131.06639099121094,126.82634735107422,0.025729702090920403,0.06002177775727113
110,110,110,110,2019-07-15,132.8610076904297,131.06639099121094,128.74916076660156,0.013692424775311629,0.03193688331127964
111,111,111,111,2019-07-16,135.67124938964844,130.08033752441406,130.129638671875,0.04298045324632582,0.04258530780790637
112,112,112,112,2019-07-17,129.6563262939453,129.57745361328125,130.7804412841797,0.0006086913924041593,-0.008595436589724614
113,113,113,113,2019-07-18,119.42108917236328,128.660400390625,132.42713928222656,-0.07181161561918281,-0.09821287524866784
114,114,114,114,2019-07-19,117.32078552246094,129.4985809326172,129.96200561523438,-0.0940380606679605,-0.09726858271331273
115,115,115,115,2019-07-22,116.4629135131836,134.43869018554688,131.06639099121094,-0.13370984682723286,-0.11142045926179978
116,116,116,116,2019-07-23,120.1606216430664,132.8610076904297,131.06639099121094,-0.09559152281123429,-0.08320797777117284
117,117,117,117,2019-07-24,124.86410522460938,135.67124938964844,130.08033752441406,-0.07965684854866262,-0.04010008275713217
118,118,118,118,2019-07-25,125.9586181640625,129.6563262939453,129.57745361328125,-0.0285193035741248,-0.027927971636323545
119,119,119,119,2019-07-26,125.83043670654295,119.42108917236328,128.660400390625,0.05367014803330861,-0.021995607626666858
120,120,120,120,2019-07-29,127.19119262695312,117.32078552246094,129.4985809326172,0.0841317850075467,-0.0178178655630572
121,121,121,121,2019-07-30,128.1378173828125,116.4629135131836,134.43869018554688,0.10024567922480587,-0.04686800201666774
122,122,122,122,2019-07-31,124.78521728515624,120.1606216430664,132.8610076904297,0.03848678193282873,-0.0607837509714686
123,123,123,123,2019-08-01,119.1942901611328,124.86410522460938,135.67124938964844,-0.04540788606363322,-0.12144768550921015
124,124,124,124,2019-08-02,115.6444854736328,125.9586181640625,129.6563262939453,-0.0818850892520544,-0.10806908710760565
125,125,125,125,2019-08-05,111.76929473876952,125.83043670654295,119.42108917236328,-0.11174674693823328,-0.06407406335534038
126,126,126,126,2019-08-06,112.7849349975586,127.19119262695312,117.32078552246094,-0.11326458484942059,-0.03866195154339436
127,127,127,127,2019-08-07,111.8284683227539,128.1378173828125,116.4629135131836,-0.12727974764338557,-0.03979331317265278
128,128,128,128,2019-08-08,116.20654296875,124.78521728515624,120.1606216430664,-0.06874752076443835,-0.03290660967169323
129,129,129,129,2019-08-09,113.95833587646484,119.1942901611328,124.86410522460938,-0.0439278951834835,-0.08734110838760989
130,130,130,130,2019-08-12,109.29429626464844,115.6444854736328,125.9586181640625,-0.05491130150284784,-0.13229997393039516
131,131,131,131,2019-08-13,110.95085906982422,111.76929473876952,125.83043670654295,-0.007322544808555653,-0.11825102118512332
132,132,132,132,2019-08-14,103.8907241821289,112.7849349975586,127.19119262695312,-0.07885991879697596,-0.18319246768259811
133,133,133,133,2019-08-15,103.11173248291016,111.8284683227539,128.1378173828125,-0.07794737753794434,-0.19530600263883657
134,134,134,134,2019-08-16,106.48403930664062,116.20654296875,124.78521728515624,-0.08366571635061826,-0.14666142654297099
135,135,135,135,2019-08-19,109.09709167480467,113.95833587646484,119.1942901611328,-0.042658083450164974,-0.08471209881512132
136,136,136,136,2019-08-20,107.63773345947266,109.29429626464844,115.6444854736328,-0.015156900787983818,-0.06923591714181387
137,137,137,137,2019-08-21,109.7084503173828,110.95085906982422,111.76929473876952,-0.011197829046637131,-0.018438377250240223
138,138,138,138,2019-08-22,108.31809997558594,103.8907241821289,112.7849349975586,0.04261569864211823,-0.03960489068925166
139,139,139,139,2019-08-23,103.4962921142578,103.11173248291016,111.8284683227539,0.003729542915122508,-0.07450854271247087
140,140,140,140,2019-08-26,104.77816772460938,106.48403930664062,116.20654296875,-0.016019974384319458,-0.0983453681021551
141,141,141,141,2019-08-27,102.35247802734376,109.09709167480467,113.95833587646484,-0.061822121414246034,-0.10184299165005595
142,142,142,142,2019-08-28,104.83733367919922,107.63773345947266,109.29429626464844,-0.026016896586993243,-0.04077946185459669
143,143,143,143,2019-08-29,109.76760864257812,109.7084503173828,110.95085906982422,0.0005392321651083165,-0.010664635111130139
144,144,144,144,2019-08-30,110.99031066894533,108.31809997558594,103.8907241821289,0.02467002923760364,0.06833705841120397
145,145,145,145,2019-09-03,108.14061737060548,103.4962921142578,103.11173248291016,0.04487431541238651,0.048771219012626155
146,146,146,146,2019-09-04,111.22696685791016,104.77816772460938,106.48403930664062,0.061547164579650815,0.04454120619533786
147,147,147,147,2019-09-05,114.86550903320312,102.35247802734376,109.09709167480467,0.1222543044098694,0.05287416254498223
148,148,148,148,2019-09-06,115.25993347167967,104.83733367919922,107.63773345947266,0.09941687208846295,0.0708134570213419
149,149,149,149,2019-09-09,119.0365219116211,109.76760864257812,109.7084503173828,0.08444124258208197,0.08502600818125217
150,150,150,150,2019-09-10,122.3200912475586,110.99031066894533,108.31809997558594,0.10207900590896624,0.1292673272068896
151,151,151,151,2019-09-11,125.84029388427734,108.14061737060548,103.4962921142578,0.1636727895959187,0.21589180939305752
152,152,152,152,2019-09-12,126.21499633789062,111.22696685791016,104.77816772460938,0.13475175942833473,0.20459251272291867
153,153,153,153,2019-09-13,127.0728530883789,114.86550903320312,102.35247802734376,0.10627510518973216,0.24152199866065804
154,154,154,154,2019-09-16,126.56012725830078,115.25993347167967,104.83733367919922,0.09804095357557752,0.2072047506050947
155,155,155,155,2019-09-17,125.13033294677734,119.0365219116211,109.76760864257812,0.051192784678979475,0.13995680961059143
156,156,156,156,2019-09-18,122.97087860107422,122.3200912475586,110.99031066894533,0.005320363538631856,0.10794246686869591
157,157,157,157,2019-09-19,123.35543823242188,125.84029388427734,108.14061737060548,-0.01974610496492113,0.1406947845477351
158,158,158,158,2019-09-20,124.6767578125,126.21499633789062,111.22696685791016,-0.012187446579427053,0.12092203297939097
159,159,159,159,2019-09-23,126.60941314697266,127.0728530883789,114.86550903320312,-0.0036470412849227696,0.1022404742086227
160,160,160,160,2019-09-24,122.99060821533205,126.56012725830078,115.25993347167967,-0.028204136012628833,0.06707165717349528
161,161,161,161,2019-09-25,126.10653686523438,125.13033294677734,119.0365219116211,0.007801497010898606,0.05939366204653074
162,162,162,162,2019-09-26,125.7909927368164,122.97087860107422,122.3200912475586,0.0229331868473579,0.02837556327711699
163,163,163,163,2019-09-27,123.04976654052734,123.35543823242188,125.84029388427734,-0.0024779749987073885,-0.022175149609203637
164,164,164,164,2019-09-30,122.90185546875,124.6767578125,126.21499633789062,-0.014236032239619667,-0.026249977936623314
165,165,165,165,2019-10-01,117.90255737304688,126.60941314697266,127.0728530883789,-0.0687694189358461,-0.07216565531076968
166,166,166,166,2019-10-02,114.36262512207033,122.99060821533205,126.56012725830078,-0.07015156050091109,-0.09637713235967416
167,167,167,167,2019-10-03,114.76689910888672,126.10653686523438,125.13033294677734,-0.08992109400693427,-0.08282111614214749
168,168,168,168,2019-10-04,115.57546997070312,125.7909927368164,122.97087860107422,-0.08121028814429099,-0.06013951200887402
169,169,169,169,2019-10-07,114.04708862304688,123.04976654052734,123.35543823242188,-0.07316290124382618,-0.0754595804024184
170,170,170,170,2019-10-08,107.67716217041016,122.90185546875,124.6767578125,-0.12387683847629949,-0.1363493560496284
171,171,171,171,2019-10-09,109.92537689208984,117.90255737304688,126.60941314697266,-0.06765909627996458,-0.13177563847891305
172,172,172,172,2019-10-10,111.73971557617188,114.36262512207033,122.99060821533205,-0.02293502394771685,-0.09147765672856989
173,173,173,173,2019-10-11,116.7488784790039,114.76689910888672,126.10653686523438,0.01726960809698941,-0.07420438796309714
174,174,174,174,2019-10-14,117.02497100830078,115.57546997070312,125.7909927368164,0.012541597606871902,-0.06968719729286299
175,175,175,175,2019-10-15,118.99707794189452,114.04708862304688,123.04976654052734,0.0434030309638902,-0.03293536194802971
176,176,176,176,2019-10-16,119.9732666015625,107.67716217041016,122.90185546875,0.1141941724995732,-0.023828679038390477
177,177,177,177,2019-10-17,126.11639404296876,109.92537689208984,117.90255737304688,0.14729098601838886,0.06966631473423512
178,178,178,178,2019-10-18,126.86579895019533,111.73971557617188,114.36262512207033,0.13536890886134523,0.10932919574711719
179,179,179,179,2019-10-21,127.86170196533205,116.7488784790039,114.76689910888672,0.09518569797933152,0.11409912577686221
180,180,180,180,2019-10-22,130.5536346435547,117.02497100830078,115.57546997070312,0.11560493045791298,0.12959639858395855
181,181,181,181,2019-10-23,131.80592346191406,118.99707794189452,114.04708862304688,0.10764000042315347,0.15571493365836298
182,182,182,182,2019-10-24,130.15921020507812,119.9732666015625,107.67716217041016,0.08490177763804385,0.20879123837873648
183,183,183,183,2019-10-25,133.49208068847656,126.11639404296876,109.92537689208984,0.05848317105383494,0.2143882010022251
184,184,184,184,2019-10-28,134.1034393310547,126.86579895019533,111.73971557617188,0.0570495786945755,0.20014122677480484
185,185,185,185,2019-10-29,135.12893676757812,127.86170196533205,116.7488784790039,0.05683668127784269,0.15743241843543432
186,186,186,186,2019-10-30,134.0442657470703,130.5536346435547,117.02497100830078,0.026737142271419323,0.14543301820226318
187,187,187,187,2019-10-31,131.7073211669922,131.80592346191406,118.99707794189452,-0.0007480869776719246,0.10681138936288836
188,188,188,188,2019-11-01,139.8817138671875,130.15921020507812,119.9732666015625,0.07469700873868734,0.16594069520289056
189,189,189,189,2019-11-04,144.68380737304688,133.49208068847656,126.11639404296876,0.08383813202138835,0.1472244228910642
190,190,190,190,2019-11-05,144.93032836914062,134.1034393310547,126.86579895019533,0.08073535691622435,0.1423908537086267
191,191,191,191,2019-11-06,145.0880889892578,135.12893676757812,127.86170196533205,0.0737011069569018,0.13472671456067786
192,192,192,192,2019-11-07,148.07583618164062,134.0442657470703,130.5536346435547,0.10467863251268539,0.1342145822743741
193,193,193,193,2019-11-08,153.15402221679688,131.7073211669922,131.80592346191406,0.16283605846490756,0.1619661559524026
194,194,194,194,2019-11-11,154.17950439453125,139.8817138671875,130.15921020507812,0.10221343542386796,0.18454548204162347
195,195,195,195,2019-11-12,152.30601501464844,144.68380737304688,133.49208068847656,0.052681829293783844,0.1409367074746326
196,196,196,196,2019-11-13,148.6280059814453,144.93032836914062,134.1034393310547,0.025513483988572894,0.10830868114079117
197,197,197,197,2019-11-14,150.1958465576172,145.0880889892578,135.12893676757812,0.035204527152725484,0.11150024673067738
198,198,198,198,2019-11-15,152.1876678466797,148.07583618164062,134.0442657470703,0.027768417664008282,0.13535381016480308
199,199,199,199,2019-11-18,151.13259887695312,153.15402221679688,131.7073211669922,-0.013198630441336512,0.1474882150653687
200,200,200,200,2019-11-19,150.14654541015625,154.17950439453125,139.8817138671875,-0.026157555767302387,0.07338222601929822
201,201,201,201,2019-11-20,146.44883728027344,152.30601501464844,144.68380737304688,-0.03845664095283219,0.01219922214706215
202,202,202,202,2019-11-21,150.34375,148.6280059814453,144.93032836914062,0.011543881028511338,0.03735188964087133
203,203,203,203,2019-11-22,152.3553009033203,150.1958465576172,145.0880889892578,0.014377590294247788,0.050088273714877785
204,204,204,204,2019-11-25,154.830322265625,152.1876678466797,148.07583618164062,0.017364445203323697,0.04561504603424171
205,205,205,205,2019-11-26,154.11048889160156,151.13259887695312,153.15402221679688,0.019703823243805374,0.0062451293211924774
206,206,206,206,2019-11-27,154.27810668945312,150.14654541015625,154.17950439453125,0.02751685873298415,0.0006395291988328111
207,207,207,207,2019-11-29,150.91566467285156,146.44883728027344,152.30601501464844,0.03050094132211867,-0.009128663379861623
208,208,208,208,2019-12-02,150.0676727294922,150.34375,148.6280059814453,-0.0018363069333299231,0.009686375986411422
209,209,209,209,2019-12-03,147.2869873046875,152.3553009033203,150.1958465576172,-0.03326640798569258,-0.01936710847602441
210,210,210,210,2019-12-04,148.43081665039062,154.830322265625,152.1876678466797,-0.041332379353027915,-0.024685647986102732
211,211,211,211,2019-12-05,150.99456787109375,154.11048889160156,151.13259887695312,-0.020218747230757894,-0.0009133106085984499
212,212,212,212,2019-12-06,155.06695556640625,154.27810668945312,150.14654541015625,0.005113161509954223,0.03277071838588674
213,213,213,213,2019-12-09,153.6864776611328,150.91566467285156,146.44883728027344,0.018360009176566994,0.04942094806125352
214,214,214,214,2019-12-10,151.635498046875,150.0676727294922,150.34375,0.010447455397065708,0.008591963728954433
215,215,215,215,2019-12-11,154.781005859375,147.2869873046875,152.3553009033203,0.05088038455960042,0.01592136894267937
216,216,216,216,2019-12-12,160.9142608642578,148.43081665039062,154.830322265625,0.08410277929865684,0.03929423196701287
217,217,217,217,2019-12-13,160.47055053710938,150.99456787109375,154.11048889160156,0.062757109739904,0.041269492370382244
218,218,218,218,2019-12-16,162.85678100585938,155.06695556640625,154.27810668945312,0.05023523813309927,0.05560526052911885
219,219,219,219,2019-12-17,162.21585083007812,153.6864776611328,150.91566467285156,0.05549852725333415,0.07487748989955834
220,220,220,220,2019-12-18,163.8822784423828,151.635498046875,150.0676727294922,0.08076460032941601,0.09205584028608516
221,221,221,221,2019-12-19,163.37939453125,154.781005859375,147.2869873046875,0.055551962749789796,0.1092588525371403
222,222,222,222,2019-12-20,164.9965362548828,160.9142608642578,148.43081665039062,0.025369257943326007,0.1116056623437609
223,223,223,223,2019-12-23,166.56434631347656,160.47055053710938,150.99456787109375,0.037974542718091975,0.10311482500267788
224,224,224,224,2019-12-24,166.09104919433594,162.85678100585938,155.06695556640625,0.019859585634080412,0.07109247478073244
225,225,225,225,2019-12-26,167.45179748535156,162.21585083007812,153.6864776611328,0.0322776512189189,0.08956754057809979
226,226,226,226,2019-12-27,166.17979431152344,163.8822784423828,151.635498046875,0.014019306364161821,0.09591617036897504
227,227,227,227,2019-12-30,166.0121612548828,163.37939453125,154.781005859375,0.016114435551597195,0.07256158682488323
228,228,228,228,2019-12-31,164.44435119628906,164.9965362548828,160.9142608642578,-0.0033466463668107016,0.021937709641590475
229,229,229,229,2020-01-02,166.29812622070312,166.56434631347656,160.47055053710938,-0.0015983017894621865,0.036315546149049416
230,230,230,230,2020-01-03,163.3991241455078,166.09104919433594,162.85678100585938,-0.016207526304914954,0.003330184572596595
231,231,231,231,2020-01-06,163.07373046875,167.45179748535156,162.21585083007812,-0.02614523750922737,0.005288506852332953
232,232,232,232,2020-01-07,162.7779083251953,166.17979431152344,163.8822784423828,-0.02047111684318792,-0.006738801337667355
233,233,233,233,2020-01-08,162.51165771484375,166.0121612548828,163.37939453125,-0.021085825963464533,-0.005311176595407696
234,234,234,234,2020-01-09,160.9536895751953,164.44435119628906,164.9965362548828,-0.021227008381255463,-0.024502615457588806
235,235,235,235,2020-01-10,157.24615478515625,166.29812622070312,166.56434631347656,-0.054432191397836394,-0.055943494118383175
236,236,236,236,2020-01-13,155.24444580078125,163.3991241455078,166.09104919433594,-0.049906499728020415,-0.06530516512580731
237,237,237,237,2020-01-14,152.1876678466797,163.07373046875,167.45179748535156,-0.06675546448087433,-0.09115536451621042
238,238,238,238,2020-01-15,152.73001098632812,162.7779083251953,166.17979431152344,-0.06172764745688741,-0.08093513041653022
239,239,239,239,2020-01-16,155.45152282714844,162.51165771484375,166.0121612548828,-0.04344386727063976,-0.0636136434096557
240,240,240,240,2020-01-17,156.506591796875,160.9536895751953,164.44435119628906,-0.027629672796302684,-0.04827018588153964
241,241,241,241,2020-01-21,152.82861328125,157.24615478515625,166.29812622070312,-0.0280931607513194,-0.0809961798461698
242,242,242,242,2020-01-22,153.10472106933594,155.24444580078125,163.3991241455078,-0.013782939031462216,-0.06300158051645766
243,243,243,243,2020-01-23,152.9863739013672,152.1876678466797,163.07373046875,0.005248165413061834,-0.06185764278763384
