,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,CB,CB_6m,CB_12m,CB_6m_ret,CB_12m_ret
81,81,81,81,2019-06-03,134.99356079101562,134.31771850585938,131.21249389648438,0.0050316688868323745,0.028816363306943815
82,82,82,82,2019-06-04,134.57342529296875,135.3223419189453,132.993408203125,-0.005534316176889265,0.011880416564936436
83,83,83,83,2019-06-05,136.4639434814453,133.76060485839844,132.4180450439453,0.020210275109840303,0.030553981039044054
84,84,84,84,2019-06-06,135.7698974609375,133.30393981933594,133.11215209960938,0.018498760388804936,0.019966211344395468
85,85,85,85,2019-06-07,136.48220825195312,133.13955688476562,133.53224182128906,0.025106372932280463,0.022091791393812565
86,86,86,86,2019-06-10,136.0712127685547,133.40440368652344,135.18533325195312,0.019990412672566515,0.006553074178176521
87,87,87,87,2019-06-11,135.72415161132812,134.99356079101562,134.31771850585938,0.005412041996903261,0.010470942487065926
88,88,88,88,2019-06-12,135.8702850341797,134.57342529296875,135.3223419189453,0.009636818995932162,0.004049169615779835
89,89,89,89,2019-06-13,135.9342041015625,136.4639434814453,133.76060485839844,-0.0038818999830152467,0.01624992086021937
90,90,90,90,2019-06-14,137.23110961914062,135.7698974609375,133.30393981933594,0.010762416305304612,0.029460268054545935
91,91,91,91,2019-06-17,135.52325439453125,136.48220825195312,133.13955688476562,-0.007026218799534689,0.017903751263260936
92,92,92,92,2019-06-18,135.27667236328125,136.0712127685547,133.40440368652344,-0.0058391513466179434,0.01403453428087209
93,93,93,93,2019-06-19,136.4913330078125,135.72415161132812,134.99356079101562,0.005652504638093747,0.011095138227486201
94,94,94,94,2019-06-20,137.09715270996094,135.8702850341797,134.57342529296875,0.009029698255748952,0.018753534819359707
95,95,95,95,2019-06-21,137.35415649414062,135.9342041015625,136.4639434814453,0.01044588006354319,0.006523430218886794
96,96,96,96,2019-06-24,137.7580108642578,137.23110961914062,135.7698974609375,0.003839517486811106,0.01464325627772034
97,97,97,97,2019-06-25,138.54745483398438,135.52325439453125,136.48220825195312,0.022314992751348406,0.01513198393023285
98,98,98,98,2019-06-26,134.93087768554688,135.27667236328125,136.0712127685547,-0.0025562033105438475,-0.008380428599158773
99,99,99,99,2019-06-27,135.0777587890625,136.4913330078125,135.72415161132812,-0.010356512663475037,-0.004762548261246002
100,100,100,100,2019-06-28,135.1970977783203,137.09715270996094,135.8702850341797,-0.013859185942835195,-0.004954631954220412
101,101,101,101,2019-07-01,135.70196533203125,137.35415649414062,135.9342041015625,-0.012028694320436184,-0.0017084645550853317
102,102,102,102,2019-07-02,136.23431396484375,137.7580108642578,137.23110961914062,-0.01106067726918225,-0.0072636274461621575
103,103,103,103,2019-07-03,137.9140625,138.54745483398438,135.52325439453125,-0.0045716634401068434,0.017641312674714138
104,104,104,104,2019-07-05,137.33580017089844,134.93087768554688,135.27667236328125,0.017823366501448,0.015221603042448129
105,105,105,105,2019-07-08,137.161376953125,135.0777587890625,136.4913330078125,0.015425323774554744,0.0049090585500704
106,106,106,106,2019-07-09,136.9961700439453,135.1970977783203,137.09715270996094,0.013307033177405225,-0.0007365774125831503
107,107,107,107,2019-07-10,136.9044189453125,135.70196533203125,137.35415649414062,0.00886098893512055,-0.003274291512592953
108,108,108,108,2019-07-11,136.5831298828125,136.23431396484375,137.7580108642578,0.002560411601285395,-0.00852858555429492
109,109,109,109,2019-07-12,137.10633850097656,137.9140625,138.54745483398438,-0.005856719643969832,-0.010401608133001394
110,110,110,110,2019-07-15,138.93295288085938,137.33580017089844,134.93087768554688,0.011629543847805568,0.02966018797149772
111,111,111,111,2019-07-16,139.00636291503906,137.161376953125,135.0777587890625,0.013451206184264208,0.029084019169369535
112,112,112,112,2019-07-17,138.09764099121094,136.9961700439453,135.1970977783203,0.008040158691387411,0.02145418252725051
113,113,113,113,2019-07-18,138.26287841796875,136.9044189453125,135.70196533203125,0.009922685353194405,0.018871599093436497
114,114,114,114,2019-07-19,136.1057891845703,136.5831298828125,136.23431396484375,-0.003494873039238011,-0.0009434097514272599
115,115,115,115,2019-07-22,135.65603637695312,137.10633850097656,137.9140625,-0.010577936365889551,-0.016372704002152627
116,116,116,116,2019-07-23,134.69224548339844,138.93295288085938,137.33580017089844,-0.030523409382204103,-0.019248838862193307
117,117,117,117,2019-07-24,139.13490295410156,139.00636291503906,137.161376953125,0.0009247061527757339,0.014388350750160539
118,118,118,118,2019-07-25,138.6116943359375,138.09764099121094,136.9961700439453,0.003722390484275362,0.011792477785867783
119,119,119,119,2019-07-26,140.41075134277344,138.26287841796875,136.9044189453125,0.015534704248754805,0.025611535584264544
120,120,120,120,2019-07-29,140.69529724121094,136.1057891845703,136.5831298828125,0.03372015315540233,0.03010743246202252
121,121,121,121,2019-07-30,140.7228240966797,135.65603637695312,137.10633850097656,0.03735025624401467,0.026377231244326227
122,122,122,122,2019-07-31,140.2914276123047,134.69224548339844,138.93295288085938,0.04157018920288458,0.009777915917545288
123,123,123,123,2019-08-01,138.74932861328125,139.13490295410156,139.00636291503906,-0.002771226576752661,-0.0018490829942433562
