,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,MCD,MCD_6m,MCD_12m,MCD_6m_ret,MCD_12m_ret
390,390,390,390,2020-08-21,195.5121154785156,190.81765747070312,184.1363525390625,0.024601800850286848,0.06177901746500525
391,391,391,391,2020-08-24,196.4823760986328,191.316650390625,187.7588653564453,0.027000920711608645,0.046461245521624894
392,392,392,392,2020-08-25,196.5100860595703,192.8321990966797,189.07110595703125,0.019072991855715316,0.03934488067272257
393,393,393,393,2020-08-26,197.535873413086,194.35696411132807,188.6275329589844,0.016356034970463007,0.04722714820237117
394,394,394,394,2020-08-27,196.0850067138672,193.6083984375,189.4407196044922,0.012791843206980902,0.03507317288092393
395,395,395,395,2020-08-28,198.5985565185547,193.95034790039065,190.38331604003903,0.023965972056679608,0.04315105256800922
396,396,396,396,2020-08-31,198.46841430664065,195.5121154785156,190.81765747070312,0.015120796073887943,0.04009459573788221
397,397,397,397,2020-09-01,197.6969451904297,196.4823760986328,191.316650390625,0.0061815676088279314,0.03334939633731615
398,398,398,398,2020-09-02,200.9873962402344,196.5100860595703,192.8321990966797,0.02278412406428254,0.04229167733271533
399,399,399,399,2020-09-03,198.72869873046875,197.535873413086,194.35696411132807,0.00603852503736535,0.022493326334509733
400,400,400,400,2020-09-04,196.8046417236328,196.0850067138672,193.6083984375,0.003670015478622224,0.01650880494817275
401,401,401,401,2020-09-08,198.52423095703125,198.5985565185547,193.95034790039065,-0.0003742502605575959,0.023582752524835104
402,402,402,402,2020-09-09,200.50405883789065,198.46841430664065,195.5121154785156,0.010256768253838366,0.025532654828869683
403,403,403,403,2020-09-10,201.9262237548828,197.6969451904297,196.4823760986328,0.02139273604040426,0.027706544293403912
404,404,404,404,2020-09-11,202.63262939453125,200.9873962402344,196.5100860595703,0.00818575286347989,0.031156382136563465
405,405,405,405,2020-09-14,205.0121459960937,198.72869873046875,197.535873413086,0.03161821772982587,0.03784767016658974
406,406,406,406,2020-09-15,206.694564819336,196.8046417236328,196.0850067138672,0.05025248901187673,0.054106931903011635
407,407,407,407,2020-09-16,208.9626007080078,198.52423095703125,198.5985565185547,0.05257982716092657,0.05218589888635394
408,408,408,408,2020-09-17,206.88980102539065,200.50405883789065,198.46841430664065,0.031848443490428036,0.04243187384839309
409,409,409,409,2020-09-18,204.74264526367188,201.9262237548828,197.6969451904297,0.013947774867557161,0.03563889197405401
410,410,410,410,2020-09-21,201.1547241210937,202.63262939453125,200.9873962402344,-0.007293520682496002,0.0008325292231721182
411,411,411,411,2020-09-22,201.1547241210937,205.0121459960937,198.72869873046875,-0.018815577273521678,0.01220772543735782
412,412,412,412,2020-09-23,199.81622314453125,206.694564819336,196.8046417236328,-0.03327780622009513,0.015302390200366833
413,413,413,413,2020-09-24,200.8851318359375,208.9626007080078,198.52423095703125,-0.038655093517702244,0.011892255507174099
414,414,414,414,2020-09-25,202.7999267578125,206.88980102539065,200.50405883789065,-0.019768370636483068,0.01145048101883095
415,415,415,415,2020-09-28,204.7333068847656,204.74264526367188,201.9262237548828,-4.561032653582764e-05,0.013901528378455152
416,416,416,416,2020-09-29,203.26470947265625,201.1547241210937,202.63262939453125,0.010489365143084406,0.0031193400589710762
417,417,417,417,2020-09-30,204.01760864257807,201.1547241210937,205.0121459960937,0.014232250989844708,-0.004851114301952508
418,418,418,418,2020-10-01,204.11056518554688,199.81622314453125,206.694564819336,0.021491458368269933,-0.012501536438791705
419,419,419,419,2020-10-02,206.97341918945312,200.8851318359375,208.9626007080078,0.030307306956335323,-0.009519318346033812
420,420,420,420,2020-10-05,210.1337738037109,202.7999267578125,206.88980102539065,0.036162966935666674,0.01567971336548446
421,421,421,421,2020-10-06,208.29331970214844,204.7333068847656,204.74264526367188,0.017388537661762182,0.01734213423834552
422,422,422,422,2020-10-07,210.51486206054688,203.26470947265625,201.1547241210937,0.035668526064855044,0.04653203140194928
423,423,423,423,2020-10-08,209.8827972412109,204.01760864257807,201.1547241210937,0.02874844302732793,0.04338984907390486
424,424,424,424,2020-10-09,208.98117065429688,204.11056518554688,199.81622314453125,0.02386258381246642,0.045866883907301315
425,425,425,425,2020-10-12,210.17092895507807,206.97341918945312,200.8851318359375,0.01544889086795287,0.04622441210195816
426,426,426,426,2020-10-13,211.32354736328125,210.1337738037109,202.7999267578125,0.005661981594075938,0.042029702582919715
427,427,427,427,2020-10-14,211.5745086669922,208.29331970214844,204.7333068847656,0.015752732586602924,0.03341518723222281
428,428,428,428,2020-10-15,213.4521026611328,210.51486206054688,203.26470947265625,0.01395265194977613,0.05011884854437554
429,429,429,429,2020-10-16,213.20114135742188,209.8827972412109,204.01760864257807,0.015810462600216457,0.045013431810842386
430,430,430,430,2020-10-19,210.06871032714844,208.98117065429688,204.11056518554688,0.005204007946967737,0.029190772835229417
431,431,431,431,2020-10-20,211.4164886474609,210.17092895507807,206.97341918945312,0.005926412842039985,0.021466860215227923
432,432,432,432,2020-10-21,212.1043243408203,211.32354736328125,210.1337738037109,0.003694699371087351,0.009377600284998122
433,433,433,433,2020-10-22,212.9966278076172,211.5745086669922,208.29331970214844,0.006721599636860587,0.02258021578509717
434,434,434,434,2020-10-23,212.5876617431641,213.4521026611328,210.51486206054688,-0.004049812146105114,0.009846334184334449
435,435,435,435,2020-10-26,208.46063232421875,213.20114135742188,209.8827972412109,-0.022234913955061275,-0.006775995630350362
436,436,436,436,2020-10-27,207.25230407714844,210.06871032714844,208.98117065429688,-0.013407071646290847,-0.008272834206716095
437,437,437,437,2020-10-28,199.5559997558593,211.4164886474609,210.17092895507807,-0.05610011294520689,-0.05050617253296541
438,438,438,438,2020-10-29,199.7976226806641,212.1043243408203,211.32354736328125,-0.05802192717382404,-0.05454160138057507
439,439,439,439,2020-10-30,197.985092163086,212.9966278076172,211.5745086669922,-0.07047780896367017,-0.06422993294194657
440,440,440,440,2020-11-02,197.5760955810547,212.5876617431641,213.4521026611328,-0.07061353438397333,-0.07437737498085073
441,441,441,441,2020-11-03,201.5172271728516,208.46063232421875,213.20114135742188,-0.033307992372238804,-0.05480230598288749
