,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,EXPE,EXPE_6m,EXPE_12m,EXPE_6m_ret,EXPE_12m_ret
772,772,772,772,2022-02-28,196.1100006103516,209.3099975585937,196.9499969482422,-0.06306434046250908,-0.004265023360784048
773,773,773,773,2022-03-01,187.8500061035156,209.1699981689453,197.5200042724609,-0.10192662548196652,-0.04895705730952915
774,774,774,774,2022-03-02,192.22999572753903,204.67999267578125,192.1199951171875,-0.060826643510601186,0.0005725620088863348
775,775,775,775,2022-03-03,185.25,198.6300048828125,197.1699981689453,-0.06736144869304328,-0.060455435814994796
776,776,776,776,2022-03-04,176.22999572753906,193.7400054931641,211.92999267578125,-0.09037890610694166,-0.16845183872986502
777,777,777,777,2022-03-07,157.00999450683594,199.92999267578125,213.8000030517578,-0.21467513500361612,-0.2656221128826357
778,778,778,778,2022-03-08,165.69000244140625,196.1100006103516,209.3099975585937,-0.15511701633914343,-0.20839900447171222
779,779,779,779,2022-03-09,174.67999267578125,187.8500061035156,209.1699981689453,-0.070109198827904,-0.164889830258098
780,780,780,780,2022-03-10,178.91000366210938,192.22999572753903,204.67999267578125,-0.0692919542291881,-0.12590380074173757
781,781,781,781,2022-03-11,179.30999755859375,185.25,198.6300048828125,-0.03206479050691635,-0.09726630845937478
782,782,782,782,2022-03-14,179.11000061035156,176.22999572753906,193.7400054931641,0.016342308078274748,-0.07551359795604384
783,783,783,783,2022-03-15,188.5,157.00999450683594,199.92999267578125,0.20056051585807189,-0.05716997496377063
784,784,784,784,2022-03-16,192.88999938964844,165.69000244140625,196.1100006103516,0.164161968419676,-0.01641936265708821
785,785,785,785,2022-03-17,192.0,174.67999267578125,187.8500061035156,0.09915278251909454,0.02209206154721932
786,786,786,786,2022-03-18,193.17999267578125,178.91000366210938,192.22999572753903,0.07976071053367306,0.004941980800898138
787,787,787,787,2022-03-21,190.17999267578125,179.30999755859375,185.25,0.06062124401979019,0.026612646023110642
788,788,788,788,2022-03-22,191.6999969482422,179.11000061035156,176.22999572753906,0.07029197864434034,0.08778301989305248
789,789,789,789,2022-03-23,186.94000244140625,188.5,157.00999450683594,-0.008275849117208245,0.190624858172753
790,790,790,790,2022-03-24,195.0200042724609,192.88999938964844,165.69000244140625,0.011042588467791603,0.17701732994678876
791,791,791,791,2022-03-25,192.1600036621093,192.0,174.67999267578125,0.0008333524068191434,0.10006876413586885
