,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,BIIB,BIIB_6m,BIIB_12m,BIIB_6m_ret,BIIB_12m_ret
22,22,22,22,2019-03-08,307.92999267578125,328.010009765625,335.1600036621094,-0.06121769608248129,-0.08124481050483567
23,23,23,23,2019-03-11,311.4599914550781,334.1000061035156,321.1700134277344,-0.06776418507883186,-0.030233276976964985
24,24,24,24,2019-03-12,312.7200012207031,327.260009765625,325.3299865722656,-0.044429530376580484,-0.03876059961279177
25,25,25,25,2019-03-13,320.5599975585937,326.8699951171875,327.4800109863281,-0.019304303401514677,-0.021131101733178226
26,26,26,26,2019-03-14,321.5199890136719,317.9700012207031,327.6199951171875,0.011164536841023365,-0.01861915082848864
27,27,27,27,2019-03-15,329.8699951171875,315.2900085449219,328.8900146484375,0.046243097393263266,0.002979660145041363
28,28,28,28,2019-03-18,325.6499938964844,307.92999267578125,328.010009765625,0.05754555139862738,-0.007194950760273877
29,29,29,29,2019-03-19,323.760009765625,311.4599914550781,334.1000061035156,0.03949148734347441,-0.030948806192738987
30,30,30,30,2019-03-20,320.5899963378906,312.7200012207031,327.260009765625,0.025166267224568273,-0.020381388586131477
31,31,31,31,2019-03-21,226.8800048828125,320.5599975585937,326.8699951171875,-0.29223856185816777,-0.30590140339595007
32,32,32,32,2019-03-22,216.7100067138672,321.5199890136719,317.9700012207031,-0.3259827876373431,-0.31845769763843645
33,33,33,33,2019-03-25,220.259994506836,329.8699951171875,315.2900085449219,-0.3322824210532157,-0.3014050920187856
34,34,34,34,2019-03-26,232.9100036621093,325.6499938964844,307.92999267578125,-0.28478425294813514,-0.24362676841505437
35,35,35,35,2019-03-27,229.9499969482422,323.760009765625,311.4599914550781,-0.28975169875147144,-0.26170293695199087
36,36,36,36,2019-03-28,232.82000732421875,320.5899963378906,312.7200012207031,-0.2737764434831752,-0.25550010739509654
37,37,37,37,2019-03-29,236.3800048828125,226.8800048828125,320.5599975585937,0.04187235452902471,-0.2626029239983205
38,38,38,38,2019-04-01,232.4900054931641,216.7100067138672,321.5199890136719,0.07281619810077355,-0.27690341677861274
39,39,39,39,2019-04-02,233.2700042724609,220.259994506836,329.8699951171875,0.05906660351442583,-0.29284261155795366
40,40,40,40,2019-04-03,231.3999938964844,232.9100036621093,325.6499938964844,-0.0064832327589308125,-0.289421163109125
41,41,41,41,2019-04-04,235.0399932861328,229.9499969482422,323.760009765625,0.022135231160869795,-0.2740301884217202
42,42,42,42,2019-04-05,241.72000122070312,232.82000732421875,320.5899963378906,0.038226929028871925,-0.24601514712911154
43,43,43,43,2019-04-08,239.7400054931641,236.3800048828125,226.8800048828125,0.01421440282995734,0.056681947873696625
44,44,44,44,2019-04-09,237.5800018310547,232.4900054931641,216.7100067138672,0.02189339850155525,0.09630379064471706
45,45,45,45,2019-04-10,240.27999877929688,233.2700042724609,220.259994506836,0.030050989747692824,0.0908926031587618
46,46,46,46,2019-04-11,233.8300018310547,231.3999938964844,232.9100036621093,0.01050133102275419,0.003950015690524333
47,47,47,47,2019-04-12,234.5,235.0399932861328,229.9499969482422,-0.0022974527806228773,0.019786923731866635
48,48,48,48,2019-04-15,232.3699951171875,241.72000122070312,232.82000732421875,-0.038681143704689,-0.0019328760109718068
49,49,49,49,2019-04-16,228.72000122070312,239.7400054931641,236.3800048828125,-0.04596648043697149,-0.03240546367662056
50,50,50,50,2019-04-17,227.17999267578125,237.5800018310547,232.4900054931641,-0.04377476671066349,-0.02283974662101751
51,51,51,51,2019-04-18,226.38999938964844,240.27999877929688,233.2700042724609,-0.0578075556026898,-0.029493740115752676
52,52,52,52,2019-04-22,228.8099975585937,233.8300018310547,231.3999938964844,-0.02146860639417869,-0.011192724313766944
53,53,53,53,2019-04-23,230.2100067138672,234.5,235.0399932861328,-0.01829421443979873,-0.02054963712658764
54,54,54,54,2019-04-24,224.3999938964844,232.3699951171875,241.72000122070312,-0.03429875366087476,-0.07165318234631579
55,55,55,55,2019-04-25,229.88999938964844,228.72000122070312,239.7400054931641,0.005115416940804973,-0.04108620120890305
56,56,56,56,2019-04-26,230.52999877929688,227.17999267578125,237.5800018310547,0.014746043716519441,-0.02967422761774008
57,57,57,57,2019-04-29,229.3800048828125,226.38999938964844,240.27999877929688,0.01320732144187109,-0.045363717129432324
58,58,58,58,2019-04-30,229.2400054931641,228.8099975585937,233.8300018310547,0.0018793231902389795,-0.01962962965379833
