,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,PHM,PHM_6m,PHM_12m,PHM_6m_ret,PHM_12m_ret
291,291,291,291,2020-04-01,19.9184513092041,21.14420509338379,23.05944061279297,-0.05797114522707869,-0.1362127276342645
292,292,292,292,2020-04-02,18.95125961303711,23.193504333496094,22.11140251159668,-0.1829065870969886,-0.14291915209368478
293,293,293,293,2020-04-03,18.11813163757324,24.62035751342773,18.6352481842041,-0.26409957175919296,-0.027749378034535033
294,294,294,294,2020-04-06,20.780309677124023,23.48079299926757,18.702281951904297,-0.11500818231427634,0.11111091847314047
295,295,295,295,2020-04-07,22.053939819335938,22.75300025939941,18.932106018066406,-0.03072387958043843,0.16489627716485677
296,296,296,296,2020-04-08,24.438411712646484,21.374038696289062,16.98814582824707,0.14336892806736867,0.43855674184356674
297,297,297,297,2020-04-09,25.223657608032227,19.9184513092041,21.14420509338379,0.26634632464506147,0.19293477795128533
298,298,298,298,2020-04-13,23.748926162719727,18.95125961303711,23.193504333496094,0.25315818830227865,0.023947300987263498
299,299,299,299,2020-04-14,24.591625213623047,18.11813163757324,24.62035751342773,0.3572936606015782,-0.0011670139147660352
300,300,300,300,2020-04-15,22.867918014526367,20.780309677124023,23.48079299926757,0.1004608867643817,-0.02610111953034644
301,301,301,301,2020-04-16,23.241384506225582,22.053939819335938,22.75300025939941,0.05384274631277197,0.02146460867833988
302,302,302,302,2020-04-17,24.438411712646484,24.438411712646484,21.374038696289062,0.0,0.14336892806736867
303,303,303,303,2020-04-20,23.279693603515625,25.223657608032227,19.9184513092041,-0.07706907676615327,0.1687501825384552
304,304,304,304,2020-04-21,23.15520477294922,23.748926162719727,18.95125961303711,-0.024999925710431192,0.22182932669130317
305,305,305,305,2020-04-22,23.049861907958984,24.591625213623047,18.11813163757324,-0.06269464877864073,0.2721986112606867
306,306,306,306,2020-04-23,22.858339309692383,22.867918014526367,20.780309677124023,-0.00041887087525416256,0.09999993574955979
307,307,307,307,2020-04-24,24.55332565307617,23.241384506225582,22.053939819335938,0.05644849369877947,0.113330581937513
308,308,308,308,2020-04-27,26.085512161254883,24.438411712646484,24.438411712646484,0.06739801538559287,0.06739801538559287
309,309,309,309,2020-04-28,27.76134490966797,23.279693603515625,25.223657608032227,0.19251332867523385,0.1006074274029014
310,310,310,310,2020-04-29,29.00624656677246,23.15520477294922,23.748926162719727,0.2526879745265156,0.22137086822500218
311,311,311,311,2020-04-30,27.07185935974121,23.049861907958984,24.591625213623047,0.17449117343273346,0.1008568618207546
312,312,312,312,2020-05-01,26.085512161254883,22.858339309692383,22.867918014526367,0.1411814221426888,0.1407034144815722
313,313,313,313,2020-05-04,26.11424446105957,24.55332565307617,23.241384506225582,0.06357260234471918,0.12360967368636944
314,314,314,314,2020-05-05,26.62177848815918,26.085512161254883,24.438411712646484,0.02055801410335434,0.0893415988397821
315,315,315,315,2020-05-06,26.458982467651367,27.76134490966797,23.279693603515625,-0.04691280073981752,0.1365691885075162
316,316,316,316,2020-05-07,26.985673904418945,29.00624656677246,23.15520477294922,-0.06965991472568334,0.16542583704310942
317,317,317,317,2020-05-08,28.613624572753903,27.07185935974121,23.049861907958984,0.05695084303317066,0.24137943589474542
318,318,318,318,2020-05-11,28.17312431335449,26.085512161254883,22.858339309692383,0.08002956350615031,0.23250967323809624
