,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,HOLX,HOLX_6m,HOLX_12m,HOLX_6m_ret,HOLX_12m_ret
51,51,51,51,2019-04-18,43.400001525878906,47.560001373291016,48.16999816894531,-0.0874684551575371,-0.09902422305138414
52,52,52,52,2019-04-22,43.0,47.38999938964844,47.52000045776367,-0.09263556543972773,-0.09511785383464166
53,53,53,53,2019-04-23,44.2599983215332,47.540000915527344,47.310001373291016,-0.0689945841570827,-0.06446846254964811
54,54,54,54,2019-04-24,44.72999954223633,47.040000915527344,47.130001068115234,-0.04910717109549445,-0.05092301021615242
55,55,55,55,2019-04-25,45.20000076293945,45.790000915527344,46.810001373291016,-0.012884912443577257,-0.03439437220931596
56,56,56,56,2019-04-26,45.56999969482422,43.43000030517578,47.0,0.04927468051142059,-0.030425538407995334
57,57,57,57,2019-04-29,45.59000015258789,43.400001525878906,47.560001373291016,0.05046079607631149,-0.04142138696004005
58,58,58,58,2019-04-30,46.380001068115234,43.0,47.38999938964844,0.07860467600267995,-0.021312478044762773
59,59,59,59,2019-05-01,46.0099983215332,44.2599983215332,47.540000915527344,0.0395390887113658,-0.03218347842930769
60,60,60,60,2019-05-02,46.34999847412109,44.72999954223633,47.040000915527344,0.0362172803144134,-0.014668418962094365
61,61,61,61,2019-05-03,46.720001220703125,45.20000076293945,45.790000915527344,0.03362832814396666,0.020310117636630487
62,62,62,62,2019-05-06,46.68999862670898,45.56999969482422,43.43000030517578,0.024577549690261824,0.07506328111042371
63,63,63,63,2019-05-07,45.650001525878906,45.59000015258789,43.400001525878906,0.0013161082055317408,0.051843316149617014
64,64,64,64,2019-05-08,45.720001220703125,46.380001068115234,43.0,-0.01423026805115446,0.06325584234193316
65,65,65,65,2019-05-09,45.5,46.0099983215332,44.2599983215332,-0.011084510761534161,0.028016306495509236
66,66,66,66,2019-05-10,45.59999847412109,46.34999847412109,44.72999954223633,-0.01618123030616181,0.019450009854421246
67,67,67,67,2019-05-13,44.61000061035156,46.720001220703125,45.20000076293945,-0.045162683116894975,-0.013053100500645232
68,68,68,68,2019-05-14,44.90999984741211,46.68999862670898,45.56999969482422,-0.038123770221715536,-0.01448320938845804
69,69,69,69,2019-05-15,44.88999938964844,45.650001525878906,45.59000015258789,-0.01664845806849813,-0.015354261035239736
70,70,70,70,2019-05-16,45.06999969482422,45.720001220703125,46.380001068115234,-0.014217005873231936,-0.028244962119925443
71,71,71,71,2019-05-17,44.869998931884766,45.5,46.0099983215332,-0.01384617732121396,-0.024777209981225012
72,72,72,72,2019-05-20,44.79999923706055,45.59999847412109,46.34999847412109,-0.017543843505050893,-0.033441192839002154
73,73,73,73,2019-05-21,44.84999847412109,44.61000061035156,46.720001220703125,0.0053799116898876065,-0.040025742673854614
74,74,74,74,2019-05-22,44.97999954223633,44.90999984741211,46.68999862670898,0.0015586661113795586,-0.03662452633901869
75,75,75,75,2019-05-23,44.68000030517578,44.88999938964844,45.650001525878906,-0.004678081695877245,-0.021248656917420505
76,76,76,76,2019-05-24,44.68999862670898,45.06999969482422,45.720001220703125,-0.008431352799828873,-0.02252849008078628
77,77,77,77,2019-05-28,44.08000183105469,44.869998931884766,45.5,-0.017606354348912223,-0.03120875096583109
78,78,78,78,2019-05-29,43.59000015258789,44.79999923706055,45.59999847412109,-0.027008908595509307,-0.04407891203491843
79,79,79,79,2019-05-30,43.93999862670898,44.84999847412109,44.61000061035156,-0.020289852360579008,-0.015019098284592136
80,80,80,80,2019-05-31,44.0099983215332,44.97999954223633,44.90999984741211,-0.021565167420517506,-0.020040114204782578
81,81,81,81,2019-06-03,44.060001373291016,44.68000030517578,44.88999938964844,-0.013876430788943961,-0.018489597407943315
82,82,82,82,2019-06-04,45.08000183105469,44.68999862670898,45.06999969482422,0.008726856485348433,0.0002219244796581865
83,83,83,83,2019-06-05,46.45000076293945,44.08000183105469,44.869998931884766,0.053765853753097614,0.03521287873113654
84,84,84,84,2019-06-06,46.310001373291016,43.59000015258789,44.79999923706055,0.06239966072910508,0.03370540540057254
85,85,85,85,2019-06-07,47.0,43.93999862670898,44.84999847412109,0.0696404521831504,0.04793760532945135
86,86,86,86,2019-06-10,48.04999923706055,44.0099983215332,44.97999954223633,0.09179734309489063,0.06825255060177327
87,87,87,87,2019-06-11,47.7599983215332,44.060001373291016,44.68000030517578,0.08397632394276577,0.06893460150672004
88,88,88,88,2019-06-12,48.150001525878906,45.08000183105469,44.68999862670898,0.06810114396910594,0.0774223093643609
89,89,89,89,2019-06-13,47.68000030517578,46.45000076293945,44.08000183105469,0.026480075824190097,0.0816696534614223
90,90,90,90,2019-06-14,47.84000015258789,46.310001373291016,43.59000015258789,0.03303819334756675,0.09749942613266271
91,91,91,91,2019-06-17,47.790000915527344,47.0,43.93999862670898,0.016808530117603082,0.08761953593867755
92,92,92,92,2019-06-18,48.29999923706055,48.04999923706055,44.0099983215332,0.005202913714245749,0.0974778704644561
93,93,93,93,2019-06-19,49.060001373291016,47.7599983215332,44.060001373291016,0.02721949534013457,0.11348161244114219
94,94,94,94,2019-06-20,49.209999084472656,48.150001525878906,45.08000183105469,0.022014486500567143,0.0916148421842542
95,95,95,95,2019-06-21,49.06999969482422,47.68000030517578,46.45000076293945,0.029152671576169187,0.05640471235417399
96,96,96,96,2019-06-24,48.52000045776367,47.84000015258789,46.310001373291016,0.014214053156498485,0.04772185314050237
97,97,97,97,2019-06-25,48.33000183105469,47.790000915527344,47.0,0.011299453969081164,0.028297911299035805
98,98,98,98,2019-06-26,47.54999923706055,48.29999923706055,48.04999923706055,-0.015527950555836112,-0.010405827428491499
99,99,99,99,2019-06-27,47.709999084472656,49.060001373291016,47.7599983215332,-0.027517371606787577,-0.0010468852348766156
100,100,100,100,2019-06-28,48.02000045776367,49.209999084472656,48.150001525878906,-0.02418204935680368,-0.0026999182553579804
101,101,101,101,2019-07-01,48.22999954223633,49.06999969482422,47.68000030517578,-0.017118405498512623,0.011535218824250792
102,102,102,102,2019-07-02,48.25,48.52000045776367,47.84000015258789,-0.005564724963238676,0.008570230896830955
103,103,103,103,2019-07-03,47.95000076293945,48.33000183105469,47.790000915527344,-0.007862633017138854,0.00334797749208926
104,104,104,104,2019-07-05,47.959999084472656,47.54999923706055,48.29999923706055,0.008622499558160968,-0.007039340744481981
105,105,105,105,2019-07-08,47.34000015258789,47.709999084472656,49.060001373291016,-0.007755165352857474,-0.035059135192758495
106,106,106,106,2019-07-09,47.810001373291016,48.02000045776367,49.209999084472656,-0.004373158735334948,-0.028449456151755648
107,107,107,107,2019-07-10,47.81999969482422,48.22999954223633,49.06999969482422,-0.008500929946164804,-0.02547381307874441
108,108,108,108,2019-07-11,47.619998931884766,48.25,48.52000045776367,-0.013057016955756118,-0.018549083210795736
109,109,109,109,2019-07-12,47.31999969482422,47.95000076293945,48.33000183105469,-0.013138708197939386,-0.020898036374198625
110,110,110,110,2019-07-15,47.34000015258789,47.959999084472656,47.54999923706055,-0.012927417508760808,-0.004416384602357271
111,111,111,111,2019-07-16,47.08000183105469,47.34000015258789,47.709999084472656,-0.005492148726133683,-0.013204721557477539
112,112,112,112,2019-07-17,47.34000015258789,47.810001373291016,48.02000045776367,-0.009830604626706596,-0.014160772567544666
113,113,113,113,2019-07-18,48.5,47.81999969482422,48.22999954223633,0.01421999810780794,0.005598184953894192
114,114,114,114,2019-07-19,48.27000045776367,47.619998931884766,48.25,0.013649759354439794,0.00041451725935082173
115,115,115,115,2019-07-22,48.220001220703125,47.31999969482422,47.95000076293945,0.019019474464987196,0.005630874941974007
116,116,116,116,2019-07-23,48.83000183105469,47.34000015258789,47.959999084472656,0.03147447557381011,0.01814017437843729
117,117,117,117,2019-07-24,49.43999862670898,47.08000183105469,47.34000015258789,0.05012737263951417,0.04435991692759411
118,118,118,118,2019-07-25,49.36000061035156,47.34000015258789,47.810001373291016,0.04267005600449392,0.03241997892780768
119,119,119,119,2019-07-26,49.4900016784668,48.5,47.81999969482422,0.02041240574158354,0.03492266822041268
120,120,120,120,2019-07-29,50.380001068115234,48.27000045776367,47.619998931884766,0.043712463027586246,0.057958886983142444
121,121,121,121,2019-07-30,51.5,48.220001220703125,47.31999969482422,0.06802154077691358,0.08833474919977613
122,122,122,122,2019-07-31,51.25,48.83000183105469,47.34000015258789,0.04955965755066294,0.08259399735549788
123,123,123,123,2019-08-01,50.83000183105469,49.43999862670898,47.08000183105469,0.02811495232515626,0.07965165365661564
124,124,124,124,2019-08-02,50.25,49.36000061035156,47.34000015258789,0.018030781577052624,0.061470212041244254
125,125,125,125,2019-08-05,48.150001525878906,49.4900016784668,48.5,-0.0270761791703662,-0.007216463383940108
126,126,126,126,2019-08-06,48.7400016784668,50.380001068115234,48.27000045776367,-0.032552587433079094,0.00973692181988639
127,127,127,127,2019-08-07,49.25,51.5,48.220001220703125,-0.043689320388349495,0.02136040550025231
128,128,128,128,2019-08-08,50.060001373291016,51.25,48.83000183105469,-0.023219485399199713,0.02518942240657629
129,129,129,129,2019-08-09,50.06999969482422,50.83000183105469,49.43999862670898,-0.014951841606390515,0.012742740404828812
130,130,130,130,2019-08-12,49.56999969482422,50.25,49.36000061035156,-0.013532344381607553,0.004254438449674991
131,131,131,131,2019-08-13,50.33000183105469,48.150001525878906,49.4900016784668,0.045275186627026454,0.016973128391575276
132,132,132,132,2019-08-14,49.09999847412109,48.7400016784668,50.380001068115234,0.007386064490295885,-0.02540695845288976
133,133,133,133,2019-08-15,49.81999969482422,49.25,51.5,0.011573597864451113,-0.032621365149044346
134,134,134,134,2019-08-16,50.45000076293945,50.060001373291016,51.25,0.007790638812417594,-0.0156097412109375
135,135,135,135,2019-08-19,50.59999847412109,50.06999969482422,50.83000183105469,0.010585156431539788,-0.00452495275719389
136,136,136,136,2019-08-20,49.95000076293945,49.56999969482422,50.25,0.007665948566768055,-0.00597013407085667
137,137,137,137,2019-08-21,50.36000061035156,50.33000183105469,48.150001525878906,0.0005960416889625453,0.04589821421469442
138,138,138,138,2019-08-22,49.84000015258789,49.09999847412109,48.7400016784668,0.01507131774875381,0.022568699963895877
139,139,139,139,2019-08-23,48.130001068115234,49.81999969482422,49.25,-0.03392209227340792,-0.022741095063650074
140,140,140,140,2019-08-26,48.540000915527344,50.45000076293945,50.060001373291016,-0.037859263003523935,-0.030363572034871167
141,141,141,141,2019-08-27,48.2599983215332,50.59999847412109,50.06999969482422,-0.046245063698661104,-0.036149418500558084
142,142,142,142,2019-08-28,48.45000076293945,49.95000076293945,49.56999969482422,-0.03003002957134948,-0.022594289666733824
143,143,143,143,2019-08-29,49.150001525878906,50.36000061035156,50.33000183105469,-0.024026987089113327,-0.023445266486116
144,144,144,144,2019-08-30,49.369998931884766,49.84000015258789,49.09999847412109,-0.00943020102857528,0.005498991164042177
145,145,145,145,2019-09-03,48.459999084472656,48.130001068115234,49.81999969482422,0.006856389134303198,-0.027298286203981115
146,146,146,146,2019-09-04,48.650001525878906,48.540000915527344,50.45000076293945,0.0022661847605440766,-0.03567887432784389
147,147,147,147,2019-09-05,49.68999862670898,48.2599983215332,50.59999847412109,0.029631171879625162,-0.017984187250075112
148,148,148,148,2019-09-06,49.709999084472656,48.45000076293945,49.95000076293945,0.026006156897669275,-0.0048048383343543
149,149,149,149,2019-09-09,48.97999954223633,49.150001525878906,50.36000061035156,-0.003458839844655337,-0.027402721433477772
150,150,150,150,2019-09-10,49.06999969482422,49.369998931884766,49.84000015258789,-0.00607654939337654,-0.015449447339612177
151,151,151,151,2019-09-11,49.54999923706055,48.459999084472656,48.130001068115234,0.02249278112217601,0.029503389516565504
152,152,152,152,2019-09-12,49.81999969482422,48.650001525878906,48.540000915527344,0.02404929357140806,0.026369978474545475
153,153,153,153,2019-09-13,49.720001220703125,49.68999862670898,48.2599983215332,0.0006037954281210567,0.03025285847385706
154,154,154,154,2019-09-16,49.45000076293945,49.709999084472656,48.45000076293945,-0.0052303022796557075,0.02063983455630658
155,155,155,155,2019-09-17,50.0,48.97999954223633,49.150001525878906,0.020824836000337354,0.017293966383165715
156,156,156,156,2019-09-18,49.9900016784668,49.06999969482422,49.369998931884766,0.018748766850708032,0.012558289649498233
157,157,157,157,2019-09-19,50.0,49.54999923706055,48.459999084472656,0.009081751157785645,0.031778806120959846
158,158,158,158,2019-09-20,49.95000076293945,49.81999969482422,48.650001525878906,0.002609415273214788,0.026721463438578175
159,159,159,159,2019-09-23,50.0,49.720001220703125,49.68999862670898,0.005631511915174414,0.006238707624443229
160,160,160,160,2019-09-24,49.84999847412109,49.45000076293945,49.709999084472656,0.008088932356122625,0.0028163225151247584
161,161,161,161,2019-09-25,50.0,50.0,48.97999954223633,0.0,0.020824836000337354
162,162,162,162,2019-09-26,49.61000061035156,49.9900016784668,49.06999969482422,-0.00760154141540903,0.011004705907595502
163,163,163,163,2019-09-27,49.61000061035156,50.0,49.54999923706055,-0.0077999877929687544,0.0012109258166475012
164,164,164,164,2019-09-30,50.4900016784668,49.95000076293945,49.81999969482422,0.010810828974561204,0.013448454190018388
165,165,165,165,2019-10-01,48.68000030517578,50.0,49.720001220703125,-0.026399993896484397,-0.020917153861498616
166,166,166,166,2019-10-02,48.27000045776367,49.84999847412109,49.45000076293945,-0.031695046433705465,-0.023862493164209186
167,167,167,167,2019-10-03,48.61000061035156,50.0,50.0,-0.027799987792968772,-0.027799987792968772
168,168,168,168,2019-10-04,48.79999923706055,49.61000061035156,49.9900016784668,-0.01632738083704033,-0.0238048089908115
169,169,169,169,2019-10-07,49.11000061035156,49.61000061035156,50.0,-0.010078613058828956,-0.017799987792968763
170,170,170,170,2019-10-08,48.40999984741211,50.4900016784668,49.95000076293945,-0.04119631138657254,-0.030830848688794266
171,171,171,171,2019-10-09,49.459999084472656,48.68000030517578,50.0,0.01602298221871501,-0.010800018310546888
172,172,172,172,2019-10-10,48.63999938964844,48.27000045776367,49.84999847412109,0.007665194289950605,-0.024272800832698227
173,173,173,173,2019-10-11,48.790000915527344,48.61000061035156,50.0,0.003702948013077245,-0.024199981689453143
174,174,174,174,2019-10-14,48.5,48.79999923706055,49.61000061035156,-0.006147525445711843,-0.022374533293594623
175,175,175,175,2019-10-15,49.43000030517578,49.11000061035156,49.61000061035156,0.00651597822942751,-0.003628306852675678
176,176,176,176,2019-10-16,48.970001220703125,48.40999984741211,50.4900016784668,0.011567886284985285,-0.030104979347068017
177,177,177,177,2019-10-17,49.34999847412109,49.459999084472656,48.68000030517578,-0.002224031791098535,0.013763314805773863
178,178,178,178,2019-10-18,49.93000030517578,48.63999938964844,48.27000045776367,0.026521400734266454,0.034389886713686924
179,179,179,179,2019-10-21,49.18000030517578,48.790000915527344,48.61000061035156,0.007993428619189169,0.011725975882889372
180,180,180,180,2019-10-22,48.38999938964844,48.5,48.79999923706055,-0.0022680538216817148,-0.008401636348812525
181,181,181,181,2019-10-23,47.9900016784668,49.43000030517578,49.11000061035156,-0.029132078046097076,-0.022805923802996064
182,182,182,182,2019-10-24,47.68000030517578,48.970001220703125,48.40999984741211,-0.02634267680969482,-0.01507951961448628
183,183,183,183,2019-10-25,47.4900016784668,49.34999847412109,49.459999084472656,-0.037689905839200066,-0.039830114081508605
184,184,184,184,2019-10-28,47.810001373291016,49.93000030517578,48.63999938964844,-0.04245942156873983,-0.017064104168843075
185,185,185,185,2019-10-29,48.11000061035156,49.18000030517578,48.790000915527344,-0.0217568053717887,-0.013937288223320632
186,186,186,186,2019-10-30,48.220001220703125,48.38999938964844,48.5,-0.003513084750765172,-0.005773170707152109
187,187,187,187,2019-10-31,48.310001373291016,47.9900016784668,49.43000030517578,0.006668049252596786,-0.022658282924742146
188,188,188,188,2019-11-01,48.65999984741211,47.68000030517578,48.970001220703125,0.020553681542865743,-0.006330434256962114
189,189,189,189,2019-11-04,48.68999862670898,47.4900016784668,49.34999847412109,0.02526841242008815,-0.013373857503931053
190,190,190,190,2019-11-05,48.11000061035156,47.810001373291016,49.93000030517578,0.006274821762045413,-0.036451025109157764
191,191,191,191,2019-11-06,48.560001373291016,48.11000061035156,49.18000030517578,0.009353580487018842,-0.012606728914955179
192,192,192,192,2019-11-07,46.20000076293945,48.220001220703125,48.38999938964844,-0.04189133983050153,-0.04525725675411907
193,193,193,193,2019-11-08,46.560001373291016,48.310001373291016,47.9900016784668,-0.03622438315573129,-0.029797879874161937
194,194,194,194,2019-11-11,45.61000061035156,48.65999984741211,47.68000030517578,-0.06267980367087389,-0.043414422851828616
195,195,195,195,2019-11-12,46.150001525878906,48.68999862670898,47.4900016784668,-0.052166711285071776,-0.028216468840334463
196,196,196,196,2019-11-13,46.880001068115234,48.11000061035156,47.810001373291016,-0.025566400470418582,-0.019452003314422095
197,197,197,197,2019-11-14,46.65999984741211,48.560001373291016,48.11000061035156,-0.03912688369329298,-0.0301392796621055
198,198,198,198,2019-11-15,47.13999938964844,46.20000076293945,48.220001220703125,0.02034629028541124,-0.02239738290572646
199,199,199,199,2019-11-18,46.77000045776367,46.560001373291016,48.310001373291016,0.004510289481931107,-0.03187747612813685
200,200,200,200,2019-11-19,47.150001525878906,45.61000061035156,48.65999984741211,0.03376454494451009,-0.031031613774522238
201,201,201,201,2019-11-20,49.18999862670898,46.150001525878906,48.68999862670898,0.0658720910144579,0.010269049375690953
202,202,202,202,2019-11-21,49.5,46.880001068115234,48.11000061035156,0.055887347956284916,0.028892109166786417
203,203,203,203,2019-11-22,50.02000045776367,46.65999984741211,48.560001373291016,0.07201030050020285,0.030065878154519332
204,204,204,204,2019-11-25,51.27999877929688,47.13999938964844,46.20000076293945,0.08782349264428624,0.10995666520491665
205,205,205,205,2019-11-26,51.400001525878906,46.77000045776367,46.560001373291016,0.0989951041864201,0.10395189024552609
206,206,206,206,2019-11-27,51.400001525878906,47.150001525878906,45.61000061035156,0.09013785498325655,0.12694586358355053
207,207,207,207,2019-11-29,51.31999969482422,49.18999862670898,46.150001525878906,0.04330150696444024,0.11202595878672295
208,208,208,208,2019-12-02,51.540000915527344,49.5,46.880001068115234,0.04121213970762305,0.09940272485577095
209,209,209,209,2019-12-03,51.68999862670898,50.02000045776367,46.65999984741211,0.03338660842987062,0.10780108863579096
210,210,210,210,2019-12-04,52.13999938964844,51.27999877929688,47.13999938964844,0.016770683128384922,0.10606703573903653
211,211,211,211,2019-12-05,52.27999877929688,51.400001525878906,46.77000045776367,0.017120568624398036,0.11781052528552127
212,212,212,212,2019-12-06,52.7400016784668,51.400001525878906,47.150001525878906,0.026070041105217268,0.11855779367302333
213,213,213,213,2019-12-09,52.09999847412109,51.31999969482422,49.18999862670898,0.01519872922710741,0.059158364071025815
214,214,214,214,2019-12-10,52.20000076293945,51.540000915527344,49.5,0.012805584704855377,0.05454546995837273
215,215,215,215,2019-12-11,52.59999847412109,51.68999862670898,50.02000045776367,0.01760495011779506,0.05157932812367605
216,216,216,216,2019-12-12,53.18999862670898,52.13999938964844,51.27999877929688,0.02013807536156209,0.037246487770651315
217,217,217,217,2019-12-13,53.150001525878906,52.27999877929688,51.400001525878906,0.016641215893190564,0.0340466915962816
218,218,218,218,2019-12-16,53.560001373291016,52.7400016784668,51.400001525878906,0.015547964898131816,0.04202334208734593
219,219,219,219,2019-12-17,53.02999877929688,52.09999847412109,51.31999969482422,0.017850294288160873,0.03332032530477824
220,220,220,220,2019-12-18,52.59999847412109,52.20000076293945,51.540000915527344,0.007662791289950066,0.02056650251774439
221,221,221,221,2019-12-19,52.22999954223633,52.59999847412109,51.68999862670898,-0.007034200430001802,0.01044691294010458
222,222,222,222,2019-12-20,52.02000045776367,53.18999862670898,52.13999938964844,-0.02199658204837407,-0.0023014755137988896
223,223,223,223,2019-12-23,52.560001373291016,53.150001525878906,52.27999877929688,-0.011100661065844286,0.00535582632999243
224,224,224,224,2019-12-24,52.59000015258789,53.560001373291016,52.7400016784668,-0.018110552573414207,-0.002844169910979577
225,225,225,225,2019-12-26,52.34000015258789,53.02999877929688,52.09999847412109,-0.013011477325893694,0.004606558262876259
226,226,226,226,2019-12-27,52.36000061035156,52.59999847412109,52.20000076293945,-0.004562697162198592,0.003065131131678056
227,227,227,227,2019-12-30,51.86000061035156,52.22999954223633,52.59999847412109,-0.007084030923369289,-0.014068400860003827
228,228,228,228,2019-12-31,52.209999084472656,52.02000045776367,53.18999862670898,0.0036524149372749726,-0.01842450775594162
229,229,229,229,2020-01-02,52.06999969482422,52.560001373291016,53.150001525878906,-0.00932271053394218,-0.020319883349934287
230,230,230,230,2020-01-03,51.88999938964844,52.59000015258789,53.560001373291016,-0.013310529775782953,-0.03118002129991293
231,231,231,231,2020-01-06,52.380001068115234,52.34000015258789,53.02999877929688,0.0007642513452565947,-0.01225717001968718
232,232,232,232,2020-01-07,52.4900016784668,52.36000061035156,52.59999847412109,0.002482831676849484,-0.0020911938943953823
233,233,233,233,2020-01-08,52.290000915527344,51.86000061035156,52.22999954223633,0.008291559971365547,0.0011487913807561867
234,234,234,234,2020-01-09,53.27999877929688,52.209999084472656,52.02000045776367,0.020494152721455272,0.024221420808256955
235,235,235,235,2020-01-10,53.16999816894531,52.06999969482422,52.560001373291016,0.021125378923910976,0.011605722597341384
236,236,236,236,2020-01-13,52.90999984741211,51.88999938964844,52.59000015258789,0.019656975713265412,0.006084801176948984
237,237,237,237,2020-01-14,53.52999877929688,52.380001068115234,52.34000015258789,0.02195490049124249,0.02273593089873449
238,238,238,238,2020-01-15,53.75,52.4900016784668,52.36000061035156,0.024004539555008142,0.026546970463052988
239,239,239,239,2020-01-16,54.220001220703125,52.290000915527344,51.86000061035156,0.036909548123619906,0.0455071458267684
240,240,240,240,2020-01-17,54.31999969482422,53.27999877929688,52.209999084472656,0.019519537150054278,0.04041372624691508
241,241,241,241,2020-01-21,54.209999084472656,53.16999816894531,52.06999969482422,0.019559920092959038,0.04109850974055518
242,242,242,242,2020-01-22,54.2400016784668,52.90999984741211,51.88999938964844,0.025137059816486396,0.04528815410406728
243,243,243,243,2020-01-23,53.81999969482422,53.52999877929688,52.380001068115234,0.005417540110975949,0.027491382156262345
244,244,244,244,2020-01-24,53.720001220703125,53.75,52.4900016784668,-0.0005581168241278744,0.02343302539349912
245,245,245,245,2020-01-27,53.720001220703125,54.220001220703125,52.290000915527344,-0.009221689205884509,0.027347490536209662
246,246,246,246,2020-01-28,54.619998931884766,54.31999969482422,53.27999877929688,0.005522813673526805,0.0251501535902543
