,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,AXON,AXON_6m,AXON_12m,AXON_6m_ret,AXON_12m_ret
115,115,115,115,2019-07-22,65.41000366210938,64.5,64.31999969482422,0.014108583908672534,0.016946579173769294
116,116,116,116,2019-07-23,66.18000030517578,63.77999877929688,64.05999755859375,0.03762937553799306,0.033094018535403835
117,117,117,117,2019-07-24,68.75,63.900001525878906,62.310001373291016,0.07589981781388366,0.10335417244059752
118,118,118,118,2019-07-25,68.30000305175781,64.81999969482422,62.959999084472656,0.05368718564204911,0.08481582028170842
119,119,119,119,2019-07-26,69.5,65.76000213623047,63.29999923706055,0.05687344498592983,0.09794630075302613
120,120,120,120,2019-07-29,68.4800033569336,65.91999816894531,62.91999816894531,0.03883503123630683,0.08836626430056804
121,121,121,121,2019-07-30,69.63999938964844,65.41000366210938,64.5,0.06466894191582817,0.07968991301780526
122,122,122,122,2019-07-31,70.22000122070312,66.18000030517578,63.77999877929688,0.06104564667418688,0.10097213177584252
123,123,123,123,2019-08-01,68.44000244140625,68.75,63.900001525878906,-0.00450905539772728,0.07104852593295607
124,124,124,124,2019-08-02,69.08000183105469,68.30000305175781,64.81999969482422,0.01142018659509847,0.0657204899149455
125,125,125,125,2019-08-05,65.91000366210938,69.5,65.76000213623047,-0.05165462356677153,0.0022810450274646232
126,126,126,126,2019-08-06,65.36000061035156,68.4800033569336,65.91999816894531,-0.04556078553793075,-0.00849510883114013
127,127,127,127,2019-08-07,65.54000091552734,69.63999938964844,65.41000366210938,-0.058874188829050045,0.001987421589050742
128,128,128,128,2019-08-08,68.41000366210938,70.22000122070312,66.18000030517578,-0.02577609694002836,0.03369603122771814
129,129,129,129,2019-08-09,58.09000015258789,68.44000244140625,68.75,-0.15122738047356643,-0.15505454323508527
130,130,130,130,2019-08-12,57.5,69.08000183105469,68.30000305175781,-0.16763175338899505,-0.15812595269686236
131,131,131,131,2019-08-13,58.77999877929688,65.91000366210938,69.5,-0.10817788630941039,-0.15424462188062038
132,132,132,132,2019-08-14,57.86000061035156,65.36000061035156,68.4800033569336,-0.11474908093578207,-0.15508180820652306
133,133,133,133,2019-08-15,57.36000061035156,65.54000091552734,69.63999938964844,-0.12480927969041,-0.17633542341934916
134,134,134,134,2019-08-16,59.220001220703125,68.41000366210938,70.22000122070312,-0.13433711371800972,-0.15665052419219905
135,135,135,135,2019-08-19,60.11000061035156,58.09000015258789,68.44000244140625,0.034773634919222474,-0.12171247127272211
136,136,136,136,2019-08-20,60.75,57.5,69.08000183105469,0.05652173913043468,-0.12058485249359041
137,137,137,137,2019-08-21,60.34000015258789,58.77999877929688,65.91000366210938,0.026539663247500123,-0.08450922773538838
138,138,138,138,2019-08-22,62.369998931884766,57.86000061035156,65.36000061035156,0.07794673822949005,-0.04574665928006816
139,139,139,139,2019-08-23,59.369998931884766,57.36000061035156,65.54000091552734,0.0350418113693407,-0.09414101155712407
140,140,140,140,2019-08-26,60.959999084472656,59.220001220703125,68.41000366210938,0.029381928873740693,-0.10890226836463535
141,141,141,141,2019-08-27,60.97999954223633,60.11000061035156,58.09000015258789,0.014473447397286288,0.04975037669232463
142,142,142,142,2019-08-28,59.93999862670898,60.75,57.5,-0.013333355938946911,0.0424347587253735
143,143,143,143,2019-08-29,61.33000183105469,60.34000015258789,58.77999877929688,0.01640705462318981,0.04338215557527292
144,144,144,144,2019-08-30,59.970001220703125,62.369998931884766,57.86000061035156,-0.03848000244160199,0.0364673451105022
145,145,145,145,2019-09-03,58.9900016784668,59.369998931884766,57.36000061035156,-0.006400492845788031,0.028417033660579794
146,146,146,146,2019-09-04,59.970001220703125,60.959999084472656,59.220001220703125,-0.01624012268106645,0.012664640063158261
147,147,147,147,2019-09-05,61.18999862670898,60.97999954223633,60.11000061035156,0.0034437370621362984,0.01796702720664145
148,148,148,148,2019-09-06,61.9900016784668,59.93999862670898,60.75,0.03420091923132529,0.020411550262827927
149,149,149,149,2019-09-09,59.54999923706055,61.33000183105469,60.34000015258789,-0.029023357913758097,-0.013092491109207627
150,150,150,150,2019-09-10,60.56999969482422,59.970001220703125,62.369998931884766,0.010004976853559944,-0.02886001712179531
151,151,151,151,2019-09-11,62.93999862670898,58.9900016784668,59.369998931884766,0.06696044814123225,0.060131375426165645
152,152,152,152,2019-09-12,64.37000274658203,59.970001220703125,60.959999084472656,0.07337004229307764,0.05593838112405658
153,153,153,153,2019-09-13,65.11000061035156,61.18999862670898,60.97999954223633,0.06406278920770458,0.0677271416713392
154,154,154,154,2019-09-16,66.19000244140625,61.9900016784668,59.93999862670898,0.0677528738380142,0.1042710036351635
155,155,155,155,2019-09-17,66.1500015258789,59.54999923706055,61.33000183105469,0.11083127411210603,0.07859122046175449
156,156,156,156,2019-09-18,65.44000244140625,60.56999969482422,59.970001220703125,0.08040288544030116,0.09121229130165065
157,157,157,157,2019-09-19,63.13999938964844,62.93999862670898,58.9900016784668,0.003177641679429355,0.07035086613154862
158,158,158,158,2019-09-20,63.540000915527344,64.37000274658203,59.970001220703125,-0.012894233270772326,0.05952975858189191
159,159,159,159,2019-09-23,62.5,65.11000061035156,61.18999862670898,-0.040086017292044196,0.021408749839703756
160,160,160,160,2019-09-24,60.95000076293945,66.19000244140625,61.9900016784668,-0.07916605960402301,-0.01677691381461288
161,161,161,161,2019-09-25,60.43000030517578,66.1500015258789,59.54999923706055,-0.08647016007195962,0.014777516026693194
162,162,162,162,2019-09-26,59.0099983215332,65.44000244140625,60.56999969482422,-0.09825800550099839,-0.025755347220586478
163,163,163,163,2019-09-27,58.310001373291016,63.13999938964844,62.93999862670898,-0.07649664338053952,-0.0735620806234526
164,164,164,164,2019-09-30,56.77999877929688,63.540000915527344,64.37000274658203,-0.10638970788208646,-0.1179121274418179
165,165,165,165,2019-10-01,54.220001220703125,62.5,65.11000061035156,-0.13247998046874998,-0.16725540297287422
166,166,166,166,2019-10-02,53.2599983215332,60.95000076293945,66.19000244140625,-0.12616902945277964,-0.19534678415096218
167,167,167,167,2019-10-03,54.29999923706055,60.43000030517578,66.1500015258789,-0.10143969943998499,-0.17913835246371768
168,168,168,168,2019-10-04,54.86000061035156,59.0099983215332,65.44000244140625,-0.07032702642303368,-0.16167483857488885
169,169,169,169,2019-10-07,54.619998931884766,58.310001373291016,63.13999938964844,-0.06328249621850401,-0.13493824105358632
170,170,170,170,2019-10-08,52.7599983215332,56.77999877929688,63.540000915527344,-0.07079958690012245,-0.1696569474137325
171,171,171,171,2019-10-09,52.34000015258789,54.220001220703125,62.5,-0.034673571113779,-0.16255999755859374
172,172,172,172,2019-10-10,52.540000915527344,53.2599983215332,60.95000076293945,-0.01351853978025308,-0.1379819481893394
173,173,173,173,2019-10-11,53.15999984741211,54.29999923706055,60.43000030517578,-0.02099446419274298,-0.12030449149511258
174,174,174,174,2019-10-14,52.83000183105469,54.86000061035156,59.0099983215332,-0.03700325841618446,-0.10472795570684479
175,175,175,175,2019-10-15,53.31999969482422,54.619998931884766,58.310001373291016,-0.023800792063026988,-0.08557711474780505
176,176,176,176,2019-10-16,51.88999938964844,52.7599983215332,56.77999877929688,-0.016489745253264854,-0.08612186500136798
177,177,177,177,2019-10-17,51.75,52.34000015258789,54.220001220703125,-0.011272452251965048,-0.04555516719095887
178,178,178,178,2019-10-18,50.54999923706055,52.540000915527344,53.2599983215332,-0.037875935359542146,-0.05088244780092288
179,179,179,179,2019-10-21,52.31999969482422,53.15999984741211,54.29999923706055,-0.015801357317512865,-0.03646408047985661
180,180,180,180,2019-10-22,53.20000076293945,52.83000183105469,54.86000061035156,0.007003575980708554,-0.03025883756732739
181,181,181,181,2019-10-23,53.709999084472656,53.31999969482422,54.619998931884766,0.0073143171770553295,-0.01666056142818584
