,Unnamed: 0.1,Unnamed: 0,Date,EXC,EXC_6m,EXC_12m
821,821,821,2022-05-09,44.069129943847656,44.11628723144531,46.9077377319336
822,822,822,2022-05-10,44.09741973876953,43.993690490722656,45.87980651855469
823,823,823,2022-05-11,44.90845489501953,44.03140258789063,45.99296951293945
824,824,824,2022-05-12,43.548336029052734,45.19136428833008,45.66290283203125
825,825,825,2022-05-13,44.3841667175293,44.229454040527344,45.06877517700195
826,826,826,2022-05-16,44.51713562011719,44.38034057617188,45.58745956420898
827,827,827,2022-05-17,45.15349960327149,44.069129943847656,44.11628723144531
828,828,828,2022-05-18,44.76408004760742,44.09741973876953,43.993690490722656
829,829,829,2022-05-19,44.97303771972656,44.90845489501953,44.03140258789063
830,830,830,2022-05-20,44.783084869384766,43.548336029052734,45.19136428833008
831,831,831,2022-05-23,45.485931396484375,44.3841667175293,44.229454040527344
832,832,832,2022-05-24,46.37874221801758,44.51713562011719,44.38034057617188
833,833,833,2022-05-25,46.5592041015625,45.15349960327149,44.069129943847656
834,834,834,2022-05-26,46.69218063354492,44.76408004760742,44.09741973876953
835,835,835,2022-05-27,47.34754180908203,44.97303771972656,44.90845489501953
836,836,836,2022-05-31,46.68267822265625,44.783084869384766,43.548336029052734
837,837,837,2022-06-01,46.72067260742188,45.485931396484375,44.3841667175293
838,838,838,2022-06-02,46.53071212768555,46.37874221801758,44.51713562011719
839,839,839,2022-06-03,46.28376388549805,46.5592041015625,45.15349960327149
840,840,840,2022-06-06,46.11279296875,46.69218063354492,44.76408004760742
841,841,841,2022-06-07,46.58769989013672,47.34754180908203,44.97303771972656
842,842,842,2022-06-08,45.75187301635742,46.68267822265625,44.783084869384766
843,843,843,2022-06-09,44.31767654418945,46.72067260742188,45.485931396484375
844,844,844,2022-06-10,43.70030212402344,46.53071212768555,46.37874221801758
845,845,845,2022-06-13,41.48727035522461,46.28376388549805,46.5592041015625
846,846,846,2022-06-14,40.1860466003418,46.11279296875,46.69218063354492
847,847,847,2022-06-15,40.1385498046875,46.58769989013672,47.34754180908203
848,848,848,2022-06-16,39.15076446533203,45.75187301635742,46.68267822265625
849,849,849,2022-06-17,38.85631942749024,44.31767654418945,46.72067260742188
850,850,850,2022-06-21,39.51168441772461,43.70030212402344,46.53071212768555
851,851,851,2022-06-22,39.59716796875,41.48727035522461,46.28376388549805
852,852,852,2022-06-23,40.11005783081055,40.1860466003418,46.11279296875
853,853,853,2022-06-24,41.11685180664063,40.1385498046875,46.58769989013672
854,854,854,2022-06-27,41.68672561645508,39.15076446533203,45.75187301635742
855,855,855,2022-06-28,41.6772346496582,38.85631942749024,44.31767654418945
856,856,856,2022-06-29,42.114139556884766,39.51168441772461,43.70030212402344
857,857,857,2022-06-30,43.0449447631836,39.59716796875,41.48727035522461
858,858,858,2022-07-01,43.75729751586914,40.11005783081055,40.1860466003418
859,859,859,2022-07-05,41.43028259277344,41.11685180664063,40.1385498046875
860,860,860,2022-07-06,42.03815078735352,41.68672561645508,39.15076446533203
861,861,861,2022-07-07,42.16162872314453,41.6772346496582,38.85631942749024
862,862,862,2022-07-08,42.066650390625,42.114139556884766,39.51168441772461
863,863,863,2022-07-11,42.19962310791016,43.0449447631836,39.59716796875
864,864,864,2022-07-12,42.00966262817383,43.75729751586914,40.11005783081055
865,865,865,2022-07-13,41.41128540039063,41.43028259277344,41.11685180664063
866,866,866,2022-07-14,41.93367767333984,42.03815078735352,41.68672561645508
867,867,867,2022-07-15,42.00966262817383,42.16162872314453,41.6772346496582
868,868,868,2022-07-18,41.563255310058594,42.066650390625,42.114139556884766
869,869,869,2022-07-19,41.50627136230469,42.19962310791016,43.0449447631836
870,870,870,2022-07-20,40.93638610839844,42.00966262817383,43.75729751586914
871,871,871,2022-07-21,41.08835220336914,41.41128540039063,41.43028259277344
872,872,872,2022-07-22,41.810203552246094,41.93367767333984,42.03815078735352
873,873,873,2022-07-25,42.19012069702149,42.00966262817383,42.16162872314453
874,874,874,2022-07-26,42.45606994628906,41.563255310058594,42.066650390625
875,875,875,2022-07-27,42.22811508178711,41.50627136230469,42.19962310791016
876,876,876,2022-07-28,43.94725799560547,40.93638610839844,42.00966262817383
877,877,877,2022-07-29,44.156211853027344,41.08835220336914,41.41128540039063
878,878,878,2022-08-01,43.79528427124024,41.810203552246094,41.93367767333984
879,879,879,2022-08-02,43.52934646606445,42.19012069702149,42.00966262817383
880,880,880,2022-08-03,42.08564758300781,42.45606994628906,41.563255310058594
881,881,881,2022-08-04,42.79800033569336,42.22811508178711,41.50627136230469
882,882,882,2022-08-05,42.522552490234375,43.94725799560547,40.93638610839844
883,883,883,2022-08-08,42.722015380859375,44.156211853027344,41.08835220336914
