,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,GEN,GEN_6m,GEN_12m,GEN_6m_ret,GEN_12m_ret
869,869,869,869,2022-07-19,23.797224044799805,22.05267143249512,21.165935516357425,0.07910844804652761,0.1243171380924255
870,870,870,870,2022-07-20,23.83577537536621,22.226163864135746,21.4743709564209,0.07241967264660287,0.10996384591369113
871,871,871,871,2022-07-21,24.10565185546875,22.11050033569336,21.32979202270508,0.09023547588177294,0.13014003276772823
872,872,872,872,2022-07-22,24.51046562194824,22.52495384216309,21.72496795654297,0.08814720747922644,0.12821642227400165
873,873,873,873,2022-07-25,23.87433242797852,22.66952896118164,22.12977600097656,0.053146382920436164,0.07883299075982397
874,874,874,874,2022-07-26,23.42132568359375,22.920129776000977,22.235801696777344,0.0218670623810151,0.053315999260248104
875,875,875,875,2022-07-27,23.797224044799805,23.797224044799805,22.05267143249512,0.0,0.07910844804652761
876,876,876,876,2022-07-28,23.68156242370605,23.83577537536621,22.226163864135746,-0.0064698105780748305,0.06548132050437827
877,877,877,877,2022-07-29,23.643007278442383,24.10565185546875,22.11050033569336,-0.01919236948248748,0.06931127380573443
878,878,878,878,2022-08-01,23.87433242797852,24.51046562194824,22.52495384216309,-0.025953533636671744,0.05990594232826396
879,879,879,879,2022-08-02,23.883968353271484,23.87433242797852,22.66952896118164,0.0004036102505498018,0.05357144359591226
880,880,880,880,2022-08-03,25.773096084594727,23.42132568359375,22.920129776000977,0.10041149816930961,0.12447426504456405
881,881,881,881,2022-08-04,25.63815689086914,23.797224044799805,23.797224044799805,0.07735914250349785,0.07735914250349785
882,882,882,882,2022-08-05,23.33457946777344,23.68156242370605,23.83577537536621,-0.014652029698229208,-0.02102704441957215
883,883,883,883,2022-08-08,23.29602432250977,23.643007278442383,24.10565185546875,-0.01467592306876253,-0.03358662681321778
884,884,884,884,2022-08-09,23.5466251373291,23.87433242797852,24.51046562194824,-0.013726343621879633,-0.03932363013765239
885,885,885,885,2022-08-10,23.45987892150879,23.883968353271484,23.87433242797852,-0.017756238221803167,-0.01735979457101089
886,886,886,886,2022-08-11,23.18036460876465,25.773096084594727,23.42132568359375,-0.1005983707708219,-0.010288105724002294
887,887,887,887,2022-08-12,23.315303802490234,25.63815689086914,23.797224044799805,-0.09060140704600239,-0.020251111701193536
888,888,888,888,2022-08-15,23.17072868347168,23.33457946777344,23.68156242370605,-0.0070218014654196415,-0.021570947520042405
889,889,889,889,2022-08-16,23.33457946777344,23.29602432250977,23.643007278442383,0.0016550096587260033,-0.013045202204466033
890,890,890,890,2022-08-17,22.939403533935547,23.5466251373291,23.87433242797852,-0.02578805242161475,-0.03916042037461631
891,891,891,891,2022-08-18,22.91049194335937,23.45987892150879,23.883968353271484,-0.023418150621643763,-0.04075857058229493
892,892,892,892,2022-08-19,22.808752059936523,23.18036460876465,25.773096084594727,-0.016031350459760008,-0.11501699349307404
893,893,893,893,2022-08-22,22.5180721282959,23.315303802490234,25.63815689086914,-0.03419349286408124,-0.12169692134478038
894,894,894,894,2022-08-23,22.49868965148925,23.17072868347168,23.33457946777344,-0.029003793586423243,-0.03582193617153495
895,895,895,895,2022-08-24,22.40180015563965,23.33457946777344,23.29602432250977,-0.03997412138590373,-0.03838526928417041
896,896,896,896,2022-08-25,22.653722763061523,22.939403533935547,23.5466251373291,-0.012453713997026994,-0.03792060938924258
897,897,897,897,2022-08-26,21.99484634399414,22.91049194335937,23.45987892150879,-0.039966212931129674,-0.06244842875857548
898,898,898,898,2022-08-29,22.091737747192383,22.808752059936523,23.18036460876465,-0.03143592910563364,-0.0469633191688732
899,899,899,899,2022-08-30,21.96577835083008,22.5180721282959,23.315303802490234,-0.024526690132225526,-0.05788152979229089
900,900,900,900,2022-08-31,21.888261795043945,22.49868965148925,23.17072868347168,-0.02713170704165424,-0.05534857819739414
901,901,901,901,2022-09-01,21.87857246398925,22.40180015563965,23.33457946777344,-0.023356502067476748,-0.062396967804585035
902,902,902,902,2022-09-02,22.13049697875977,22.653722763061523,22.939403533935547,-0.023096679948556242,-0.035262754499223004
903,903,903,903,2022-09-06,21.423171997070312,21.99484634399414,22.91049194335937,-0.025991286230555022,-0.06491872588184033
904,904,904,904,2022-09-07,22.14987564086914,22.091737747192383,22.808752059936523,0.0026316577872713687,-0.028886999925993195
905,905,905,905,2022-09-08,22.66341209411621,21.96577835083008,22.5180721282959,0.03176002835609815,0.006454369849791863
