,Unnamed: 0.1,Unnamed: 0,Date,LOW,LOW_6m,LOW_12m
189,189,189,2019-11-04,104.38750457763672,103.42351531982422,103.85620880126952
190,190,190,2019-11-05,103.9981918334961,103.47915649414062,104.07756805419922
191,191,191,2019-11-06,104.43384552001952,101.52337646484376,103.25667572021484
192,192,192,2019-11-07,104.36896514892578,103.14544677734376,104.24847412109376
193,193,193,2019-11-08,105.66664123535156,103.45132446289062,103.35865020751952
194,194,194,2019-11-11,106.0837173461914,104.6933822631836,102.7654266357422
195,195,195,2019-11-12,105.96321868896484,104.38750457763672,103.42351531982422
196,196,196,2019-11-13,104.60069274902344,103.9981918334961,103.47915649414062
197,197,197,2019-11-14,106.16715240478516,104.43384552001952,101.52337646484376
198,198,198,2019-11-15,107.07549285888672,104.36896514892578,103.14544677734376
199,199,199,2019-11-18,106.61204528808594,105.66664123535156,103.45132446289062
200,200,200,2019-11-19,105.11048126220705,106.0837173461914,104.6933822631836
201,201,201,2019-11-20,109.21666717529295,105.96321868896484,104.38750457763672
202,202,202,2019-11-21,108.46585845947266,104.60069274902344,103.9981918334961
203,203,203,2019-11-22,109.5595932006836,106.16715240478516,104.43384552001952
204,204,204,2019-11-25,108.44733428955078,107.07549285888672,104.36896514892578
205,205,205,2019-11-26,109.17030334472656,106.61204528808594,105.66664123535156
206,206,206,2019-11-27,109.80061340332033,105.11048126220705,106.0837173461914
207,207,207,2019-11-29,108.73464965820312,109.21666717529295,105.96321868896484
208,208,208,2019-12-02,107.52041625976562,108.46585845947266,104.60069274902344
209,209,209,2019-12-03,106.17642211914062,109.5595932006836,106.16715240478516
210,210,210,2019-12-04,107.0198974609375,108.44733428955078,107.07549285888672
211,211,211,2019-12-05,107.1311264038086,109.17030334472656,106.61204528808594
212,212,212,2019-12-06,107.77994537353516,109.80061340332033,105.11048126220705
213,213,213,2019-12-09,109.25371551513672,108.73464965820312,109.21666717529295
214,214,214,2019-12-10,107.96533203125,107.52041625976562,108.46585845947266
215,215,215,2019-12-11,109.05908203125,106.17642211914062,109.5595932006836
216,216,216,2019-12-12,109.5595932006836,107.0198974609375,108.44733428955078
217,217,217,2019-12-13,109.83767700195312,107.1311264038086,109.17030334472656
218,218,218,2019-12-16,111.30218505859376,107.77994537353516,109.80061340332033
219,219,219,2019-12-17,110.59773254394533,109.25371551513672,108.73464965820312
220,220,220,2019-12-18,110.58844757080078,107.96533203125,107.52041625976562
221,221,221,2019-12-19,111.42266082763672,109.05908203125,106.17642211914062
222,222,222,2019-12-20,110.97777557373048,109.5595932006836,107.0198974609375
223,223,223,2019-12-23,110.84798431396484,109.83767700195312,107.1311264038086
224,224,224,2019-12-24,111.0148468017578,111.30218505859376,107.77994537353516
225,225,225,2019-12-26,110.97777557373048,110.59773254394533,109.25371551513672
226,226,226,2019-12-27,111.44121551513672,110.58844757080078,107.96533203125
227,227,227,2019-12-30,111.27436065673828,111.42266082763672,109.05908203125
228,228,228,2019-12-31,111.0055694580078,110.97777557373048,109.5595932006836
229,229,229,2020-01-02,111.65438079833984,110.84798431396484,109.83767700195312
230,230,230,2020-01-03,110.85725402832033,111.0148468017578,111.30218505859376
231,231,231,2020-01-06,111.55242156982422,110.97777557373048,110.59773254394533
232,232,232,2020-01-07,110.8850555419922,111.44121551513672,110.58844757080078
233,233,233,2020-01-08,112.6461944580078,111.27436065673828,111.42266082763672
234,234,234,2020-01-09,113.12815856933594,111.0055694580078,110.97777557373048
235,235,235,2020-01-10,112.15491485595705,111.65438079833984,110.84798431396484
236,236,236,2020-01-13,112.20126342773438,110.85725402832033,111.0148468017578
237,237,237,2020-01-14,111.29290771484376,111.55242156982422,110.97777557373048
238,238,238,2020-01-15,110.7831039428711,110.8850555419922,111.44121551513672
239,239,239,2020-01-16,110.55137634277344,112.6461944580078,111.27436065673828
240,240,240,2020-01-17,113.41551971435548,113.12815856933594,111.0055694580078
241,241,241,2020-01-21,112.5961456298828,112.15491485595705,111.65438079833984
242,242,242,2020-01-22,113.50863647460938,112.20126342773438,110.85725402832033
243,243,243,2020-01-23,114.25347137451172,111.29290771484376,111.55242156982422
244,244,244,2020-01-24,111.94438934326172,110.7831039428711,110.8850555419922
245,245,245,2020-01-27,111.50676727294922,110.55137634277344,112.6461944580078
246,246,246,2020-01-28,112.80098724365234,113.41551971435548,113.12815856933594
247,247,247,2020-01-29,112.1212921142578,112.5961456298828,112.15491485595705
248,248,248,2020-01-30,111.46953582763672,113.50863647460938,112.20126342773438
249,249,249,2020-01-31,108.22935485839844,114.25347137451172,111.29290771484376
250,250,250,2020-02-03,109.10456848144533,111.94438934326172,110.7831039428711
251,251,251,2020-02-04,111.1250457763672,111.50676727294922,110.55137634277344
252,252,252,2020-02-05,113.71343994140624,112.80098724365234,113.41551971435548
253,253,253,2020-02-06,113.1361846923828,112.1212921142578,112.5961456298828
254,254,254,2020-02-07,113.10824584960938,111.46953582763672,113.50863647460938
255,255,255,2020-02-10,112.85685729980467,108.22935485839844,114.25347137451172
256,256,256,2020-02-11,114.55142974853516,109.10456848144533,111.94438934326172
257,257,257,2020-02-12,116.41360473632812,111.1250457763672,111.50676727294922
258,258,258,2020-02-13,116.17152404785156,113.71343994140624,112.80098724365234
259,259,259,2020-02-14,116.7767333984375,113.1361846923828,112.1212921142578
260,260,260,2020-02-18,114.7376480102539,113.10824584960938,111.46953582763672
261,261,261,2020-02-19,114.93317413330078,112.85685729980467,108.22935485839844
262,262,262,2020-02-20,117.84746551513672,114.55142974853516,109.10456848144533
263,263,263,2020-02-21,116.6742935180664,116.41360473632812,111.1250457763672
264,264,264,2020-02-24,114.439697265625,116.17152404785156,113.71343994140624
265,265,265,2020-02-25,110.35222625732422,116.7767333984375,113.1361846923828
266,266,266,2020-02-26,105.4919662475586,114.7376480102539,113.10824584960938
267,267,267,2020-02-27,100.20340728759766,114.93317413330078,112.85685729980467
268,268,268,2020-02-28,99.22575378417967,117.84746551513672,114.55142974853516
269,269,269,2020-03-02,103.38771057128906,116.6742935180664,116.41360473632812
270,270,270,2020-03-03,101.07862854003906,114.439697265625,116.17152404785156
271,271,271,2020-03-04,105.48267364501952,110.35222625732422,116.7767333984375
272,272,272,2020-03-05,100.11029052734376,105.4919662475586,114.7376480102539
273,273,273,2020-03-06,98.05260467529295,100.20340728759766,114.93317413330078
274,274,274,2020-03-09,87.72686767578125,99.22575378417967,117.84746551513672
275,275,275,2020-03-10,96.85150909423828,103.38771057128906,116.6742935180664
276,276,276,2020-03-11,92.3171157836914,101.07862854003906,114.439697265625
277,277,277,2020-03-12,83.72319793701172,105.48267364501952,110.35222625732422
278,278,278,2020-03-13,89.8404312133789,100.11029052734376,105.4919662475586
279,279,279,2020-03-16,67.58747863769531,98.05260467529295,100.20340728759766
280,280,280,2020-03-17,68.70479583740234,87.72686767578125,99.22575378417967
281,281,281,2020-03-18,60.53916931152344,96.85150909423828,103.38771057128906
282,282,282,2020-03-19,65.05492401123047,92.3171157836914,101.07862854003906
283,283,283,2020-03-20,61.78683090209961,83.72319793701172,105.48267364501952
284,284,284,2020-03-23,63.12759017944336,89.8404312133789,100.11029052734376
285,285,285,2020-03-24,71.972900390625,67.58747863769531,98.05260467529295
286,286,286,2020-03-25,77.9504623413086,68.70479583740234,87.72686767578125
287,287,287,2020-03-26,82.03792572021484,60.53916931152344,96.85150909423828
288,288,288,2020-03-27,80.98580169677734,65.05492401123047,92.3171157836914
289,289,289,2020-03-30,82.59657287597656,61.78683090209961,83.72319793701172
290,290,290,2020-03-31,80.11991119384766,63.12759017944336,89.8404312133789
291,291,291,2020-04-01,74.87787628173828,71.972900390625,67.58747863769531
292,292,292,2020-04-02,77.14974212646484,77.9504623413086,68.70479583740234
293,293,293,2020-04-03,76.53520965576172,82.03792572021484,60.53916931152344
294,294,294,2020-04-06,82.6524429321289,80.98580169677734,65.05492401123047
295,295,295,2020-04-07,84.69151306152344,82.59657287597656,61.78683090209961
296,296,296,2020-04-08,87.84788513183594,80.11991119384766,63.12759017944336
297,297,297,2020-04-09,88.74172973632812,74.87787628173828,71.972900390625
298,298,298,2020-04-13,88.63932037353516,77.14974212646484,77.9504623413086
299,299,299,2020-04-14,92.2426300048828,76.53520965576172,82.03792572021484
300,300,300,2020-04-15,87.83860778808594,82.6524429321289,80.98580169677734
301,301,301,2020-04-16,86.06953430175781,84.69151306152344,82.59657287597656
302,302,302,2020-04-17,90.40838623046876,87.84788513183594,80.11991119384766
303,303,303,2020-04-20,88.57415008544922,88.74172973632812,74.87787628173828
304,304,304,2020-04-21,86.73861694335938,88.63932037353516,77.14974212646484
305,305,305,2020-04-22,88.92066192626953,92.2426300048828,76.53520965576172
306,306,306,2020-04-23,88.87381744384766,87.83860778808594,82.6524429321289
307,307,307,2020-04-24,92.47935485839844,86.06953430175781,84.69151306152344
308,308,308,2020-04-27,95.494873046875,90.40838623046876,87.84788513183594
309,309,309,2020-04-28,96.94644927978516,88.57415008544922,88.74172973632812
310,310,310,2020-04-29,99.41881561279295,86.73861694335938,88.63932037353516
311,311,311,2020-04-30,98.09835815429688,88.92066192626953,92.2426300048828
312,312,312,2020-05-01,97.82677459716795,88.87381744384766,87.83860778808594
313,313,313,2020-05-04,100.53323364257812,92.47935485839844,86.06953430175781
314,314,314,2020-05-05,103.15544891357422,95.494873046875,90.40838623046876
315,315,315,2020-05-06,102.65911865234376,96.94644927978516,88.57415008544922
316,316,316,2020-05-07,104.81305694580078,99.41881561279295,86.73861694335938
317,317,317,2020-05-08,106.97637939453124,98.09835815429688,88.92066192626953
318,318,318,2020-05-11,106.1897201538086,97.82677459716795,88.87381744384766
319,319,319,2020-05-12,104.17623138427734,100.53323364257812,92.47935485839844
320,320,320,2020-05-13,103.41767120361328,103.15544891357422,95.494873046875
321,321,321,2020-05-14,103.38021087646484,102.65911865234376,96.94644927978516
322,322,322,2020-05-15,106.55493927001952,104.81305694580078,99.41881561279295
323,323,323,2020-05-18,109.317626953125,106.97637939453124,98.09835815429688
324,324,324,2020-05-19,109.44873809814452,106.1897201538086,97.82677459716795
325,325,325,2020-05-20,109.56111907958984,104.17623138427734,100.53323364257812
326,326,326,2020-05-21,112.97932434082033,103.41767120361328,103.15544891357422
327,327,327,2020-05-22,114.48709869384766,103.38021087646484,102.65911865234376
328,328,328,2020-05-26,115.7419891357422,106.55493927001952,104.81305694580078
329,329,329,2020-05-27,119.88133239746094,109.317626953125,106.97637939453124
