,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,RVTY,RVTY_6m,RVTY_12m,RVTY_6m_ret,RVTY_12m_ret
296,296,296,296,2020-04-08,77.19971466064453,74.62242889404297,67.25732421875,0.03453768263508383,0.14782613726287352
297,297,297,297,2020-04-09,77.65570068359375,70.21131134033203,73.66089630126953,0.10602834787085635,0.05423236184889291
298,298,298,298,2020-04-13,75.76238250732422,71.67838287353516,74.3448715209961,0.05697672673495746,0.01906669494919755
299,299,299,299,2020-04-14,77.66561126708984,70.57805633544922,78.3198471069336,0.10042150917211878,-0.008353385048753936
300,300,300,300,2020-04-15,78.0621337890625,74.75131225585938,74.14663696289062,0.04429114932284817,0.0528074770017084
301,301,301,301,2020-04-16,80.8698959350586,74.79095458984375,75.8416976928711,0.08127909823523405,0.0662985982005535
302,302,302,302,2020-04-17,82.97325134277344,77.19971466064453,74.62242889404297,0.07478702100789225,0.11190767403976998
303,303,303,303,2020-04-20,83.85626983642578,77.65570068359375,70.21131134033203,0.07984692814885674,0.1943413138938992
304,304,304,304,2020-04-21,81.99101257324219,75.76238250732422,71.67838287353516,0.0822127005485318,0.14387363785678575
305,305,305,305,2020-04-22,84.87818908691406,77.66561126708984,70.57805633544922,0.09286707079431022,0.20261443136798762
306,306,306,306,2020-04-23,86.51519775390625,78.0621337890625,74.75131225585938,0.10828635542663245,0.15737363188730868
307,307,307,307,2020-04-24,86.86247253417969,80.8698959350586,74.79095458984375,0.07410145060571538,0.16140344792410488
308,308,308,308,2020-04-27,88.06295776367188,82.97325134277344,77.19971466064453,0.06134153282570787,0.14071610433769255
309,309,309,309,2020-04-28,87.75538635253906,83.85626983642578,77.65570068359375,0.04649761459362667,0.13005723443403383
310,310,310,310,2020-04-29,90.007568359375,81.99101257324219,75.76238250732422,0.0977735916966711,0.18802452326091568
311,311,311,311,2020-04-30,89.81906127929688,84.87818908691406,77.66561126708984,0.058211329029692616,0.1564843154380342
312,312,312,312,2020-05-01,88.3903579711914,86.51519775390625,78.0621337890625,0.021674344692814262,0.132307735912492
