,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,YUM,YUM_6m,YUM_12m,YUM_6m_ret,YUM_12m_ret
198,198,198,198,2019-11-15,90.93697357177734,92.2138671875,95.618896484375,-0.013847088888771175,-0.048964410642019174
199,199,199,199,2019-11-18,90.93697357177734,91.51063537597656,94.11067962646484,-0.006268799269530723,-0.0337231233190991
200,200,200,200,2019-11-19,90.75191497802734,91.44587707519533,92.20459747314452,-0.007588774030756418,-0.01575498982618828
201,201,201,201,2019-11-20,91.17935180664062,90.9924774169922,91.09424591064452,0.0020537344949080882,0.0009342620397734258
202,202,202,202,2019-11-21,90.97493743896484,91.02947998046876,90.61309814453124,-0.0005991744818889533,0.003993233890496217
203,203,203,203,2019-11-22,90.71473693847656,90.77967071533205,92.61170959472656,-0.0007152898478680614,-0.02048307567748453
204,204,204,204,2019-11-25,91.0771484375,90.93697357177734,92.2138671875,0.0015414507456861237,-0.012326982748578241
205,205,205,205,2019-11-26,92.6940689086914,90.93697357177734,91.51063537597656,0.019322122431611133,0.012932196655095263
206,206,206,206,2019-11-27,93.52111053466795,90.75191497802734,91.44587707519533,0.030513907693419773,0.022693570512382744
207,207,207,207,2019-11-29,93.54899597167967,91.17935180664062,90.9924774169922,0.025988824422268575,0.0280959330623749
208,208,208,208,2019-12-02,93.44676971435548,90.97493743896484,91.02947998046876,0.027170475132769267,0.02655502079552008
209,209,209,209,2019-12-03,92.41529083251952,90.71473693847656,90.77967071533205,0.0187461701531062,0.01801747136004117
210,210,210,210,2019-12-04,92.18297576904295,91.0771484375,90.93697357177734,0.012141655184799927,0.01370182169392442
211,211,211,211,2019-12-05,91.55106353759766,92.6940689086914,90.93697357177734,-0.012330943981104903,0.006752918441205846
212,212,212,212,2019-12-06,91.78337860107422,93.52111053466795,90.75191497802734,-0.018581172995690287,0.011365750500103688
213,213,213,213,2019-12-09,91.9785385131836,93.54899597167967,91.17935180664062,-0.016787539429835352,0.00876499657770946
214,214,214,214,2019-12-10,92.22013854980467,93.44676971435548,90.97493743896484,-0.013126522921020456,0.01368729834714344
215,215,215,215,2019-12-11,92.40599060058594,92.41529083251952,90.71473693847656,-0.00010063520711556251,0.01864364842127464
216,216,216,216,2019-12-12,92.76840209960938,92.18297576904295,91.0771484375,0.006350698984085357,0.01856946216613231
