,Unnamed: 0.1,Unnamed: 0,Date,XRAY,XRAY_6m,XRAY_12m
784,784,784,2022-03-16,47.201263427734375,48.96815490722656,52.560184478759766
785,785,785,2022-03-17,47.33717727661133,49.812774658203125,52.773773193359375
786,786,786,2022-03-18,47.2401008605957,49.20115280151367,50.94863510131836
787,787,787,2022-03-21,47.8128776550293,47.34688568115234,51.74469757080078
788,788,788,2022-03-22,48.23033142089844,46.29840087890625,51.03600311279297
789,789,789,2022-03-23,48.045875549316406,46.317813873291016,49.99722290039063
790,790,790,2022-03-24,47.87554931640625,47.201263427734375,48.96815490722656
791,791,791,2022-03-25,48.3621940612793,47.33717727661133,49.812774658203125
792,792,792,2022-03-28,48.508182525634766,47.2401008605957,49.20115280151367
793,793,793,2022-03-29,48.401123046875,47.8128776550293,47.34688568115234
794,794,794,2022-03-30,48.22593307495117,48.23033142089844,46.29840087890625
795,795,795,2022-03-31,47.90475463867188,48.045875549316406,46.317813873291016
796,796,796,2022-04-01,47.9339485168457,47.87554931640625,47.201263427734375
797,797,797,2022-04-04,47.37918472290039,48.3621940612793,47.33717727661133
798,798,798,2022-04-05,47.33052062988281,48.508182525634766,47.2401008605957
799,799,799,2022-04-06,46.98014068603516,48.401123046875,47.8128776550293
800,800,800,2022-04-07,46.78548431396485,48.22593307495117,48.23033142089844
801,801,801,2022-04-08,46.76601409912109,47.90475463867188,48.045875549316406
802,802,802,2022-04-11,47.18452835083008,47.9339485168457,47.87554931640625
803,803,803,2022-04-12,47.15532302856445,47.37918472290039,48.3621940612793
804,804,804,2022-04-13,47.44730758666992,47.33052062988281,48.508182525634766
805,805,805,2022-04-14,47.75875854492188,46.98014068603516,48.401123046875
806,806,806,2022-04-18,47.418113708496094,46.78548431396485,48.22593307495117
807,807,807,2022-04-19,41.07233810424805,46.76601409912109,47.90475463867188
808,808,808,2022-04-20,41.74390411376953,47.18452835083008,47.9339485168457
809,809,809,2022-04-21,40.96528244018555,47.15532302856445,47.37918472290039
810,810,810,2022-04-22,39.855743408203125,47.44730758666992,47.33052062988281
811,811,811,2022-04-25,40.42024230957031,47.75875854492188,46.98014068603516
812,812,812,2022-04-26,39.72921371459961,47.418113708496094,46.78548431396485
813,813,813,2022-04-27,39.21337890625,41.07233810424805,46.76601409912109
814,814,814,2022-04-28,39.11604690551758,41.74390411376953,47.18452835083008
815,815,815,2022-04-29,38.92139434814453,40.96528244018555,47.15532302856445
816,816,816,2022-05-02,38.59048461914063,39.855743408203125,47.44730758666992
817,817,817,2022-05-03,39.59295272827149,40.42024230957031,47.75875854492188
818,818,818,2022-05-04,40.82902145385742,39.72921371459961,47.418113708496094
819,819,819,2022-05-05,39.719482421875,39.21337890625,41.07233810424805
820,820,820,2022-05-06,39.5053596496582,39.11604690551758,41.74390411376953
821,821,821,2022-05-09,38.201168060302734,38.92139434814453,40.96528244018555
822,822,822,2022-05-10,35.40786361694336,38.59048461914063,39.855743408203125
823,823,823,2022-05-11,36.67312240600586,39.59295272827149,40.42024230957031
824,824,824,2022-05-12,36.83858489990234,40.82902145385742,39.72921371459961
825,825,825,2022-05-13,37.20841979980469,39.719482421875,39.21337890625
826,826,826,2022-05-16,37.23762512207031,39.5053596496582,39.11604690551758
827,827,827,2022-05-17,37.928653717041016,38.201168060302734,38.92139434814453
828,828,828,2022-05-18,36.61471939086914,35.40786361694336,38.59048461914063
829,829,829,2022-05-19,36.32273864746094,36.67312240600586,39.59295272827149
830,830,830,2022-05-20,36.741249084472656,36.83858489990234,40.82902145385742
831,831,831,2022-05-23,37.4712028503418,37.20841979980469,39.719482421875
832,832,832,2022-05-24,37.08189392089844,37.23762512207031,39.5053596496582
833,833,833,2022-05-25,37.549072265625,37.928653717041016,38.201168060302734
834,834,834,2022-05-26,37.90918350219727,36.61471939086914,35.40786361694336
835,835,835,2022-05-27,38.65860748291016,36.32273864746094,36.67312240600586
836,836,836,2022-05-31,38.50288391113281,36.741249084472656,36.83858489990234
837,837,837,2022-06-01,37.99678421020508,37.4712028503418,37.20841979980469
838,838,838,2022-06-02,40.68303298950195,37.08189392089844,37.23762512207031
839,839,839,2022-06-03,39.40803527832031,37.549072265625,37.928653717041016
840,840,840,2022-06-06,39.34963607788086,37.90918350219727,36.61471939086914
841,841,841,2022-06-07,39.43722534179688,38.65860748291016,36.32273864746094
842,842,842,2022-06-08,38.931129455566406,38.50288391113281,36.741249084472656
843,843,843,2022-06-09,38.05517959594727,37.99678421020508,37.4712028503418
844,844,844,2022-06-10,37.198692321777344,40.68303298950195,37.08189392089844
845,845,845,2022-06-13,35.758235931396484,39.40803527832031,37.549072265625
846,846,846,2022-06-14,34.638973236083984,39.34963607788086,37.90918350219727
847,847,847,2022-06-15,34.41511535644531,39.43722534179688,38.65860748291016
848,848,848,2022-06-16,33.81168746948242,38.931129455566406,38.50288391113281
849,849,849,2022-06-17,34.38592529296875,38.05517959594727,37.99678421020508
850,850,850,2022-06-21,34.23992919921875,37.198692321777344,40.68303298950195
851,851,851,2022-06-22,34.580570220947266,35.758235931396484,39.40803527832031
852,852,852,2022-06-23,35.10311508178711,34.638973236083984,39.34963607788086
853,853,853,2022-06-24,35.90401840209961,34.41511535644531,39.43722534179688
854,854,854,2022-06-27,35.87472152709961,33.81168746948242,38.931129455566406
855,855,855,2022-06-28,34.99567794799805,34.38592529296875,38.05517959594727
856,856,856,2022-06-29,35.542633056640625,34.23992919921875,37.198692321777344
857,857,857,2022-06-30,34.898006439208984,34.580570220947266,35.758235931396484
858,858,858,2022-07-01,35.3570671081543,35.10311508178711,34.638973236083984
859,859,859,2022-07-05,35.2593879699707,35.90401840209961,34.41511535644531
860,860,860,2022-07-06,34.79056930541992,35.87472152709961,33.81168746948242
861,861,861,2022-07-07,34.6342887878418,34.99567794799805,34.38592529296875
862,862,862,2022-07-08,34.390113830566406,35.542633056640625,34.23992919921875
863,863,863,2022-07-11,33.95058822631836,34.898006439208984,34.580570220947266
864,864,864,2022-07-12,34.00919723510742,35.3570671081543,35.10311508178711
