,Unnamed: 0.1,Unnamed: 0,Date,PEP,PEP_6m,PEP_12m
784,784,784,2022-03-16,152.1925506591797,150.44854736328125,155.0229949951172
785,785,785,2022-03-17,153.37428283691406,150.00064086914062,153.63128662109375
786,786,786,2022-03-18,155.1372833251953,147.24652099609375,155.76150512695312
787,787,787,2022-03-21,154.91807556152344,146.50320434570312,155.5947265625
788,788,788,2022-03-22,156.6144256591797,148.5616455078125,157.9581298828125
789,789,789,2022-03-23,155.7948455810547,151.52545166015625,154.8132781982422
790,790,790,2022-03-24,156.73829650878906,152.1925506591797,150.44854736328125
791,791,791,2022-03-25,157.47210693359375,153.37428283691406,150.00064086914062
792,792,792,2022-03-28,157.93907165527344,155.1372833251953,147.24652099609375
793,793,793,2022-03-29,160.28343200683594,154.91807556152344,146.50320434570312
794,794,794,2022-03-30,160.0642547607422,156.6144256591797,148.5616455078125
795,795,795,2022-03-31,159.51150512695312,155.7948455810547,151.52545166015625
796,796,796,2022-04-01,161.7796173095703,156.73829650878906,152.1925506591797
797,797,797,2022-04-04,161.36029052734375,157.47210693359375,153.37428283691406
798,798,798,2022-04-05,161.53184509277344,157.93907165527344,155.1372833251953
799,799,799,2022-04-06,164.28599548339844,160.28343200683594,154.91807556152344
800,800,800,2022-04-07,164.4384765625,160.0642547607422,156.6144256591797
801,801,801,2022-04-08,164.99119567871094,159.51150512695312,155.7948455810547
802,802,802,2022-04-11,164.4861297607422,161.7796173095703,156.73829650878906
803,803,803,2022-04-12,165.15321350097656,161.36029052734375,157.47210693359375
804,804,804,2022-04-13,164.8673095703125,161.53184509277344,157.93907165527344
805,805,805,2022-04-14,163.8190460205078,164.28599548339844,160.28343200683594
806,806,806,2022-04-18,162.40859985351562,164.4384765625,160.0642547607422
807,807,807,2022-04-19,164.77200317382812,164.99119567871094,159.51150512695312
808,808,808,2022-04-20,167.22122192382812,164.4861297607422,161.7796173095703
809,809,809,2022-04-21,166.620849609375,165.15321350097656,161.36029052734375
810,810,810,2022-04-22,164.0572509765625,164.8673095703125,161.53184509277344
811,811,811,2022-04-25,165.57252502441406,163.8190460205078,164.28599548339844
812,812,812,2022-04-26,165.15321350097656,162.40859985351562,164.4384765625
813,813,813,2022-04-27,166.63034057617188,164.77200317382812,164.99119567871094
814,814,814,2022-04-28,169.15577697753906,167.22122192382812,164.4861297607422
815,815,815,2022-04-29,163.63796997070312,166.620849609375,165.15321350097656
816,816,816,2022-05-02,159.87364196777344,164.0572509765625,164.8673095703125
817,817,817,2022-05-03,160.09283447265625,165.57252502441406,163.8190460205078
818,818,818,2022-05-04,165.6868896484375,165.15321350097656,162.40859985351562
819,819,819,2022-05-05,162.38002014160156,166.63034057617188,164.77200317382812
820,820,820,2022-05-06,162.39907836914062,169.15577697753906,167.22122192382812
821,821,821,2022-05-09,163.62844848632812,163.63796997070312,166.620849609375
822,822,822,2022-05-10,163.4282989501953,159.87364196777344,164.0572509765625
823,823,823,2022-05-11,162.6373291015625,160.09283447265625,165.57252502441406
824,824,824,2022-05-12,162.3895263671875,165.6868896484375,165.15321350097656
825,825,825,2022-05-13,165.55348205566406,162.38002014160156,166.63034057617188
826,826,826,2022-05-16,167.22122192382812,162.39907836914062,169.15577697753906
827,827,827,2022-05-17,166.25869750976562,163.62844848632812,163.63796997070312
828,828,828,2022-05-18,155.9568634033203,163.4282989501953,159.87364196777344
829,829,829,2022-05-19,153.62203979492188,162.6373291015625,160.09283447265625
830,830,830,2022-05-20,154.58456420898438,162.3895263671875,165.6868896484375
831,831,831,2022-05-23,157.81517028808594,165.55348205566406,162.38002014160156
832,832,832,2022-05-24,159.9308319091797,167.22122192382812,162.39907836914062
833,833,833,2022-05-25,161.02674865722656,166.25869750976562,163.62844848632812
834,834,834,2022-05-26,162.11317443847656,155.9568634033203,163.4282989501953
835,835,835,2022-05-27,163.6951446533203,153.62203979492188,162.6373291015625
836,836,836,2022-05-31,159.86412048339844,154.58456420898438,162.3895263671875
837,837,837,2022-06-01,158.6633758544922,157.81517028808594,165.55348205566406
838,838,838,2022-06-02,159.94924926757812,159.9308319091797,167.22122192382812
839,839,839,2022-06-03,158.19314575195312,161.02674865722656,166.25869750976562
840,840,840,2022-06-06,158.85528564453125,162.11317443847656,155.9568634033203
841,841,841,2022-06-07,159.83407592773438,163.6951446533203,153.62203979492188
842,842,842,2022-06-08,159.03759765625,159.86412048339844,154.58456420898438
843,843,843,2022-06-09,156.2067108154297,158.6633758544922,157.81517028808594
844,844,844,2022-06-10,155.95724487304688,159.94924926757812,159.9308319091797
845,845,845,2022-06-13,153.2895050048828,158.19314575195312,161.02674865722656
846,846,846,2022-06-14,149.815673828125,158.85528564453125,162.11317443847656
