,Unnamed: 0.1,Unnamed: 0,Date,MTCH,MTCH_6m,MTCH_12m
446,446,446,2020-11-10,132.22000122070312,118.9800033569336,120.3000030517578
447,447,447,2020-11-11,133.41000366210938,121.62999725341795,119.26000213623048
448,448,448,2020-11-12,131.25999450683594,128.69000244140625,125.77999877929688
449,449,449,2020-11-13,131.60000610351562,134.97000122070312,118.5199966430664
450,450,450,2020-11-16,134.8300018310547,132.55999755859375,122.12000274658205
451,451,451,2020-11-17,131.35000610351562,137.22000122070312,116.77999877929688
452,452,452,2020-11-18,131.35000610351562,132.22000122070312,118.9800033569336
453,453,453,2020-11-19,132.30999755859375,133.41000366210938,121.62999725341795
454,454,454,2020-11-20,130.57000732421875,131.25999450683594,128.69000244140625
455,455,455,2020-11-23,138.22999572753906,131.60000610351562,134.97000122070312
456,456,456,2020-11-24,138.6699981689453,134.8300018310547,132.55999755859375
457,457,457,2020-11-25,139.00999450683594,131.35000610351562,137.22000122070312
458,458,458,2020-11-27,139.6300048828125,131.35000610351562,132.22000122070312
459,459,459,2020-11-30,139.2100067138672,132.30999755859375,133.41000366210938
460,460,460,2020-12-01,143.30999755859375,130.57000732421875,131.25999450683594
461,461,461,2020-12-02,138.92999267578125,138.22999572753906,131.60000610351562
462,462,462,2020-12-03,140.13999938964844,138.6699981689453,134.8300018310547
463,463,463,2020-12-04,145.38999938964844,139.00999450683594,131.35000610351562
464,464,464,2020-12-07,146.07000732421875,139.6300048828125,131.35000610351562
465,465,465,2020-12-08,145.4199981689453,139.2100067138672,132.30999755859375
466,466,466,2020-12-09,143.52000427246094,143.30999755859375,130.57000732421875
467,467,467,2020-12-10,147.32000732421875,138.92999267578125,138.22999572753906
468,468,468,2020-12-11,148.11000061035156,140.13999938964844,138.6699981689453
469,469,469,2020-12-14,144.80999755859375,145.38999938964844,139.00999450683594
470,470,470,2020-12-15,150.83999633789062,146.07000732421875,139.6300048828125
471,471,471,2020-12-16,153.89999389648438,145.4199981689453,139.2100067138672
472,472,472,2020-12-17,148.75,143.52000427246094,143.30999755859375
473,473,473,2020-12-18,155.07000732421875,147.32000732421875,138.92999267578125
474,474,474,2020-12-21,154.14999389648438,148.11000061035156,140.13999938964844
475,475,475,2020-12-22,156.1199951171875,144.80999755859375,145.38999938964844
476,476,476,2020-12-23,153.38999938964844,150.83999633789062,146.07000732421875
477,477,477,2020-12-24,152.0800018310547,153.89999389648438,145.4199981689453
478,478,478,2020-12-28,150.0800018310547,148.75,143.52000427246094
479,479,479,2020-12-29,150.22000122070312,155.07000732421875,147.32000732421875
480,480,480,2020-12-30,152.0,154.14999389648438,148.11000061035156
481,481,481,2020-12-31,151.19000244140625,156.1199951171875,144.80999755859375
482,482,482,2021-01-04,149.9199981689453,153.38999938964844,150.83999633789062
483,483,483,2021-01-05,150.2899932861328,152.0800018310547,153.89999389648438
484,484,484,2021-01-06,148.80999755859375,150.0800018310547,148.75
485,485,485,2021-01-07,152.86000061035156,150.22000122070312,155.07000732421875
486,486,486,2021-01-08,151.7899932861328,152.0,154.14999389648438
487,487,487,2021-01-11,151.89999389648438,151.19000244140625,156.1199951171875
488,488,488,2021-01-12,153.57000732421875,149.9199981689453,153.38999938964844
489,489,489,2021-01-13,155.02000427246094,150.2899932861328,152.0800018310547
490,490,490,2021-01-14,149.0500030517578,148.80999755859375,150.0800018310547
491,491,491,2021-01-15,150.85000610351562,152.86000061035156,150.22000122070312
492,492,492,2021-01-19,146.13999938964844,151.7899932861328,152.0
493,493,493,2021-01-20,147.6300048828125,151.89999389648438,151.19000244140625
494,494,494,2021-01-21,144.49000549316406,153.57000732421875,149.9199981689453
495,495,495,2021-01-22,141.0,155.02000427246094,150.2899932861328
496,496,496,2021-01-25,139.4199981689453,149.0500030517578,148.80999755859375
497,497,497,2021-01-26,138.4199981689453,150.85000610351562,152.86000061035156
498,498,498,2021-01-27,131.5500030517578,146.13999938964844,151.7899932861328
499,499,499,2021-01-28,141.52000427246094,147.6300048828125,151.89999389648438
500,500,500,2021-01-29,139.86000061035156,144.49000549316406,153.57000732421875
501,501,501,2021-02-01,145.9499969482422,141.0,155.02000427246094
502,502,502,2021-02-02,150.08999633789062,139.4199981689453,149.0500030517578
503,503,503,2021-02-03,138.1199951171875,138.4199981689453,150.85000610351562
504,504,504,2021-02-04,150.6300048828125,131.5500030517578,146.13999938964844
505,505,505,2021-02-05,159.82000732421875,141.52000427246094,147.6300048828125
506,506,506,2021-02-08,159.0,139.86000061035156,144.49000549316406
507,507,507,2021-02-09,158.8699951171875,145.9499969482422,141.0
508,508,508,2021-02-10,171.07000732421875,150.08999633789062,139.4199981689453
509,509,509,2021-02-11,172.1300048828125,138.1199951171875,138.4199981689453
510,510,510,2021-02-12,169.52999877929688,150.6300048828125,131.5500030517578
511,511,511,2021-02-16,164.86000061035156,159.82000732421875,141.52000427246094
512,512,512,2021-02-17,160.8000030517578,159.0,139.86000061035156
513,513,513,2021-02-18,162.24000549316406,158.8699951171875,145.9499969482422
514,514,514,2021-02-19,160.9499969482422,171.07000732421875,150.08999633789062
515,515,515,2021-02-22,156.7100067138672,172.1300048828125,138.1199951171875
516,516,516,2021-02-23,161.3300018310547,169.52999877929688,150.6300048828125
517,517,517,2021-02-24,160.7899932861328,164.86000061035156,159.82000732421875
518,518,518,2021-02-25,151.72000122070312,160.8000030517578,159.0
519,519,519,2021-02-26,152.85000610351562,162.24000549316406,158.8699951171875
520,520,520,2021-03-01,156.52000427246094,160.9499969482422,171.07000732421875
521,521,521,2021-03-02,152.50999450683594,156.7100067138672,172.1300048828125
522,522,522,2021-03-03,147.33999633789062,161.3300018310547,169.52999877929688
523,523,523,2021-03-04,143.66000366210938,160.7899932861328,164.86000061035156
524,524,524,2021-03-05,146.2899932861328,151.72000122070312,160.8000030517578
525,525,525,2021-03-08,145.55999755859375,152.85000610351562,162.24000549316406
526,526,526,2021-03-09,152.11000061035156,156.52000427246094,160.9499969482422
527,527,527,2021-03-10,146.85000610351562,152.50999450683594,156.7100067138672
528,528,528,2021-03-11,155.35000610351562,147.33999633789062,161.3300018310547
529,529,529,2021-03-12,153.3800048828125,143.66000366210938,160.7899932861328
530,530,530,2021-03-15,153.92999267578125,146.2899932861328,151.72000122070312
531,531,531,2021-03-16,154.19000244140625,145.55999755859375,152.85000610351562
532,532,532,2021-03-17,154.41000366210938,152.11000061035156,156.52000427246094
533,533,533,2021-03-18,147.13999938964844,146.85000610351562,152.50999450683594
534,534,534,2021-03-19,152.6999969482422,155.35000610351562,147.33999633789062
535,535,535,2021-03-22,154.88999938964844,153.3800048828125,143.66000366210938
536,536,536,2021-03-23,145.88999938964844,153.92999267578125,146.2899932861328
537,537,537,2021-03-24,139.8000030517578,154.19000244140625,145.55999755859375
538,538,538,2021-03-25,134.60000610351562,154.41000366210938,152.11000061035156
539,539,539,2021-03-26,138.27000427246094,147.13999938964844,146.85000610351562
540,540,540,2021-03-29,133.14999389648438,152.6999969482422,155.35000610351562
541,541,541,2021-03-30,131.47999572753906,154.88999938964844,153.3800048828125
542,542,542,2021-03-31,137.3800048828125,145.88999938964844,153.92999267578125
543,543,543,2021-04-01,142.66000366210938,139.8000030517578,154.19000244140625
544,544,544,2021-04-05,144.14999389648438,134.60000610351562,154.41000366210938
545,545,545,2021-04-06,143.13999938964844,138.27000427246094,147.13999938964844
546,546,546,2021-04-07,141.86000061035156,133.14999389648438,152.6999969482422
547,547,547,2021-04-08,145.5500030517578,131.47999572753906,154.88999938964844
548,548,548,2021-04-09,143.8699951171875,137.3800048828125,145.88999938964844
549,549,549,2021-04-12,144.52999877929688,142.66000366210938,139.8000030517578
550,550,550,2021-04-13,146.14999389648438,144.14999389648438,134.60000610351562
551,551,551,2021-04-14,144.17999267578125,143.13999938964844,138.27000427246094
552,552,552,2021-04-15,146.47000122070312,141.86000061035156,133.14999389648438
553,553,553,2021-04-16,145.3000030517578,145.5500030517578,131.47999572753906
554,554,554,2021-04-19,146.0,143.8699951171875,137.3800048828125
555,555,555,2021-04-20,139.72000122070312,144.52999877929688,142.66000366210938
556,556,556,2021-04-21,141.0500030517578,146.14999389648438,144.14999389648438
557,557,557,2021-04-22,143.47999572753906,144.17999267578125,143.13999938964844
558,558,558,2021-04-23,149.00999450683594,146.47000122070312,141.86000061035156
559,559,559,2021-04-26,152.5,145.3000030517578,145.5500030517578
560,560,560,2021-04-27,157.8000030517578,146.0,143.8699951171875
561,561,561,2021-04-28,159.1300048828125,139.72000122070312,144.52999877929688
562,562,562,2021-04-29,156.5500030517578,141.0500030517578,146.14999389648438
563,563,563,2021-04-30,155.6300048828125,143.47999572753906,144.17999267578125
564,564,564,2021-05-03,148.44000244140625,149.00999450683594,146.47000122070312
565,565,565,2021-05-04,138.92999267578125,152.5,145.3000030517578
566,566,566,2021-05-05,143.6699981689453,157.8000030517578,146.0
567,567,567,2021-05-06,139.9600067138672,159.1300048828125,139.72000122070312
568,568,568,2021-05-07,146.19000244140625,156.5500030517578,141.0500030517578
569,569,569,2021-05-10,141.80999755859375,155.6300048828125,143.47999572753906
570,570,570,2021-05-11,146.39999389648438,148.44000244140625,149.00999450683594
571,571,571,2021-05-12,141.6199951171875,138.92999267578125,152.5
572,572,572,2021-05-13,138.39999389648438,143.6699981689453,157.8000030517578
573,573,573,2021-05-14,142.19000244140625,139.9600067138672,159.1300048828125
574,574,574,2021-05-17,139.99000549316406,146.19000244140625,156.5500030517578
575,575,575,2021-05-18,136.86000061035156,141.80999755859375,155.6300048828125
576,576,576,2021-05-19,138.83999633789062,146.39999389648438,148.44000244140625
577,577,577,2021-05-20,142.77999877929688,141.6199951171875,138.92999267578125
578,578,578,2021-05-21,143.32000732421875,138.39999389648438,143.6699981689453
579,579,579,2021-05-24,147.3000030517578,142.19000244140625,139.9600067138672
580,580,580,2021-05-25,144.25999450683594,139.99000549316406,146.19000244140625
581,581,581,2021-05-26,144.63999938964844,136.86000061035156,141.80999755859375
582,582,582,2021-05-27,143.00999450683594,138.83999633789062,146.39999389648438
583,583,583,2021-05-28,143.3800048828125,142.77999877929688,141.6199951171875
584,584,584,2021-06-01,143.22000122070312,143.32000732421875,138.39999389648438
585,585,585,2021-06-02,139.42999267578125,147.3000030517578,142.19000244140625
586,586,586,2021-06-03,136.80999755859375,144.25999450683594,139.99000549316406
587,587,587,2021-06-04,137.92999267578125,144.63999938964844,136.86000061035156
588,588,588,2021-06-07,143.47999572753906,143.00999450683594,138.83999633789062
589,589,589,2021-06-08,142.85000610351562,143.3800048828125,142.77999877929688
590,590,590,2021-06-09,141.77000427246094,143.22000122070312,143.32000732421875
591,591,591,2021-06-10,141.8800048828125,139.42999267578125,147.3000030517578
592,592,592,2021-06-11,141.57000732421875,136.80999755859375,144.25999450683594
593,593,593,2021-06-14,143.86000061035156,137.92999267578125,144.63999938964844
594,594,594,2021-06-15,142.33999633789062,143.47999572753906,143.00999450683594
595,595,595,2021-06-16,143.02000427246094,142.85000610351562,143.3800048828125
596,596,596,2021-06-17,150.25,141.77000427246094,143.22000122070312
597,597,597,2021-06-18,153.9199981689453,141.8800048828125,139.42999267578125
598,598,598,2021-06-21,155.72000122070312,141.57000732421875,136.80999755859375
599,599,599,2021-06-22,159.05999755859375,143.86000061035156,137.92999267578125
600,600,600,2021-06-23,161.52999877929688,142.33999633789062,143.47999572753906
601,601,601,2021-06-24,164.27000427246094,143.02000427246094,142.85000610351562
602,602,602,2021-06-25,161.99000549316406,150.25,141.77000427246094
603,603,603,2021-06-28,161.52999877929688,153.9199981689453,141.8800048828125
604,604,604,2021-06-29,162.27999877929688,155.72000122070312,141.57000732421875
605,605,605,2021-06-30,161.25,159.05999755859375,143.86000061035156
606,606,606,2021-07-01,159.47999572753906,161.52999877929688,142.33999633789062
607,607,607,2021-07-02,161.39999389648438,164.27000427246094,143.02000427246094
608,608,608,2021-07-06,161.24000549316406,161.99000549316406,150.25
609,609,609,2021-07-07,157.69000244140625,161.52999877929688,153.9199981689453
610,610,610,2021-07-08,158.25,162.27999877929688,155.72000122070312
611,611,611,2021-07-09,162.6300048828125,161.25,159.05999755859375
612,612,612,2021-07-12,162.83999633789062,159.47999572753906,161.52999877929688
613,613,613,2021-07-13,164.61000061035156,161.39999389648438,164.27000427246094
