,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,QRVO,QRVO_6m,QRVO_12m,QRVO_6m_ret,QRVO_12m_ret
33,33,33,33,2019-03-25,70.87000274658203,69.66000366210938,68.3499984741211,0.017370069205592253,0.03686911965938178
34,34,34,34,2019-03-26,71.1500015258789,69.83000183105469,68.58000183105469,0.018903045398993346,0.03747447690589678
35,35,35,35,2019-03-27,70.56999969482422,70.11000061035156,69.37000274658203,0.0065611051272012055,0.01729849936183414
36,36,36,36,2019-03-28,70.2300033569336,69.12000274658203,69.23999786376953,0.01605903596996683,0.014298173363781919
37,37,37,37,2019-03-29,71.7300033569336,73.88999938964844,69.08999633789062,-0.029232589667844144,0.03821113271061383
38,38,38,38,2019-04-01,73.20999908447266,71.66999816894531,68.6500015258789,0.021487386003514963,0.0664238522540277
39,39,39,39,2019-04-02,74.06999969482422,70.87000274658203,69.66000366210938,0.04515305240899714,0.06330743325977739
40,40,40,40,2019-04-03,74.41000366210938,71.1500015258789,69.83000183105469,0.045818721944014706,0.06558788072403976
41,41,41,41,2019-04-04,74.04000091552734,70.56999969482422,70.11000061035156,0.04917105336132832,0.05605477493884847
42,42,42,42,2019-04-05,74.88999938964844,70.2300033569336,69.12000274658203,0.06635335056202551,0.08347795737539565
43,43,43,43,2019-04-08,75.25,71.7300033569336,73.88999938964844,0.049072863213886375,0.018405746671884327
44,44,44,44,2019-04-09,75.22000122070312,73.20999908447266,71.66999816894531,0.02745529519692047,0.049532623726172176
45,45,45,45,2019-04-10,76.2300033569336,74.06999969482422,70.87000274658203,0.029161653449558678,0.07563144352509665
46,46,46,46,2019-04-11,76.05000305175781,74.41000366210938,71.1500015258789,0.022040039093339736,0.0688686074602074
47,47,47,47,2019-04-12,77.19000244140625,74.04000091552734,70.56999969482422,0.04254459058519955,0.0938076062804285
48,48,48,48,2019-04-15,76.38999938964844,74.88999938964844,70.2300033569336,0.020029376581986336,0.08771174338989529
49,49,49,49,2019-04-16,78.30999755859375,75.25,71.7300033569336,0.04066441938330567,0.09173280208726098
50,50,50,50,2019-04-17,76.55999755859375,75.22000122070312,73.20999908447266,0.017814362086474134,0.04575875585322331
51,51,51,51,2019-04-18,76.68000030517578,76.2300033569336,74.06999969482422,0.0059031474278592455,0.03523694641697084
52,52,52,52,2019-04-22,76.01000213623047,76.05000305175781,74.41000366210938,-0.0005259817741245509,0.021502464660350995
53,53,53,53,2019-04-23,76.5999984741211,77.19000244140625,74.04000091552734,-0.007643528288951873,0.034575871514567647
54,54,54,54,2019-04-24,77.25,76.38999938964844,74.88999938964844,0.011258026145083422,0.031512893972299505
55,55,55,55,2019-04-25,77.30000305175781,78.30999755859375,75.25,-0.012897389073218024,0.027242565471864655
56,56,56,56,2019-04-26,74.98999786376953,76.55999755859375,75.22000122070312,-0.020506788726353475,-0.0030577419994815003
57,57,57,57,2019-04-29,75.44999694824219,76.68000030517578,76.2300033569336,-0.016040732290536708,-0.01023227567023921
58,58,58,58,2019-04-30,75.61000061035156,76.01000213623047,76.05000305175781,-0.0052624853918830095,-0.00578569919460481
59,59,59,59,2019-05-01,75.58000183105469,76.5999984741211,77.19000244140625,-0.013315883334005685,-0.020857631292001688
60,60,60,60,2019-05-02,76.75,77.25,76.38999938964844,-0.006472491909385147,0.0047126667525585475
61,61,61,61,2019-05-03,75.18000030517578,77.30000305175781,78.30999755859375,-0.027425648937717928,-0.039969318746000626
62,62,62,62,2019-05-06,74.33000183105469,74.98999786376953,76.55999755859375,-0.008801120836325782,-0.02912742683713354
63,63,63,63,2019-05-07,73.68000030517578,75.44999694824219,76.68000030517578,-0.023459200989505713,-0.03912363051721979
64,64,64,64,2019-05-08,76.18000030517578,75.61000061035156,76.01000213623047,0.007538681262041713,0.0022365236701431535
65,65,65,65,2019-05-09,75.1500015258789,75.58000183105469,76.5999984741211,-0.005689339703073393,-0.018929464453345424
66,66,66,66,2019-05-10,75.06999969482422,76.75,77.25,-0.021889254790563917,-0.0282200686754146
67,67,67,67,2019-05-13,71.05000305175781,75.18000030517578,77.30000305175781,-0.05493478633483906,-0.08085381310806916
68,68,68,68,2019-05-14,72.86000061035156,74.33000183105469,74.98999786376953,-0.01977668753519346,-0.028403751354779683
69,69,69,69,2019-05-15,73.3499984741211,73.68000030517578,75.44999694824219,-0.004478852194460536,-0.02783298289013414
70,70,70,70,2019-05-16,68.11000061035156,76.18000030517578,75.61000061035156,-0.10593331140057671,-0.09919322760821658
71,71,71,71,2019-05-17,63.93000030517578,75.1500015258789,75.58000183105469,-0.14930141041766132,-0.1541413236787207
72,72,72,72,2019-05-20,61.27000045776367,75.06999969482422,76.75,-0.1838284173859135,-0.201693805110571
73,73,73,73,2019-05-21,61.540000915527344,71.05000305175781,75.18000030517578,-0.13384942614714201,-0.18143122285554703
74,74,74,74,2019-05-22,60.20000076293945,72.86000061035156,74.33000183105469,-0.17375788829753924,-0.19009822036909718
75,75,75,75,2019-05-23,60.65999984741211,73.3499984741211,73.68000030517578,-0.173006119845881,-0.1767101032008147
76,76,76,76,2019-05-24,62.29999923706055,68.11000061035156,76.18000030517578,-0.08530320542102587,-0.18220006579826975
77,77,77,77,2019-05-28,60.75,63.93000030517578,75.1500015258789,-0.04974190974496728,-0.19161678288083694
78,78,78,78,2019-05-29,62.08000183105469,61.27000045776367,75.06999969482422,0.013220195319720851,-0.17303846964934966
79,79,79,79,2019-05-30,61.869998931884766,61.540000915527344,71.05000305175781,0.00536233362769023,-0.1292048377983276
80,80,80,80,2019-05-31,61.18000030517578,60.20000076293945,72.86000061035156,0.016279061957082952,-0.1603074417695839
81,81,81,81,2019-06-03,61.880001068115234,60.65999984741211,73.3499984741211,0.02011212040507737,-0.15637351935395927
82,82,82,82,2019-06-04,64.18000030517578,62.29999923706055,68.11000061035156,0.030176582522281503,-0.057700782116547056
83,83,83,83,2019-06-05,63.43999862670898,60.75,63.93000030517578,0.044279812785332995,-0.00766465941072636
84,84,84,84,2019-06-06,63.45000076293945,62.08000183105469,61.27000045776367,0.022068281112701982,0.03558022341910316
85,85,85,85,2019-06-07,64.37999725341797,61.869998931884766,61.540000915527344,0.04056890843487104,0.04614878608450024
86,86,86,86,2019-06-10,65.5,61.18000030517578,60.20000076293945,0.0706113055455273,0.08803985332045627
87,87,87,87,2019-06-11,64.30999755859375,61.880001068115234,60.65999984741211,0.03926949658264656,0.06017140983124092
88,88,88,88,2019-06-12,62.77999877929688,64.18000030517578,62.29999923706055,-0.021813672783139504,0.00770464764228751
89,89,89,89,2019-06-13,63.310001373291016,63.43999862670898,60.75,-0.0020491370780584273,0.0421399403010867
90,90,90,90,2019-06-14,61.5,63.45000076293945,62.08000183105469,-0.030732872174816905,-0.009342812724669525
91,91,91,91,2019-06-17,61.65999984741211,64.37999725341797,61.869998931884766,-0.042249107207929404,-0.003394198934831949
92,92,92,92,2019-06-18,65.08999633789062,65.5,61.18000030517578,-0.006259597894799573,0.06390970927118578
93,93,93,93,2019-06-19,65.58999633789062,64.30999755859375,61.880001068115234,0.019903573750421177,0.05995467365444229
94,94,94,94,2019-06-20,64.83999633789062,62.77999877929688,64.18000030517578,0.03281295951972951,0.010283515574580404
95,95,95,95,2019-06-21,63.88999938964844,63.310001373291016,63.43999862670898,0.009161238410620332,0.007093328699253831
96,96,96,96,2019-06-24,64.55000305175781,61.5,63.45000076293945,0.049593545557037544,0.017336521285920226
97,97,97,97,2019-06-25,63.459999084472656,61.65999984741211,64.37999725341797,0.0291923328173036,-0.014290124389473635
98,98,98,98,2019-06-26,65.63999938964844,65.08999633789062,65.5,0.008449886045509558,0.002137395261808228
99,99,99,99,2019-06-27,67.05999755859375,65.58999633789062,64.30999755859375,0.02241197290407415,0.04276162501008396
100,100,100,100,2019-06-28,66.61000061035156,64.83999633789062,62.77999877929688,0.027298031653752552,0.061006720381105106
101,101,101,101,2019-07-01,70.58000183105469,63.88999938964844,63.310001373291016,0.10471126162649758,0.11483178486915513
102,102,102,102,2019-07-02,69.62000274658203,64.55000305175781,61.5,0.07854375608253594,0.13203256498507376
103,103,103,103,2019-07-03,68.98999786376953,63.459999084472656,61.65999984741211,0.08714148848215086,0.11887768463342074
104,104,104,104,2019-07-05,68.97000122070312,65.63999938964844,65.08999633789062,0.050731289793092715,0.05960984945629577
105,105,105,105,2019-07-08,68.95999908447266,67.05999755859375,65.58999633789062,0.028332860051460296,0.051379828247302584
106,106,106,106,2019-07-09,69.62999725341797,66.61000061035156,64.83999633789062,0.04533848694481302,0.07387417005031827
107,107,107,107,2019-07-10,69.33999633789062,70.58000183105469,63.88999938964844,-0.01756879372335851,0.08530281734711065
108,108,108,108,2019-07-11,69.33999633789062,69.62000274658203,64.55000305175781,-0.004021924700443269,0.07420593430943878
109,109,109,109,2019-07-12,70.26000213623047,68.98999786376953,63.459999084472656,0.018408527493633864,0.10715416246234444
110,110,110,110,2019-07-15,70.69000244140625,68.97000122070312,65.63999938964844,0.024938396263023632,0.07693484306391096
111,111,111,111,2019-07-16,70.55000305175781,68.95999908447266,67.05999755859375,0.02305690238390934,0.05204303042383307
112,112,112,112,2019-07-17,70.5199966430664,69.62999725341797,66.61000061035156,0.012781838643613375,0.05869983481290064
113,113,113,113,2019-07-18,71.23999786376953,69.33999633789062,70.58000183105469,0.027401234874895097,0.009351034508254363
114,114,114,114,2019-07-19,71.29000091552734,69.33999633789062,69.62000274658203,0.028122363435591158,0.023987332707011477
115,115,115,115,2019-07-22,72.80000305175781,70.26000213623047,68.98999786376953,0.036151449449181916,0.05522547189393556
116,116,116,116,2019-07-23,73.88999938964844,70.69000244140625,68.97000122070312,0.045268027128653854,0.07133533539025727
117,117,117,117,2019-07-24,75.33000183105469,70.55000305175781,68.95999908447266,0.06775334617335327,0.09237243084616464
118,118,118,118,2019-07-25,74.7300033569336,70.5199966430664,69.62999725341797,0.05969947411052701,0.0732443817993298
119,119,119,119,2019-07-26,74.91999816894531,71.23999786376953,69.33999633789062,0.05165637865701456,0.08047306209627703
120,120,120,120,2019-07-29,74.68000030517578,71.29000091552734,69.33999633789062,0.04755224219544196,0.07701188706823059
121,121,121,121,2019-07-30,75.48999786376953,72.80000305175781,70.26000213623047,0.036950476638019314,0.0744377393755038
122,122,122,122,2019-07-31,73.29000091552734,73.88999938964844,70.69000244140625,-0.008120158060322735,0.03678028553296753
123,123,123,123,2019-08-01,71.33999633789062,75.33000183105469,70.55000305175781,-0.05296701707392215,0.0111976364558517
124,124,124,124,2019-08-02,70.88999938964844,74.7300033569336,70.5199966430664,-0.051385036729412525,0.005246777711218398
125,125,125,125,2019-08-05,68.1500015258789,74.91999816894531,71.23999786376953,-0.09036301132576108,-0.043374458598378185
126,126,126,126,2019-08-06,70.13999938964844,74.68000030517578,71.29000091552734,-0.06079272759741394,-0.016131315908405774
127,127,127,127,2019-08-07,70.7699966430664,75.48999786376953,72.80000305175781,-0.06252485566658661,-0.02788470224717099
128,128,128,128,2019-08-08,72.05999755859375,73.29000091552734,73.88999938964844,-0.01678268988359366,-0.0247665698493843
129,129,129,129,2019-08-09,69.48999786376953,71.33999633789062,75.33000183105469,-0.025932135815635138,-0.07752560500904726
130,130,130,130,2019-08-12,69.38999938964844,70.88999938964844,74.7300033569336,-0.021159543136052505,-0.07145729596424144
131,131,131,131,2019-08-13,71.69999694824219,68.1500015258789,74.91999816894531,0.052090907452367885,-0.04297919513348081
132,132,132,132,2019-08-14,69.77999877929688,70.13999938964844,74.68000030517578,-0.005132600705506918,-0.06561330350636474
133,133,133,133,2019-08-15,70.11000061035156,70.7699966430664,75.48999786376953,-0.009325929970628422,-0.07126768321184485
134,134,134,134,2019-08-16,71.61000061035156,72.05999755859375,73.29000091552734,-0.006244753864670716,-0.022922639980754278
135,135,135,135,2019-08-19,72.0199966430664,69.48999786376953,71.33999633789062,0.03640809982836335,0.009531824223189878
136,136,136,136,2019-08-20,73.05999755859375,69.38999938964844,70.88999938964844,0.05288943941816493,0.0306107799073021
137,137,137,137,2019-08-21,74.69000244140625,71.69999694824219,68.1500015258789,0.04170161255826055,0.09596479485101517
138,138,138,138,2019-08-22,73.48999786376953,69.77999877929688,70.13999938964844,0.053167084399167175,0.04776159827876336
139,139,139,139,2019-08-23,70.33999633789062,70.11000061035156,70.7699966430664,0.003280498153427569,-0.006076025513248484
140,140,140,140,2019-08-26,70.80000305175781,71.61000061035156,72.05999755859375,-0.01131123518628574,-0.017485353171312612
141,141,141,141,2019-08-27,70.20999908447266,72.0199966430664,69.48999786376953,-0.025131875075809273,0.010361220935920068
142,142,142,142,2019-08-28,69.56999969482422,73.05999755859375,69.38999938964844,-0.04776892937849564,0.002594038143234778
143,143,143,143,2019-08-29,71.51000213623047,74.69000244140625,71.69999694824219,-0.04257598341452018,-0.0026498580208987876
144,144,144,144,2019-08-30,71.43000030517578,73.48999786376953,69.77999877929688,-0.028030992223083584,0.023645766046766603
145,145,145,145,2019-09-03,70.27999877929688,70.33999633789062,70.11000061035156,-0.0008529650514274012,0.002424734951724128
146,146,146,146,2019-09-04,72.37000274658203,70.80000305175781,71.61000061035156,0.02217513597671017,0.010613072612103869
147,147,147,147,2019-09-05,75.16999816894531,70.20999908447266,72.0199966430664,0.07064519511679634,0.04373787382260552
148,148,148,148,2019-09-06,75.44999694824219,69.56999969482422,73.05999755859375,0.08451915019708456,0.032712831501693795
149,149,149,149,2019-09-09,76.0,71.51000213623047,74.69000244140625,0.06278838945097265,0.017539128608563548
150,150,150,150,2019-09-10,76.80000305175781,71.43000030517578,73.48999786376953,0.0751785345602598,0.04504021341957487
151,151,151,151,2019-09-11,76.2699966430664,70.27999877929688,70.33999633789062,0.08523047762963354,0.08430481395947154
152,152,152,152,2019-09-12,77.80000305175781,72.37000274658203,70.80000305175781,0.07503109160006538,0.09887005223548795
153,153,153,153,2019-09-13,77.51000213623047,75.16999816894531,70.20999908447266,0.031129493471929726,0.10397383772893742
154,154,154,154,2019-09-16,77.22000122070312,75.44999694824219,69.56999969482422,0.02345930210805891,0.1099612125835332
155,155,155,155,2019-09-17,76.3499984741211,76.0,71.51000213623047,0.004605243080540777,0.0676827883275708
156,156,156,156,2019-09-18,76.69999694824219,76.80000305175781,71.43000030517578,-0.0013021627544497205,0.07377847711817176
157,157,157,157,2019-09-19,75.19000244140625,76.2699966430664,70.27999877929688,-0.014160144869474478,0.0698634568496288
158,158,158,158,2019-09-20,75.9800033569336,77.80000305175781,72.37000274658203,-0.023393311355186297,0.04988255455775925
159,159,159,159,2019-09-23,77.36000061035156,77.51000213623047,75.16999816894531,-0.0019352537962167293,0.02913399620529722
160,160,160,160,2019-09-24,76.72000122070312,77.22000122070312,75.44999694824219,-0.0064750063726487506,0.016832396604762545
161,161,161,161,2019-09-25,76.93000030517578,76.3499984741211,76.0,0.007596618764194041,0.012236846120734057
162,162,162,162,2019-09-26,75.0999984741211,76.69999694824219,76.80000305175781,-0.02086047637264954,-0.022135475391726667
163,163,163,163,2019-09-27,73.2300033569336,75.19000244140625,76.2699966430664,-0.026067283160417953,-0.03985831152398733
164,164,164,164,2019-09-30,74.13999938964844,75.9800033569336,77.80000305175781,-0.02421695032890847,-0.04704374702497749
165,165,165,165,2019-10-01,73.16999816894531,77.36000061035156,77.51000213623047,-0.054162388939350437,-0.05599282476676015
166,166,166,166,2019-10-02,71.37000274658203,76.72000122070312,77.22000122070312,-0.06973407702028789,-0.07575755479983959
167,167,167,167,2019-10-03,72.83000183105469,76.93000030517578,76.3499984741211,-0.05329518338563233,-0.04610342781158683
168,168,168,168,2019-10-04,74.87999725341797,75.0999984741211,76.69999694824219,-0.0029294437439827403,-0.023728810524625832
169,169,169,169,2019-10-07,73.95999908447266,73.2300033569336,75.19000244140625,0.009968533307051164,-0.016358602433775737
170,170,170,170,2019-10-08,72.45999908447266,74.13999938964844,75.9800033569336,-0.022659837051608456,-0.04632803523217688
171,171,171,171,2019-10-09,73.29000091552734,73.16999816894531,77.36000061035156,0.001640053978202216,-0.05261116420259715
172,172,172,172,2019-10-10,76.80000305175781,71.37000274658203,76.72000122070312,0.07608238890583241,0.001042776717697702
173,173,173,173,2019-10-11,77.36000061035156,72.83000183105469,76.93000030517578,0.062199624679472265,0.005589500890029964
174,174,174,174,2019-10-14,77.33999633789062,74.87999725341797,75.0999984741211,0.03285255308099466,0.029826869630915187
175,175,175,175,2019-10-15,79.83999633789062,73.95999908447266,73.2300033569336,0.07950239759605982,0.09026345320153784
176,176,176,176,2019-10-16,79.06999969482422,72.45999908447266,74.13999938964844,0.09122275315854944,0.06649582338496907
177,177,177,177,2019-10-17,78.95999908447266,73.29000091552734,73.16999816894531,0.07736387089802932,0.07913080580046716
178,178,178,178,2019-10-18,77.58999633789062,76.80000305175781,71.37000274658203,0.010286370504444031,0.08715137105142512
179,179,179,179,2019-10-21,78.75,77.36000061035156,72.83000183105469,0.017967934057415702,0.08128515749152476
180,180,180,180,2019-10-22,78.33000183105469,77.33999633789062,74.87999725341797,0.012800692268445824,0.04607378077166313
181,181,181,181,2019-10-23,78.68000030517578,79.83999633789062,73.95999908447266,-0.014529009092205225,0.06381829744632928
182,182,182,182,2019-10-24,79.41000366210938,79.06999969482422,72.45999908447266,0.004300037543915725,0.09591505196590622
183,183,183,183,2019-10-25,79.0199966430664,78.95999908447266,73.29000091552734,0.0007598475087311485,0.07818250315132813
184,184,184,184,2019-10-28,80.31999969482422,77.58999633789062,76.80000305175781,0.03518499143942355,0.04583328780200935
185,185,185,185,2019-10-29,79.8499984741211,78.75,77.36000061035156,0.013968234592013795,0.03218714896747743
186,186,186,186,2019-10-30,79.8499984741211,78.33000183105469,77.33999633789062,0.019405037757369126,0.032454127942604494
187,187,187,187,2019-10-31,80.86000061035156,78.68000030517578,79.83999633789062,0.027707172047791273,0.012775605200984419
188,188,188,188,2019-11-01,97.22000122070312,79.41000366210938,79.06999969482422,0.2242790169658666,0.22954346270304815
189,189,189,189,2019-11-04,101.51000213623048,79.0199966430664,78.95999908447266,0.28461157236884627,0.2855876812717979
190,190,190,190,2019-11-05,101.3000030517578,80.31999969482422,77.58999633789062,0.26120522206980934,0.305580717011692
191,191,191,191,2019-11-06,101.4000015258789,79.8499984741211,78.75,0.26988107030136055,0.2876190669952876
192,192,192,192,2019-11-07,101.30999755859376,79.8499984741211,78.33000183105469,0.26875390725809134,0.2933741247332442
193,193,193,193,2019-11-08,104.04000091552734,80.86000061035156,78.68000030517578,0.2866683172175035,0.322318257651091
194,194,194,194,2019-11-11,102.29000091552734,97.22000122070312,79.41000366210938,0.05214975962934432,0.28812487341988624
195,195,195,195,2019-11-12,102.58000183105467,101.51000213623048,79.0199966430664,0.010540830187238281,0.29815244480974723
196,196,196,196,2019-11-13,103.88999938964844,101.3000030517578,80.31999969482422,0.02556758400656034,0.29345119253459173
197,197,197,197,2019-11-14,103.6999969482422,101.4000015258789,79.8499984741211,0.02268240027369517,0.2986850210379246
198,198,198,198,2019-11-15,103.75,101.30999755859376,79.8499984741211,0.024084517818639073,0.2993112333449168
199,199,199,199,2019-11-18,103.25,104.04000091552734,80.86000061035156,-0.00759324210472434,0.27689833317639256
200,200,200,200,2019-11-19,102.83999633789062,102.29000091552734,97.22000122070312,0.005376824884550269,0.05780698463919287
201,201,201,201,2019-11-20,101.88999938964844,102.58000183105467,101.51000213623048,-0.006726481079057156,0.0037434464133689893
202,202,202,202,2019-11-21,100.9000015258789,103.88999938964844,101.3000030517578,-0.02878042045755802,-0.0039486822687904155
203,203,203,203,2019-11-22,101.72000122070312,103.6999969482422,101.4000015258789,-0.019093498416661636,0.0031558154833217777
204,204,204,204,2019-11-25,104.30999755859376,103.75,101.30999755859376,0.0053975668298194,0.029612082442948662
205,205,205,205,2019-11-26,104.11000061035156,103.25,104.04000091552734,0.008329303732218518,0.0006728152076915794
206,206,206,206,2019-11-27,105.02999877929688,102.83999633789062,102.29000091552734,0.021295240367481094,0.02678656603036167
207,207,207,207,2019-11-29,104.20999908447266,101.88999938964844,102.58000183105467,0.022769650689191456,0.015890009985596754
208,208,208,208,2019-12-02,102.97000122070312,100.9000015258789,103.88999938964844,0.020515358409517015,-0.008855502688904449
209,209,209,209,2019-12-03,102.13999938964844,101.72000122070312,103.6999969482422,0.004128963467411317,-0.015043371306677766
210,210,210,210,2019-12-04,104.02999877929688,104.30999755859376,103.75,-0.0026842947545809848,0.0026987834149097
211,211,211,211,2019-12-05,105.8000030517578,104.11000061035156,103.25,0.016232854014969655,0.024697366118719533
212,212,212,212,2019-12-06,106.62000274658205,105.02999877929688,102.83999633789062,0.01513856979686623,0.036756189646991455
213,213,213,213,2019-12-09,108.44000244140624,104.20999908447266,101.88999938964844,0.040591146666307365,0.06428504358616416
214,214,214,214,2019-12-10,109.86000061035156,102.97000122070312,100.9000015258789,0.06691268629666802,0.08880078244770484
215,215,215,215,2019-12-11,113.83999633789062,102.13999938964844,101.72000122070312,0.11454862951005595,0.11915056008395641
216,216,216,216,2019-12-12,115.3499984741211,104.02999877929688,104.30999755859376,0.10881476331495477,0.10583837766198645
217,217,217,217,2019-12-13,113.41000366210938,105.8000030517578,104.11000061035156,0.07192817004578655,0.0893286235446733
218,218,218,218,2019-12-16,115.0,106.62000274658205,105.02999877929688,0.07859685835251584,0.09492527217536617
219,219,219,219,2019-12-17,114.3499984741211,108.44000244140624,104.20999908447266,0.05450014662170655,0.09730351673287085
220,220,220,220,2019-12-18,115.29000091552734,109.86000061035156,102.97000122070312,0.04942654537600766,0.11964649459814858
221,221,221,221,2019-12-19,117.27999877929688,113.83999633789062,102.13999938964844,0.030217872031512716,0.1482279173694887
222,222,222,222,2019-12-20,116.66999816894533,115.3499984741211,104.02999877929688,0.011443430535635235,0.12150340803583615
223,223,223,223,2019-12-23,116.94000244140624,113.41000366210938,105.8000030517578,0.03112599122925741,0.10529299686502558
224,224,224,224,2019-12-24,117.95999908447266,115.0,106.62000274658205,0.02573912247367538,0.10635899498937262
225,225,225,225,2019-12-26,117.5999984741211,114.3499984741211,108.44000244140624,0.028421513278249044,0.08447063654083098
226,226,226,226,2019-12-27,116.83999633789062,115.29000091552734,109.86000061035156,0.013444317894480307,0.06353536945894911
227,227,227,227,2019-12-30,116.20999908447266,117.27999877929688,113.83999633789062,-0.009123462704308083,0.020818717698721567
228,228,228,228,2019-12-31,116.2300033569336,116.66999816894533,115.3499984741211,-0.00377127641139241,0.007628997784598468
229,229,229,229,2020-01-02,115.95999908447266,116.94000244140624,113.41000366210938,-0.00838039453115813,0.022484748611424576
230,230,230,230,2020-01-03,112.33999633789062,117.95999908447266,115.0,-0.04764329255850097,-0.023130466627037993
231,231,231,231,2020-01-06,111.63999938964844,117.5999984741211,114.3499984741211,-0.05068026498133171,-0.023699161527194645
232,232,232,232,2020-01-07,111.2300033569336,116.83999633789062,115.29000091552734,-0.04801432006839035,-0.035215521956396656
233,233,233,233,2020-01-08,112.91999816894533,116.20999908447266,117.27999877929688,-0.02831082472632873,-0.03717599467711796
234,234,234,234,2020-01-09,111.95999908447266,116.2300033569336,116.66999816894533,-0.0367375389239909,-0.04037026792142662
235,235,235,235,2020-01-10,113.41999816894533,115.95999908447266,116.94000244140624,-0.02190411293188288,-0.030100942354816862
236,236,236,236,2020-01-13,115.73999786376952,112.33999633789062,117.95999908447266,0.030265280725597865,-0.018819949456877927
237,237,237,237,2020-01-14,115.91000366210938,111.63999938964844,117.5999984741211,0.03824797828561133,-0.014370704370235354
238,238,238,238,2020-01-15,112.5,111.2300033569336,116.83999633789062,0.011417752447520968,-0.03714478324134618
239,239,239,239,2020-01-16,113.8000030517578,112.91999816894533,116.20999908447266,0.007793171245857211,-0.020738284585675282
240,240,240,240,2020-01-17,114.73999786376952,111.95999908447266,116.2300033569336,0.02483028583449154,-0.012819456681837815
241,241,241,241,2020-01-21,114.87000274658205,113.41999816894533,115.95999908447266,0.012784381952438917,-0.009399761525494599
242,242,242,242,2020-01-22,116.33000183105467,115.73999786376952,112.33999633789062,0.005097666996500383,0.03551723004479279
243,243,243,243,2020-01-23,118.68000030517578,115.91000366210938,111.63999938964844,0.023897822064963936,0.0630598437299894
244,244,244,244,2020-01-24,113.38999938964844,112.5,111.2300033569336,0.00791110568576392,0.019419185179591292
245,245,245,245,2020-01-27,109.9800033569336,113.8000030517578,112.91999816894533,-0.033567658984040794,-0.026036086252968715
246,246,246,246,2020-01-28,113.55999755859376,114.73999786376952,111.95999908447266,-0.010284123471718809,0.014290804637412835
